"","cydA","resD","ccpA","rex","cydB","cydC","cydD","pval","z","inv_cof_var"
"GSM672556",14.04023532,15.06617509,12.18563792,13.33519294,13.76680818,13.72151636,13.17595502,0.433299546454281,0.167979898659168,37.7842559318532
"GSM672557",13.72369888,15.01592007,12.26155651,13.32734535,13.30005502,13.49977695,12.83584424,0.469041568098994,0.0776793306128061,35.2959430270132
"GSM672558",13.77427435,12.97208327,13.25572045,12.61737974,14.09866691,14.39777584,13.59616859,0.410791201846128,0.225510184027708,39.3695543923033
"GSM672562",11.5471777,13.19629331,12.83257361,12.35195651,11.30785019,11.73589108,11.26177993,0.247697859545106,0.681752097062862,51.9417083055698
"GSM672563",14.16922491,13.06050818,12.07040112,12.22038662,14.19217844,14.68241227,14.42209108,0.165296149870249,0.972921537652722,59.9651426226475
"GSM672564",12.40194684,13.02025465,11.88133755,12.20520706,12.32584796,12.94290967,12.69099182,0.339954681463359,0.412586815071622,44.5246182561492
"GSM672569",7.127989963,11.87367249,12.87464238,12.58170112,7.253958364,7.401328996,7.32036171,0.139732984156822,1.08151977676772,62.9576642166867
"GSM672570",7.075526766,12.11816134,12.74603086,12.86961896,7.227946097,7.340946468,7.279125651,0.133371894996795,1.11059250586309,63.7587892655325
"GSM672571",7.180258364,12.17600892,12.4547881,12.49265874,7.293344238,7.43247658,7.324245353,0.0880395179783756,1.35292673956887,70.4365257854733
"GSM672598",10.46142714,13.86400483,13.2749487,12.94290967,10.84505911,11.18137621,11.03702119,0.474997873941698,0.0627121176699227,34.8835080897696
"GSM672600",8.659134201,13.40495093,13.5115052,13.11278271,8.980534201,9.132736059,8.9701171,0.33420052412132,0.428343506605715,44.958807981974
"GSM672601",9.812004461,13.20315836,13.37237472,12.63741822,9.809530483,10.02137472,9.542331227,0.271595669560771,0.607994172187027,49.9092427267428
"GSM672604",9.742029368,13.20139963,13.44724164,12.80000632,9.889610409,10.35096729,10.25008439,0.47651251454056,0.0589084481595619,34.7786945749364
"GSM672610",11.90186766,14.21381301,13.18693197,12.35779405,12.08955204,12.66638996,12.39295911,0.452853465150182,0.118455275761202,36.4195606599356
"GSM672624",7.506061338,11.7111632,13.05512156,11.64474981,7.682123792,7.838004647,7.691536431,0.198111354081893,0.848386590432388,56.5334707851811
"GSM672625",7.511424907,11.66081524,12.96858699,11.61139071,7.630925279,7.813247212,7.630018959,0.152896471201494,1.02408962913922,61.3751251412128
"GSM672626",7.835530855,11.8387684,12.93810186,11.62737993,7.992124907,8.246547955,7.908544238,0.338241320021598,0.4172676607387,44.6536031444057
