"","degS","ccpA","degU","sinR","tnrA","pval","z","inv_cof_var"
"GSM672552",13.43237621,12.8811052,14.20152714,12.72569926,11.33878662,0.480261238513536,0.0494979422638903,25.4047933731792
"GSM672561",13.07116617,12.78510967,13.65160669,12.76305799,10.09135651,0.426402515480202,0.185540610059607,32.5543328736144
"GSM672563",12.87633978,12.07040112,12.77709554,13.04444907,8.848271747,0.00116714835751937,3.04403282199105,182.778547908698
"GSM672564",12.9836684,11.88133755,12.90673086,12.92314349,9.035304089,2.1214170362866e-05,4.09384204460796,237.949860164139
"GSM672565",13.08980112,12.07309777,13.59271896,13.01521004,9.708602974,0.389758226028431,0.279949235853956,37.5158512724748
"GSM672597",9.658863569,11.94797546,9.519147584,12.78510967,10.87672565,0.0788315616087881,1.41297483589109,97.0604883611397
"GSM672606",12.19816729,13.2139171,12.92409052,11.47189517,10.27239833,0.487343321904375,0.0317309110884184,24.4710709370297
"GSM672622",12.1883777,10.35578234,12.60065019,13.1395539,9.235304461,0.353790315095849,0.375107351050596,42.516758079205
"GSM672623",12.37973866,10.33973569,12.65605019,13.24969777,10.73825836,0.216166623188859,0.785205235418459,64.068901027002
"GSM672630",12.74603086,11.55433086,13.07616431,13.61981078,11.20569219,0.268121929065807,0.618502943449874,55.3080861991704
"GSM672631",13.38884164,11.7111632,13.49777063,13.47812268,11.29526506,0.00194383355170657,2.88713554517247,174.533022469506
"GSM672632",13.48460855,11.63374164,13.5084171,13.66069851,11.4235684,5.38391244395334e-50,14.8206865489015,801.684751144332
"GSM672674",13.08807955,12.13786729,13.76680818,12.30192082,13.52764833,0.460785162110537,0.0984558549673591,27.9777106527633
"GSM672675",12.86008625,12.11942565,13.63642639,12.12215242,12.89897175,0.489904247940746,0.0253089992331545,24.1335759935575
"GSM672676",12.83733197,12.08955204,13.47410706,12.31870483,12.80000632,0.451430739290624,0.122047400605857,29.21753261562
"GSM672678",12.89381004,12.10981524,13.66527955,12.06073494,12.18972751,0.488312811043048,0.0292996298846501,24.3432982221553
"GSM672679",12.98028141,11.92684275,13.66292007,12.34942305,11.98454572,0.463653255447063,0.0912341870334306,27.5981856038266
"GSM672680",12.87134275,11.79491301,13.60269331,12.60816022,11.67439108,0.478808340288861,0.053144619329482,25.5964395835059
"GSM672710",12.74905093,12.00570595,12.98202045,12.92150372,13.46152045,0.146361575285671,1.05216653430692,78.098693168072
"GSM672711",12.77412974,11.9506539,12.9736632,13.11699257,13.35045167,0.0964039313176759,1.30231752670194,91.245042252367
"GSM672712",12.69559926,12.04352379,12.93810186,13.28255242,12.79327175,0.16149195715299,0.988344590399048,74.7446167128155
"GSM672713",12.25706059,10.99658662,12.86639294,11.59898848,9.143704089,0.451903432981513,0.120853762320692,29.1548025603566
"GSM672714",12.39750149,11.06789331,12.88276766,11.78835316,8.859812268,0.394720778565473,0.267035852018089,36.8372057466649
"GSM672715",12.27279517,11.12404238,12.85326877,11.6089539,8.952978439,0.440976154615442,0.14849477494658,30.6074388163403
"GSM672721",12.37973866,11.96415093,13.10414349,11.26785613,9.500806691,0.484276308221376,0.0394236602197989,24.875353024943
"GSM672723",13.49568401,13.04444907,14.09040223,12.22177807,10.61667584,0.424575875862076,0.190200841515558,32.7992450722308
"GSM672725",12.82026617,12.89724424,13.5984355,12.52544535,9.986601859,0.490871339748787,0.0228841550847285,24.0061415694722
"GSM672727",12.74756208,12.96003271,13.55765056,12.03818364,10.1897539,0.498802932780158,0.00300060704261631,22.9611884349942
"GSM672729",13.06050818,12.81725688,13.84343978,12.63887881,11.12277175,0.488653702744031,0.0284447848553543,24.298372990956
"GSM672732",13.2692461,13.12800297,14.08764126,12.61667063,10.89585316,0.4936745524497,0.0158562100806854,23.6367973686606
"GSM672735",13.29444201,12.88029071,14.03156208,12.45414126,10.66206617,0.474133291243539,0.0648837204381847,26.2133722593801
"GSM672739",12.36528178,13.08980112,13.14873532,11.87618959,9.930198141,0.498298023594149,0.00426623512308024,23.0277018171614
"GSM672740",12.13241078,12.59922416,12.82026617,11.59151078,9.475285502,0.478394446614096,0.0541835919227598,25.651041391276
"GSM672743",11.85551673,13.2692461,12.34349182,10.64325093,8.9676171,0.40775217957332,0.233331037582779,35.0658945391992
"GSM672744",12.00036022,13.07797286,12.56087937,11.06334126,9.617849071,0.438146565931476,0.155670017138794,30.9845240228393
"GSM672746",11.90698848,13.7109197,12.49129033,10.82410781,9.293330483,0.449106155047103,0.12791996622427,29.5261574061952
"GSM672747",11.9151855,13.55989331,12.59637175,10.61555799,8.998344981,0.479961921780502,0.0502491517550893,25.444272178009
"GSM672748",12.00980706,13.88486654,12.45247361,10.64919294,9.378848327,0.37842204692525,0.309627693926637,39.0755627346263
"GSM672785",12.24615948,13.15065688,12.99432751,12.10151896,10.76070037,0.492016676453423,0.0200125602940999,23.8552287660298
"GSM672786",12.18289145,13.1395539,12.80310595,11.38041859,10.55114572,0.456943096594723,0.108138040403276,28.4865448909199
"GSM672788",12.09898662,13.15597175,12.66502602,11.33291115,10.52022342,0.43851307416968,0.154740185181075,30.9356579544345
