"","dfrA","ccpN","thyB","pval","z","inv_cof_var"
"GSM672631",12.30746208,11.36371152,12.22466394,0.440073897721884,0.150781861052054,209.50751630006
"GSM672632",12.31318253,11.51240149,12.21495725,0.456591112350502,0.109025550575243,176.573830772784
"GSM672656",11.35503383,12.43023309,11.27260967,0.447780109889666,0.131271900225335,194.119784309863
"GSM672677",11.59397472,11.51739071,11.67376952,0.441734192075657,0.146573864246424,206.188620499308
"GSM672678",11.45388848,11.53991375,11.45513903,4.26567579516512e-60,16.3089012750373,12953.6033766828
"GSM672679",11.39588067,11.46510855,11.24241227,0.493059562269464,0.0173979751113372,104.306101141092
"GSM672680",11.38151115,11.284429,11.27385204,0.470579839272688,0.0738123769060176,148.800793002033
"GSM672710",11.98519368,11.59268067,11.8646974,0.475042237185939,0.062600697012989,139.958011261664
"GSM672712",11.7631513,11.4622,11.73237063,0.284511072681714,0.569492225376323,539.749228467737
"GSM672713",12.2190777,12.19392119,12.13583885,0.441381788644616,0.14746680718967,206.892894937132
"GSM672714",11.97097658,12.42726766,12.02317361,0.383129509184327,0.297271788195492,325.045817897252
"GSM672715",12.34125223,12.20908513,12.20380818,0.481952319145341,0.0452542687825111,126.276682479484
"GSM672751",11.82700706,13.37237472,11.77697584,0.378995271460378,0.308120631319774,333.602426077189
