"","acsA","ccpA","codY","hutG","hutH","hutI","hutM","hutP","hutU","tyrS","ytzK","pval","z","inv_cof_var"
"GSM672555",13.07616431,12.39001859,14.43607286,11.54819108,11.25578067,12.09511747,11.03990446,12.33753643,11.75678996,11.88451338,13.55989331,5.3849922552784e-09,5.71813455754577,14.6367930687672
"GSM672556",12.84362528,12.18563792,14.69906245,11.57041264,11.31557286,11.92087286,11.12404238,12.08414498,11.64867435,11.98993309,13.58394275,2.45153436851734e-10,6.22217590250471,15.5408533689439
"GSM672557",13.0950171,12.26155651,14.69906245,11.55933717,11.37569814,12.07722007,11.20930781,11.98454572,11.7060368,12.04866431,13.74295651,5.70331137189018e-09,5.70836555491874,14.6192711580435
"GSM672563",8.42054461,12.07040112,14.66993086,9.237713383,7.050248699,8.749409108,8.181464126,8.3906171,8.35060855,11.53395353,13.91831896,0.489982651372087,0.0251124085104113,4.42565589828636
"GSM672564",8.560181041,11.88133755,14.13102342,9.437442007,7.020879926,9.151350929,8.198600743,7.623303717,8.658536989,11.53286245,13.25572045,0.424626503174404,0.190071622904774,4.72153058867396
"GSM672569",13.28644796,12.87464238,13.00295056,9.446366171,9.307943123,9.515833829,8.935267286,13.67938253,9.126830483,12.27877435,14.44658587,0.38482312027108,0.292837660484796,4.90585414806398
"GSM672570",13.66754238,12.74603086,12.98548327,9.757262825,9.550201487,9.866851301,9.159348327,14.17215799,9.437442007,12.04352379,14.54790446,0.354799056064922,0.372395891899862,5.04855164558869
"GSM672571",13.64276654,12.4547881,12.88900186,9.556754275,9.237713383,9.723099628,9.129148699,13.72863755,9.432344238,12.13914164,14.76273346,0.383493713557942,0.296317756101652,4.91209612864649
"GSM672584",13.48916357,11.53395353,13.49133829,10.12320297,8.930201115,10.07806877,9.559210037,11.9083223,9.347269517,10.73234387,14.73161599,0.262993336077942,0.634144272502683,5.51802963961678
"GSM672585",13.88212491,12.24615948,12.99944721,13.20690632,12.90368476,13.64276654,12.92910465,13.12992751,13.22169145,8.614675465,14.30353717,0.0303559363803982,1.87558801957277,7.74471206924974
"GSM672587",13.66754238,11.57506468,13.31143866,10.25008439,8.741252416,10.23660632,9.352210781,11.49352602,9.626575836,10.73581636,14.95582342,0.295436056107999,0.537572655947201,5.34481653810264
"GSM672588",13.95159331,12.55874387,13.2904829,13.23499331,12.93148625,13.70641859,12.93638178,13.05163569,13.33142937,8.610542193,14.26634535,0.0315767646927691,1.8581090538138,7.71336138901514
"GSM672594",13.72863755,11.83742714,13.32130186,10.53330372,9.556754275,10.46812714,9.675759108,12.81402342,9.956937546,10.65138476,15.28884089,0.247954391154362,0.680941065461097,5.60196545780395
"GSM672596",13.51702342,11.72728216,13.25572045,11.39588067,10.21761561,11.45253383,9.963668216,12.86639294,10.85440372,10.76552491,15.49114684,0.109225306346373,1.23065850792901,6.58795147069815
"GSM672597",13.76194498,11.94797546,13.19436877,12.74062082,11.76177175,12.65911338,11.91107807,12.78678773,12.29913829,8.641617844,14.78045019,0.0485798457480712,1.65878218477133,7.35584407250513
"GSM672612",14.76273346,12.46749591,12.48971413,14.45737881,14.49691561,15.64881152,14.10748848,14.7149948,14.96993699,11.27025613,15.77650855,0.000114335887715584,3.68503437512416,10.9901772115719
"GSM672613",14.84428699,12.73823494,12.96154498,14.81200037,14.95582342,15.98063123,14.43247509,15.12831859,15.68968439,11.41876506,15.61343941,0.000124205448845014,3.66389268460144,10.9522569828617
"GSM672614",14.75589052,12.45414126,12.56626989,14.42564907,14.54011041,15.61343941,13.93848699,14.84428699,15.1469052,11.37569814,15.68112788,6.81393164282851e-05,3.81482652581976,11.222975437138
"GSM672615",14.76762156,12.58170112,12.75065836,15.08894944,15.03851413,15.75899182,14.47120892,14.97281599,15.22313234,11.5136026,15.91765762,4.60338391352413e-05,3.91059856920092,11.3947544055771
"GSM672616",15.05480706,12.63305613,12.54327509,14.76762156,14.98346506,15.90234647,14.21958662,14.33589145,15.52257435,11.68608067,16.19371115,8.13059671732437e-05,3.77097351255511,11.1443196507979
"GSM672617",15.04970037,12.48520074,12.45247361,14.69906245,14.97813903,15.93357807,14.32645576,14.6242052,15.57326431,11.73846877,16.05834275,3.55663329644372e-05,3.97246508200566,11.505719624396
"GSM672630",15.190129,11.55433086,13.15971115,11.91377249,11.58882602,12.17742788,11.14367621,14.18664647,11.85426952,10.68322677,16.26861673,0.112918999469503,1.21114979792434,6.55296019389265
"GSM672631",15.74199963,11.7111632,12.31592825,12.18154349,11.64349257,12.26440558,11.4304223,14.41536729,11.86197993,10.56404164,16.19371115,0.127775137687969,1.13697131975394,6.41991194713256
"GSM672632",15.77650855,11.63374164,12.21330186,11.82700706,11.53991375,12.10308439,11.24836134,14.42909851,11.76822193,10.56290074,16.21444944,0.160065022868316,0.994190677730172,6.16381726089617
"GSM672676",14.92148885,12.08955204,11.78955725,10.19320037,9.383746097,10.21153717,9.239005576,13.72369888,9.804423792,10.8312829,15.98922119,0.473081301472409,0.0675264538656956,4.50173071825719
"GSM672677",14.98346506,12.10021896,12.03818364,11.8123119,11.15801487,11.85939182,10.61201561,14.43247509,11.55933717,11.03527658,15.87744201,0.124550401449803,1.15253620054942,6.44782947997963
