"","acsA","hutG","hutH","hutI","hutM","hutP","hutU","tyrS","ytzK","ccpA","codY"
"acsA",1,0.548687257142669,0.646054320236567,0.569932335547082,0.53753921577416,0.92161571233808,0.572622766842978,-0.0596729524875404,0.818978214632953,0.125035395449179,-0.498812014729579
"hutG",0.548687257142669,1,0.974657594192172,0.989678619223666,0.986249770881094,0.677136430672574,0.988253797730407,-0.343223105529066,0.572767254532826,-0.0227021716933741,-0.40326401818375
"hutH",0.646054320236567,0.974657594192172,1,0.987712845361499,0.982938204960154,0.765177833934447,0.990365297390934,-0.238290782706973,0.587181793860699,0.124234142765859,-0.402313247244249
"hutI",0.569932335547082,0.989678619223666,0.987712845361499,1,0.991987359120393,0.693665828590121,0.998706147575756,-0.26704603969232,0.56352292678345,0.0789190651084653,-0.372493466984308
"hutM",0.53753921577416,0.986249770881094,0.982938204960154,0.991987359120393,1,0.671560691735786,0.990866908558156,-0.334968845746236,0.512048797737603,0.0555013006597334,-0.36821953463563
"hutP",0.92161571233808,0.677136430672574,0.765177833934447,0.693665828590121,0.671560691735786,1,0.69632949147295,-0.0552356609863694,0.798719629245481,0.202096651890907,-0.531942335723833
"hutU",0.572622766842978,0.988253797730407,0.990365297390934,0.998706147575756,0.990866908558156,0.69632949147295,1,-0.25878624991563,0.560206925139264,0.0878471372318905,-0.37462762675827
"tyrS",-0.0596729524875404,-0.343223105529066,-0.238290782706973,-0.26704603969232,-0.334968845746236,-0.0552356609863694,-0.25878624991563,1,-0.0737733966333895,0.49128075795764,0.309263258542068
"ytzK",0.818978214632953,0.572767254532826,0.587181793860699,0.56352292678345,0.512048797737603,0.798719629245481,0.560206925139264,-0.0737733966333895,1,-0.109456543631632,-0.669902988552472
"ccpA",0.125035395449179,-0.0227021716933741,0.124234142765859,0.0789190651084653,0.0555013006597334,0.202096651890907,0.0878471372318905,0.49128075795764,-0.109456543631632,1,0.21802480869555
"codY",-0.498812014729579,-0.40326401818375,-0.402313247244249,-0.372493466984308,-0.36821953463563,-0.531942335723833,-0.37462762675827,0.309263258542068,-0.669902988552472,0.21802480869555,1
