"","divIB","spoIIID","gerM","ispG","mraY","murB","murD","murE","murG","pdaB","sbp","spoIID","spoIIIAA","spoIIIAB","spoIIIAC","spoIIIAD","spoIIIAE","spoIIIAF","spoIIIAG","spoIIIAH","spoIVA","spoIVFA","spoIVFB","spoVB","spoVD","spoVE","spoVV","yaaH","yhaX","ylmC","ylxW","ylxX","ypjB","yqfC","yqfD","yqfZ","yqhV","yrzE","yugU","yuzH","pval","z","inv_cof_var"
"GSM672552",12.34942305,7.16059777,7.795259851,13.10592714,10.04472379,10.56048587,10.41267844,10.45256691,9.278698513,7.383730297,11.7445632,9.031537918,7.571837361,7.489437175,7.617498513,7.621493309,7.445860967,7.814824349,7.82857658,8.283497026,8.087730855,7.698256877,7.737766543,7.331941078,7.585147955,10.32126059,7.03734461,7.647143123,10.64264182,8.373463569,12.10715093,11.752071,9.421905204,7.861327881,8.459275093,8.069449814,7.54200855,8.013526394,10.53548253,10.40272268,0.495355944121699,0.0116411846982614,5.33220537741347
"GSM672563",11.78586766,7.208582528,9.479197398,12.99596394,12.42150967,12.86331896,13.07957993,12.48895316,12.31318253,7.791298513,10.94154387,10.01882751,9.537186989,9.02775539,9.162560223,9.109746468,8.546823048,8.378162082,8.387723048,9.008102974,8.915866543,9.489875093,9.959482156,7.323299257,9.738382528,12.52835316,7.429891078,7.94674684,9.146624535,9.627257249,11.12637026,11.71235911,12.08006543,7.279125651,8.434796283,8.479710781,8.863658364,9.02275948,10.50141338,10.19081859,0.388463502855418,0.283325925180427,5.73009961389064
"GSM672564",11.68161171,7.158062082,9.34135316,13.1468632,11.98320223,13.19072825,12.67714424,12.09093494,11.74947844,7.722937546,10.92041933,10.05097732,9.561814498,9.290828625,9.356207435,9.193304461,8.673456134,8.639073606,8.628068773,8.933386059,8.735318587,9.601017844,9.866851301,7.243707063,9.624618587,12.09369554,7.295504833,8.074126022,9.383746097,9.667862082,11.16389888,11.46098476,11.71712751,7.769860967,8.890998327,8.481631413,8.770366914,9.173247955,10.64325093,10.47617472,0.286847305663564,0.562618618157613,6.13913603098416
"GSM672572",11.44360725,8.629306691,10.0633171,12.62092416,10.65717695,10.89585316,10.98619703,11.41637175,10.01882751,8.862331599,10.99318253,9.844852788,9.697269517,9.195828996,9.277469145,9.101403346,8.827584758,9.569909294,10.15135502,10.80995428,10.77706283,9.210145725,8.669790335,8.152455019,8.640388476,10.16879219,7.991175093,8.697910409,9.779072862,11.7049197,11.31787472,11.32697918,11.1493119,8.587512268,8.924918587,9.552804833,9.290828625,9.698559851,10.3481119,10.16372974,0.00493659946391587,2.58023888995109,9.09402954514096
"GSM672573",11.55867212,9.160485874,10.9612197,12.47040149,10.99658662,11.12166803,11.49220149,11.48512491,9.996260595,9.627257249,10.97369777,10.07917026,10.66789145,10.15888587,10.03721264,9.928207063,9.694850186,10.81609888,10.71009108,11.77836766,11.69607844,9.881884387,9.406495911,8.479710781,9.305324535,10.69258996,8.363724164,9.543722677,10.00255502,12.08684164,11.38389442,10.90965465,11.17905353,8.976527138,9.416856134,9.816794796,10.33593941,10.63703123,10.59358662,10.26606654,5.72470772876931e-05,3.85762494571239,10.9648175343438
"GSM672574",11.49220149,9.565701487,11.35883048,12.51800186,10.52528401,11.19638364,11.14697993,11.23868885,9.803756506,9.881884387,10.29861822,10.51167881,11.07624796,10.43080074,9.801787361,9.943906691,9.25350855,10.62853197,11.12221989,12.1077987,12.00305651,10.19817918,9.321043123,8.399660595,9.559210037,10.27803457,8.082105948,9.727771933,9.976483271,11.86268123,11.52033755,11.02024349,11.40649405,8.906881413,9.499448699,9.732179926,10.16753123,10.56871487,11.03646654,10.61667584,0.000227278276272276,3.50619822841664,10.450137670072
"GSM672575",11.94543792,15.07704164,15.70693346,13.41359628,11.84500446,12.84824535,12.50408569,11.82046914,12.61107732,14.3392342,10.9382052,14.11871338,14.30992379,13.96283048,13.78122565,13.94912751,13.3702461,14.18383309,14.26634535,15.37522491,16.25512491,14.04552862,13.68413234,12.88276766,13.90805539,13.61520669,12.33317249,14.64045799,15.22980632,13.35631375,11.52343123,11.1493119,13.80583271,13.47612974,13.62222788,12.4688316,13.47410706,15.1410658,9.279881413,8.856034201,0.015602250096107,2.1544550912026,8.47045046886781
"GSM672576",11.88260409,16.05140074,15.53897138,13.23891599,11.79426134,12.65605019,12.50189554,12.04472491,12.31592825,14.40469851,10.66670855,13.82848513,14.2077948,13.7522145,13.47812268,13.40705576,12.96507435,14.47804424,14.32280074,15.46632379,16.34839145,13.99478104,13.65857993,12.39977379,13.5255539,13.26165428,12.03546171,14.49691561,14.8357223,13.45315651,11.60205929,11.04224089,13.68668848,13.23707546,13.45721859,12.48055799,13.55765056,15.06041338,9.031537918,8.717047212,0.0219373215495908,2.01528645716807,8.26663189119405
"GSM672577",11.34454126,15.34516989,15.21679294,12.61107732,11.56050372,12.41861375,12.45247361,11.65346208,11.6620948,13.17873606,8.624420074,13.26346171,12.91991375,12.52544535,11.77446952,12.06628662,11.38870186,12.91305019,13.22549963,15.08293978,16.02851524,12.96154498,12.18015093,10.64806134,12.73507807,12.29753643,9.583495539,14.5973803,15.42020595,13.30973011,11.05398736,9.462750186,12.70778104,13.19254647,13.17873606,11.00720223,11.61880967,14.13691599,9.047972119,8.275239405,0.141546384024715,1.07339758403855,6.88719426302585
"GSM672578",11.2329223,15.87744201,14.50400372,12.52835316,12.08006543,12.03148699,12.39912119,11.41145911,11.46159238,13.2749487,9.707454275,12.99247212,12.81725688,12.25010112,12.15306543,12.05809554,11.46632416,13.4302974,13.4345881,14.39110335,16.13048996,12.54013457,12.30054126,10.78767732,12.49129033,12.64338773,10.41393086,14.45737881,15.1410658,13.37838364,10.84170743,10.24135167,12.66205019,13.48236691,12.75389331,10.99780372,12.01111041,14.16357621,8.495408178,8.161189963,0.0717546863997032,1.4628465481558,7.45755937793531
