"","divIB","gerM","ispG","mraY","murB","murD","murE","murG","pdaB","sbp","spoIID","spoIIIAA","spoIIIAB","spoIIIAC","spoIIIAD","spoIIIAE","spoIIIAF","spoIIIAG","spoIIIAH","spoIVA","spoIVFA","spoIVFB","spoVB","spoVD","spoVE","spoVV","yaaH","yhaX","ylmC","ylxW","ylxX","ypjB","yqfC","yqfD","yqfZ","yqhV","yrzE","yugU","yuzH","spoIIID"
"divIB",1,-0.359605929971272,0.670011129066587,-0.276464294444783,0.291897980116508,-0.335535266949038,0.219885229663985,-0.606484112482071,-0.344970933054883,0.388879284703817,-0.347793412279589,-0.314992200273125,-0.332710221531246,-0.344800889757226,-0.331809505999997,-0.307663131438871,-0.293617131405911,-0.294511274828719,-0.335967600927927,-0.413431090334821,-0.330679309493037,-0.34424050285359,-0.343057739540347,-0.367585484706478,-0.395358459957846,-0.217055665211797,-0.53293583827159,-0.463201405645911,-0.473379922662282,0.841486505288994,0.715197445037061,-0.312285577915505,-0.482555580968005,-0.458000595615093,0.0510908969617307,-0.264375444603993,-0.365492805735089,0.56425854034039,0.395144713232792,-0.436564745541455
"gerM",-0.359605929971272,1,-0.434757135225978,0.0162416951301874,0.329282515044137,0.0589332597245363,-0.215790234606768,0.628389658819769,0.980713676020878,-0.552630542367748,0.927463467411134,0.972311566913987,0.973940059913717,0.964057812988299,0.966982567908178,0.956950615770617,0.980040797759722,0.978578415243542,0.982519413045234,0.950561682843661,0.976251982916035,0.951922927002577,0.934547607853347,0.962540178594123,0.513550507182674,0.907142319930726,0.916416158640476,0.911148381524649,0.709156225519044,-0.462690105596307,-0.667128142603607,0.877626231146308,0.9359187803014,0.951528200391953,0.72679373427432,0.940988867234282,0.984218090593021,-0.439616154916571,-0.432672890903262,0.888541109629366
"ispG",0.670011129066587,-0.434757135225978,1,0.16149450164486,-0.216253683609173,0.103778690833429,0.511645196510651,-0.59425449017656,-0.457869085460852,0.531421616464205,-0.376063325316867,-0.408601639246032,-0.421533359593063,-0.416987090183832,-0.400318777826994,-0.377694669025191,-0.421513227021676,-0.421314262814188,-0.424569226647297,-0.517725460012677,-0.393895415699049,-0.325799787570418,-0.30171511323911,-0.42349717134061,-0.159318349989068,-0.230145561907399,-0.57464241335814,-0.532852309604611,-0.529016696081688,0.821543314445621,0.797590488729048,-0.291601103129004,-0.536697532648294,-0.532695091811422,0.14221465802177,-0.357665146668957,-0.447698974059028,0.458035874025758,0.278049670441207,-0.556971933071233
"mraY",-0.276464294444783,0.0162416951301874,0.16149450164486,1,-0.260902116584274,0.971433360317997,0.75548044470393,0.421121074026908,-0.0652418728618926,0.430245991137655,-0.0758154039138319,-0.0423472669927107,-0.0270555046381484,-0.000717918334325766,0.00561996329422596,-0.014639441302906,-0.0759365269019057,-0.0780158418036833,-0.047066975212346,0.0336417308350423,0.00279363607681736,0.129293293942071,0.107064522813753,0.0349575788174548,0.68515821788613,0.081952842001215,0.00155373412140163,-0.072222376700537,0.240710482508577,0.0421193688768644,0.22039570821451,0.255299417152643,0.132283611693676,0.0814791461091202,0.121422720422549,-0.0641277257296506,-0.0144510861367608,-0.515243554808424,-0.538929280062421,0.0859765285140636
"murB",0.291897980116508,0.329282515044137,-0.216253683609173,-0.260902116584274,1,-0.253940903067325,-0.219881590112015,0.224275922271685,0.331234514599591,-0.384016391160749,0.266562118992001,0.326198314279593,0.309968853572038,0.291443136733422,0.289843292696292,0.289532777531882,0.345637974176862,0.333356769276779,0.309128199540697,0.328316276261191,0.320973323560852,0.268193150001051,0.194526953558435,0.310016530467143,0.0179336117889973,0.228090772001936,0.289666291546561,0.243792667198888,0.155400929097002,-0.0749511270374931,-0.16589202302004,0.232400680432085,0.254381408648369,0.306533577736281,0.0963939537992755,0.291656800007924,0.316807503364633,0.0476174553025289,6.11530760947332e-05,0.331606940467628
"murD",-0.335535266949038,0.0589332597245363,0.103778690833429,0.971433360317997,-0.253940903067325,1,0.716503452776169,0.477113914107056,-0.00356070553208735,0.346315737913835,-0.0423572155965468,-0.00474651917887306,0.0130688691960703,0.0334090478306208,0.0376275834815043,0.0167014974008021,-0.0359465593322995,-0.0350284080259717,0.00639172474571399,0.0910321035557154,0.0438862366337666,0.157508628101375,0.146134047821565,0.0854255108333227,0.692149508093616,0.0871704277227812,0.081405102406353,-0.00463122429961964,0.264732169149802,-0.0228913727111027,0.147314750634558,0.271775960728216,0.184845924689022,0.133787719425668,0.110128522244189,-0.0381729268636003,0.0212425131367533,-0.524895117961836,-0.52950459893102,0.150889244189998
"murE",0.219885229663985,-0.215790234606768,0.511645196510651,0.75548044470393,-0.219881590112015,0.716503452776169,1,-0.0743631839298923,-0.285051829112803,0.750352433682952,-0.318178017890952,-0.26042792991747,-0.258866123681327,-0.248470006713156,-0.230625497700323,-0.24907149069029,-0.282808602609265,-0.28247251433014,-0.267022742780906,-0.278510372589819,-0.23992896071824,-0.138585836895812,-0.121482782884919,-0.238207484327424,0.238045361039123,-0.108951870265261,-0.379691579342356,-0.437613817695237,-0.0944419278596543,0.494977753826587,0.615096805679107,-0.00323857186579908,-0.189954062072107,-0.24053084989062,0.142374380653344,-0.255042553322452,-0.287291926617154,-0.195077638461792,-0.334835109364494,-0.264798640772739
"murG",-0.606484112482071,0.628389658819769,-0.59425449017656,0.421121074026908,0.224275922271685,0.477113914107056,-0.0743631839298923,1,0.616285495316794,-0.380342631886972,0.572136836785835,0.618790475569265,0.633089867494026,0.646139932911454,0.635672067133936,0.620699475997909,0.58623981963267,0.582997032581883,0.589388685365299,0.682119906920864,0.644457621241428,0.667083308814234,0.60099655557185,0.681670644484425,0.803851516004277,0.550489589431222,0.701765034323464,0.625416191772044,0.695470316736625,-0.648716342225666,-0.598052171016477,0.698382931663092,0.702707554706544,0.710265414932123,0.279512645022213,0.584296564140162,0.632798345200718,-0.588638098422406,-0.460594542904841,0.708245976516995
"pdaB",-0.344970933054883,0.980713676020878,-0.457869085460852,-0.0652418728618926,0.331234514599591,-0.00356070553208735,-0.285051829112803,0.616285495316794,1,-0.597251594463649,0.916372001299957,0.961507157960746,0.961142556812312,0.948230052513804,0.94949335514074,0.950495133798902,0.977455991624912,0.97423779910532,0.982077776992217,0.943049408354374,0.967844236580989,0.92887369658128,0.940923402168312,0.957368967163381,0.471500826750891,0.898423586456413,0.92725005112127,0.919318804658179,0.672957384306563,-0.467858551083456,-0.681151978496025,0.845192936766667,0.922728056898023,0.938282794791107,0.707933166198829,0.93468273609752,0.97264960745241,-0.376143314370398,-0.362483730038521,0.883308028386148
"sbp",0.388879284703817,-0.552630542367748,0.531421616464205,0.430245991137655,-0.384016391160749,0.346315737913835,0.750352433682952,-0.380342631886972,-0.597251594463649,1,-0.573142489687414,-0.557727330540361,-0.546385632504145,-0.533201922408202,-0.51920667198131,-0.522782271821652,-0.571598950923707,-0.574899007391974,-0.596569664238496,-0.623373077714518,-0.5608328616613,-0.468392392667481,-0.454628360696124,-0.573704712761652,-0.0535347236308504,-0.353436837198844,-0.713032221674992,-0.678571328656622,-0.342330759884446,0.627705428000399,0.798092345151361,-0.326239834748525,-0.506454156643106,-0.544227919217369,-0.105169934098385,-0.507587612538924,-0.591838452531035,-0.0374951815829496,-0.141273476837275,-0.605850035764546
