"","dnaJ","hrcA","dnaK","groEL","groES","grpE","yqeT","yqeU","yqeV","pval","z","inv_cof_var"
"GSM672549",13.97082379,14.33275836,15.28884089,15.68968439,15.70693346,15.61343941,13.75962305,13.54539665,13.39298996,0.429114813798867,0.178628228796958,14.9133409935718
"GSM672558",14.14266803,13.51044907,15.17188364,15.30855836,15.64881152,15.58130781,14.00014721,13.57959368,13.38265911,0.386227824512547,0.289164301090865,15.4329707898552
"GSM672559",14.04023532,13.92420948,15.15962193,15.12307993,15.74199963,15.30189331,13.7109197,12.9632026,13.19436877,0.479592181146185,0.0511771466691601,14.3141937788411
"GSM672560",14.08497249,14.23157435,15.11720743,15.15316729,15.65681413,15.190129,13.91563829,13.4593829,13.6561342,0.182545569543257,0.905706655050569,18.3313348364471
"GSM672563",13.26519851,13.31923978,13.98711561,11.9083223,11.89411264,13.3702461,13.48023494,13.59952639,13.42601599,0.206085670184036,0.820078530762247,17.9287972407403
"GSM672564",12.85326877,13.11699257,13.8692948,12.29315279,12.21777212,13.38884164,12.8811052,13.07797286,12.83902974,0.0079020779525377,2.41340710728482,25.4190308490909
"GSM672565",12.89544572,13.19072825,14.64045799,13.45721859,13.88999294,14.44320929,12.91991375,12.55092639,12.64033755,0.233578813057849,0.727111546315776,17.4917596819916
"GSM672567",13.46367286,13.85909405,15.10605167,14.82197844,15.36026208,14.92148885,13.10592714,12.79503234,13.14508736,0.48951563752219,0.0262834252939684,14.1971684576181
"GSM672568",13.44308773,13.87415316,14.98879926,15.03851413,15.30189331,14.64878104,12.95834721,12.82942007,13.16242175,0.476876394893434,0.0579947758570038,14.3462434364099
"GSM672584",10.96685353,12.31733383,12.74445799,12.38124796,12.48356283,12.20774981,11.34575651,11.22259814,11.4285632,0.188991284343323,0.881619569719223,18.2181015092261
"GSM672586",11.05172937,12.32301375,12.87947621,12.99596394,13.24083643,12.2758855,11.53286245,11.31335911,11.57396654,0.405689250647836,0.238648052072341,15.1954940309859
"GSM672587",10.90037918,12.33601004,12.85502825,12.46005688,12.5494855,12.29315279,11.25937026,11.24358141,11.25331078,0.31539454701783,0.480616489128529,16.3329870415951
"GSM672589",11.00662714,12.22466394,12.71656803,13.04114164,13.25773792,12.42567472,11.38266952,11.28802677,11.57041264,0.441950636920485,0.146025480066714,14.7600755542505
"GSM672590",11.40767807,12.35341599,12.9736632,13.23891599,13.16773011,12.34201004,11.61507807,11.51852045,11.88011524,0.262260341264309,0.636392416399187,17.0652892817025
"GSM672591",11.41400037,12.06628662,12.90509033,13.15971115,13.28644796,12.49575204,11.68223941,11.64738439,11.72477063,0.255278536981039,0.657970520710574,17.1667278954946
"GSM672592",11.41278104,12.01517881,12.93070688,13.18166543,13.21045353,12.25782677,11.67127007,11.66334796,11.73846877,0.238797480824359,0.710176064721985,17.4121460258528
"GSM672596",10.91210632,12.26584201,12.91142379,13.19629331,12.94463234,12.43328327,11.33991747,11.2112526,11.56802119,0.486789334177796,0.0331202827133696,14.2293085070548
"GSM672598",14.45026283,14.5439829,15.4060026,15.21045093,15.42020595,15.39060186,14.28199294,14.09313569,14.26634535,0.00435058647675106,2.62357717616922,26.4070398113496
"GSM672599",14.27576691,14.34210483,15.32970632,15.29518476,15.32246357,15.26197249,14.34591822,13.94112825,14.20445688,0.00863886513332468,2.38074366162343,25.2654800736498
"GSM672600",14.26946022,14.52939071,15.52257435,15.47494981,15.65681413,15.4277855,14.23797286,13.90293309,13.84343978,0.114883581763743,1.20095885137447,19.7193146646074
"GSM672601",14.46409554,14.63629591,15.45858439,15.34516989,15.63961115,15.60525576,14.44658587,14.19849442,14.177971,0.0157643489806,2.15033535213831,24.1823311935141
"GSM672602",14.26946022,14.64878104,15.68112788,15.39813309,15.59743048,15.73282862,14.39460335,13.97367398,14.05076654,0.0954085861834617,1.30816552550544,20.2232929685476
"GSM672603",14.25115204,14.50400372,15.39060186,15.09480297,15.42020595,15.24369703,14.42909851,14.13440409,14.19217844,0.00237100956060762,2.82405537530871,27.3494873184505
"GSM672604",14.25115204,14.40846283,15.49114684,15.11720743,15.25573643,15.31526691,14.40126208,14.177971,14.2410829,0.00244728796621269,2.81389140925862,27.301706539756
"GSM672605",13.96540669,14.37361413,15.25573643,15.04970037,15.31526691,15.190129,14.24609498,13.79624275,14.11600446,0.0171487051819656,2.11655761715276,24.0235421467784
"GSM672606",13.83360706,12.84824535,14.5076632,13.17062045,13.04114164,14.12176357,14.19849442,14.16922491,14.26004424,0.0354377984759502,1.80627370556521,22.5648982631823
"GSM672607",13.77175465,12.75065836,14.5149171,13.3970368,13.15065688,14.20152714,14.24770112,14.18104015,14.26634535,0.029888623748795,1.88243300993946,22.9229229604219
"GSM672612",11.34212082,11.35290967,11.99907435,12.31318253,12.05938885,11.37323197,11.50542677,11.35768476,11.73237063,0.000105006758825394,3.70665645440661,31.4985927589955
"GSM672613",11.08267416,11.30483197,12.10452751,13.01521004,12.03685651,11.29765019,11.37447026,11.50287249,11.8646974,0.120312143884107,1.1734278165873,19.589891339705
"GSM672614",11.00720223,11.14697993,12.06628662,12.42219647,11.93482268,11.46098476,11.13479888,11.23992454,11.64227658,0.0211000914027097,2.03154062522461,23.623877482751
"GSM672615",11.12277175,11.5662119,12.13914164,12.65748922,12.14299442,11.17905353,11.59268067,11.28562714,11.90566059,0.0338729416563505,1.82669338571021,22.660891127898
"GSM672617",11.2080881,11.8179803,12.50036468,13.34507323,11.84121078,11.27618439,11.11013494,11.35697063,11.76055242,0.315586839075366,0.48007554281441,16.3304440543406
"GSM672624",13.46367286,13.45315651,14.78475056,14.58155874,15.17796914,14.99943048,13.3970368,13.19629331,12.91991375,0.339019259851085,0.415141228306536,16.0251880060724
"GSM672625",13.42404535,13.32318773,14.8030119,14.51807323,15.26837881,14.77223197,13.35631375,13.19072825,12.82796729,0.365892517430313,0.342752005875213,15.6848864545112
"GSM672626",13.38265911,13.48916357,14.86847249,14.66569628,15.28264684,14.75811599,13.36832156,13.23309777,12.87633978,0.360207821566723,0.357903350667636,15.7561128880593
"GSM672634",13.30389257,13.06050818,14.82635502,14.48566134,15.01087881,14.65334089,13.29444201,12.91816022,12.82483383,0.393683633202222,0.269730926205988,15.3416145436727
"GSM672635",12.96858699,13.11975465,14.66175056,14.50030743,15.04970037,14.62074498,13.29824572,12.87134275,12.87794796,0.406382101759854,0.236861545312402,15.1870956672259
"GSM672636",13.11002677,13.32734535,14.52939071,14.69906245,15.28884089,14.55794833,13.24083643,13.0185829,12.88760223,0.397730884982007,0.259224835426831,15.2922254374921
"GSM672637",13.28452677,13.02354647,14.65737807,14.52939071,15.33721524,14.52588253,13.54539665,13.21777212,13.04989703,0.324569234060491,0.454959371664952,16.2123729972914
"GSM672638",13.25970781,13.14508736,14.7149948,14.49293792,15.15962193,14.70303309,13.49877379,13.12605204,12.9397052,0.328140381417189,0.445053955205056,16.1658076595664
"GSM672639",13.00110632,12.6938881,14.26634535,14.51807323,15.01592007,14.24770112,13.28452677,12.98724424,12.93148625,0.33539315549256,0.425069088639364,16.0718588523873
"GSM672641",12.90368476,12.92314349,14.47120892,14.43247509,14.961471,14.49691561,13.18883978,12.76461152,12.65138587,0.438948530907384,0.153635604587823,14.7958507303766
"GSM672645",13.17687955,12.79503234,14.26004424,14.27227695,14.9356,14.36337323,13.21222714,13.15597175,12.84075093,0.242767562653262,0.69742777366818,17.3522163418521
"GSM672655",12.73028625,12.73666097,14.29121375,14.54790446,14.98346506,13.93621227,13.16149219,12.89065985,12.70469665,0.407471804566305,0.234053288482557,15.1738940589715
"GSM672656",13.1395539,13.15065688,14.72779442,15.0717881,15.10096468,14.42209108,12.91816022,12.94134015,12.97208327,0.491170578398397,0.0221338849668209,14.1776614790353
"GSM672657",13.73361487,13.68668848,14.9261052,14.8074855,15.17796914,14.98879926,13.59734461,13.34118773,13.31923978,0.187206754597971,0.888236573772188,18.2492080285432
"GSM672659",13.66069851,13.4593829,15.04395688,14.7149948,15.20407138,15.23706097,13.01151115,12.89381004,13.17780409,0.490901579769671,0.0228083348086871,14.1808320660361
"GSM672660",12.46005688,12.55092639,14.15158996,14.01974312,14.19849442,14.10461152,12.58472156,12.39295911,12.06844368,0.469770079671048,0.0758478344149855,14.4301706195366
