"","etfA","ccpA","fadR","etfB","exuR","exuT","fadB","kdgA","kdgR","kdgK","kdgT","kduD","kduI","lcfA","lcfB","nagA","nagR","nagB","pchR","rhaA","rhaR","rhaB","rhaEW","rhaM","uxaA","uxaB","uxaC","uxuA","yjmB","yjmC","yjmD","yjmF","yvmA","pval","z","inv_cof_var"
"GSM672549",10.79800781,13.46152045,11.72348773,11.39101301,9.963064312,7.825569888,11.56554647,9.461452788,10.1489197,9.871837546,9.675759108,10.00255502,10.24135167,10.34696877,9.50463829,11.45513903,10.72760855,11.36849442,9.662597398,8.462952416,10.48220409,9.737092193,10.45966691,8.950156134,8.283497026,8.332564684,9.61009368,7.900626766,7.687710037,7.789472491,7.838004647,7.883198141,9.464062082,0.0308737955560543,1.86810389243732,7.74218939768072
"GSM672550",10.74571152,12.87714387,11.49827212,11.4562539,10.22882435,7.65925316,11.49708959,9.323555762,9.996260595,9.739531599,9.58410632,10.15506803,10.34093643,10.41887398,9.321043123,11.6386974,10.80522639,11.54819108,9.64251487,8.231637918,10.08658401,9.615347955,9.842369888,8.329036803,8.238844238,8.214330483,9.406495911,7.837495167,7.543907063,7.670738662,7.816307063,7.818830483,9.455064684,0.0874394501843403,1.35669261378348,7.35204112093628
"GSM672551",10.77818476,12.64667732,11.62612305,11.35825762,9.995141264,7.61314684,11.61937045,9.383746097,10.04106729,9.810822305,9.572453532,10.0650948,10.37205093,10.41393086,9.276272862,11.58256431,10.94041004,11.64227658,9.723099628,7.992124907,10.01761338,9.591734201,9.645053532,8.006855762,8.274050558,8.392362082,9.446366171,7.697784201,7.433513383,7.545562825,7.72549145,7.667759108,9.601017844,0.170142434546339,0.953602540922689,7.04452952730583
"GSM672553",10.85440372,12.68798067,11.50352342,11.53991375,10.82642677,7.413969517,11.66145502,10.04221636,10.52265576,10.32731338,10.21271413,11.01195019,11.1695632,12.28742007,9.132736059,12.2190777,11.31335911,12.36217918,9.652842007,9.402522677,10.38485409,10.00255502,9.815632714,9.966738662,8.177703717,8.079886245,8.213793866,7.716571004,7.754774349,7.586030483,7.668779182,7.506061338,9.654058736,0.477766477415072,0.0557600575985378,6.35957846682293
"GSM672558",10.1266829,13.25572045,11.28929814,10.89479591,10.20527881,7.500678067,11.13001301,8.755100372,9.893404089,9.508453903,9.10020223,9.852501115,10.60737249,9.587906691,8.950156134,11.59151078,10.93087398,11.68608067,10.3081487,7.914788104,10.2305684,9.730392007,9.897079554,8.317332714,8.302290706,8.568848327,8.064017472,7.383236059,7.108245353,7.19202974,7.287647584,7.400432342,10.03721264,0.310543020945757,0.494311730534265,6.69414320287968
"GSM672559",9.780388104,13.11192862,11.16270446,10.65907881,10.26231375,7.385176952,10.89157584,8.127392193,9.777935316,9.059653903,8.79387881,10.17127509,10.46318996,9.2522,9.02775539,11.70737026,10.90736766,11.57396654,10.02511822,7.369321561,10.1033316,9.427001859,9.223396654,7.458304089,8.335963569,8.301184758,7.868662639,7.446739777,7.005772862,7.280977695,7.341880669,7.388077695,9.799172862,0.429267795145801,0.178238608066388,6.45301558367528
"GSM672560",10.0326223,13.30210743,11.18252342,10.82065651,10.12423866,7.412204089,10.99196914,8.649103346,10.04106729,9.530714498,8.968894424,10.19692082,10.50936506,9.552804833,9.133810409,11.57750409,10.89328476,11.61633606,10.3261487,7.860385502,10.25749294,9.638676208,9.871837546,8.214330483,8.434796283,8.318478067,8.190704833,7.499842751,7.108245353,7.196527138,7.357145725,7.438816357,10.10964312,0.274148667397066,0.600313482789496,6.77501040839601
"GSM672569",10.51055874,12.87464238,11.35058922,11.21533234,9.992781041,7.497289219,11.29765019,9.337545725,10.22197119,9.780388104,9.372447955,10.51658141,10.50936506,11.77836766,8.839163941,10.80887472,10.19443086,11.06212491,8.357856506,8.845825279,9.694850186,9.641176952,8.995263569,9.685733457,7.657518959,7.643193309,7.617939777,7.640334201,7.707991078,7.600063197,7.610263941,7.506061338,8.281063941,0.271139923487457,0.609369051223345,6.78191877073934
"GSM672570",10.80032714,12.74603086,11.32697918,11.59011673,9.965484758,7.533924535,11.5350052,9.180263569,10.05039331,9.762339033,9.373756506,10.33593941,10.50714535,11.9406987,9.096666171,10.78767732,10.50502379,11.08918216,8.345705204,9.184917472,9.894642379,9.857714498,9.190962082,9.951659108,7.615569331,7.592651673,7.697311524,7.713698885,7.753662454,7.574069517,7.575073978,7.560428996,8.25673829,0.336759326719174,0.421323799838396,6.63846176492021
"GSM672571",10.81364758,12.4547881,11.62122007,11.36849442,9.940048699,7.55290223,11.5763197,9.305324535,10.17985465,9.888286245,9.309149814,10.17371152,10.36110929,11.73589108,9.101403346,10.81242528,10.10699257,10.87672565,8.439837918,8.993447584,9.931396283,9.938826022,9.354954647,10.13052454,7.632760595,7.670251115,7.759936803,7.733788104,7.762834201,7.704079926,7.806252045,7.71755316,8.179828996,0.227980416301027,0.745514361280623,6.88578206105531
