"","etfA","fadR","etfB","exuR","exuT","fadB","kdgA","kdgR","kdgK","kdgT","kduD","kduI","lcfA","lcfB","nagA","nagR","nagB","pchR","rhaA","rhaR","rhaB","rhaEW","rhaM","uxaA","uxaB","uxaC","uxuA","yjmB","yjmC","yjmD","yjmF","yvmA","ccpA"
"etfA",1,0.901804471607159,0.962146832876923,-0.171089060990054,0.606862502887137,0.945025959619091,0.739867931419753,0.0937789575650667,0.386810602127246,0.755406847310316,-0.0622880445985038,-0.0723043035313948,0.714295866090294,0.850271864803657,0.280707166155288,0.243828065740393,0.329429187685101,0.159862103433592,0.829887664695278,0.412932275149258,0.549543609459018,0.600743369110388,0.808888820080254,0.375903085578658,0.379277933503252,0.696880399839554,0.61174025126765,0.764417551904758,0.549618472256355,0.593103416421513,0.585389335471463,0.206167957094486,-0.0955167727044618
"fadR",0.901804471607159,1,0.942781174344215,-0.103005184263523,0.695208507137757,0.958960986993597,0.624847385593778,0.13444487876209,0.316113353131826,0.626793170859025,-0.0882824846923984,-0.0763508446882507,0.7702560081299,0.78827883466749,0.242173644526587,0.211534760053858,0.308778760846297,0.187681574243223,0.820902055889037,0.397157007237113,0.536303268433762,0.524153891907341,0.80231987088688,0.319129196516077,0.32315351134266,0.61822217336453,0.702388329131069,0.713256026839599,0.674683788151736,0.693859445295423,0.668454690064652,0.198082188114174,-0.275306714579574
"etfB",0.962146832876923,0.942781174344215,1,-0.0830615429577436,0.651231940946626,0.972018013897515,0.712132285638962,0.151258771353597,0.396779006249008,0.724547084291581,-0.0543120893263835,-0.0638760137164524,0.767660615142595,0.83982696906823,0.29262186173595,0.235972908637284,0.336508684263005,0.163149735927145,0.85489272545199,0.432287006731833,0.575371376238124,0.579705408032608,0.82438875064266,0.342880702707243,0.350544748806779,0.674538248321053,0.661651729097929,0.773486450522177,0.616895206660827,0.650179483588993,0.625197101343419,0.193088429972479,-0.165749878511076
"exuR",-0.171089060990054,-0.103005184263523,-0.0830615429577436,1,-0.0342112441704911,-0.0960884337927513,0.0256700725340682,0.441947904790309,0.29457056620635,0.0562384193315128,0.285809374369491,0.301872227992755,0.0151513285204742,0.0214676301393566,0.263879493360621,0.239678935026713,0.200126302289575,-0.109817360943876,-0.129808254006716,-0.00417272403083672,0.00795025536799241,-0.15823703532226,-0.188948422011008,-0.193724264392989,-0.194381051090404,-0.121475746446986,-0.0251957456180622,-0.0472610944206521,0.00587675492204752,0.0161670509407967,-0.0369474295244583,-0.116277774462109,-0.0563872432405081
"exuT",0.606862502887137,0.695208507137757,0.651231940946626,-0.0342112441704911,1,0.644741288728667,0.393462805270539,0.0740019586602972,0.16355301187956,0.366947643955916,0.016874702877603,0.011298100475345,0.719523095546739,0.457664422125376,0.188027014903213,0.170611392921994,0.267336050333722,0.272795708811059,0.631909535668589,0.270808831385077,0.468592174940748,0.227717677131094,0.622313228670845,0.159778662049819,0.0951930922500956,0.298887289451468,0.971513920741297,0.44195497986871,0.90577617507746,0.924452179569675,0.971584661788879,0.262553035150406,-0.37170317776315
"fadB",0.945025959619091,0.958960986993597,0.972018013897515,-0.0960884337927513,0.644741288728667,1,0.681224564965219,0.190564803287874,0.407619142279837,0.687962552598692,-0.026066767425798,-0.0475993060136759,0.744599551107997,0.838747841068055,0.273918901534198,0.212061458515076,0.311153260959164,0.142387055691507,0.825976279942155,0.40224080732094,0.53350904960612,0.565506672047286,0.798136894881094,0.325096939522223,0.318923873106553,0.659003875658898,0.657645050019713,0.757227516190191,0.629400095230703,0.663497191753317,0.627707363810823,0.166575831846177,-0.171714972932977
"kdgA",0.739867931419753,0.624847385593778,0.712132285638962,0.0256700725340682,0.393462805270539,0.681224564965219,1,0.555084425220852,0.797637095754057,0.968913156374672,0.255213467624212,0.325890779279377,0.576720817572844,0.790651782590487,0.474834948258493,0.401119864282928,0.485139280619495,0.119644022456531,0.728163632042567,0.544553771935569,0.653098534260978,0.61808408736066,0.685038679681732,0.295572970609306,0.337150502760771,0.664347502972074,0.370972537264079,0.728806874669969,0.269447632229532,0.33421789745048,0.333340686119274,0.175130440909538,0.0171961162709714
"kdgR",0.0937789575650667,0.13444487876209,0.151258771353597,0.441947904790309,0.0740019586602972,0.190564803287874,0.555084425220852,1,0.905540310468894,0.486896399511379,0.757838908889185,0.795239802295648,0.182797184430951,0.348708989467491,0.279687266640343,0.173748605575873,0.228904340273703,-0.150178189404474,0.176033430387951,0.136543407414883,0.225848151449564,0.11123368396244,0.109551688207465,-0.273962022835205,-0.254435228158521,0.0842245127987191,0.0718693392195167,0.233702756175734,0.0937949476052245,0.122818901129254,0.050965603847046,-0.162849318367495,-0.0668264698216563
"kdgK",0.386810602127246,0.316113353131826,0.396779006249008,0.29457056620635,0.16355301187956,0.407619142279837,0.797637095754057,0.905540310468894,1,0.738702164902521,0.657495862148677,0.699001408574294,0.3194089063384,0.580063006850217,0.384844289768907,0.273115922975101,0.33616070716119,-0.0721013088026733,0.39941591080539,0.288230748910727,0.392290554454242,0.346878548771878,0.34125843031948,-0.0577057901379133,-0.033642440815521,0.346371815834726,0.158319331623579,0.475860848883724,0.132559122052602,0.18786992123563,0.136883410567467,-0.0531763727623576,0.0575593185428079
"kdgT",0.755406847310316,0.626793170859025,0.724547084291581,0.0562384193315128,0.366947643955916,0.687962552598692,0.968913156374672,0.486896399511379,0.738702164902521,1,0.153497346243075,0.219604096554558,0.532054908058116,0.8286092269922,0.516222425127992,0.445396516019555,0.522954365860567,0.148067206953476,0.724288394196949,0.601981512145025,0.672889557017868,0.668851982599556,0.675479120204965,0.37746363360614,0.412086691070057,0.710139472016339,0.338803902117614,0.735530106132712,0.227244144028611,0.29493722583536,0.3017914821118,0.212079526943918,0.0620054748972789
"kduD",-0.0622880445985038,-0.0882824846923984,-0.0543120893263835,0.285809374369491,0.016874702877603,-0.026066767425798,0.255213467624212,0.757838908889185,0.657495862148677,0.153497346243075,1,0.934497682800291,0.0390224130709441,0.066282568133669,0.0336306246326924,-0.0716225609252504,0.0183304415868681,-0.217827616913886,-0.0395012865727784,-0.259986922900457,-0.119006212486624,-0.187844230499646,-0.110463922539084,-0.486192345766491,-0.527098629127153,-0.221648159448682,0.0306477005865067,-0.000650343893745737,0.0978592180526214,0.109538322587515,0.0401105429536657,-0.214939496240793,-0.150381830010516
"kduI",-0.0723043035313948,-0.0763508446882507,-0.0638760137164524,0.301872227992755,0.011298100475345,-0.0475993060136759,0.325890779279377,0.795239802295648,0.699001408574294,0.219604096554558,0.934497682800291,1,0.0310493922894928,0.0888203973730935,0.0944607893515365,0.0270349752442813,0.0898205579480784,-0.206186095855832,-0.0453148380800458,-0.175200019306313,-0.0606992661424584,-0.165453222466431,-0.120927488343158,-0.423198716043867,-0.449372931085543,-0.192651200216938,0.00370517129332709,-0.0199800998463682,0.0495971193351866,0.0669235323243047,0.0153376411282529,-0.198953936401564,-0.196511243302699
"lcfA",0.714295866090294,0.7702560081299,0.767660615142595,0.0151513285204742,0.719523095546739,0.744599551107997,0.576720817572844,0.182797184430951,0.3194089063384,0.532054908058116,0.0390224130709441,0.0310493922894928,1,0.558588519258582,0.0274048246822886,-0.0100219870560122,0.129182255347149,-0.0313658154474875,0.790403136413061,0.265924310930855,0.546093119458616,0.203490271896871,0.793039061418189,0.0299324456419157,0.0664199045207369,0.327691662245629,0.741528230875274,0.599776154397069,0.705278219104095,0.711236745895752,0.69958222218722,-0.0263305730880757,-0.500164665999339
"lcfB",0.850271864803657,0.78827883466749,0.83982696906823,0.0214676301393566,0.457664422125376,0.838747841068055,0.790651782590487,0.348708989467491,0.580063006850217,0.8286092269922,0.066282568133669,0.0888203973730935,0.558588519258582,1,0.462407218287213,0.407191087816237,0.483544083583174,0.243983913731054,0.786956274772004,0.593175757590493,0.65865763092192,0.690795730528203,0.728796523812616,0.450291836585927,0.436234464405545,0.741545018250369,0.438441649244743,0.793001260278985,0.332454953719056,0.401630605543408,0.424387572043821,0.292699143250699,0.0344902339990534
