"","fabF","fapR","fabHA","fabHB","fabI","plsC","yhdN","pval","z","inv_cof_var"
"GSM672552",12.05938885,13.41359628,11.95744758,8.908124535,13.56651933,12.39750149,10.36471933,0.334599728520484,0.42724696499002,7.00004601861103
"GSM672566",14.56330743,15.23706097,14.5149171,13.38265911,14.72779442,14.01974312,12.41567323,4.35126049613982e-10,6.13155322493227,15.6211802062064
"GSM672567",14.52209926,14.88252156,14.21655688,12.40349591,14.46059071,13.2786855,11.74211264,0.000312857033517793,3.42021610820161,11.5234336887571
"GSM672568",14.56695242,15.02706357,14.19545279,12.92314349,14.53674944,13.59952639,12.05615409,6.87210465964113e-07,4.82867851004901,13.6520962835022
"GSM672573",13.55989331,14.28199294,13.38884164,10.1464539,14.00869331,12.29753643,9.561186059,0.471986184492923,0.0702780297455762,6.4605453411743
"GSM672574",13.4593829,14.04280037,13.14322714,9.937569888,14.41200297,12.35341599,9.898328625,0.470868204911469,0.0730875990087367,6.46479154965668
"GSM672577",12.79137658,12.36000818,12.37832454,8.799050186,12.96858699,10.51839721,10.85929926,0.331965081288142,0.434493432966681,7.01099788023382
"GSM672579",12.73823494,13.40092937,12.29611413,8.79387881,13.14508736,11.26915056,10.15378364,0.380981536815968,0.302903933456867,6.8121216836805
"GSM672580",12.56927323,12.97545799,12.24317175,8.786026394,13.00624349,11.06445836,10.2214171,0.327169930258554,0.447741370856152,7.03101999073236
"GSM672581",12.23849145,12.91651264,11.95551989,8.42054461,12.64033755,11.08451636,9.702426022,0.408729890585646,0.230813386396742,6.70316850838784
"GSM672582",12.05938885,12.93148625,11.89681338,8.150184387,12.27727844,10.77135019,9.82355539,0.401490660213096,0.249490588044697,6.73139607092012
"GSM672583",11.9506539,13.06752156,11.96003271,8.361323792,12.43023309,10.89382342,9.645053532,0.370512912440681,0.330495192102894,6.8538213983088
"GSM672584",11.75807658,13.02672268,11.87429182,8.745671004,12.60668736,10.93447918,9.299801673,0.316286832752972,0.478107540382838,7.07691353331636
"GSM672586",11.61507807,13.08133792,11.71712751,9.194586989,12.80753569,11.02024349,9.076839777,0.259089322957205,0.646155514611068,7.33089080412822
"GSM672587",11.85426952,12.95571914,11.92018364,8.236467658,12.25859294,10.62021264,9.126190335,0.481912414106004,0.0453543985870887,6.42287731304469
"GSM672589",11.69607844,12.90971413,11.86596059,9.148342379,12.5077974,11.05639108,9.023406506,0.24095541857179,0.703232550301575,7.41715349082397
"GSM672611",14.33275836,14.82635502,14.08764126,10.04106729,14.28505874,13.03222825,10.57917807,0.444057128220753,0.140690745441064,6.56696274635233
"GSM672612",12.98028141,14.98879926,12.94463234,8.534192193,13.2953645,12.83902974,13.14322714,0.421191076540846,0.19884735316885,6.65485703117315
"GSM672613",13.00986097,14.5931777,12.76934647,8.278822677,12.75695279,12.60447639,12.76461152,0.453964815654758,0.11565038249918,6.52911829705548
"GSM672615",12.80753569,14.83115242,12.78510967,8.38646803,12.91569963,12.51518699,12.71507175,0.401143691706959,0.250387903423696,6.7327522176518
"GSM672616",14.13102342,14.8536461,13.62670483,11.92944684,14.02859517,13.27297993,14.37361413,1.97440036032633e-09,5.88632390269525,15.2505558397371
"GSM672617",14.35301933,15.24369703,14.1456342,12.1883777,14.01120595,13.05331524,14.46573141,1.62856609835095e-09,5.91808420118126,15.298556382241
"GSM672618",13.59499257,13.14143123,12.86961896,10.70714721,13.79092788,10.86867993,10.8155355,0.105917141967905,1.24853750113741,8.24129352470137
"GSM672619",13.45315651,13.15417807,12.94290967,10.96575651,13.93093309,11.02599331,10.76070037,0.0709317712926298,1.46888662647528,8.574315506883
"GSM672620",12.82796729,13.03222825,12.68047472,8.753835688,13.2904829,11.81669368,12.86961896,0.296633633403281,0.534107347180063,7.16154816316934
"GSM672621",12.99076729,12.7906119,12.62922844,8.731679926,12.9139684,11.99907435,12.88356729,0.271889868530375,0.60710725306747,7.2718756869134
"GSM672624",13.83859442,14.19849442,13.74743383,9.499448699,13.77427435,12.06628662,12.38049331,0.23266539464893,0.730097172911759,7.45775501287897
"GSM672625",13.78840558,14.2410829,13.84591078,9.414117472,13.72616989,12.08414498,12.39153123,0.261109575533742,0.639928397386715,7.32147952592073
"GSM672629",14.42909851,14.8030119,14.33589145,10.57109665,14.36337323,12.52980595,11.45513903,0.188541634914122,0.883283215991504,7.68927088402552
"GSM672630",11.86338253,13.17780409,11.545929,7.446739777,11.91238699,11.28802677,11.44062416,0.498886396566756,0.00279139347752281,6.35855023070451
"GSM672635",14.3002197,14.6741539,14.40126208,10.81430985,14.72338401,13.03040297,10.21896468,0.433093957937937,0.168502577800369,6.60899582239108
"GSM672636",14.04280037,14.5931777,14.16637026,10.17617398,14.26946022,12.55718141,10.09255093,0.498524221578903,0.00369923635433549,6.35992228804253
