"","fabL","spoVT","yfhP","sspE","pval","z","inv_cof_var"
"GSM672549",13.1633513,11.99639963,10.59594424,14.28505874,0.0747980940234944,1.44095927644878,17.3030472830535
"GSM672550",12.90509033,11.80505465,10.77135019,14.11600446,0.135516246871228,1.10068794712752,15.7788226990906
"GSM672551",13.05860929,11.96963309,10.5558368,14.23797286,0.109012625675228,1.23179612458674,16.3661137519117
"GSM672552",11.90566059,11.50648104,11.73237063,13.32734535,0.352001218330208,0.379923184587649,12.5502010796644
"GSM672553",12.59205613,11.92156208,11.32697918,13.71904721,0.103196054920558,1.26354855121848,16.5083468027218
"GSM672554",12.89724424,12.16591599,11.17175985,14.02859517,0.0909185661136404,1.33511982392276,16.8289459362985
"GSM672555",11.74947844,10.72997732,11.42984089,13.29444201,0.44549887377314,0.137041809626454,11.4622288328077
"GSM672558",13.20690632,12.26440558,10.73466766,14.30992379,0.0647339617739447,1.5162034200414,17.6400988168748
"GSM672559",13.25168253,11.61633606,10.64676803,14.40469851,0.086198235258966,1.36454382641876,16.9607489537682
"GSM672560",13.21968216,12.2829855,10.4224948,14.30353717,0.0562837631244359,1.58675772772785,17.9561425179256
"GSM672561",13.25572045,11.58383606,10.84732714,14.74487584,0.292410188933329,0.546357267765648,13.2957323640523
"GSM672562",13.48023494,11.4304223,11.17175985,14.83115242,0.18770019000162,0.886403043055926,14.8189465925447
"GSM672563",12.64338773,11.48383494,11.51300204,14.01974312,0.262316675345628,0.636219522020334,13.6982648294778
"GSM672564",12.41256617,10.94154387,11.55567323,13.81311004,0.296636459178283,0.534099178115997,13.2408230020626
"GSM672565",12.84223494,11.46694833,11.44300781,14.58543234,0.47531560904508,0.0619141260870491,11.1256989746637
"GSM672566",12.2190777,12.00980706,10.03007658,13.76680818,0.409613145557584,0.228540221494162,11.8720903660744
"GSM672567",12.43925799,11.88133755,9.498252045,13.98155204,0.388819333880128,0.282397583439093,12.1133411210752
"GSM672569",11.82046914,11.3149829,10.81730223,13.44091413,0.484432087835444,0.0390328780687864,11.0232038252464
"GSM672573",11.40274498,10.4894658,10.32377435,12.75551227,0.345593273757507,0.397245344003778,12.6277946320864
"GSM672598",13.5255539,13.0950171,11.05971004,14.8074855,0.142963888304975,1.06709757536702,15.6283566856185
"GSM672599",13.22356468,13.12992751,11.31671078,14.82197844,0.363954206501549,0.347909150463136,12.4067961741093
"GSM672600",13.64726729,12.58602528,10.77135019,14.58155874,0.00944544993508284,2.34767690786906,21.3646333922336
"GSM672601",13.42404535,12.61394312,10.78305911,14.58946431,0.084935160253666,1.37262061252452,16.9969284225656
