"","adaA","adaB","alkA","pval","z","inv_cof_var"
"GSM672549",8.782315242,8.724292565,9.995141264,0.319116496863896,0.470170800790393,12.775553434345
"GSM672550",8.678208922,8.774426022,10.1489197,0.450078395885899,0.125463282316012,11.1826752436951
"GSM672551",8.743839777,8.7627,9.992781041,0.316631005209331,0.47714059327551,12.8077605370274
"GSM672552",9.522955019,9.373756506,10.82642677,0.348812297115525,0.388529004356542,12.3982903054161
"GSM672553",8.96372119,8.906881413,10.35697584,0.426722631592921,0.184724328488699,11.4565179159447
"GSM672554",8.863658364,8.908124535,10.27928476,0.413023793249561,0.219773464692352,11.6184784235281
"GSM672555",8.71819145,8.935267286,9.416856134,0.000771687072987072,3.16640186075149,25.2347178627066
"GSM672556",8.543130112,8.935267286,9.300388104,0.00250651318690619,2.80619552361756,23.5702203168048
"GSM672557",8.383890706,8.992736803,9.246527881,0.0208057230762458,2.03738529648334,20.0175822746448
"GSM672558",8.739067286,8.724292565,10.20783569,0.481068545857254,0.0474719425539259,10.8222807135252
"GSM672560",8.750019703,8.786026394,10.22252528,0.464387983511629,0.0893849710506957,11.0159589636895
"GSM672561",9.234037918,9.156086245,9.602318959,3.25365800084242e-10,6.17762473479833,39.1494455265644
"GSM672562",9.142003346,8.954337175,10.08164275,0.142153703267849,1.07069318842957,15.5505408164044
"GSM672563",8.947592565,8.815912639,10.29977138,0.432437625501967,0.170171517154733,11.3892700186865
"GSM672564",9.162560223,9.002004089,9.961820446,0.0492754441009103,1.65191986350988,18.2363635645038
"GSM672565",9.401242751,9.124426394,10.1611948,0.0593469640217731,1.56027915122976,17.8128958878698
"GSM672573",8.557764684,8.369905204,9.690378996,0.347021934013846,0.393373190202299,12.4206750738694
"GSM672574",8.485988104,8.545669888,9.464062082,0.116739641818833,1.19144411406264,16.1085255009073
"GSM672585",12.04929591,11.93222788,13.32938104,0.11940078103649,1.17798756899917,16.0463434015787
"GSM672588",11.752071,11.72348773,13.10047026,0.144917530185201,1.05848351953427,15.4941204766786
"GSM672598",9.02275948,9.067066543,10.25613717,0.265007096797825,0.627984347853291,13.504802852571
"GSM672599",9.192094796,9.277469145,10.19194089,0.0755497139790618,1.43565889212357,17.2370311845934
"GSM672600",9.1231,9.045071375,10.18469814,0.179297557663999,0.918045366733329,14.8451619865306
"GSM672601",9.359849442,9.07303197,10.10459219,0.0580146901518158,1.57166018602984,17.865487146106
"GSM672602",9.195828996,8.863658364,10.17489219,0.244103057340214,0.693164833193817,13.8059989912987
"GSM672603",9.59425316,9.319083457,10.33722862,0.0434770828194457,1.71168808452679,18.5125498692677
"GSM672604",9.481560223,9.204732714,10.26853903,0.0681293598280311,1.48986886451016,17.4875330683715
"GSM672605",9.658863569,9.352210781,10.39436654,0.0478608677663432,1.66595822371884,18.3012342058762
"GSM672610",8.297544238,8.447654275,9.791836059,0.487273626117096,0.03190570097631,10.7503497999522
"GSM672611",8.139266914,8.510088476,9.650143866,0.454294196219232,0.114819247773812,11.1334896310405
"GSM672612",10.86867993,10.81364758,11.59081375,0.000598014985196617,3.23982519626516,25.5740038473643
"GSM672613",10.09954424,10.39021747,11.19393717,0.0411788045393907,1.73716750346168,18.6302891367819
"GSM672614",10.67507658,10.71350892,11.64984052,0.0215488786893361,2.02276135867987,19.950005705118
"GSM672615",10.49909703,10.42480074,11.2785487,0.00443142175439904,2.61729989995371,22.6973419978896
"GSM672616",10.2305684,11.01321561,10.53120149,0.000223198203408788,3.51101666865492,26.8271676419103
"GSM672617",10.29119926,10.96242974,10.70047807,3.10649494795377e-06,4.51900850617613,31.4850533226369
"GSM672628",8.218820074,8.232792937,9.637282528,0.494121186008623,0.0147365347324212,10.6710118424206
"GSM672631",8.962276952,8.809375836,10.35158587,0.462959192002427,0.0929813419021174,11.0325776342659
"GSM672632",8.817110037,8.792524907,10.17985465,0.408952502934663,0.230240354272321,11.6668454571503
"GSM672642",7.856371375,7.937469888,9.119518959,0.402350707041437,0.2472672352406,11.745525920719
"GSM672643",7.878071747,7.924209665,9.190962082,0.450125986704843,0.12534304813205,11.182119646851
"GSM672652",7.788498141,7.814824349,9.108434572,0.4729625981456,0.0678246811385387,10.9163298179803
"GSM672653",8.019628996,8.093958364,9.337545725,0.426541377912035,0.18518650200477,11.4586535993128
"GSM672674",8.584775836,8.577357993,9.604932714,0.165580851461623,0.971776593119078,15.0934516062219
"GSM672675",8.298687732,8.154679926,9.148971747,0.126618468643375,1.14252240787951,15.8824604612662
"GSM672676",8.552971004,8.505152788,9.677058364,0.26984126156787,0.613293148115126,13.4369154686202
"GSM672689",8.60055539,8.761433086,9.398832714,0.0113651273827983,2.27793828631518,21.1291669969468
"GSM672690",8.519863197,8.889076208,9.226846097,0.000847321549931681,3.13910569724384,25.1085834989069
"GSM672691",8.562611152,8.944990335,9.198179926,9.71919786020728e-05,3.72620548448899,27.8215456384533
"GSM672695",8.516163569,8.483455019,9.42066803,0.0987911078394169,1.28847054520501,16.5568803461027
"GSM672696",8.419263569,8.522198513,9.744597026,0.375820992443172,0.316475017137484,12.0653320186384
"GSM672707",8.454589219,8.450677695,9.752057249,0.394115496478549,0.268608470910054,11.8441428264651
"GSM672708",8.444594424,8.44044368,9.679448327,0.348738491344766,0.388728519794201,12.3992122574256
"GSM672709",8.516163569,8.42054461,9.758434201,0.387617439433732,0.285534236246165,11.9223560391716
"GSM672722",8.638519145,8.607624907,9.665223792,0.175987490693884,0.930765302999259,14.9039402491985
"GSM672723",9.577703346,9.440052788,10.5523197,0.110606253640345,1.2233103292316,16.2557778712236
"GSM672724",8.856034201,8.875758736,10.02762937,0.244904770216208,0.690611783392224,13.79420146113
"GSM672725",8.664556134,8.7627,10.1464539,0.457923352679498,0.105666821729446,11.0911966752555
"GSM672726",8.416739033,8.5885829,9.800424907,0.39381798992108,0.26938168347575,11.847715807519
"GSM672727",8.810766914,8.840472491,10.33111822,0.489071879637982,0.0273961621324252,10.7295114204874
"GSM672728",9.059653903,8.979176952,9.843672491,0.0276251784852623,1.91690220450149,19.4608352375933
"GSM672729",8.927639405,8.851008178,9.758434201,0.0491998531857292,1.65266183225732,18.2397921692559
"GSM672730",9.096666171,9.003201487,10.00393271,0.0848845187218179,1.37294631287038,16.9472391306982
"GSM672731",8.586149442,8.612872119,10.01624201,0.458080968525362,0.105269533901601,11.0893608257818
"GSM672732",9.429528625,9.200495539,10.50820223,0.237211635921931,0.71530067454544,13.9082877347434
"GSM672734",8.927639405,8.880969888,9.615347955,0.00592574385572638,2.51653574695609,22.2317153053835
"GSM672735",8.910728996,8.817110037,9.604932714,0.0111068971760747,2.28669221620225,21.1696185196211
"GSM672736",9.203528996,9.042649442,9.779072862,0.00171221582841933,2.92682349429123,24.1276368318807
"GSM672737",8.707036803,8.713237546,9.865482528,0.255852546154999,0.656185010327284,13.635116866073
"GSM672738",8.715765799,8.674690335,9.842369888,0.251387960420497,0.67012843321731,13.6995488062953
"GSM672739",8.560181041,8.545669888,9.960652788,0.45713975902648,0.107642203327214,11.1003248262144
"GSM672740",9.195828996,9.088011896,10.50714535,0.369112525064472,0.334204762940238,12.1472603895076
"GSM672741",8.811955762,8.715765799,10.22716952,0.471524728220811,0.0714376365941534,10.9330251252788
"GSM672742",8.721894796,8.747633457,10.21271413,0.481900467330343,0.0453843755488905,10.8126341587632
"GSM672749",8.6819829,8.57858513,10.08658401,0.48114935071268,0.0472691674352368,10.8213436986739
"GSM672755",9.086068216,8.710594424,9.992781041,0.227678206282578,0.746514935847284,14.0525274550867
"GSM672783",8.267149814,8.360233086,9.694850186,0.467094468191459,0.0825756842532972,10.9844935506882
"GSM672784",8.143390706,8.377036059,9.307943123,0.232810078712454,0.729623820956602,13.9744743605554
"GSM672808",8.377036059,8.434796283,9.83625948,0.487322350345575,0.0317835055052569,10.7497851400872
"GSM672810",8.170942379,8.227065428,9.60756803,0.495678407786941,0.0108328371018374,10.652973028396
