"","fadA","sdpR","ccpA","fadR","fadE","fadN","pval","z","inv_cof_var"
"GSM672553",9.38687026,12.03546171,12.68798067,11.50352342,9.304019331,9.187238662,0.480141350922752,0.0497988264955371,92.6535707124872
"GSM672557",12.6938881,10.96242974,12.26155651,13.41777658,12.59489368,12.46005688,0.418653484086183,0.205339393502142,107.205184618261
"GSM672561",9.636028996,10.40272268,12.78510967,10.8462368,9.57370223,9.651572119,0.0600084249212398,1.55470287390868,233.445025216204
"GSM672565",9.35100632,11.43453903,12.07309777,10.96004981,9.373756506,9.283654275,0.117167642805915,1.18926529974528,199.256474999188
"GSM672569",9.316182528,11.98584164,12.87464238,11.35058922,9.139572491,9.242672119,0.431785853478689,0.171829329354234,104.070147085465
"GSM672574",11.06389981,12.33457361,12.11117286,11.92156208,10.86924517,11.05971004,0.453582264475871,0.116615784372202,98.9046381484077
"GSM672580",12.14044424,12.19956989,11.83474164,12.49886208,12.14592454,11.99639963,0.279588248018972,0.584065126884417,142.636909951537
"GSM672581",12.5479145,10.91444461,11.84635353,12.83179981,12.44884442,12.34942305,0.344512749049449,0.400177890260777,125.43332042474
"GSM672582",12.97208327,11.16841784,11.97030483,13.11539071,12.83733197,12.70778104,0.461029298861163,0.0978409402271035,97.1481556538508
"GSM672587",14.14266803,10.69941338,11.57506468,13.91563829,14.00300297,13.84343978,0.476618513543069,0.0586422887290971,93.4809217405158
"GSM672589",13.71644461,11.40038773,11.51852045,13.67938253,13.57540669,13.40928959,0.498944880609406,0.0026447951809356,88.2420704139077
"GSM672590",13.85909405,14.08497249,11.95618216,13.59952639,13.70143383,13.68413234,0.279707677523728,0.583710123545422,142.603697577275
"GSM672592",13.68413234,13.61981078,12.11744535,13.57959368,13.60378104,13.48023494,0.317862198350761,0.473685216974087,132.310306012251
"GSM672593",14.36693011,14.06186803,11.89151413,13.95989033,14.16922491,14.08497249,0.4567361126412,0.108659929436594,98.1603273133546
"GSM672594",14.5973803,14.10748848,11.83742714,14.16068439,14.61673569,14.44320929,0.243459912226521,0.695216195190356,153.035659694642
"GSM672595",14.39110335,13.51702342,11.8646974,13.96283048,14.11600446,14.2077948,0.441951079297644,0.146024359305946,101.655960431659
"GSM672596",14.07336952,13.93093309,11.72728216,14.01388922,14.06484089,13.86665948,0.367291776570699,0.33903474861582,119.713067455843
"GSM672609",9.694850186,11.40160372,12.87794796,11.04821115,9.548863197,9.568403717,0.361371145961768,0.35479617792788,121.187629612624
"GSM672618",11.94935167,15.98063123,10.82065651,12.60816022,11.8141171,11.94797546,0.242793463942422,0.697344975564967,153.234817963753
"GSM672623",13.88486654,16.4191316,10.33973569,14.37000297,13.72151636,13.64726729,0.394091582461906,0.26867061693725,113.130143806361
"GSM672624",8.34082119,12.39295911,13.05512156,10.61667584,8.295108922,8.188528253,0.424164256338158,0.191251556612521,105.887195574435
"GSM672625",8.289634201,12.46005688,12.96858699,10.56761375,8.215446097,8.112798513,0.481175364594343,0.0472038875153262,92.4108009265993
"GSM672626",8.61233197,12.08541747,12.93810186,10.6097052,8.552971004,8.468954647,0.371744044590928,0.327237725769657,118.60939575785
"GSM672627",8.9057171,12.28581264,12.38714758,11.00605204,8.715765799,8.799050186,0.480820591918091,0.0480941808671099,92.4940924136201
"GSM672628",8.656604089,12.35640037,12.44648699,10.68432825,8.668460967,8.561458364,0.263732216790477,0.631881315262649,147.110358422998
"GSM672630",13.39879777,16.00569294,11.55433086,13.73590855,13.19966617,13.27106394,0.320068585478418,0.467507019743434,131.73230412847
"GSM672634",8.338381041,11.37447026,12.87794796,10.72067398,8.321933829,8.344507435,1.10510942267987e-11,6.69141565340602,714.010722967113
"GSM672635",8.268340892,11.93222788,13.06929071,10.65360335,8.20314052,8.105662082,0.4486754151687,0.129008617117954,100.064050903457
"GSM672636",8.548211524,11.71836989,12.75389331,10.90858253,8.602923048,8.546823048,0.02736181402107,1.92106409054222,267.719986900474
"GSM672638",8.826257249,12.34201004,12.55718141,10.98619703,8.739067286,8.770366914,0.118238574349205,1.18383812125217,198.748734751423
"GSM672640",9.531951673,11.89274275,12.60212045,11.22553048,9.559210037,9.405123048,0.384322820279544,0.294146917854314,115.513581785449
"GSM672641",9.352210781,11.74338513,12.71058885,11.27385204,9.258460595,9.205942751,0.345678896093326,0.397013111154648,125.13723918667
"GSM672645",9.051007063,11.31787472,12.82640149,11.15801487,8.988291822,8.928771375,0.263888499326623,0.631403086131236,147.065617646924
"GSM672661",8.630512268,12.25706059,11.77574349,10.71943829,8.558926394,8.577357993,0.0630905706200061,1.52933611371267,231.071835330655
"GSM672691",8.56752974,11.58623978,11.6064513,10.93586171,8.764030483,8.664556134,0.499147489036153,0.00213692971278209,88.1945570072713
"GSM672692",9.199481413,15.91765762,12.40656468,11.04701784,9.042649442,9.071826022,0.410529120552955,0.226184094149255,109.155312752906
"GSM672693",9.295815242,15.99737658,12.49265874,11.02147063,9.150171375,9.126830483,0.447389263578038,0.132260148675208,100.368248276105
"GSM672694",9.1231,16.24893309,12.42567472,11.14142193,8.97785948,9.015346097,0.366629677831389,0.340793086188392,119.877568910122
"GSM672699",10.19028625,15.91765762,10.56404164,11.70737026,10.00747918,10.07311375,0.411345838784765,0.224084339949108,108.958870030563
"GSM672702",9.759736431,15.53897138,12.12968401,11.86915669,9.708602974,9.615347955,0.317446633039093,0.474850877823108,132.419359534084
"GSM672704",8.346910409,11.57750409,12.86877063,10.76186208,8.290675465,8.302290706,0.0200568326218877,2.05257653500193,280.023647305035
"GSM672705",8.222346097,11.78955725,12.82942007,10.71350892,8.246547955,8.269560223,0.00261301261821319,2.79276122454351,349.271702834606
"GSM672706",7.976651301,12.19107955,13.04355372,10.43461636,8.028971747,8.002232714,0.00992996903630235,2.3289835331105,305.882932729648
"GSM672709",8.522198513,12.26584201,12.63599665,10.287729,8.702976208,8.617136803,0.469048497044216,0.0776619098546476,95.2603043709093
"GSM672716",8.618287732,12.10021896,12.56473271,11.15124052,8.506366543,8.517363569,0.294445189895656,0.540444712095749,138.555997514157
"GSM672718",8.633024164,12.02449777,12.67265651,11.20930781,8.676886989,8.587512268,0.130476306560631,1.12414241720188,193.163896957072
