"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ","pval","z","inv_cof_var"
"GSM672550",13.45315651,13.20139963,14.51143346,12.09898662,13.87933941,13.46775725,10.92560651,12.35069814,14.00869331,13.46152045,12.73900465,11.10549071,13.8485,11.91889442,11.5304,14.13440409,11.87491115,11.42984089,11.59011673,11.79238513,11.77196952,12.37136022,13.85909405,0.320296886758244,0.466868765331048,11.5322774291666
"GSM672551",13.16865353,12.77562007,14.3805052,12.05292342,13.69896357,13.18357249,10.75825539,12.1574803,14.05355316,13.42815502,13.12992751,11.11701859,13.6722223,11.98454572,11.57041264,13.90805539,11.91953903,11.49942454,11.71356952,12.08955204,12.20097844,12.19544498,14.14266803,0.249064247511406,0.677437369486055,12.1260378067608
"GSM672553",12.84591468,11.88637695,14.16357621,11.21668625,13.42601599,10.99896283,8.271674721,12.4776539,11.90186766,11.65957844,11.37077807,12.31318253,11.44420669,12.42288327,12.67265651,11.73350112,11.55567323,11.93357212,12.48895316,11.07978216,11.1493119,12.58894312,13.53679182,0.48391039803356,0.0403415908256179,10.3295580721912
"GSM672554",12.91488662,12.13114796,14.41536729,11.61507807,13.5191461,11.14697993,8.390028625,12.68201636,11.91107807,12.17875688,12.04352379,12.16890595,11.4039948,12.68798067,12.54013457,11.8281881,12.22177807,12.05551227,12.40042639,11.78707844,11.72986729,12.60816022,13.75337268,0.40827720468176,0.231978890745063,10.8699360455264
"GSM672557",12.18289145,11.41760669,13.36832156,10.74155985,12.36067658,10.24754089,7.745915242,10.50820223,10.46929405,11.26665725,11.47432714,11.2352461,10.40577677,11.67184201,11.39465613,11.1778052,11.40524758,11.04117175,11.35399554,11.09961338,11.06212491,10.09603011,12.81874535,0.493880991201437,0.0153386819144485,10.2590549851064
"GSM672558",13.71904721,13.87172416,14.71080558,13.2139171,14.13993457,14.21655688,11.94006097,12.42150967,14.53674944,13.82567398,13.48023494,11.79984164,14.05355316,12.30746208,12.27279517,14.22263903,12.32584796,11.94543792,12.29753643,12.86480892,12.91816022,12.56771524,14.18383309,0.0874130327852363,1.35685884531294,14.0418673467412
"GSM672559",13.4450803,13.32734535,14.39110335,12.91651264,14.12469963,13.30973011,11.35768476,11.56050372,14.05355316,12.6836,12.44358959,11.87881301,12.63887881,12.13914164,12.36067658,13.00986097,12.12079071,11.76177175,12.1883777,12.0542368,12.00437026,11.63497546,14.16637026,0.0913948304259773,1.33221465913547,13.9723757843643
"GSM672560",13.56877881,13.23499331,14.22852825,12.74293383,13.97082379,13.81090595,11.64111115,11.56165688,14.03156208,12.86008625,12.33601004,11.41994833,12.77709554,11.94797546,11.8646974,13.15065688,11.92018364,11.69475316,12.04223755,11.96296022,11.94935167,11.56554647,14.18951673,0.147541669920704,1.04703520858673,13.1682280866607
"GSM672561",12.98724424,11.64111115,14.6741539,11.08324498,13.59734461,10.95179145,9.3131829,12.22386022,12.5487,13.16499442,12.92992751,12.40349591,12.67568848,12.91991375,12.82026617,13.26739145,12.7318948,12.30338885,12.64499628,12.46461859,12.65458104,12.38281004,13.51044907,0.272416962818937,0.605519419263853,11.9232439028401
"GSM672562",13.1633513,12.16733941,14.66569628,11.8077974,13.7405171,11.75619089,9.738382528,12.48520074,12.66046617,13.49133829,13.51256134,12.78051896,13.57540669,13.51480558,13.24788216,13.88869126,13.27297993,12.98028141,13.16680669,13.11887398,13.14873532,12.58472156,13.6106,0.131792982868949,1.11795557900072,13.368209019645
"GSM672564",14.77223197,12.32742639,15.28884089,11.41994833,15.41281338,14.89745725,12.43780892,13.55989331,15.66552974,15.71599665,15.73282862,15.63036543,16.0724342,15.75899182,15.79347546,16.13048996,15.80265167,15.49940186,15.82913494,15.86194312,15.68968439,13.82848513,13.6081974,0.389550721222393,0.280490200858826,11.0067280137608
"GSM672567",12.99944721,12.42726766,14.50030743,11.26665725,13.40092937,11.75320818,10.3481119,13.16149219,14.54790446,14.07336952,14.88755316,14.60551747,12.58472156,15.08293978,14.95131636,13.44724164,14.74947249,14.58543234,15.00514164,14.60165465,14.58946431,12.66787807,13.47196803,0.480461594746625,0.0489951142949263,10.3539592377081
"GSM672575",12.08145093,11.43453903,13.19966617,10.92265688,12.9007197,10.69610112,8.397859108,11.55183606,11.76571784,11.98320223,12.76007472,11.09734126,11.31439294,12.70631673,11.52469963,12.31870483,12.62237993,11.38512714,11.97097658,12.67568848,12.38124796,11.22958513,12.33911152,0.302645547765118,0.516806709986724,11.6730922148942
"GSM672580",12.05679591,9.860341264,12.58602528,9.788014126,12.58011896,9.937569888,8.536673606,10.64563569,12.73823494,11.7644632,12.06496617,10.39144312,11.27490967,11.96554164,11.11351933,11.83344498,11.89547138,10.70775019,11.02147063,11.72920632,11.78707844,10.72286952,9.887065428,0.484491008531911,0.0388850736585774,10.3254509918097
"GSM672606",12.98548327,13.1385881,13.65274554,12.57880929,13.66409981,12.51368253,10.87208662,10.50263755,12.29166617,12.24009331,12.59637175,11.91238699,11.89274275,12.52980595,12.39590892,12.3842197,12.35640037,11.65836766,12.43925799,12.19956989,12.23010929,10.49665279,13.90293309,0.0885212068915114,1.34991760540599,14.0222944705061
"GSM672607",13.11887398,13.14873532,13.63642639,12.69559926,13.55356059,12.74146729,11.03932138,10.90279405,12.53408699,12.25859294,12.55092639,12.09511747,12.14592454,12.63150967,12.39153123,12.56166506,12.42003234,11.94733643,12.44884442,12.24872342,12.20908513,10.59470558,13.93337732,0.0339689209100727,1.82541888352338,15.363110778685
"GSM672609",12.71191784,13.00807138,14.1456342,12.51075985,13.26165428,11.16719814,8.595686989,12.93473197,9.94069052,12.65290223,12.85840781,12.24009331,12.40042639,12.93148625,12.57725279,12.79829665,12.88760223,12.04352379,12.38563941,12.54013457,12.47327881,12.92314349,14.16637026,0.465194035588965,0.0873565930192995,10.4621307582625
"GSM672624",13.24969777,12.90826059,14.7297052,12.25706059,13.91054387,12.15595799,9.795699628,12.84992788,14.01974312,14.08209294,14.56695242,14.00300297,13.93621227,14.55987026,14.5076632,14.44320929,14.49293792,14.30353717,14.42564907,14.40846283,14.29121375,13.1468632,13.91315353,0.252057052325006,0.668030529831183,12.0995124437427
