"","folD","purR","glyA","ispE","nusB","pbuG","pbuO","pbuX","purA","purB","purC","purD","purE","purF","purH","purK","purL","purM","purN","purQ","purS","xpt","yabJ"
"folD",1,0.684767046199985,0.767784684175124,0.547497443294165,0.902965366062338,0.863212483267526,0.786851449310475,0.595157738101545,0.844878826556622,0.754596494783628,0.632793987947937,0.69209676462422,0.756985428401962,0.605645182949811,0.667090425804615,0.751124064066236,0.603554094995649,0.673280144964514,0.668115982119298,0.620517979503477,0.624551629064022,0.604765810534219,0.604167375797516
"purR",0.684767046199985,1,0.682201598143705,0.880031121086322,0.680173560974979,0.773365830813765,0.680819830605447,0.582954552438077,0.621722373254168,0.652303926819146,0.589082047560889,0.579761377126614,0.696932628948588,0.534276730928173,0.573879465082631,0.683899752317247,0.546114888445002,0.577256213211191,0.582291569073647,0.563524413155045,0.572534962616668,0.593467215975676,0.831929423473588
"glyA",0.767784684175124,0.682201598143705,1,0.566242132381101,0.789399758365741,0.699973862971638,0.596719699554663,0.712897391089949,0.643603539785347,0.756198730355703,0.656339125347808,0.690169435800235,0.7540588537985,0.663529911116876,0.685375694096851,0.761168496346607,0.676661853116065,0.679936094654916,0.671704437435478,0.654855244460258,0.666495787483467,0.758904096451742,0.718986550865408
"ispE",0.547497443294165,0.880031121086322,0.566242132381101,1,0.579907654238581,0.656115792614313,0.646810275300023,0.374298559679871,0.470439495694076,0.478286401986709,0.414148272371551,0.428303584636441,0.542111206071866,0.368582535964781,0.422957161716104,0.505131487686018,0.378201656857713,0.406954179666704,0.414882778862414,0.380558222808316,0.40117240424281,0.411207157948962,0.765794852771781
"nusB",0.902965366062338,0.680173560974979,0.789399758365741,0.579907654238581,1,0.824861844990746,0.761231708245773,0.621025598756533,0.849896673913376,0.792326983291164,0.695476254310161,0.734103237599164,0.802464040500652,0.665064893198786,0.72496958606087,0.794996565316792,0.66973780943018,0.714579131470596,0.730068126299779,0.673992652283743,0.694977713614716,0.665998709983477,0.636696492439605
"pbuG",0.863212483267526,0.773365830813765,0.699973862971638,0.656115792614313,0.824861844990746,1,0.868213750234483,0.574326649130211,0.818420042079616,0.738554604757541,0.58053383813994,0.570470016828509,0.76520089686467,0.499286831846447,0.54643593419592,0.761178643175065,0.519348031012285,0.569892355199305,0.565142043099885,0.561930201562723,0.558100359111294,0.564153690811072,0.640875795325072
"pbuO",0.786851449310475,0.680819830605447,0.596719699554663,0.646810275300023,0.761231708245773,0.868213750234483,1,0.340617395340095,0.74686056934018,0.582318647806776,0.425553017157409,0.453982450094066,0.608301374949317,0.350600987117653,0.420972932360577,0.595795965545888,0.361873973023283,0.42607041200059,0.438221950601897,0.393614053720471,0.410489389394868,0.340817820209043,0.570011778896619
"pbuX",0.595157738101545,0.582954552438077,0.712897391089949,0.374298559679871,0.621025598756533,0.574326649130211,0.340617395340095,1,0.608961279108563,0.887800280648603,0.863842247692496,0.817796671668645,0.844865312369705,0.856995936571984,0.827742137426774,0.864540650185777,0.858873014275967,0.855626495847735,0.836750149271042,0.869444580761642,0.858009520456252,0.971847620225556,0.500978962388979
"purA",0.844878826556622,0.621722373254168,0.643603539785347,0.470439495694076,0.849896673913376,0.818420042079616,0.74686056934018,0.608961279108563,1,0.804662396725776,0.727678612935285,0.735596340457044,0.799583426487218,0.676642501444304,0.726713256865589,0.798147913518383,0.675864387906286,0.739003351832676,0.744658497838991,0.704720408541014,0.714754350809394,0.619505220728768,0.474103553932978
"purB",0.754596494783628,0.652303926819146,0.756198730355703,0.478286401986709,0.792326983291164,0.738554604757541,0.582318647806776,0.887800280648603,0.804662396725776,1,0.955051624923877,0.88885146759167,0.965647672455741,0.905647343387092,0.895994798573184,0.979218143925029,0.922134990616076,0.92038951798219,0.908117747304549,0.942557878800016,0.944906423791444,0.895887322842579,0.540747354910303
