"","folE2","zur","rpmEB","rpsNB","yciB","yciC","yczL","zinT","znuA","znuB","znuC","pval","z","inv_cof_var"
"GSM672552",7.825005019,12.63451004,9.870642007,8.040847212,7.716571004,7.326832714,7.724405948,7.963007807,9.45124052,9.560557621,9.443779926,0.174413403103613,0.936867329839158,8.81935078044292
"GSM672553",7.516815242,12.39590892,9.414117472,7.919,7.582311152,7.265292565,7.339055019,7.813247212,9.035304089,9.366164684,9.314887361,0.144149586130069,1.06186016330053,9.08449372220871
"GSM672554",7.45382974,12.13645688,9.159348327,7.939507435,7.560884387,7.328675093,7.344720818,8.000223048,8.593413755,9.378848327,8.890312639,0.0439758371138807,1.70630303008996,10.4515279174398
"GSM672555",7.391549442,11.76177175,8.7329829,8.013017658,7.560428996,7.267130483,7.445059851,8.043572119,8.576081413,9.272632342,8.901327881,0.0156482487117618,2.15328231994111,11.3996895082893
"GSM672556",7.430656506,11.82952268,8.721894796,8.111744238,7.600991078,7.444192193,7.55006171,8.003266543,8.904501115,9.415497026,8.929486245,0.0179717460761996,2.0975661023118,11.281500637478
"GSM672557",7.243707063,11.82570149,8.697910409,7.851584015,7.578592565,7.344720818,7.391147398,8.070405204,8.29409368,9.452549814,8.8751171,0.028118964066574,1.90918734564503,10.8818993457428
"GSM672561",7.347610037,11.72728216,10.52397398,7.811251301,7.445860967,7.412204089,7.246704089,8.493020818,8.999601115,9.902143123,9.477910781,0.456325965732835,0.109694160814155,7.06469716301937
"GSM672562",7.179195167,11.47313457,9.598244981,7.99810855,7.624310781,7.328675093,7.197662082,8.538096654,9.120642751,10.0742026,10.07311375,0.426045158617974,0.186451999940486,7.22752089223605
"GSM672571",7.774867658,11.37569814,9.621913755,8.854895539,7.743396283,7.533495539,7.809278067,8.051954647,11.33825799,9.838756506,10.08044907,0.498223619524667,0.00445274023993019,6.84145220509718
"GSM672572",12.40940483,11.30014833,15.39813309,12.08414498,12.93810186,14.79444089,15.08894944,12.60530818,15.82038253,11.75807658,11.87881301,0.229540660125863,0.740360433373965,8.4025075490096
"GSM672573",12.61541041,11.30249071,15.27586766,11.8387684,13.21968216,15.01592007,15.53070669,12.84223494,15.6989948,11.95485762,12.06917695,0.208863008667118,0.810372675577444,8.55102207855009
"GSM672574",12.49575204,11.29894126,15.4277855,12.58323271,13.06578587,15.1469052,15.13492268,12.70550669,15.68968439,11.7195487,12.01111041,0.185969744002811,0.892846299684773,8.72597050325846
"GSM672575",11.98649628,10.7172513,15.240379,11.57396654,12.71058885,14.83115242,14.71080558,11.99843494,15.30855836,11.47313457,11.52813271,0.312679010416524,0.488270829134333,7.8677586565675
"GSM672576",12.6418026,10.40392714,15.57326431,11.89799851,13.04114164,15.12307993,15.70693346,12.61107732,15.95731301,11.95744758,12.20841747,0.281381144628867,0.578743456057949,8.05967508719405
"GSM672577",11.7445632,10.07917026,14.60551747,13.54124015,12.60816022,14.57775836,14.66569628,11.99779554,15.44358327,11.49942454,12.16173569,0.137584620322549,1.09123556867516,9.14680674593096
"GSM672578",12.02602751,10.11346208,16.17336691,13.27106394,12.62237993,15.35256022,15.66552974,12.09093494,15.78401747,11.75559182,12.02735651,0.386114390302607,0.289460790776845,7.44602985049988
"GSM672579",11.70422732,9.943906691,15.73282862,14.00869331,12.71656803,15.22980632,15.51421413,12.233029,15.58130781,11.63251747,11.82445613,0.342993265395154,0.404307609069872,7.68965040386596
"GSM672580",11.9097197,10.25008439,16.1452197,14.15158996,12.719671,15.12307993,16.04441561,12.25424572,15.96520669,11.580029,11.91889442,0.42544823437641,0.187974719584064,7.23075098435096
"GSM672581",11.77836766,9.629740892,15.46632379,13.15227509,12.49961338,15.3676855,15.67325911,11.42984089,16.08663829,11.67314796,12.00101413,0.452213566949047,0.120070710801455,7.08670857689665
"GSM672582",11.93752491,10.1083052,15.36026208,13.64935428,12.48208364,15.1410658,15.07704164,11.53991375,15.94857249,11.37684758,11.9097197,0.378049159916246,0.310608427292205,7.49088959486922
"GSM672583",12.03426766,9.585373606,16.02851524,13.30585762,12.37568327,15.1469052,15.4060026,11.67314796,15.91022379,11.6026777,11.99250855,0.416742343240583,0.210234458512745,7.27796979281418
"GSM672584",10.86981041,9.660145725,15.02109257,12.82172268,11.59519071,14.44320929,14.76273346,10.48817732,14.64045799,11.38389442,11.33162788,0.462310678920855,0.0946140900014017,7.03270833432732
