"","folE2","rpmEB","rpsNB","yciB","yciC","yczL","zinT","znuA","znuB","znuC","zur"
"folE2",1,0.966148412972656,0.950899285274009,0.997392342240871,0.987948672179546,0.977480920993763,0.950129701362878,0.951898256243015,0.951803252966374,0.958714090711485,-0.378896893946405
"rpmEB",0.966148412972656,1,0.945218348097012,0.968095750356801,0.981981944268679,0.982988610538047,0.910148728322633,0.962642669866676,0.899934370853314,0.916304843489381,-0.490236874851599
"rpsNB",0.950899285274009,0.945218348097012,1,0.953005573174345,0.966489389721681,0.951788060681425,0.898837099564783,0.930899506499401,0.903628090388115,0.919265948154719,-0.450186898351898
"yciB",0.997392342240871,0.968095750356801,0.953005573174345,1,0.990755038747668,0.981131542265524,0.946329346500985,0.952170683283979,0.942590144725658,0.950181793372758,-0.399322921007375
"yciC",0.987948672179546,0.981981944268679,0.966489389721681,0.990755038747668,1,0.993480258903895,0.923265244339627,0.965829144290966,0.924183786693255,0.936724030479461,-0.44985773655301
"yczL",0.977480920993763,0.982988610538047,0.951788060681425,0.981131542265524,0.993480258903895,1,0.917948950122702,0.972430826712797,0.911226655552373,0.926303059708318,-0.456406161187713
"zinT",0.950129701362878,0.910148728322633,0.898837099564783,0.946329346500985,0.923265244339627,0.917948950122702,1,0.906435023688613,0.929420899327056,0.939116156218638,-0.38387671234582
"znuA",0.951898256243015,0.962642669866676,0.930899506499401,0.952170683283979,0.965829144290966,0.972430826712797,0.906435023688613,1,0.895482558820039,0.928343087617913,-0.452730831774616
"znuB",0.951803252966374,0.899934370853314,0.903628090388115,0.942590144725658,0.924183786693255,0.911226655552373,0.929420899327056,0.895482558820039,1,0.988034565754707,-0.270863311591767
"znuC",0.958714090711485,0.916304843489381,0.919265948154719,0.950181793372758,0.936724030479461,0.926303059708318,0.939116156218638,0.928343087617913,0.988034565754707,1,-0.327763241612887
"zur",-0.378896893946405,-0.490236874851599,-0.450186898351898,-0.399322921007375,-0.44985773655301,-0.456406161187713,-0.38387671234582,-0.452730831774616,-0.270863311591767,-0.327763241612887,1
