"","frlB","codY","frlR","frlD","frlM","frlN","frlO","yurJ","pval","z","inv_cof_var"
"GSM672550",8.740119703,13.61280632,10.21655725,7.457263941,7.242649442,7.35901487,7.696798513,9.45124052,0.490343106937378,0.0242086055901217,8.90734713758161
"GSM672555",8.333586989,14.43607286,10.28526989,7.52255316,7.159424535,7.249794424,7.625234944,9.467850558,0.46954398062722,0.0764162255159907,9.01251218536744
"GSM672556",8.460543123,14.69906245,10.0742026,7.290928625,7.243707063,7.206927881,7.712718216,9.378848327,0.467648571064172,0.0811820906026438,9.02211236308652
"GSM672567",8.734741822,13.94646394,9.831281413,7.391549442,7.095104089,7.174337918,7.563181041,8.573867658,0.165918224041681,0.97042147608239,10.8133624258131
"GSM672568",8.819794796,13.95989033,9.790525651,7.129661338,7.139126022,7.203504833,7.745915242,8.593413755,0.254608566719993,0.660057184068066,10.1881763773579
"GSM672569",13.2692461,13.00295056,9.621913755,10.43461636,10.32859814,10.59470558,11.71601041,10.629771,0.33210854572952,0.434098256590152,9.73301329121093
"GSM672570",13.01521004,12.98548327,9.924944238,10.3635,10.00507361,10.36235093,11.79090335,10.64676803,0.357227831457089,0.365878603550092,9.59559421173408
"GSM672571",13.17256729,12.88900186,9.486692565,10.99658662,10.50263755,10.82198364,11.94133643,10.80887472,0.11454300475108,1.20271659583245,11.2812888971522
"GSM672572",15.46632379,13.30973011,9.329881041,12.72266468,12.46461859,12.91816022,14.23481264,12.5494855,0.131030245200931,1.12153432210863,11.117758406629
"GSM672573",15.94142974,12.98202045,9.25350855,13.44308773,13.32523234,13.54925019,14.72338401,13.32318773,0.0164512061928027,2.13327208975884,13.1557645603809
"GSM672574",15.94857249,13.4450803,9.291456506,13.22549963,12.96701115,13.23109554,14.78475056,13.58822193,0.0628900218814718,1.53095690516334,11.9424837163191
"GSM672575",14.05645093,14.39777584,9.460184387,10.94154387,10.62139108,10.98844647,12.2829855,11.17064349,0.471807539297877,0.0707269411406864,9.00105190688614
"GSM672576",15.81157807,13.95159331,8.959613011,12.76159257,12.61667063,12.76007472,13.76680818,12.74146729,0.176858663890625,0.927403011250987,10.7267076632307
"GSM672577",15.96520669,14.44658587,8.723092565,13.07957993,12.48819219,12.76461152,14.52588253,13.24788216,0.230433724598855,0.737419222720902,10.3440115313697
"GSM672578",14.77819888,14.07618625,8.918543866,11.72854535,11.29045911,11.76959033,13.21581859,11.49827212,0.44816067335234,0.130309774971495,9.12107330560015
"GSM672580",14.86360112,14.35301933,9.295815242,11.92544981,11.4235684,11.66334796,13.33340483,12.03426766,0.371396639253101,0.32815657632706,9.51960839201808
"GSM672588",10.75600112,13.2904829,10.51055874,9.475285502,8.298687732,8.310448699,9.183775093,8.295728067,0.42293423823806,0.194392609290973,9.25015933447924
"GSM672597",9.110960595,13.19436877,8.47067119,7.615062082,7.503384387,7.218219331,8.398508922,7.933356506,0.0944549116330772,1.31381097525848,11.5050731979433
"GSM672608",10.92505576,12.8679223,9.928841264,8.965646283,8.471215242,8.653527323,9.63347026,10.03374424,0.269360053048554,0.61474958813825,10.096910475986
"GSM672609",11.20686022,12.70550669,10.4644316,9.638676208,9.249828996,9.372447955,10.25257509,10.57802751,0.0168661491504082,2.12325728124027,13.1355911102616
