"","ftsW","yofA","tnrA","pycA","pval","z","inv_cof_var"
"GSM672549",11.98850669,9.57370223,9.887065428,13.68176245,0.428704349000934,0.179673755738302,10.7199525391118
"GSM672558",12.03148699,9.655317472,9.815632714,13.18357249,0.101597772502709,1.2724999410791,15.4760558537801
"GSM672559",11.92544981,9.476631227,9.987192565,13.24435279,0.206919491301907,0.817156527022264,13.4943497508716
"GSM672560",11.50178625,9.521692565,9.494378067,13.2291658,0.482984561807652,0.042664318190159,10.1236719513985
"GSM672575",11.96150149,9.621913755,10.91926171,13.79092788,0.498552293309367,0.00362887048868299,9.95378526246941
"GSM672576",12.27423903,9.469037546,11.08918216,13.67681933,0.234940128664979,0.722673895054956,13.0831506369538
"GSM672578",11.93357212,9.425710781,10.49189926,12.25706059,2.9100056395608e-23,9.86642837277388,52.8778055997917
"GSM672579",10.89585316,9.255978439,10.25195558,12.33601004,0.367883054919874,0.337465374662913,11.406679533634
"GSM672581",11.25813941,9.278698513,10.50383271,11.82298996,6.63515299542984e-06,4.3555997623527,28.8940554186785
"GSM672582",10.91871989,9.364909294,10.98158476,12.07309777,0.17041527660846,0.952525473648781,14.0834907363182
"GSM672583",11.20221599,9.170989591,10.53447063,11.87367249,0.000482983821277125,3.30025572673505,24.3010786642359
"GSM672586",10.43080074,9.234037918,9.810822305,11.88260409,0.415408710942394,0.213653312401292,10.8678354176918
"GSM672589",10.47153086,9.088654647,9.970596283,11.84500446,0.360756842371563,0.356436518847933,11.4892441014964
"GSM672590",10.41518587,9.091635688,9.94911487,11.92156208,0.449982763873311,0.12570489400366,10.4850739411901
"GSM672591",10.58034275,9.327350929,9.775313755,11.98045539,0.368980931461097,0.334553584905838,11.3940070948683
"GSM672592",10.47734089,9.448824164,9.80762342,11.75931078,0.296413745729134,0.534743132244714,12.2652546751626
"GSM672593",10.64806134,8.416739033,10.28171859,12.01652491,0.341848051157998,0.407424681574381,11.7111503597881
"GSM672595",10.6382342,8.507581413,9.766249071,11.84240669,0.226705751307764,0.749739682714814,13.200944009889
"GSM672598",12.13914164,9.94911487,10.20237528,13.46569219,0.196950727834207,0.852563419362407,13.6484445559558
"GSM672599",11.95349405,10.1852448,10.4224948,13.48460855,0.338748907602576,0.415879999916282,11.7479488627266
"GSM672600",12.06361859,9.7712,9.723099628,13.70401115,0.394082352602966,0.26869460310862,11.1073813479489
"GSM672601",12.0407881,9.986601859,10.10015874,13.7086368,0.411025757079441,0.224907140659399,10.9168133527002
"GSM672602",11.99510037,9.681794424,9.809530483,13.66527955,0.415763010280036,0.212744800827426,10.8638814724389
"GSM672603",12.01111041,9.958141264,10.41699888,13.36020558,0.220047115288427,0.772034101000052,13.2979718429766
"GSM672604",11.92479572,10.00012416,10.45131152,13.41992007,0.318923926652324,0.470709984553835,11.9865751650388
"GSM672605",11.91377249,9.885793309,10.38173197,13.30585762,0.254636311705274,0.659970713608043,12.8102592905345
"GSM672623",10.98036283,8.743839777,10.73825836,11.91307974,0.0441503850048865,1.70443007084866,17.3558646920552
"GSM672628",11.84240669,9.976483271,10.40029442,13.56426171,0.454663148137063,0.113888355745748,10.433647028539
"GSM672634",11.87245242,9.888286245,10.31406059,13.68176245,0.495508757733883,0.0112581126663841,9.98698858839306
"GSM672635",11.95618216,9.821001487,9.970596283,13.6722223,0.443142761845982,0.14300589730418,10.5603698667897
"GSM672648",12.33601004,9.35735539,10.70593401,13.9254487,0.344213115230242,0.400991705835014,11.6831533208741
