"","Fiber","conditions","mean_corr_new"
"1","1",130,0.73006727139869
"2","2",76,0.151342527300013
"3","3",81,0.33114661138788
"4","4",86,0.291863876496739
"5","6",130,0.532245172039429
"6","7",130,0.681466335643059
"7","8",38,0.386820421614555
"8","9",80,0.944122772067486
"9","10",105,0.373648298982095
"10","11",105,0.841501037364116
"11","12",112,0.241160728541381
"12","13",157,0.394928077454279
"13","16",82,0.644762965614739
"14","17",146,0.251731380641225
"15","19",132,0.598994303795242
"16","20",87,0.947509364061904
"17","21",43,0.524512831638152
"18","22",145,0.609855314840535
"19","23",118,0.218553646606698
"20","24",111,0.696992131690051
"21","28",87,0.56546246169196
"22","30",81,0.376431748020486
"23","32",75,0.56175382897485
"24","33",136,0.504975522520139
"25","34",93,0.536413235794294
"26","37",77,0.199547726890622
"27","38",130,0.759346456142576
"28","39",146,0.504513116903753
"29","41",52,0.822587423005938
"30","42",96,0.332169741724407
"31","43",49,0.171412455111598
"32","45",94,0.787401667263759
"33","47",86,0.1643760784793
"34","48",105,0.966363465547444
"35","49",128,0.853486372315801
"36","50",103,0.945951372070741
"37","51",155,0.799770266763548
"38","53",40,0.548424646109182
"39","56",95,0.676521733319193
"40","57",104,0.701461207738838
"41","59",101,0.910508091755683
"42","60",120,0.596771459095164
"43","62",176,0.18612116483237
"44","64",111,0.60596499266527
"45","65",165,0.981106728524649
"46","66",145,0.282080395003333
"47","67",31,0.750938984678885
"48","69",150,0.279782291472585
"49","70",75,0.8685546412392
"50","71",90,0.884158808242478
"51","73",101,0.414457032959755
"52","74",114,0.591286393509308
"53","77",87,0.493743820301991
"54","78",41,0.359575247711851
"55","79",13,0.608179982122772
"56","81",74,0.366036216275155
"57","83",131,0.846109568251161
"58","87",164,0.376054446270078
"59","88",118,0.606089131382786
"60","89",163,0.642004087394605
"61","90",83,0.387198627834585
"62","91",38,0.998908113509727
"63","93",148,0.73866632127859
"64","94",96,0.728014629468189
"65","95",105,0.593397276378132
"66","97",45,0.725635087151235
"67","98",51,0.918356435559152
"68","99",101,0.496791119181271
"69","100",60,0.752364342597048
"70","101",90,0.953469928135965
"71","103",51,0.582315715740724
"72","108",82,0.282860204235253
"73","111",58,0.459126768552988
"74","113",106,0.543990268356651
"75","114",84,0.735901849907942
"76","115",121,0.684852614467258
"77","116",115,0.423008257465868
"78","117",131,0.55279449245615
"79","118",73,0.285644045160499
"80","119",67,0.840990933471999
"81","121",62,0.973487581203142
"82","124",29,0.940445265282372
"83","125",46,0.702401469482449
"84","127",106,0.715164942066101
"85","129",128,0.890099905889328
"86","130",105,0.376254366282667
"87","132",58,0.933716117248664
"88","137",92,0.744630618345604
"89","140",41,0.629315565053579
"90","141",86,0.665639812511399
"91","142",54,0.29035698103463
"92","143",151,0.508388748029357
"93","145",132,0.832337909099325
"94","146",95,0.443015134438995
"95","148",13,0.322937115632555
"96","150",110,0.440774580958459
"97","154",49,0.695187679702566
"98","156",97,0.95002315807044
"99","160",23,0.130728329793196
"100","161",55,0.457387948428597
"101","163",47,0.325959512994032
"102","164",130,0.513826911176793
"103","165",66,0.488525062746416
"104","166",21,0.187461680726978
"105","167",90,0.986484844106983
"106","169",120,0.811713894017019
"107","170",71,0.418003766791172
"108","172",100,0.755711159592616
"109","173",26,0.313919585641267
"110","174",121,0.58038265445413
"111","178",78,0.170059760003447
"112","180",142,0.397136030424578
"113","181",27,0.417189791593473
"114","185",128,0.430701376852551
"115","186",11,0.344587044585997
"116","187",130,0.455689997314834
"117","189",37,0.478025657912586
"118","192",122,0.514609209073386
"119","193",132,0.526436745622401
"120","194",59,0.503776759482442
"121","195",22,0.179950334649678
"122","196",115,0.150768163222967
"123","197",87,0.440819725737474
"124","201",59,0.298956092322613
"125","202",130,0.419717010181957
"126","203",136,0.505305840737717
"127","205",130,0.893587500091104
"128","206",122,0.816763156095101
"129","214",29,0.576248409967601
