"","aaeR","amiB","ampD","ampE","arfB","comR","crp","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","pval","z","inv_cof_var"
"T0175",0.03680045,0.057194839,0.083618944,0.060533244,0.247196129,0.182738103,0.269039892,0.293578262,0.042504364,0.255558158,0.246143287,0.270068295,0.194532624,0.042055788,0.037726928,0.061546881,0.060633746,0.207263955,0.040161045,0.313469974,0.051878496,0.049966014,0.186317491,0.179198172,0.24862888,0.403086344029545,0.2453664707551,1.44976955530264
"T8404",0.04617598,0.09300657,0.048094282,0.04639781,0.048157613,0.047981214,0.309379273,0.286635017,0.118842449,0.051213067,0.131150914,0.298218855,0.307558911,0.309293626,0.205526749,0.047833239,0.048276752,0.177159277,0.312189621,0.231537327,0.30085799,0.048109633,0.048242087,0.047960954,0.262782637,0.49228888571598,0.0193301008168091,1.34086665211337
"T8405",0.191220054,0.078377339,0.17653766,0.188097761,0.170064806,0.180657339,0.193747091,0.230905788,0.150173952,0.245687625,0.132136912,0.193669999,0.179864441,0.076425301,0.087909673,0.186890898,0.16395996,0.178856331,0.077852608,0.231537327,0.191694885,0.173348668,0.165631399,0.181663353,0.078459784,2.9576745637614e-05,4.01616243730139,3.26651536573739
"T8399",0.046996131,0.056517321,0.057370528,0.048757697,0.057555703,0.056091552,0.304812619,0.186515173,0.201884606,0.083854555,0.305837459,0.286345485,0.297907143,0.284704172,0.111899828,0.055167326,0.060032073,0.123083735,0.308904359,0.231537327,0.289578288,0.057065095,0.059102027,0.05596571,0.149349141,0.436339618448369,0.160256229593011,1.40876397573055
"T1995",0.084609065,0.063057991,0.058428997,0.058818438,0.15251157,0.204954027,0.083838462,0.281075975,0.12128912,0.082591107,0.219496008,0.157195183,0.145025483,0.060769117,0.112661792,0.140376779,0.228537503,0.060543202,0.065256224,0.202438023,0.070357892,0.074304795,0.16341424,0.119724693,0.076480999,0.105589781652681,1.25032852249943,1.93395395916596
"T1996",0.079457952,0.060482227,0.050175856,0.052511288,0.239256373,0.069698712,0.173723924,0.253085185,0.149955198,0.053515157,0.180664552,0.257631018,0.187416815,0.053021444,0.123871488,0.128302178,0.261672076,0.214253518,0.062962133,0.26289775,0.062524997,0.0847507,0.147920692,0.13873335,0.120299978,0.177477382698911,0.925021420317272,1.7772230407505
"T1997",0.043720365,0.066412243,0.055311381,0.056860798,0.057041706,0.223297092,0.111213524,0.260711494,0.055942608,0.168840352,0.239157056,0.230817305,0.199641995,0.058155396,0.109091927,0.150431709,0.253890379,0.144092133,0.048295117,0.241932197,0.134420434,0.080687567,0.208762508,0.138994938,0.043526093,0.207073281805261,0.816618352773389,1.7249951237415
"T0849",0.038817537,0.10301941,0.045425044,0.273701586,0.290893329,0.257210451,0.773898619,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.047626881,0.045597305,0.046620179,0.039477488,0.039952517,0.231537327,0.32520788,0.096361419,0.186317491,0.295564743,0.151911412,0.305917737219726,0.507455183473252,1.57604225078052
"T0850",0.032112149,0.10301941,0.034126827,0.287267563,0.088771879,0.200355064,0.952089544,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.060347225,0.053195734,0.046670952,0.088733689,0.062651968,0.231537327,0.32520788,0.096361419,0.186317491,0.28731239,0.151911412,0.294857308995651,0.539249632050969,1.5913606163885
"T0852",0.034650228,0.10301941,0.035369349,0.304326467,0.19377232,0.244820099,0.65644738,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.044251781,0.041274595,0.039696434,0.192044094,0.055221836,0.231537327,0.32520788,0.096361419,0.186317491,0.273860551,0.151911412,0.240146431903352,0.705831606968425,1.67161876551939
"T0855",0.037038928,0.10301941,0.095497099,0.312589095,0.27294782,0.035879012,0.860318597,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.033642655,0.051769793,0.066648625,0.045033719,0.032498275,0.231537327,0.32520788,0.096361419,0.186317491,0.318042748,0.151911412,0.362140172193027,0.352744033863946,1.50150339071653
"T0856",0.022689576,0.10301941,0.019252117,0.2325155,0.154269888,0.244142517,0.75057326,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.062023715,0.056405572,0.029866096,0.073255691,0.043824808,0.231537327,0.32520788,0.096361419,0.186317491,0.272353871,0.151911412,0.308921945068918,0.498908436876231,1.57192448195645
"T0858",0.039779407,0.10301941,0.052939936,0.289591306,0.317492789,0.309782295,0.880116602,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.069400695,0.319702887,0.057032975,0.096672055,0.04238004,0.231537327,0.32520788,0.096361419,0.186317491,0.307992987,0.151911412,0.182077937458139,0.907474601022126,1.76876909343441
"T0859",0.02517236,0.10301941,0.033409998,0.283038729,0.035675655,0.256325867,0.769925539,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.045640525,0.026284644,0.033089391,0.048482513,0.057421887,0.231537327,0.32520788,0.096361419,0.186317491,0.299561779,0.151911412,0.416358390114677,0.211218493913551,1.43331727456083
"T8143",0.040737358,0.045587093,0.053076478,0.049844293,0.073439118,0.136571232,0.192749268,0.168357034,0.154623212,0.12157739,0.095831183,0.166149906,0.107200865,0.050280702,0.05457715,0.044815419,0.042927763,0.150551423,0.063577357,0.168338185,0.050593152,0.08324303,0.186317491,0.144162266,0.040895995,0.13379906937776,1.1086107496681,1.86567522641573
"T8144",0.048279458,0.05053842,0.070553259,0.065568705,0.067154765,0.124721024,0.186084698,0.147416278,0.179196014,0.165991042,0.059226322,0.07540562,0.143934435,0.066480154,0.057358084,0.05851266,0.050181553,0.131641699,0.059049784,0.145941211,0.17181635,0.10253549,0.186317491,0.123761956,0.048754599,0.0625956927544939,1.53334291687035,2.07030851661952
"T0717",0.068946726,0.093610788,0.064595308,0.047471518,0.160843963,0.311171523,0.292703696,0.366406,0.128417053,0.400401158,0.147589521,0.180076529,0.159957051,0.050832307,0.129526186,0.056800137,0.046981336,0.387435591,0.067847589,0.091469126,0.162955888,0.119994029,0.191952249,0.146118543,0.198849276,0.388179511339517,0.284067017171623,1.46841523546871
"T0848",0.029081663,0.10301941,0.029455844,0.222969317,0.092966675,0.286333171,1.006415467,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.057619221,0.060642386,0.042011916,0.080964534,0.105530938,0.231537327,0.32520788,0.096361419,0.186317491,0.2722927,0.151911412,0.270782348413512,0.610448578245755,1.62566382142911
"T0851",0.023115265,0.10301941,0.026095067,0.234971705,0.071002853,0.27758178,0.808919773,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.072680688,0.041210181,0.039329383,0.025798192,0.15077836,0.231537327,0.32520788,0.096361419,0.186317491,0.280065623,0.151911412,0.322390082451821,0.461025702564582,1.55367281852542
"T0854",0.037888228,0.10301941,0.052358723,0.211232781,0.052415731,0.255794543,0.74763477,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.039500159,0.037924141,0.048605579,0.081595413,0.092084783,0.231537327,0.32520788,0.096361419,0.186317491,0.248175179,0.151911412,0.299205059615472,0.526688217351286,1.5853086056907
"T0857",0.031904611,0.10301941,0.032259287,0.058202187,0.113887146,0.295830811,0.828080827,0.170669728,0.234045994,0.297101956,0.247060365,0.384448045,0.271529561,0.099127655,0.051260821,0.072689604,0.043671824,0.073142648,0.099367254,0.231537327,0.32520788,0.096361419,0.186317491,0.253269123,0.151911412,0.32362895883655,0.457574847229767,1.55201021810164
"T4825",0.063518514,0.263424035,0.06686812,0.06941494,0.086729479,0.070926354,0.423505044,0.158447089,0.274566523,0.310023335,0.06345549,0.450161098,0.066820937,0.063532782,0.137116534,0.079818516,0.12316781,0.209484936,0.063659154,0.231537327,0.406827806,0.277428503,0.186317491,0.068399542,0.067603862,0.464502939865569,0.0890956685142811,1.37447926439774
"T4826",0.082365121,0.216371722,0.078783549,0.075977549,0.075956541,0.188328928,0.375251679,0.080612832,0.385391544,0.386068433,0.081502097,0.375296327,0.080826288,0.082720743,0.133242404,0.083770961,0.094329923,0.091137533,0.08088541,0.231537327,0.381597975,0.255762543,0.186317491,0.079060917,0.077967193,0.434457522207627,0.165036765138989,1.41106720772768
"T4827",0.076118013,0.216865197,0.078854373,0.079910733,0.113871048,0.076003755,0.454523201,0.080787697,0.392597802,0.286848766,0.111080971,0.409403748,0.083576988,0.076830722,0.124431206,0.116068633,0.142178888,0.182964796,0.079771901,0.231537327,0.308899809,0.076647117,0.186317491,0.082358252,0.08883008,0.360106132981347,0.358175118906822,1.50412005337484
"T4829",0.092337248,0.22913965,0.090893327,0.083626387,0.097787111,0.094371014,0.361669363,0.08345198,0.380563592,0.358399188,0.086610735,0.401006594,0.091328808,0.084863546,0.115948595,0.089727919,0.112058908,0.084237131,0.092244202,0.231537327,0.389320198,0.325139716,0.186317491,0.089483144,0.083852419,0.423953064872285,0.191790733590793,1.42395710167276
"T4830",0.096057711,0.350895612,0.091384054,0.071797507,0.079513018,0.399230091,0.400478445,0.085410714,0.371712232,0.399572727,0.094959891,0.371637632,0.095921374,0.086120129,0.13117498,0.090530466,0.110756813,0.085782607,0.093881529,0.231537327,0.403539335,0.333377084,0.186317491,0.090677903,0.075335025,0.435616060717715,0.162093631206143,1.40964922428612
"T4831",0.101093548,0.095515944,0.103506917,0.084618583,0.084899904,0.096887658,0.348201037,0.113934049,0.365502633,0.409023558,0.114604664,0.321913675,0.1143796,0.114960996,0.117443676,0.092650943,0.118744299,0.188404047,0.115495214,0.231537327,0.242572924,0.087509292,0.186317491,0.11547039,0.089435003,0.249759450469128,0.675246920499144,1.65688325569614
"T4832",0.100431421,0.097643675,0.102033847,0.087655527,0.088804553,0.097260388,0.351077623,0.115259343,0.359650694,0.404615621,0.111570845,0.316269957,0.112538873,0.112044839,0.1161106,0.095668963,0.120309532,0.188126433,0.112179633,0.231537327,0.238128201,0.089865282,0.186317491,0.113696599,0.091434939,0.231853494405226,0.73275644772947,1.68459098466973
"T5536",0.102501395,0.06263259,0.296702559,0.095820299,0.104937349,0.077852656,0.112288697,0.10554529,0.10116674,0.098897361,0.264306971,0.340896093,0.160278512,0.183713841,0.06253108,0.173595124,0.071785863,0.100681085,0.231611997,0.100646046,0.335010952,0.066349484,0.186317491,0.261561061,0.099213367,0.207778120268157,0.814154861293769,1.72380822902104
"T5538",0.075765742,0.080288856,0.294877057,0.091955846,0.099141842,0.077149376,0.250883137,0.113792829,0.070174189,0.169393488,0.258537792,0.351305788,0.138282319,0.105297,0.080527094,0.145550313,0.076783718,0.09205955,0.223895797,0.069155848,0.322161865,0.101203183,0.186317491,0.256838362,0.062532647,0.250861181784081,0.671782197792996,1.65521397405997
"T5540",0.076666954,0.06782284,0.295399646,0.090149849,0.099344327,0.065933824,0.295148106,0.1173226,0.076635265,0.076525099,0.260253408,0.340981742,0.172328632,0.092328894,0.065686852,0.173133158,0.072439773,0.107215368,0.230788874,0.080725516,0.335738874,0.066500623,0.186317491,0.262010752,0.075275202,0.313142738554229,0.486961694167597,1.56616861636287
"T5542",0.098139067,0.067523998,0.297651165,0.093378277,0.102375782,0.082653448,0.300177065,0.140914723,0.103720814,0.091985109,0.279459158,0.319200213,0.250987767,0.134067422,0.061248513,0.187100792,0.072978898,0.124614141,0.240397442,0.304283439,0.319596725,0.0608047,0.186317491,0.269292839,0.131359675,0.157620446310451,1.00428576576683,1.81541210448927
"T5544",0.112736022,0.044038446,0.310396655,0.091781762,0.102220603,0.108716433,0.313529877,0.136475012,0.143751583,0.130902327,0.274700585,0.2741384,0.18685903,0.104082363,0.044042764,0.205634554,0.061324005,0.118073597,0.242157035,0.117983428,0.317534033,0.051181055,0.186317491,0.280200907,0.136073419,0.144984376601231,1.05819016712165,1.84138290646163
"T5546",0.087674639,0.050493184,0.29749059,0.086111847,0.094486103,0.101080071,0.303148107,0.149243979,0.097963373,0.164073662,0.27574975,0.257539162,0.094724047,0.092246014,0.045352048,0.164950625,0.054891812,0.097959937,0.236569193,0.126030944,0.16683975,0.046015534,0.186317491,0.263612795,0.103221116,0.165249379234439,0.97310975056256,1.80039169619593
"T5548",0.08572004,0.065873206,0.304590327,0.065542081,0.070895332,0.117238434,0.308593223,0.100425711,0.076895667,0.108306456,0.280898252,0.374026855,0.26217774,0.062061766,0.078554021,0.122678518,0.064146188,0.111175991,0.223772523,0.074876555,0.371301379,0.067636392,0.186317491,0.25528779,0.112417179,0.379368640748803,0.307139383880359,1.47953135681996
"T5550",0.106849048,0.054747043,0.310790773,0.074729971,0.083017281,0.105399151,0.110301363,0.058129535,0.105717455,0.108282364,0.257052545,0.338186575,0.252666528,0.072331465,0.060225619,0.170627501,0.056842417,0.109402497,0.229806054,0.057507511,0.339807778,0.054893166,0.186317491,0.274669838,0.115845107,0.346172262112982,0.395675374625385,1.52218744102226
"T5552",0.07045651,0.046122651,0.311617502,0.091377713,0.10011078,0.129522402,0.316357991,0.179955623,0.143767925,0.073662285,0.28560887,0.322474382,0.116630827,0.099293576,0.045321211,0.202982132,0.063452125,0.114897594,0.254209414,0.096776658,0.323453326,0.057960338,0.186317491,0.285100023,0.144690512,0.243159459628855,0.696175515392814,1.66696652125298
"T5554",0.170044202,0.073680014,0.295908529,0.093593796,0.102487948,0.126714712,0.307911163,0.056996801,0.115975764,0.099935091,0.280400822,0.369882884,0.10721901,0.105978511,0.051744802,0.175444287,0.065536879,0.182784883,0.221514506,0.054913347,0.355566609,0.157607892,0.186317491,0.263030655,0.118867078,0.221766967433518,0.766239288867477,1.70072280720762
"T5556",0.092369502,0.100026267,0.250486902,0.115178429,0.148278212,0.146589453,0.231276339,0.087376425,0.26586019,0.252252562,0.244880632,0.205888708,0.237690362,0.190808486,0.07610021,0.114851679,0.095506587,0.157677704,0.148232394,0.224226146,0.261056899,0.07572464,0.186317491,0.232912113,0.130892475,0.00558119941377349,2.5375733048454,2.55414040947474
"T5558",0.177707985,0.099167419,0.218168385,0.110559724,0.14250838,0.126680879,0.196158974,0.109980161,0.249743393,0.231418994,0.223059539,0.096697907,0.216876497,0.174555013,0.100676974,0.139478544,0.098624512,0.09684142,0.102917248,0.228125441,0.250063036,0.124356192,0.186317491,0.21035167,0.120842503,0.000784242780374243,3.16170465965092,2.8548429757402
"T5560",0.110983027,0.050949569,0.304055791,0.102057389,0.115508768,0.089169992,0.287149174,0.098877451,0.088671611,0.146159861,0.270214086,0.320784011,0.260112928,0.139727752,0.072934786,0.178123353,0.059280241,0.091509179,0.203687151,0.153422601,0.366668107,0.101994583,0.186317491,0.252003056,0.149570397,0.150724411754465,1.033331430085,1.82940612310748
"T5562",0.11340114,0.054764871,0.305445316,0.090397971,0.100013063,0.073480882,0.269745079,0.122446818,0.055022102,0.194944436,0.284048114,0.317413193,0.280650878,0.092846556,0.054638615,0.158956886,0.062144595,0.075607408,0.24623225,0.315751731,0.247805733,0.086294105,0.186317491,0.274600753,0.072502159,0.249614821171916,0.675702352047734,1.65710267975546
"T5564",0.147314208,0.080887516,0.258302069,0.096973211,0.154597107,0.078592931,0.246476845,0.165016342,0.279540863,0.264019779,0.255392971,0.263827107,0.245117483,0.189205708,0.067599439,0.097579956,0.077678085,0.144461058,0.212576232,0.187430849,0.279693168,0.067937045,0.186317491,0.239738474,0.113494347,0.0227116959157107,2.00071240480995,2.29548420012832
