"","aaeR","amiB","ampD","ampE","arfB","comR","cyaA","hflC","hflK","hflX","hfq","miaA","mutL","narQ","nlpE","rof","sohB","speC","spf","trxA","tsaE","yaeP","yaeQ","yjeF","crp"
"aaeR",1,-0.171436871866798,0.352772725157747,0.195375517915122,-0.145459975137643,-0.188249961032801,-0.397799822747381,0.129753458113055,0.181751322679601,-0.111458153833697,0.0550187105580593,-0.126677860024392,0.414095264390953,0.244186090164293,0.366462985228095,-0.00387854690072797,-0.180837745447394,0.410964820616914,-0.104366760907925,0.170395738731847,-0.145500215487956,-0.171987816303082,0.315274641347898,-0.454898751400128,-0.235737030666162
"amiB",-0.171436871866798,1,-0.266141847934191,-0.0463977639173915,0.277375017800993,0.112904902975695,0.181934836537624,0.0929329879982352,0.196780295857648,0.0764448328353548,0.0807127603934598,0.139222484791484,-0.0516886652691735,0.042597747534666,-0.208666164331437,0.225406345332086,-0.111951802994557,-0.217832549495577,0.00049130448823177,0.0886509969715477,0.437288926720506,0.0247164994654574,-0.319726287691356,0.305273157576105,-0.0881105931394836
"ampD",0.352772725157747,-0.266141847934191,1,0.121352454334171,-0.286505655360234,-0.214831411912404,-0.349537522927448,-0.0379788477093917,0.00493185491491705,0.151003323217637,0.316660938242532,-0.240772140266288,0.205877621751111,-0.0660280258352393,0.378331204621221,-0.05336178993851,-0.120229986336868,0.530910270101845,-0.304625591701638,0.0746449775460024,-0.204126251474319,-0.23820819391795,0.424079088671635,-0.493892120776283,-0.290910197543815
"ampE",0.195375517915122,-0.0463977639173915,0.121352454334171,1,0.0730851299517439,0.0846810580254112,-0.161347902324506,0.0706596920019278,0.0412501638209591,-0.0302361189641038,0.0321697766978919,-0.044819224763711,0.153608932636705,-0.0168763240789346,0.330073062205596,-0.0579735176848544,-0.100830019555831,0.084620036074819,0.0539119297329633,0.0479564627231545,-0.0137200507196108,-0.029738357629656,0.323367861159863,-0.202616480954553,0.0353971074725394
"arfB",-0.145459975137643,0.277375017800993,-0.286505655360234,0.0730851299517439,1,0.0703601688621946,0.164141509016261,-0.144302064530881,-0.168930134207791,-0.0785689101454033,-0.16441936502905,0.0299253531169443,-0.0956748425801524,0.0711409516994044,-0.0746068223095495,0.13975457361646,0.119606022278838,-0.264064515315031,0.0773814570934353,-0.0222776736740751,0.347719552329305,0.118308174022344,-0.155119197611615,0.457999840949748,-0.0203351150654439
"comR",-0.188249961032801,0.112904902975695,-0.214831411912404,0.0846810580254112,0.0703601688621946,1,0.293120680589498,-0.0674456283577921,-0.0593928604621659,-0.0135237444271391,-0.0844670174481074,-0.00778408071876597,-0.0681283965397856,0.0452967220179001,-0.131729185027035,0.0168077491631987,0.230349617995603,-0.297151768683529,0.126658330580077,-0.0500817001486268,0.12881572499336,0.316757631796161,-0.159267165400424,0.237249218888617,0.1144045092278
"cyaA",-0.397799822747381,0.181934836537624,-0.349537522927448,-0.161347902324506,0.164141509016261,0.293120680589498,1,-0.0540452438195767,-0.0725846592506565,0.117497868279141,-0.107253227966312,0.1264634036415,-0.278590159308182,-0.00184806338280787,-0.243460684147678,0.104480678996776,0.280047192434936,-0.328784647347595,0.171903488283065,-0.0633824085854127,0.113859437919193,0.199526098698084,-0.364396424913124,0.449118516114492,-0.0508140119867803
"hflC",0.129753458113055,0.0929329879982352,-0.0379788477093917,0.0706596920019278,-0.144302064530881,-0.0674456283577921,-0.0540452438195767,1,0.347542822662613,0.0630696539942379,0.09843571736762,0.227669330897763,-0.00156774037980053,0.0894287407105774,0.177177547075398,0.110207648252932,-0.0196171745130001,-0.0957332354955917,0.204783828197701,0.23967464013702,0.00910782087823889,0.183828889232924,0.124292619392647,-0.133121564711667,-0.200291237048015
"hflK",0.181751322679601,0.196780295857648,0.00493185491491705,0.0412501638209591,-0.168930134207791,-0.0593928604621659,-0.0725846592506565,0.347542822662613,1,0.0613913295497257,0.286602359385183,0.170018498672213,0.105040536596646,-0.067053177078752,0.00322000225320184,0.186739688500751,-0.218617978737411,-0.0397973932833559,-0.0494221891279014,0.168031797119035,-0.100461665909262,-0.0441564707361519,0.0926320535812201,-0.203383612220525,-0.154536348510633
"hflX",-0.111458153833697,0.0764448328353548,0.151003323217637,-0.0302361189641038,-0.0785689101454033,-0.0135237444271391,0.117497868279141,0.0630696539942379,0.0613913295497257,1,0.292627805948835,0.285068932847296,-0.130440917831625,-0.214548980473803,0.131590136464429,0.102891894734523,-0.0602684514345346,0.0913131978774798,-0.168973686633473,0.0694031203564599,0.00167221367203956,-0.0548385305547045,0.168541586394707,0.00867280382703889,-0.0841528203820334
