"","aaeA","aaeB","aaeX","agp","cpdB","crp","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","pval","z","inv_cof_var"
"T8404",0.04664006,0.310152209,0.047748624,0.106926789,0.312445284,0.309379273,0.253028546,0.306556007,0.045994443,0.04765645,0.047094529,0.091644601,0.29239504,0.258858407,0.070878208,0.048089294,0.046693505,0.045934766,0.048198168,0.047589436,0.311335154,0.0471992,0.154555007,0.248125605,0.232372772,0.046359909,0.312176439,0.310605763,0.04557578,0.046480055,0.045114592,0.30006984,0.292489748,0.310487715,0.309262418,0.309597493,0.308008662,0.29653144,0.113436328,0.048113819,0.194214473,0.046760403,0.147591993,0.062808215,0.048290713,0.047746007,0.047953886,0.16213884,0.375539406349443,0.317217182826935,1.34951249048677
"T8405",0.193561474,0.075979941,0.182247192,0.188850686,0.078970357,0.193747091,0.164814166,0.115844714,0.19000751,0.19000391,0.195669452,0.189206244,0.190779375,0.192557791,0.088251303,0.105848411,0.193341716,0.178070182,0.168626524,0.180076821,0.076055282,0.190875064,0.193104266,0.152762497,0.175834221,0.190698232,0.196330702,0.075834614,0.169495584,0.19454065,0.144062388,0.191811547,0.19348916,0.190212913,0.194000554,0.182736906,0.164655867,0.192281363,0.190081074,0.175287771,0.13582427,0.194527012,0.07604214,0.088982795,0.160853708,0.187936975,0.1888857,0.190075177,5.06404508625145e-11,6.46502673421922,4.02192846729832
"T1011",0.067969847,0.056795928,0.051412009,0.050610156,0.07302186,0.219845316,0.155109391,0.168009818,0.123182965,0.060035086,0.070868446,0.372262745,0.299185412,0.401656269,0.071917763,0.050231097,0.046889152,0.047561879,0.050453725,0.048986452,0.156319525,0.093997338,0.151021453,0.050385664,0.05974876,0.068551385,0.217388618,0.120857497,0.050860072,0.095344763,0.084858782,0.372579161,0.297843183,0.466227504,0.254354759,0.123398192,0.285457643,0.047885994,0.173116258,0.051423598,0.199029541,0.078197981,0.061568708,0.048549235,0.305488653,0.072394026,0.060272773,0.222061033,0.479856756142187,0.0505130976872959,1.23357782265916
"T8399",0.049138696,0.290592387,0.052898658,0.082485571,0.309905881,0.304812619,0.274484641,0.311710291,0.046267405,0.053684416,0.050246047,0.071817922,0.275870948,0.229269271,0.050986284,0.042033417,0.049570864,0.047166209,0.058375185,0.059487758,0.301532506,0.049532532,0.129936121,0.274098428,0.232131221,0.048128067,0.312310058,0.31137663,0.045698603,0.047791098,0.041671914,0.28834947,0.277576644,0.310545044,0.304596003,0.303773566,0.297777732,0.283038111,0.083193936,0.057485281,0.077114625,0.049555331,0.082601298,0.047795297,0.059839839,0.05429588,0.057729856,0.11635186,0.421830015370789,0.197214056998896,1.29734785069933
"T0717",0.127521889,0.08712373,0.085957807,0.130585599,0.087043494,0.292703696,0.136019889,0.237329327,0.179697497,0.070018686,0.078982135,0.396007829,0.059863951,0.399223527,0.136218824,0.079724214,0.056736739,0.066579925,0.079792334,0.074233642,0.164992509,0.110563255,0.222967288,0.08303975,0.064136877,0.048977301,0.116214565,0.075611828,0.081339284,0.048166407,0.049327789,0.262658476,0.200745909,0.054844881,0.394267567,0.19810189,0.395675816,0.339781802,0.199425874,0.068825282,0.175665339,0.147485181,0.101271264,0.04736748,0.152735293,0.100685671,0.114534326,0.172983605,0.305895545980143,0.507518453238092,1.43223531252656
"T0718",0.098076979,0.069219719,0.068080661,0.130585599,0.090210985,0.32132625,0.194726927,0.334064948,0.098222582,0.075383235,0.063731943,0.391250855,0.078032916,0.380980238,0.104528509,0.064764302,0.047872206,0.054924503,0.065082386,0.060428908,0.164992509,0.091922815,0.39030241,0.08303975,0.069573396,0.050670284,0.176509398,0.081455034,0.066013002,0.049078937,0.043302121,0.253586988,0.21870464,0.184363026,0.121642483,0.171535771,0.386957629,0.347373004,0.192526829,0.048881879,0.109218992,0.144261099,0.078418812,0.043558169,0.148605573,0.100685671,0.085789695,0.087104347,0.396737920340639,0.261799738502996,1.32542285947798
"T0719",0.101067919,0.064911003,0.063711203,0.130585599,0.081676507,0.283606566,0.196037839,0.328440327,0.16244663,0.067608832,0.059015336,0.414840237,0.081676427,0.409590782,0.110148313,0.059685155,0.043740603,0.051040306,0.060078406,0.056370548,0.164992509,0.284712505,0.408253347,0.08303975,0.062730721,0.048176638,0.174029175,0.073170173,0.061173052,0.04695318,0.042513807,0.266402445,0.216960499,0.213395948,0.109073383,0.221300207,0.403481026,0.368563997,0.191327563,0.0447801,0.126956726,0.142830971,0.075386866,0.043067763,0.147717211,0.100685671,0.085698098,0.092852492,0.427887960676463,0.181753827295113,1.29062738147851
"T1009",0.071226965,0.063819801,0.058875886,0.064978967,0.062240161,0.223076342,0.130174633,0.173732516,0.051304421,0.056239382,0.070868446,0.312470333,0.219805958,0.287920969,0.074268605,0.056618888,0.051137179,0.053295133,0.057291519,0.055578186,0.128734455,0.180415556,0.088454036,0.057459092,0.051928704,0.063153583,0.164989826,0.120857497,0.057394588,0.095344763,0.084858782,0.228227259,0.39000541,0.422787521,0.464005963,0.087569191,0.0771786,0.169208136,0.15674375,0.058619862,0.170215761,0.192735439,0.07037884,0.05156089,0.138171077,0.059981264,0.065180464,0.164104977,0.456965366449863,0.108081890981,1.2586026321751
"T4826",0.094951648,0.079114747,0.078820223,0.079918213,0.297667313,0.375251679,0.256430423,0.077248656,0.080366325,0.081521815,0.076843122,0.280572792,0.080777948,0.384980656,0.080501654,0.12471857,0.078537955,0.185218716,0.079397246,0.076817492,0.371853934,0.325141098,0.07526931,0.13027372,0.305764358,0.12901959,0.322082948,0.082274545,0.094513438,0.080415889,0.127214811,0.36855937,0.356096863,0.248520192,0.381308118,0.385267987,0.372071061,0.368683549,0.078547891,0.079788197,0.102981965,0.090970975,0.082223826,0.094176618,0.086050235,0.076656053,0.088241384,0.385388531,0.303602118249962,0.514068304335028,1.43508249355435
"T4827",0.097226728,0.083812915,0.084591755,0.077404702,0.102275109,0.454523201,0.22560147,0.081800021,0.079939264,0.075950663,0.077312846,0.083331207,0.076535679,0.29145466,0.079647207,0.104929925,0.076543677,0.171016311,0.083061394,0.077355777,0.311389256,0.119307191,0.102692179,0.111676871,0.083332195,0.124830499,0.255622093,0.077272466,0.095914988,0.076044879,0.079020955,0.459411166,0.11166052,0.139592348,0.385570274,0.508385915,0.416018553,0.286335141,0.086413466,0.081220263,0.247866244,0.116181873,0.075930739,0.095852596,0.077090839,0.081520395,0.106508647,0.215331514,0.400579595291967,0.251847176665601,1.32109654047898
