"","aaeA","aaeB","aaeX","agp","cpdB","cstA","dksA","glgS","glpR","gluQ","gpsA","grpE","grxC","hofB","hofC","hofM","hofN","hofO","hofP","ilvB","ilvN","ivbL","lacI","mhpR","nadC","ompA","patZ","ppdD","preA","preT","priB","raiA","rmf","rplI","rpsF","rpsR","secB","sfsA","sxy","ubiG","uhpA","uhpB","uhpC","ychH","yeiP","yfiP","yibN","crp"
"aaeA",1,-0.31742838291119,-0.0995377556180088,0.0449925993244783,-0.0213392604258722,-0.131407140871618,-0.0913131873797498,-0.0856272866423915,0.134497200881075,0.360463031518334,-0.0175261369997688,-0.28363272040894,-0.0979771295257074,0.118257164156211,0.311568917663772,0.241233514091438,0.503215371808528,0.163503300150658,0.234537956728672,-0.0367489562059896,0.055364352980145,0.0210012283821351,0.370934319292739,0.255312099791939,0.413092383325628,-0.186983652539084,0.0331013739028287,0.425311650919495,-0.0258575106307351,-0.0135512172376804,-0.323530404931701,0.0475755445890418,0.279876764801571,-0.0370153016149869,-0.217151902839763,0.0622702494270024,-0.157289327006538,-0.0920289652393441,0.0189658420868833,-0.189140600649549,0.302298205716397,0.0626660756575469,0.323554489367824,-0.0485065626533738,0.123704864399358,0.57796723588035,-0.043922000988246,-0.105574913754943
"aaeB",-0.31742838291119,1,0.431992683317065,0.157611366598011,-0.0183537301019104,0.145258007295509,-0.125686766134598,0.0788966167131425,-0.012896571983638,0.116084984973452,-0.0768501756762014,0.0846888409013074,-0.0839192085468299,0.21417030489834,0.203847028450974,0.198725064327298,-0.0277886479057783,0.242276934687476,0.140556591228001,-0.177232638148463,-0.0957237860087643,0.0094918583685699,-0.0378842094511729,-0.072252922653361,-0.175740487725239,0.238723749149525,-0.106444341698174,0.115564783273313,0.132807107868164,0.0853987343734277,0.160012743250455,-0.363625101742268,-0.571172232233561,-0.142914048801888,0.229777890680546,-0.132427473532565,0.322031098818293,0.0195947871960102,0.340676374221571,-0.0517863065445881,-0.455011751802466,0.214736788413065,0.00712665349571137,-0.055053886063995,-0.15533278863459,-0.215496402843116,-0.325902259248104,0.00956553695688854
"aaeX",-0.0995377556180088,0.431992683317065,1,0.00374979544362478,-0.115021674241482,0.191486822517122,0.0961028126797517,-0.0291608838170949,0.0424010959734445,0.241721664315638,-0.282210076150943,-0.084074204270584,-0.062381898275716,0.19492435308506,0.210869063712439,0.415397973857876,0.0707220177628294,0.267431130838629,0.31431668809913,-0.207680106547408,0.0940530601396481,-0.0814484854308316,-0.0586787251419481,-0.0684227968908062,-0.0585518014997342,0.0142511100866129,-0.124371341796005,0.0971878919905768,0.32533799421773,0.303390583115673,0.250781193002672,-0.278858266663485,-0.455579508797778,-0.162618963580101,0.17659535159376,-0.220057278058489,-0.0123817487391321,-0.16057742403545,0.389781446627011,0.122791132889819,-0.301393670741207,0.400209943714806,0.128062995726607,-0.090676810435237,-0.00757266165531288,0.0107134056848991,-0.257076327466981,-0.181684026248997
"agp",0.0449925993244783,0.157611366598011,0.00374979544362478,1,-0.140118854184276,0.181090701778888,-0.141796401612835,0.203835769440171,0.0856529164788723,0.0771262274067942,0.0561641944130354,-0.0336543527464397,-0.0784518820595934,0.0280223036531505,0.227920574399049,-0.0195188692418545,0.314792783584315,0.0325649975034808,-0.0332185647253604,-0.0931339892217315,-0.127262479300716,0.0939130581014538,0.149511980577615,0.0225256790525139,0.260603261309292,-0.0367999055607242,-0.0861847209064752,0.192553663067457,-0.0362743818267267,-0.0164160474022052,-0.0377203461624493,0.0525309778502677,-0.02836037646822,-0.26793162361408,0.0660504114812763,0.291922312952781,0.132993057869055,0.060345296433391,0.0138943090959029,-0.2368182129515,-0.00823400052630747,-0.0315154534140528,0.0426273119587397,0.0163430149802615,0.260854508099965,0.0236797618846115,-0.0595837424907397,0.087395017353319
"cpdB",-0.0213392604258722,-0.0183537301019104,-0.115021674241482,-0.140118854184276,1,0.0160376392646317,0.00736437948905459,-0.271877810625968,-0.0790646154336343,-0.0681355137677001,-0.0341706890379118,-0.0271242573151929,-0.0103492088094743,-0.073749283361953,-0.0446618594975036,-0.0816715252277912,-0.0857561833770271,-0.0824880072059272,0.000609603515086958,0.227999984541069,-0.0857714622528774,-0.113773851032984,0.179979592800557,0.312260518515216,-0.0724948831377914,-0.00804787104088592,0.235810816708515,-0.0351437337182366,-0.114227672970745,-0.0994925044150482,-0.145741298375704,0.0371014691748054,0.191620607182956,0.0394148625808185,-0.0996061590220134,0.0863552689772351,-0.0278062975633412,-0.24436074024637,-0.118729007914584,-0.184578561363537,0.108098179509253,0.11273641130286,-0.0793720274475364,0.0350333750352812,-0.143588684201171,0.0116165107553226,0.0540905179861076,0.0255092896858162
"cstA",-0.131407140871618,0.145258007295509,0.191486822517122,0.181090701778888,0.0160376392646317,1,0.144895420901185,0.0211082096813308,0.0687078909502408,0.0142426418915977,-0.233846279387813,-0.170223621286237,-0.0344401201009679,0.0409564869236446,0.124586720271413,0.0512654482574076,0.123058079288987,0.0222816782651713,0.0509255736984619,0.121178172660971,0.134975453833784,-0.0773109975152155,0.00405506388766233,0.108017802689128,-0.0168170566131866,0.00142758517699747,-0.127306469250052,0.0231098710418248,-0.00701291831161479,-0.0174125136951797,0.130023547461461,0.0524783688073749,-0.0625040405232254,-0.0626687682246191,0.0810358663811245,0.0756746321228143,0.00773192028596785,-0.0787368108643708,0.1327872363761,-0.0942902183588545,-0.170702037974616,0.138969098620721,-0.0406153021850716,0.0147220613275091,0.0116900594916965,-0.0312817196528589,-0.117094553225068,-0.0343247581766446
"dksA",-0.0913131873797498,-0.125686766134598,0.0961028126797517,-0.141796401612835,0.00736437948905459,0.144895420901185,1,-0.0308888306222514,-0.10669225583202,0.00624517064027491,-0.129564960310346,-0.0163783852594729,-0.0653850262365789,0.163128381801128,0.00382217216796238,0.118016242149983,-0.043735825819654,-0.175896712637144,0.116490017586276,0.0102204055766154,0.0359303660144827,-0.169775770986256,-0.0952731421305754,0.0277610730288164,-0.0447986663639301,-0.116097066772162,0.0261310004802851,-0.120176416658097,-0.0721360172217238,-0.0425003839720379,0.135279859160165,-0.0566334813647961,0.0304148655167495,-0.0615550739782693,0.0491825619075295,-0.0507443112004708,0.0408157109120408,0.0555081485336684,0.174034053479188,0.00115711193857472,0.0350760793301819,-0.0195068262088856,-0.0351562935973142,-0.141118141933224,0.0160291279576519,-0.0168297497266583,-0.0278735294316626,-0.226325802706751
"glgS",-0.0856272866423915,0.0788966167131425,-0.0291608838170949,0.203835769440171,-0.271877810625968,0.0211082096813308,-0.0308888306222514,1,0.0177422631240309,-0.0158448256552298,0.0644723666214351,0.249397320447804,0.16124171363499,-0.0229932057062178,0.0317650984459242,0.00776250717300639,0.0869364276566643,0.0249319525981041,-0.0643159550140389,-0.22203918730415,-0.0111729325438595,0.197987613765983,-0.0760516268545938,-0.1633389693771,0.123452463402008,0.217075031039507,-2.03239247794114e-05,0.0396236870033844,0.161604891974082,0.119800822420182,0.056580270258564,0.0658471510855292,-0.174366324375656,0.0375602541782367,0.211258161471498,0.0634609985759572,0.0979885745185556,0.268071120022721,0.105295970758183,0.242865124660488,-0.145433320227829,-0.17340971327722,0.0725575913226687,0.162996072497765,0.174687966359409,-0.14441820485167,-0.0496095790265208,0.0372654245951914
"glpR",0.134497200881075,-0.012896571983638,0.0424010959734445,0.0856529164788723,-0.0790646154336343,0.0687078909502408,-0.10669225583202,0.0177422631240309,1,0.13378531374453,-0.175370298169449,-0.156292214254555,-0.113079488236226,-0.031327253003123,0.049925766573489,0.15530780708793,0.126078486397848,0.112382505395756,0.0386359983804263,-0.12503118138131,-0.0792823445723809,0.0895865608984254,-0.0265009226002544,0.0388208072505203,0.0855637171275017,0.0385000050395175,-0.0292270800245148,0.0947444174268095,0.078749313410635,0.0509288241660651,-0.171259735394894,0.0368205066588899,0.0779517757387021,-0.0900170775136325,-0.125278262619993,0.0184815237957765,-0.0974794607784683,0.0696878978661189,0.092442336434686,-0.0260270332523583,0.0341578973627217,0.0648715868121949,0.0981229222663903,-0.0186678775916452,-0.0320152470169,0.107512446138452,-0.10794945967307,-0.0998803538533004
"gluQ",0.360463031518334,0.116084984973452,0.241721664315638,0.0771262274067942,-0.0681355137677001,0.0142426418915977,0.00624517064027491,-0.0158448256552298,0.13378531374453,1,-0.260882513866219,-0.122097451986799,-0.0804802662436105,0.35070447857565,0.347324063812222,0.452093279087887,0.416759538177749,0.328644934746956,0.291536409305923,-0.113634030295525,0.0471399278239304,-0.0336601035135356,0.240194584356791,0.144644778652365,0.275937688949562,0.126026794428082,-0.0336621509832198,0.368106885242624,0.286870315574041,0.193478637595624,0.028806476492093,-0.118362242129421,-0.206418608919182,-0.0271304328474389,-0.0452856088067417,-0.144844888849202,-0.173492678891274,0.0641999735219541,0.374605214326114,0.00979964065316615,-0.0972849949839918,0.229244585109761,0.264229118292292,-0.127945497440815,0.149360216365442,0.377605815346405,-0.220090474112474,-0.325393945981281
