"","alaE","kbl","lrp","tdh","yojI","pval","z","inv_cof_var"
"T8404",0.048062897,0.048496321,0.308803298,0.045730805,0.10017903,0.491845639483811,0.0204413741127906,2.29589468635657
"T8405",0.176394386,0.167174014,0.195047215,0.19066761,0.07782581,0.380092771154018,0.305237146976176,2.99738376922802
"T8399",0.056630812,0.043693187,0.303920817,0.044874058,0.067280163,0.151262447440178,1.031033959698,4.785115853129
"T8400",0.057793022,0.036367843,0.423001688,0.035900631,0.035147706,0.270273447197889,0.611986190276643,3.75294661657323
"T8401",0.062674357,0.049729208,0.415281383,0.045001482,0.043244162,0.0795654344000793,1.40800067945252,5.71363398334896
"T4826",0.082337565,0.081680875,0.374355167,0.08198812,0.078850516,8.00809556114194e-87,19.7150487139158,50.8062777633516
"T4827",0.075923004,0.077951555,0.336582882,0.077944652,0.081775926,5.03842544894007e-34,12.1038526226168,32.0589104412907
"T4828",0.069721852,0.072923808,0.41285353,0.073285262,0.069634133,5.34900069569829e-43,13.6961987958063,35.9810664670418
"T4829",0.089848812,0.093238338,0.358202096,0.094323679,0.084927086,3.32067203330646e-15,7.79112828619584,21.4361086734972
"T4830",0.089736868,0.095902549,0.402336677,0.095946879,0.074982362,0.00296846741620579,2.75124430430985,9.02221798724879
"T4831",0.102479593,0.115547786,0.408844654,0.098511692,0.127822937,0.0066713806518492,2.47448717025289,8.34052911878066
"T4832",0.102411838,0.112382285,0.40474559,0.096318352,0.129134566,0.0137188889422642,2.20523258278344,7.67731999975529
"T5075",0.05554332,0.059204521,0.487278611,0.061887648,0.06128354,2.79636174330741e-14,7.51728075451867,20.7615865346627
"T5076",0.042256855,0.041943639,0.57950597,0.049687106,0.055585849,0.0213208597127797,2.02720238433076,7.23880843274584
"T5077",0.041583531,0.04451728,0.484007323,0.044786017,0.063009512,0.136353987665222,1.09684769805006,4.94722366285088
"T5078",0.046283213,0.04602517,0.63418634,0.05193359,0.054403766,4.46886961297537e-05,3.9177552294295,11.8954863324719
"T5079",0.036830727,0.043514987,0.511922156,0.043369163,0.067685444,0.302149338863044,0.518228750225075,3.52200982993174
"T5080",0.04829651,0.049460947,0.607264134,0.05321198,0.057427935,1.24539437789306e-05,4.21563269974546,12.6291973400445
"T5081",0.039187735,0.046143524,0.536602581,0.046104559,0.056602861,0.0404580706314408,1.74539496643896,6.54468005739908
"T5082",0.057867442,0.058026764,0.570456034,0.065304281,0.061737221,6.47495849231003e-10,6.0680170386252,17.1918612375508
"T5083",0.039309423,0.047593054,0.503628445,0.047553153,0.065496667,0.17743665832486,0.925178016445932,4.52437887728911
"T5084",0.043503005,0.043161753,0.598599246,0.048984633,0.056614563,0.014283220175883,2.18941844333477,7.63836771452045
"T5085",0.033698319,0.044643604,0.40870078,0.044080718,0.050552536,0.0553842286886818,1.59474863544866,6.17361852266545
