"","apaG","apaH","fis","flxA","lptD","pdxA","queA","rsmA","surA","tpr","trmA","tufB","pval","z","inv_cof_var"
"T8405",0.174723533,0.185755234,0.176609489,0.192664644,0.1626924,0.091817308,0.185806776,0.191625323,0.23104925,0.162527603,0.101759859,0.193346898,9.882911841379e-05,3.72199078668691,4.17448508439884
"T1010",0.216207397,0.222289603,0.298956916,0.082567701,0.219267684,0.195121261,0.125064898,0.235389954,0.207687279,0.033710103,0.0921328,0.197438194,0.161613509456072,0.987848156468994,2.3845324010013
"T1011",0.25812333,0.236105122,0.259738,0.099526449,0.219267684,0.157295512,0.126686315,0.235389954,0.237654308,0.047261936,0.139702593,0.21366637,0.093285588318941,1.32079065460434,2.60249883456184
"T1012",0.33081636,0.330690147,0.246751783,0.075167155,0.219267684,0.141318411,0.107423754,0.235389954,0.328061955,0.033093831,0.230319277,0.324833433,0.378832136212936,0.308549458238957,1.93981802718372
"T1997",0.319255373,0.080623487,0.046073318,0.211201104,0.408906232,0.340687191,0.168937129,0.48629275,0.606611994,0.166825694,0.130403117,0.307859886,0.454180270294126,0.115106711084571,1.81317746332799
"T0717",0.197769579,0.079122064,0.073641298,0.340563479,0.380111081,0.38303385,0.162455374,0.395127597,0.354336629,0.053191755,0.12433528,0.266739278,0.394541864677821,0.267500629758343,1.91294471784091
"T0854",0.261811395,0.050397603,0.507112679,0.08337692,0.216704347,0.252869285,0.112992687,0.299215172,0.224142693,0.04273496,0.140897122,0.266739278,0.406892203270112,0.235546739128279,1.89202556327811
"T0857",0.270633064,0.059338894,0.522414207,0.031177647,0.239647666,0.239145817,0.121063506,0.289219486,0.226821665,0.036690062,0.140897122,0.266739278,0.488416597142474,0.0290393660121203,1.75683202122753
"T1008",0.306230892,0.255851697,0.154564605,0.090399445,0.219267684,0.129064995,0.111312526,0.235389954,0.218523264,0.045529439,0.05921796,0.253148942,0.375780860309498,0.316580781205609,1.94507586850352
"T4831",0.101575815,0.091233123,0.164476429,0.320366443,0.197196112,0.089734111,0.115869992,0.107450993,0.101573054,0.088076587,0.11658231,0.224569689,0.406011224023835,0.237817753902355,1.89351232148303
"T4832",0.104337701,0.089062953,0.160669063,0.320276182,0.187372446,0.091222367,0.112341612,0.106966759,0.107749644,0.091708722,0.116142184,0.289425269,0.477578400021733,0.0562322374109533,1.77463429408326
"T5544",0.113253588,0.105385792,0.061259888,0.116654632,0.118133553,0.14072398,0.281986364,0.10445282,0.31181411,0.044289541,0.128718066,0.099004145,0.482344485473838,0.0442702682275892,1.76680318878472
"T5546",0.100587979,0.134220194,0.061718266,0.103905562,0.087756437,0.124911299,0.256430662,0.1007529,0.316289573,0.060728816,0.167107825,0.111201538,0.439048323641989,0.153382496548308,1.8382353531918
"T5550",0.064818176,0.13616973,0.055498615,0.137795603,0.120677044,0.143450178,0.27135832,0.144117036,0.316692272,0.073099344,0.108184576,0.096476229,0.41974278602869,0.20255153764218,1.87042469696391
"T5552",0.101359517,0.158744618,0.06282044,0.087899531,0.103851899,0.144804773,0.282710923,0.12902616,0.326887194,0.083372464,0.137355275,0.104921304,0.413257824615634,0.219172535028527,1.88130591381911
"T5554",0.127259966,0.113943304,0.065651484,0.133763394,0.122089482,0.112405118,0.255627864,0.10157196,0.308670195,0.136029002,0.160422534,0.1042659,0.210689633773274,0.804030661195923,2.2641931709688
"T5556",0.126917818,0.111519775,0.096390605,0.092961785,0.165071469,0.136508924,0.090041466,0.103521505,0.14938992,0.079665067,0.168443309,0.134418092,0.000190389255790603,3.55305937366965,4.06389127970904
"T5558",0.117177541,0.119649637,0.098034084,0.136038229,0.160370982,0.168639766,0.099367682,0.097193856,0.178645931,0.102549092,0.157329372,0.124964608,8.80367818867005e-06,4.29325376905241,4.54847205088321
