"","apaG","apaH","flxA","lptD","pdxA","queA","rsmA","surA","tpr","trmA","tufB","fis"
"apaG",1,0.166330915626302,0.185297552782237,0.327609985956012,0.265541634997328,0.191917700843365,0.397085117392651,0.360807365249088,0.0607911124040872,0.369349541947049,0.425456813530644,0.465744495789416
"apaH",0.166330915626302,1,0.0626701494031024,-0.103422292738814,-0.215467690789811,0.311507044346141,0.229346045522913,0.205436640802702,0.157437225856027,0.0915656035181864,0.268020457663094,0.0192137151836602
"flxA",0.185297552782237,0.0626701494031024,1,0.200569495128595,0.182449689368896,0.350516816256364,0.559879464799869,0.387632148298541,-0.0263611716251833,0.384680328991895,0.480720488780027,0.196929822460057
"lptD",0.327609985956012,-0.103422292738814,0.200569495128595,1,0.493997291348787,-0.124926812529467,0.263077259584822,0.194911838675961,0.0595129347513683,0.365946795453974,0.205992157854445,0.329025517461109
"pdxA",0.265541634997328,-0.215467690789811,0.182449689368896,0.493997291348787,1,-0.200829259735355,0.228694654066993,0.32788779441948,-0.0692034970959418,0.428335097110565,0.125255890657701,0.396427481343767
"queA",0.191917700843365,0.311507044346141,0.350516816256364,-0.124926812529467,-0.200829259735355,1,0.48141488946452,0.442611402657675,0.044092698926177,0.23172192909598,0.446733360744661,0.092989890907923
"rsmA",0.397085117392651,0.229346045522913,0.559879464799869,0.263077259584822,0.228694654066993,0.48141488946452,1,0.498676965796397,-0.0426082987886447,0.469049955157685,0.640153991262635,0.297605402510725
"surA",0.360807365249088,0.205436640802702,0.387632148298541,0.194911838675961,0.32788779441948,0.442611402657675,0.498676965796397,1,0.082086464809191,0.546321333851028,0.508434460328126,0.340947364729617
"tpr",0.0607911124040872,0.157437225856027,-0.0263611716251833,0.0595129347513683,-0.0692034970959418,0.044092698926177,-0.0426082987886447,0.082086464809191,1,-0.0166014914430495,0.12703652361842,-0.0371078586231097
"trmA",0.369349541947049,0.0915656035181864,0.384680328991895,0.365946795453974,0.428335097110565,0.23172192909598,0.469049955157685,0.546321333851028,-0.0166014914430495,1,0.469138577283115,0.456578982554218
"tufB",0.425456813530644,0.268020457663094,0.480720488780027,0.205992157854445,0.125255890657701,0.446733360744661,0.640153991262635,0.508434460328126,0.12703652361842,0.469138577283115,1,0.380033734293114
"fis",0.465744495789416,0.0192137151836602,0.196929822460057,0.329025517461109,0.396427481343767,0.092989890907923,0.297605402510725,0.340947364729617,-0.0371078586231097,0.456578982554218,0.380033734293114,1
