"","aldB","crp","fis","hupB","pval","z","inv_cof_var"
"T5084",0.475572795,0.550315224,0.116079188,0.488443825,0.4918531192709,0.0204226211530274,52.9610053879553
"T5568",0.124329031,0.219278513,0.105696155,0.122394729,0.471877871654379,0.0705502036736214,90.1927639923038
"T5578",0.118275555,0.145163587,0.100039824,0.115254748,0.490938354863012,0.02271612943629,54.6644856370662
"T8188",0.448464575,0.407962889,0.059053149,0.453169883,0.447671953491852,0.131545359021803,135.496303196997
"T2861",0.052340642,0.328755412,0.470638518,0.051012178,0.490751738860788,0.0231840295949504,55.0120137818959
"T0321",0.479944732,0.481417267,0.273803678,0.481476147,0.292258790490127,0.546797907285877,443.920964020344
"T0054",0.073715878,0.277164249,0.208579025,0.076008106,0.495491187078697,0.0113021585696221,46.1868733793784
"T0055",0.068965024,0.280522693,0.21086918,0.066903611,0.49526623128983,0.0118660769533473,46.6057180967909
"T0029",0.059672082,0.047044671,0.751139173,0.061830012,0.498914322218496,0.00272139398335332,39.8135966392633
"T0698",0.046808041,0.299619362,0.351514351,0.047256086,0.440781120934139,0.148989089910433,148.45245916837
"T5148",0.138860679,0.112266788,0.181587015,0.134708621,0.495274889914838,0.0118443714738233,46.5895965698113
"T5756",0.117470548,0.175061306,0.127303566,0.119523408,0.47646613226636,0.059024913582857,81.6324704986341
"T2413",0.312649204,0.83638442,0.365270471,0.321112758,0.491859524398093,0.0204065625341899,52.9490780100525
"T5660",0.061193322,0.140132453,0.385070457,0.062317807,0.478592607209672,0.05368615397562,77.6671604049021
"T5662",0.088949701,0.350484591,0.100098236,0.088643438,0.308125899573345,0.501169554584169,410.030963188843
"T2672",0.064090839,0.222382435,0.079197553,0.064703343,0.440656661021632,0.149304553919828,148.686766893889
"T2682",0.100755526,0.243656825,0.325809062,0.097089117,0.49980439142043,0.00049031801595792,38.1564873659027
"T0068",0.038194913,0.398728477,0.428426261,0.037593518,0.472457849846558,0.0690928658412913,89.1103409499397
"T0257",0.083282543,0.876916725,0.38338521,0.082866136,0.371085103776702,0.328980790544699,282.139487583275
"T0602",0.059968596,0.946603898,0.382192262,0.06041127,0.417610826445986,0.208009367795032,192.289177966014
"T0603",0.053452591,0.935365574,0.392628519,0.053143227,0.390831881913635,0.277151519405311,243.643816843353
"T4024",0.188233573,0.293524213,0.187679147,0.185042978,0.475879616265699,0.0604977189587792,82.7263819036972
"T4095",0.127011125,0.120044037,0.080383013,0.129153492,0.474902322868239,0.0629521019394972,84.5493502190588
"T6970",0.085396968,0.216762366,0.076961482,0.085401125,0,39.0648266160366,29052.8000419291
"T4098",0.053272169,0.054116498,0.084224003,0.053652374,0.414160930642625,0.216854341200661,198.858693153884
"T0410",0.06359473,0.352844951,0.058776948,0.065894788,0.4989168128038,0.00271515098874522,39.8089597177018
"T4799",0.382484995,0.076044581,0.089231166,0.382887189,0.0391349782140132,1.76081360464425,1345.61893374324
"T4804",0.289045976,0.10471167,0.194442718,0.295223403,0.484380817666798,0.0391614915843504,66.8791132506385
"T4805",0.359033175,0.185196195,0.232281044,0.366340278,0.482601719042645,0.043624856310021,70.1942325856087
"T1660",0.047427069,0.25699215,0.069089476,0.048994132,0.496929898734068,0.00769567859928881,43.5081965927669
"T6086",0.509174969,0.511722989,0.079070026,0.514338631,0.445190161284588,0.137822979610737,140.158942858123
"T7304",0.085309489,0.174952936,0.077749681,0.084381287,0.450988745787376,0.123163672589938,129.270889757194
"T7307",0.084818677,0.458634124,0.083669313,0.083530131,0.470704146018484,0.0734999397277555,92.3836508292851
"T7308",0.092265823,0.363642443,0.079724504,0.089432247,0.495944973772208,0.0101646184280697,45.3419768608671
"T7314",0.080543484,0.498692532,0.080194007,0.079172127,0.47607955866549,0.0599956272958491,82.3534583623757
"T7317",0.078835263,0.469018102,0.084143338,0.076962414,0.48870574096985,0.028314291828218,58.8224645445584
"T7319",0.082336503,0.530895576,0.077281798,0.080136246,0.492253940184407,0.0194177127152937,52.2146197357487
"T7320",0.08837955,0.511528283,0.084323997,0.08775043,0.41463072474734,0.215648882431971,197.963350757012
"T7322",0.083512461,0.519155918,0.078236358,0.081969082,0.47958543659674,0.0511940749086919,75.8161937000007
"T7323",0.083051219,0.464962734,0.080990879,0.083671209,0.418736029049997,0.205128080144488,190.149130493533
"T7324",0.088481646,0.394734357,0.086215617,0.08613908,0.491988176870558,0.0200840125124284,52.7095072199966
"T7328",0.084353138,0.439732799,0.084346311,0.081862877,0.494948745741066,0.0126619550778744,47.1968485826607
"T7340",0.083206239,0.45333262,0.087648408,0.080513159,0.497209904047719,0.00699379041716924,42.9868761929015
"T7344",0.086710098,0.483099539,0.085151862,0.087136045,0.367803165007597,0.337677370225034,288.59878482165
"T7350",0.086583306,0.424128793,0.091073317,0.089620154,0.49826224443932,0.00435592099766773,41.0276251674541
"T7404",0.087173294,0.491752311,0.077799956,0.085819671,0.471783866282409,0.0707864293184181,90.3682182181207
"T7408",0.087487971,0.456109858,0.090834726,0.085275561,0.490641757840589,0.0234597861140856,55.2168291677127
"T7400",0.083869971,0.482069015,0.085305772,0.082960935,0.450721723900397,0.12383812115502,129.771829657016
"T7416",0.087138332,0.423660764,0.089663449,0.087097262,3.33173841926152e-05,3.98799250484318,2999.83369957277
"T7418",0.080124539,0.42348733,0.081711335,0.079915634,0.248741638094572,0.678454953426978,541.707913121135
"T7426",0.082583238,0.465845397,0.087935726,0.084260271,0.482519123131247,0.0438320915981101,70.3481545150627
"T7225",0.08729154,0.465006307,0.088946823,0.087722395,0.368498951252891,0.33583154278045,287.227815020467
"T7226",0.088883766,0.454943961,0.090137289,0.090966845,0.487509397936075,0.0313144133276329,61.0507746651201
"T7227",0.078109593,0.467124226,0.08069385,0.079670814,0.481921576447444,0.0453314083814289,71.4617570017783
"T7228",0.086625687,0.459288485,0.081045039,0.084643715,0.487481002648586,0.0313856247436698,61.1036662293736
"T7230",0.087405686,0.470994254,0.083821498,0.088137704,0.429589111244212,0.177420351784122,169.569493457093
"T7232",0.082837432,0.435607276,0.083960336,0.085551408,0.496734233618723,0.00818615377867199,43.8724921075709
"T7233",0.081666235,0.462964916,0.079428418,0.080013323,0.483153691664459,0.0422399903193007,69.1656372759368
"T7436",0.084853266,0.410271791,0.087509559,0.082946597,0.486876220856515,0.0329023714055417,62.2302145833774
"T7440",0.079267223,0.423039999,0.088766931,0.081297089,0.49025729750755,0.0244237615325265,55.9328122308331
"T7235",0.083845027,0.450066872,0.079337184,0.080951918,0.498664808948974,0.00334683388867317,40.2781358491251
"T7446",0.082915624,0.53980034,0.076418754,0.081196966,0.484036435200609,0.0400254073278494,67.5207779948586
"T7241",0.081649025,0.493631293,0.073838673,0.081764345,0.0971131910577415,1.29817740037679,1002.00053818543
"T7242",0.084322334,0.455761757,0.084787656,0.084898341,0.409509953278166,0.228805738327286,207.735473370053
"T7247",0.084493702,0.382873974,0.079505665,0.084551848,0.00329481394331669,2.71690118290372,2055.74338276786
"T7249",0.082234117,0.490781299,0.080920574,0.082097669,0.136606552568871,1.09569309582075,851.607354047687
"T7251",0.087348222,0.446763626,0.080332356,0.084906822,0.493502068090813,0.0162886201019891,49.8905176152975
"T7254",0.083598075,0.306760077,0.083541826,0.082798974,0.441424684432051,0.147358108756887,147.241064292662
"T7450",0.085822704,0.541712257,0.083417728,0.083209836,0.495728839920042,0.0107064151596709,45.74439094328
"T7259",0.083661894,0.508291951,0.083557757,0.082760296,0.450321961539142,0.124847953341667,130.521872374291
"T7262",0.092950109,0.454037057,0.084292347,0.093200934,0.256018992363361,0.655667654754004,524.782875830761
"T7268",0.089119635,0.357859303,0.084245952,0.088267589,0.441439931654656,0.147319472533928,147.212367625992
"T7270",0.086743113,0.364983062,0.08539697,0.087731455,0.453358275161807,0.117181091693286,124.827387865125
"T7454",0.082456215,0.450274738,0.084635645,0.082719819,0.292648884752319,0.545662767854314,443.077850605072
"T7271",0.084060517,0.436353953,0.084756408,0.084266901,0.234044480009245,0.725591945907127,576.71844100037
"T7272",0.088337831,0.393534497,0.082971073,0.08826843,0.00885188834528523,2.37175602067961,1799.39027900293
"T7274",0.088240142,0.279681445,0.07948603,0.08625991,0.486832870666931,0.0330110932443935,62.3109666375482
"T7276",0.088598675,0.447341517,0.081356056,0.088499987,0.0487036184253112,1.65755540623581,1268.92494365338
"T7278",0.083295385,0.458625816,0.081278274,0.081284504,0.489215567231367,0.0270358573299945,57.8729201572987
"T7284",0.082970886,0.466627052,0.084410791,0.08333377,0.34996413440358,0.385417297838394,324.057136717225
"T7482",0.078657898,0.489316042,0.081868876,0.077384342,0.473782707265118,0.0657643811679616,86.6381423789279
"T7484",0.088625259,0.472380421,0.091396985,0.085489208,0.499212328576537,0.00197440074395656,39.2587749109888
"T7486",0.08201862,0.536209947,0.082971175,0.081915357,0.0720772516674133,1.46049346114076,1122.55916256135
"T7488",0.084118007,0.500314511,0.085811475,0.084303803,0.208362394665734,0.812116494574065,640.983680761217
"T7494",0.08588634,0.494700709,0.082856246,0.084465836,0.474768550009346,0.0632880894169928,84.7989015444406
"T7289",0.084048292,0.501057319,0.075520385,0.082483185,0.479895591291327,0.0504156283731477,75.2380103518238
"T7290",0.085809899,0.50016718,0.079542578,0.084269895,0.478363848778898,0.0542604021506718,78.0936774711048
"T7291",0.086161015,0.370803536,0.084909601,0.084613806,0.478388532248276,0.0541984388235493,78.0476548320358
"T7292",0.085685412,0.399399793,0.080446373,0.085437038,0.272577874335106,0.605034989036569,487.175971753316
"T7293",0.082510535,0.378400293,0.085769284,0.085259254,0.497117612684266,0.00722513640537853,43.1587061027831
"T7294",0.083730522,0.385807248,0.084532466,0.084253262,0.399341009978194,0.255053187019229,227.230502344909
"T7295",0.08057967,0.492983167,0.078227585,0.078362625,0.493070973740751,0.0173693664724284,50.6932311305601
"T7296",0.081414207,0.488580403,0.075861702,0.082976702,0.480347790696573,0.0492807233439997,74.3950710365927
"T7297",0.082426531,0.383378951,0.087464248,0.085094459,0.49645106370417,0.00889598139834751,44.399709444964
"T7300",0.08664214,0.434358377,0.084061665,0.085624588,0.456089306278175,0.110290977458691,119.70982469851
"T5565",0.137040271,0.225465407,0.106965185,0.136702219,0.23575219782905,0.720033457957098,572.589929886241
"T1712",0.086572632,1.02923637,0.468127245,0.083954239,0.495563939380315,0.0111197841325046,46.0514165973648
