"","allA","allB","allR","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","pval","z","inv_cof_var"
"T0174",0.032974371,0.04343308,0.315664976,0.035332661,0.036983793,0.032256664,0.053546967,0.049590125,0.034569339,0.046727214,0.475610861294769,0.0611726355315012,5.14104940467759
"T8400",0.035500336,0.035160319,0.262629108,0.036454696,0.035532407,0.035164736,0.035971333,0.037974579,0.035479389,0.035515057,9.11405675516763e-15,7.66254718011024,40.376159552906
"T8401",0.042543886,0.029412494,0.241595855,0.049272506,0.045438861,0.041628108,0.044612985,0.049613208,0.037832216,0.035473244,0.375123383871547,0.318313997334783,6.33299227680799
"T1995",0.054148414,0.074896429,0.221359333,0.056701373,0.059808027,0.059776959,0.072960708,0.075841355,0.052519038,0.078777831,0.38155740665634,0.301393023853471,6.25455746729653
"T1997",0.042092641,0.058925926,0.248145157,0.042291163,0.044280801,0.041653106,0.057329831,0.065995321,0.042122136,0.062303541,0.486827258113833,0.0330251694995365,5.01057575675859
"T0849",0.038276035,0.036956281,0.191180034,0.04186141,0.037310195,0.036894675,0.044827226,0.043878197,0.037898799,0.060784527,0.44503973876261,0.138203641108746,5.49811587343603
"T0858",0.039809706,0.040090721,0.198493241,0.045877614,0.04174409,0.039650338,0.047296858,0.05375503,0.040429947,0.065001774,0.455799021076782,0.111023083184157,5.37212419301735
"T1007",0.032499946,0.031233034,0.050146194,0.031470933,0.032950962,0.031446987,0.043215198,0.041901794,0.030841352,0.045983679,0.414927698977134,0.214887029092463,5.85357100938544
"T1008",0.046218413,0.055095542,0.04532653,0.056117476,0.060636306,0.049135174,0.076089711,0.073936825,0.052457923,0.078297702,0.487538492475049,0.031241448451219,5.00230756694074
"T1009",0.054699463,0.064481311,0.053977203,0.064117372,0.068658655,0.05744348,0.086285002,0.082714684,0.059024087,0.084948267,0.436960059923431,0.158681112263121,5.59303633123614
"T4825",0.063622553,0.072895062,0.064764728,0.069943519,0.063722013,0.06359026,0.096749471,0.063493158,0.065607929,0.064107317,0.369374616893398,0.333510143668463,6.40343189095352
"T4826",0.082691217,0.078026061,0.079433184,0.076672069,0.082778241,0.082650278,0.094891,0.08245096,0.077571988,0.081475058,0.0124185296599598,2.24392761064883,15.2589052640108
"T4827",0.076527404,0.082553629,0.075996327,0.08047198,0.076411762,0.076888053,0.097344154,0.07712754,0.076679621,0.078858542,0.0631990635890143,1.52846096902106,11.9424595636583
"T4828",0.070902,0.069957895,0.077033553,0.068374952,0.070561734,0.071286836,0.088897477,0.07182875,0.066786688,0.074173945,0.0859076234902596,1.36639426788036,11.1912220035876
"T4829",0.092188687,0.086075755,0.089595086,0.08410033,0.091726378,0.093350796,0.099290884,0.093420678,0.083818182,0.093281014,0.0027827850017058,2.77233515750191,17.7082646538599
