"","allA","allB","allS","gcl","glxK","glxR","hyi","ybbW","ybbY","allR"
"allA",1,0.906300134895441,0.921387752151116,0.84430107389162,0.918554463509641,0.83677944451035,0.86333180101232,0.889451253678826,0.839244320889382,0.106748718046785
"allB",0.906300134895441,1,0.964468296597366,0.886219428589607,0.90371855056841,0.898290718377646,0.863662610629983,0.862039502299731,0.843236904159246,0.201435475183104
"allS",0.921387752151116,0.964468296597366,1,0.870337652501771,0.923596200051074,0.868476551772578,0.852997845639563,0.874697074292371,0.830146080868556,0.170580277556074
"gcl",0.84430107389162,0.886219428589607,0.870337652501771,1,0.845894132773249,0.803630051608613,0.789531819212317,0.797346895396469,0.826918243575544,0.244611299151003
"glxK",0.918554463509641,0.90371855056841,0.923596200051074,0.845894132773249,1,0.8077343470445,0.825506458957298,0.850650867279367,0.80028465697338,0.0894928614611114
"glxR",0.83677944451035,0.898290718377646,0.868476551772578,0.803630051608613,0.8077343470445,1,0.854210170079119,0.764946013375749,0.865227258162973,0.0613545258347035
"hyi",0.86333180101232,0.863662610629983,0.852997845639563,0.789531819212317,0.825506458957298,0.854210170079119,1,0.835748476017046,0.892268782855707,0.0641834132355101
"ybbW",0.889451253678826,0.862039502299731,0.874697074292371,0.797346895396469,0.850650867279367,0.764946013375749,0.835748476017046,1,0.780883342880007,0.12191059904572
"ybbY",0.839244320889382,0.843236904159246,0.830146080868556,0.826918243575544,0.80028465697338,0.865227258162973,0.892268782855707,0.780883342880007,1,0.046017916252283
"allR",0.106748718046785,0.201435475183104,0.170580277556074,0.244611299151003,0.0894928614611114,0.0613545258347035,0.0641834132355101,0.12191059904572,0.046017916252283,1
