"","alsR","rpiB","pval","z","inv_cof_var"
"T4826",0.076997168,0.076594855,0.250526148370206,0.672834955343657,269.953894105982
"T4829",0.0857187,0.08385326,0.483700738112805,0.0408675637325176,64.2773194608748
"T8388",0.04712121,0.046773699,0.333449366530695,0.430408197817785,191.055036740692
"T8398",0.036113085,0.036462841,0.384299811261389,0.29420714329277,146.727802883991
"T1961",0.038474365,0.037443358,0.498663034099032,0.00335128280267046,52.0674803813572
"T0033",0.040820632,0.041279126,0.408107762185129,0.232415225569229,126.617350751754
"T0045",0.034530121,0.03529075,0.482928479998784,0.0428050228605332,64.907874078494
"T0058",0.028228091,0.027953745,0.386559397139937,0.288297795775156,144.804579673515
"T1864",0.092170746,0.094251765,0.484843586117361,0.0380006393945123,63.3442662916213
"T1870",0.097350488,0.099865222,0.494511759248688,0.0137574134023063,55.4542014771818
"T0693",0.05207782,0.050859998,0.489223787192964,0.0270152454159445,59.7690213745084
"T0031",0.030099278,0.030146901,0.00477178769144128,2.59194238162856,894.535869463882
"T0047",0.036721898,0.03738357,0.465454558105118,0.0867010821714193,79.1940401676406
"T0049",0.03319032,0.032852623,0.394244014489065,0.268274505305281,138.287911485195
"T2403",0.049284382,0.048389091,0.467959767686329,0.0803994864059153,77.1431580350313
"T2416",0.061848429,0.060627029,0.475587381390616,0.0612316012537283,70.9048852797838
"T2676",0.040165327,0.039591315,0.442256042827759,0.145251778986157,98.2496226609686
"T0012",0.026764638,0.026673316,0.132483198474322,1.1147294032859,413.770390991593
"T0486",0.056288808,0.05552283,0.436236541152297,0.16051795076275,103.218065591147
"T2327",0.054426391,0.053095223,0.492476590375864,0.0188595092209721,57.1147010621667
"T2413",0.045721891,0.046332078,0.432056343536613,0.171141268352452,106.675471150707
"T2688",0.05185512,0.050496474,0.497190418390298,0.00704263491992697,53.2688472071845
"T2673",0.048701621,0.047945586,0.451802041870354,0.121109778913101,90.3925022683338
"T2681",0.055029632,0.056559068,0.499247107052943,0.00188722386912257,51.5909959447741
"T0069",0.037106794,0.03730376,0.253291144466151,0.66416878601467,267.133451079109
"T0595",0.059745018,0.058266688,0.493295273432521,0.0168070484212766,56.4467186433294
"T0568",0.072174442,0.072828654,0.372616688213645,0.324930891377647,156.726982193301
"T0118",0.062567708,0.062587842,6.00259056450212e-41,13.3489986588066,4395.46727466525
"T0121",0.047694169,0.046774494,0.473472476380324,0.06654371815957,72.633737153806
"T4099",0.113661606,0.114427175,0.311826226383402,0.4906804826733,210.670917654283
"T6959",0.114007739,0.116138516,0.468898492629441,0.0780390563196946,76.3749456537161
"T6996",0.100247998,0.098027579,0.485091178044526,0.0373795774930066,63.1421389568254
"T5037",0.094469325,0.094407901,3.4162559368266e-11,6.52428842827903,2174.33523242209
"T6961",0.102349017,0.100390729,0.472772452740056,0.0683024102873494,73.2061112628163
"T6026",0.069538889,0.069930509,0.268573823992305,0.617132023222305,251.82512919107
"T0871",0.048903383,0.048742446,0.1226986402875,1.16160172622319,429.025195203602
"T0873",0.041550658,0.041344419,0.236796315307983,0.716645874869393,284.212351076576
"T2213",0.065014066,0.06555387,0.356103130005372,0.368894638233425,171.035177492442
"T2149",0.05236623,0.053358614,0.470172611963755,0.0748359677364201,75.3324863483188
"T2135",0.062093245,0.061701648,0.297982647727348,0.530211504483973,223.536463038693
"T7301",0.055382759,0.056578519,0.481336690676387,0.0467990560764271,66.2077498027296
"T7306",0.056775914,0.057206345,0.337713084224073,0.418712624114594,187.248660700231
"T7307",0.072340559,0.07203928,0.188196066326042,0.884563439444857,338.861863002471
"T7308",0.0523673,0.052330654,7.20996959070787e-10,6.05072055627134,2020.21047999112
"T7309",0.076612183,0.075161805,0.471808022418327,0.070725727104667,73.9947904081043
"T7310",0.056430071,0.056117415,0.265831252047274,0.625470195092803,254.538823998572
"T7312",0.05097247,0.051553745,0.410372335107012,0.226587297918761,124.720625996112
"T7313",0.068738888,0.068274445,0.314079761133367,0.484318959818603,208.600531986211
"T7314",0.067025255,0.065587313,0.482555884252384,0.0437398567579442,65.212119893126
"T7316",0.071920347,0.071299328,0.365261206739677,0.344430687912903,163.073276971934
"T7317",0.075642215,0.07400946,0.483047697969956,0.0425059157347016,64.810528345297
"T7318",0.067356565,0.067584782,0.129651883159991,1.12803824831919,418.101813301138
