"","amiA","cmk","hemF","ihfA","ihfB","rpsA","uspB","pval","z","inv_cof_var"
"T0174",0.10201028,0.185106663,0.033351225,0.074796835,0.136616285,0.315420193,0.071849194,0.493113916929927,0.0172617077218495,1.40337640714458
"T8405",0.195903868,0.183522234,0.195859849,0.195682133,0.201821729,0.151407566,0.168237838,2.73587966441895e-32,11.771538216932,9.37171565377557
"T0928",0.389251905,0.284732423,0.030137953,0.111507764,0.357518386,0.374807524,0.026210358,0.479239224863701,0.0520630564224874,1.42696858250899
"T0930",0.378659407,0.266370484,0.043097978,0.188367877,0.339217955,0.358963424,0.047018443,0.411962737792801,0.222498969243787,1.54250875821484
"T5536",0.120278293,0.074007286,0.150624629,0.213185151,0.188651876,0.252541265,0.085558467,0.129535984666051,1.12858730305938,2.15675492007771
"T5538",0.097145568,0.102164837,0.13139286,0.212080716,0.265202885,0.199039746,0.078135368,0.180012800225148,0.915316307589288,2.01217642202717
"T5540",0.071930938,0.082718556,0.120508812,0.214942605,0.278447274,0.255069031,0.086487867,0.374997590715678,0.31864571764842,1.60768758127114
"T5542",0.099159843,0.068863607,0.130511961,0.228785652,0.233053277,0.06559644,0.060112504,0.347279716617181,0.392675141304272,1.65787285311328
"T5544",0.220517254,0.108530471,0.127675135,0.2376167,0.057226061,0.277162793,0.062907255,0.375098449828165,0.318379746368366,1.60750727673366
"T5546",0.086784236,0.312492511,0.146720157,0.221549562,0.087489545,0.234858152,0.114906594,0.275102470711832,0.59745305400388,1.79669380711491
"T5548",0.134107966,0.143410734,0.115464105,0.203020134,0.190397501,0.199023768,0.082364016,0.00319487472231444,2.72708026197082,3.24038896339607
"T5550",0.17306549,0.107988115,0.126693254,0.218854624,0.313548495,0.272337776,0.06069233,0.281860108645186,0.577324572347655,1.7830485121254
"T5552",0.231296467,0.059158888,0.125351736,0.237131354,0.050925358,0.286975272,0.129353992,0.401160644829622,0.250344055290743,1.56138521494954
"T5554",0.225465927,0.085072598,0.115799467,0.216297089,0.26886374,0.271941208,0.091049207,0.18983931101803,0.8784885991784,1.98721055755529
"T5556",0.217058728,0.092899227,0.152977312,0.149561574,0.089557755,0.201126243,0.142515215,0.0179586277732579,2.09786292947936,2.81383636688163
