"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK","pval","z","inv_cof_var"
"T8405",0.111108841,0.082518935,0.112540367,0.15425005,0.116308005,0.106273282,0.093504142,0.145896056,0.189198999,0.182181972,0.151327425,0.189134046,0.176640144,0.179347053,0.183103174,0.188428969,0.183167454,0.185263196,0.18090855,0.19318677,0.180017708,0.188311285,0.156068174,0.145579069,0.195707348,4.90679303448765e-07,4.8953400970845,4.51146434060997
"T1010",0.136192621,0.185328853,0.076268762,0.038818324,0.07963427,0.077151556,0.054616751,0.050905488,0.04300388,0.037869586,0.047710637,0.070660786,0.078018146,0.05571405,0.032120143,0.05859448,0.05646011,0.143498908,0.084097265,0.054514953,0.031617914,0.117318969,0.05047591,0.068413569,0.275737743,0.442259026753384,0.145244220077808,1.45019684699639
"T1995",0.152724731,0.33123728,0.063451145,0.054494167,0.0658973,0.059339924,0.053325251,0.053253727,0.052787375,0.054089979,0.052647175,0.056858297,0.065417244,0.055292616,0.057900861,0.052569528,0.054162892,0.113134413,0.072831641,0.052986509,0.192046999,0.058037531,0.068625487,0.116761939,0.125549368,0.497352124857853,0.00663728743139309,1.36086961902319
"T0717",0.343988219,0.40245017,0.131063084,0.060673089,0.138241871,0.117196016,0.088701376,0.088459636,0.068564557,0.061970156,0.081287005,0.107908248,0.136762597,0.099772086,0.084290914,0.091147691,0.084945202,0.06866589,0.156641762,0.086918204,0.084364187,0.054585878,0.084890199,0.08999815,0.07602963,0.468385165036715,0.0793297672369343,1.40771733141065
"T4826",0.076059403,0.389360108,0.094231712,0.075992776,0.078906563,0.129631868,0.076054941,0.076802295,0.069508967,0.077698086,0.082336525,0.082554277,0.082142226,0.076502246,0.081240471,0.081846862,0.082028033,0.075977346,0.07771793,0.076599391,0.075904377,0.07458993,0.08243023,0.082014833,0.075900895,0.417991371362725,0.207034720665114,1.49001862233732
"T4830",0.14019691,0.399259446,0.097298928,0.071673215,0.077061328,0.129725804,0.322730126,0.074003492,0.053318651,0.074539889,0.096093693,0.095833472,0.087371964,0.072468572,0.083682398,0.095951624,0.096104753,0.072240314,0.09612734,0.072517914,0.071432381,0.087046036,0.089978394,0.104148462,0.071380801,0.481333430227164,0.0468072377668689,1.38675772030917
"T4831",0.092257805,0.292435282,0.09505924,0.084541736,0.091162924,0.116058685,0.085730386,0.087634309,0.032502767,0.088753298,0.11296821,0.115522315,0.100840645,0.086565239,0.097828467,0.115346995,0.114787423,0.193824767,0.089902712,0.08662905,0.084896432,0.081652882,0.102748284,0.086864454,0.084906188,0.0886166214889326,1.3493229943065,2.22618270217436
"T4832",0.095168677,0.296398366,0.097962616,0.08749605,0.092452401,0.1153846,0.089438104,0.09100166,0.034851261,0.090951018,0.110223229,0.112327246,0.100343863,0.089386745,0.097907628,0.112245873,0.111928462,0.1984088,0.09195946,0.089077226,0.087794132,0.080981507,0.102371305,0.090506816,0.087956648,0.0850827338283083,1.3716723244538,2.24058604889735
"T5075",0.060980707,0.075575545,0.071256598,0.05595353,0.054156251,0.093951989,0.054680186,0.054342706,0.072538367,0.054341891,0.061597199,0.06580572,0.055638279,0.055113808,0.054869994,0.064714238,0.063739018,0.058075439,0.055111197,0.060317982,0.063607099,0.077596501,0.055927066,0.067355902,0.063719706,3.15112721513534e-16,8.08332853279791,6.56600926369379
"T5076",0.041184492,0.066595122,0.07831105,0.045895284,0.041273765,0.124221569,0.045550725,0.042346968,0.04740028,0.041782563,0.049049018,0.053725395,0.042056722,0.043059799,0.041179292,0.052245939,0.052067738,0.049656642,0.04261997,0.081319665,0.08902532,0.062943645,0.042637819,0.069914321,0.087285054,0.0146244745507441,2.18011485223585,2.76159844419105
"T5078",0.045533477,0.047770495,0.062840508,0.049426889,0.045426922,0.093251659,0.049449779,0.046860747,0.047643171,0.045958837,0.051200328,0.054154205,0.046095847,0.047283862,0.045388634,0.053366572,0.053140926,0.052026899,0.047297997,0.077298704,0.168415927,0.059054986,0.046518593,0.056900941,0.088847552,0.0804327766978636,1.40216643088662,2.26023841364676
"T5080",0.047596185,0.048652934,0.066843541,0.052520643,0.047951607,0.101550959,0.052528308,0.049735292,0.050600719,0.04877255,0.052875981,0.05579096,0.048142202,0.050224145,0.047493517,0.054933707,0.054755249,0.054955575,0.049470946,0.091939361,0.083491629,0.061562785,0.04849539,0.061186644,0.115401869,0.00150547721025952,2.96661734098779,3.26847126629916
"T5082",0.054688602,0.056740585,0.078155622,0.054018391,0.052892664,0.114144743,0.053923143,0.051986453,0.027804743,0.052096197,0.064594346,0.066998451,0.05735777,0.052205217,0.054699015,0.06647969,0.066321858,0.056389335,0.051971579,0.09111716,0.118249238,0.055097147,0.058586866,0.070009302,0.159183555,0.0417531917468395,1.73069384571057,2.47196262338949
"T5084",0.043050786,0.043417637,0.076296626,0.048334643,0.043239821,0.116483978,0.048287286,0.044620184,0.053268017,0.043927399,0.049931263,0.05460947,0.043369188,0.045526794,0.042960753,0.053334524,0.052981414,0.050868216,0.044704478,0.07771105,0.120224308,0.066174043,0.043807867,0.066407701,0.101605068,0.0274310381048059,1.9199669340029,2.5939423828739
"T5086",0.04102992,0.040807776,0.078590467,0.044932439,0.040162022,0.125961726,0.045413103,0.040517823,0.047325632,0.039857429,0.051410136,0.055519977,0.04316648,0.040970491,0.041014226,0.054435302,0.054087998,0.050147395,0.040024682,0.108935285,0.133952789,0.06309194,0.04407423,0.064470506,0.173815924,0.258124337033185,0.649138785761005,1.77493893517221
"T5536",0.129596682,0.32782298,0.062616487,0.093826315,0.126280174,0.069551024,0.083901273,0.150304038,0.350299195,0.071729032,0.149296467,0.207782043,0.116851653,0.066857631,0.146364525,0.211067124,0.203689484,0.118509878,0.139856209,0.091415376,0.086517766,0.202473709,0.100265123,0.077094747,0.069340781,0.243227740598495,0.695957443693433,1.80511189153651
"T5538",0.059860602,0.324333203,0.088390712,0.081924797,0.120136115,0.086503385,0.094417059,0.144816513,0.344276546,0.099500487,0.14606143,0.200269729,0.080414686,0.08851366,0.132907606,0.204113579,0.196628401,0.135180426,0.135642667,0.067396552,0.103969085,0.098766394,0.063440041,0.07901446,0.078667203,0.266703589145465,0.622813359354825,1.75797313612322
"T5540",0.079437663,0.32755659,0.065958694,0.087125847,0.1191503,0.07129285,0.086456582,0.146793888,0.34390613,0.087037427,0.137917094,0.205651804,0.089478148,0.074154636,0.136705427,0.210340326,0.201745137,0.139791362,0.134324422,0.065785222,0.100088541,0.080639232,0.083660248,0.076035722,0.073577,0.299331173962911,0.526325097778309,1.69578989049458
"T5542",0.101080626,0.309152826,0.065305224,0.106171006,0.123301206,0.073861663,0.096512192,0.159492315,0.315131752,0.080091145,0.076151449,0.217901061,0.101264021,0.062094437,0.143344521,0.22741345,0.214881736,0.059925393,0.13691278,0.104790928,0.108049053,0.077716437,0.133989049,0.078960956,0.075028175,0.252556901663189,0.666465194774008,1.78610518824708
"T5544",0.10570233,0.328894373,0.044007634,0.07303699,0.126706318,0.106629918,0.116848271,0.190168387,0.335871226,0.077313723,0.073410171,0.231835144,0.044088207,0.0883727,0.130477419,0.234513614,0.221898863,0.056144924,0.152646987,0.044030081,0,0.107553711,0.04415091,0.073721948,0.063392419,0.47777323926235,0.055743081799044,1.3925165533037
"T5546",0.121313629,0.323534615,0.045676365,0.090170147,0.12102535,0.04710067,0.100441822,0.116403285,0.332194587,0.109606389,0.157460898,0.213813359,0.0545579,0.103426903,0.145169704,0.212926506,0.208544087,0.109112104,0.12081377,0.076773618,0.091290479,0.210403122,0.096146995,0.06643808,0.092378699,0.265191213157717,0.627422342017249,1.76094346117948
