"","amn","mipA","phnC","phnD","phnE_1","phnF","phnG","phnH","phnI","phnJ","phnK","phnL","phnM","phnN","phnO","phnP","phoA","phoB","phoE","phoH","psiF","ydfH","yegH","yhjC","ytfK"
"amn",1,0.230705413216815,0.421199749971557,-0.0118810845324843,0.285826910689928,0.284312876362872,0.0788388055218066,0.0280948536137609,-0.129674567937433,-0.116982345600511,0.0828119405843029,0.116628815540487,0.143159044880038,0.157930715645066,0.0268502624741668,0.052669256976076,-0.0620188300219701,-0.137614562184575,0.365672752165285,0.144216670444066,0.0149766477103408,-0.164536264198285,0.134199048160015,0.248040283929204,0.260671596920659
"mipA",0.230705413216815,1,0.0920429216259737,0.0495780673512739,0.102181044150367,0.066403643604321,0.207414981771493,0.238639694472432,0.114695404678322,0.191773498985952,0.160839780556712,0.256494565242221,0.175227328854526,-0.0335673652741889,0.15076111519042,0.138505301827601,0.0898908603795654,0.0329690988236968,0.109963374032709,-0.0711284890816195,0.0388063924007936,-0.0258574206116974,0.0570605570370038,0.0494585816731288,-0.0309642088843281
"phnC",0.421199749971557,0.0920429216259737,1,0.335878150873813,0.430029001987343,0.575107900629952,0.260378885546319,0.195471647028182,-0.0250984436523863,0.151444182486964,0.279662466318766,0.275651612010766,0.301021995784491,0.430404772811276,0.111397294795261,0.159450657032284,0.164537226878725,0.141141983407528,0.366060974954528,0.298022475116067,-0.00890046524275659,0.00865794294582599,0.075103949760703,0.545307040967886,0.22439344694983
"phnD",-0.0118810845324843,0.0495780673512739,0.335878150873813,1,0.283578118457471,0.401474177033307,0.438140621228213,0.49241667141054,0.308849197820004,0.546594861345014,0.515616432299224,0.383733385012871,0.0918738635791748,0.54576300373087,0.293141586197639,0.420002274928147,0.273896853964869,0.190699435720155,0.104082046746292,0.266941759536473,0.135032900320199,0.224959538133814,0.342414157335969,0.398996391820798,0.330484140156984
"phnE_1",0.285826910689928,0.102181044150367,0.430029001987343,0.283578118457471,1,0.432274639830927,0.380801990770774,0.512309673235766,0.305201484898978,0.227931038975691,0.327560104483753,0.412137508504343,0.306153663948353,0.29901842823758,0.415504608543055,0.414527874753115,0.491012950694575,0.0298630721733479,0.615631035206306,0.344836827487969,0.0467171724424886,0.122860655544526,0.312840071911362,0.456057705467126,0.244797474351242
"phnF",0.284312876362872,0.066403643604321,0.575107900629952,0.401474177033307,0.432274639830927,1,0.340124148698613,0.431385393306315,0.118798754444796,0.279299251797524,0.472777438545266,0.489914971837544,0.206995006144685,0.559945798187868,0.161153459196016,0.423351006643273,0.204754093565332,0.156432908849822,0.235058748582678,0.332215287428426,0.0812155633887595,0.116700183169504,0.189543898661275,0.511881273957023,0.290713831162448
"phnG",0.0788388055218066,0.207414981771493,0.260378885546319,0.438140621228213,0.380801990770774,0.340124148698613,1,0.517506593460058,0.327938393932736,0.433438600650693,0.488350675998873,0.380840091488797,0.282318730170984,0.321720808274425,0.356416135705784,0.390502543518521,0.308031360125248,0.158412667733769,0.302424398328985,0.390968093179804,0.0516204148672521,0.274983402562129,0.353298492388855,0.376316027991436,0.217000853453896
"phnH",0.0280948536137609,0.238639694472432,0.195471647028182,0.49241667141054,0.512309673235766,0.431385393306315,0.517506593460058,1,0.543173253822213,0.435237197117163,0.469508633986289,0.628602141418474,0.222890857901064,0.366923423270313,0.507445397198711,0.597433144537233,0.498724624418044,0.162693137800375,0.337111811596759,0.274040541025661,0.113045279226239,0.291574486401508,0.260209287278126,0.33287203549463,0.189111265972703
"phnI",-0.129674567937433,0.114695404678322,-0.0250984436523863,0.308849197820004,0.305201484898978,0.118798754444796,0.327938393932736,0.543173253822213,1,0.249607933113368,0.363872222961034,0.573542408993909,0.343617481820273,0.328466968517306,0.577729066535186,0.547870929237705,0.554117246919738,0.176055180510464,0.218785990043247,0.25414888605493,0.0330038684720316,0.381113912012809,0.267633106886464,0.179584158627802,0.0689831280911555
"phnJ",-0.116982345600511,0.191773498985952,0.151444182486964,0.546594861345014,0.227931038975691,0.279299251797524,0.433438600650693,0.435237197117163,0.249607933113368,1,0.39380613311939,0.302558793101411,0.218680735783577,0.249950949223707,0.204701534859633,0.233950996895263,0.122944318419149,0.261133057935104,0.021326367614098,0.142840547172606,0.217499152543916,0.26674186504315,0.349820941342923,0.294321415153618,0.176056590554839
