"","araC","araE","araF","araG","crp","ygeA","pval","z","inv_cof_var"
"T8401",0.046247211,0.039006822,0.047117021,0.060138063,0.411057665,0.056800069,0.447259700367329,0.132587775576899,5.29421423379915
"T4825",0.06535945,0.064951464,0.064525688,0.075156441,0.423505044,0.065951909,0.0558324916598508,1.59075384733384,13.4158505162854
"T4827",0.077563221,0.079931963,0.09597048,0.084282415,0.454523201,0.079111157,0.12669544053395,1.1421519106667,10.9172450173661
"T4829",0.083508129,0.092196816,0.085504269,0.087534347,0.361669363,0.084758426,5.24532440324306e-05,3.87895423280306,26.1605794138889
"T4831",0.136927292,0.115656945,0.096008463,0.086067581,0.348201037,0.101687052,0.263326520530709,0.633123432869273,8.08207813605393
"T4832",0.137696174,0.113696842,0.096558454,0.089435319,0.351077623,0.10603477,0.185527890606473,0.894497473010811,9.53786902903212
"T5075",0.091934031,0.069009786,0.058102703,0.07957384,0.488349124,0.055615768,0.400253345371432,0.252691404305323,5.96316272165123
"T5081",0.091934031,0.047711481,0.036535326,0.05598484,0.559613016,0.040571646,0.447635260549238,0.131638134388983,5.28892495950008
"T5088",0.091934031,0.05004849,0.032859631,0.048508739,0.412452489,0.036673956,0.474085209888982,0.0650044969545024,4.91779153519138
"T5558",0.168512961,0.137105371,0.099195245,0.157417051,0.196158974,0.144321001,0.441133424648988,0.14809619878437,5.38059244204685
"T5566",0.119680663,0.124373508,0.132241696,0.098396708,0.234626352,0.16068842,0.466228162355651,0.0847548048351978,5.0277960265734
"T5568",0.109528473,0.134403037,0.104094448,0.156416994,0.219278513,0.131944943,0.388006539292268,0.28451847399024,6.14043188798617
"T5572",0.155278272,0.117732296,0.111334013,0.127368805,0.228867612,0.146630607,0.258140761969987,0.649087959491598,8.17099673123998
"T8398",0.03605012,0.035326589,0.036373503,0.035429338,0.454399352,0.044552322,0.237834973287153,0.713284144873247,8.52855413055912
"T8214",0.063856778,0.074250498,0.058300621,0.083807766,0.231423652,0.087453482,0.409230430804356,0.229525039133628,5.83413160814778
"T8215",0.054438391,0.061035341,0.052960037,0.062603346,0.516405644,0.076131933,0.358555797391057,0.36232176585824,6.57377761613814
"T8217",0.045824549,0.05626723,0.044912062,0.060947875,0.44380404,0.076418681,0.499186004588968,0.00204038532845774,4.56709649202634
"T8252",0.078756249,0.088939533,0.067055654,0.069609465,0.372030307,0.105722215,0.498884078201827,0.00279720477929399,4.57131179536542
"T8254",0.044722601,0.054104739,0.054043935,0.076617697,0.348736682,0.080702627,0.493708547239235,0.0157709871248403,4.64357266020073
"T8256",0.064356648,0.073172441,0.058374568,0.075266182,0.434392717,0.092701848,0.445047643380236,0.138183637066358,5.32538184398075
"T8304",0.052722973,0.059508691,0.049257285,0.061672874,0.486906646,0.073355046,0.386312854837368,0.288942068983923,6.16507025414733
"T8192",0.033304327,0.048376097,0.04027499,0.053703628,0.50924564,0.067146739,0.494020092024691,0.0149899677638092,4.63922256914956
"T1589",0.047199558,0.06904684,0.06860988,0.042045048,0.854208612,0.068897922,0.494214728089476,0.0145020344493803,4.63650489728306
"T0878",0.046418447,0.089248668,0.08158954,0.096581541,0.947819748,0.118092666,0.388586470167717,0.28300508328797,6.13200266371933
