"","accA","accD","acpP","fabD","fabF","fabG","fabH","fabI","fadR","plsX","rpmF","yceD","pval","z","inv_cof_var"
"T0174",0.189033365,0.127971361,0.130224083,0.214304109,0.304636476,0.036258758,0.295855353,0.301081625,0.112936432,0.209797413,0.068658584,0.120287469,0.473745327197059,0.0658582822323986,1.92497571903941
"T8404",0.302224534,0.299969319,0.311650182,0.30922818,0.275482358,0.310620984,0.312018216,0.310549425,0.047829764,0.170638119,0.307989982,0.310831086,0.0387344257410047,1.7655650284904,3.35388214269286
"T8405",0.083401258,0.171042216,0.196289848,0.122708174,0.112711257,0.078392298,0.103456137,0.150964087,0.18433089,0.173254173,0.195807415,0.19587416,0.0474690191513743,1.66990561973032,3.27346336224081
"T1011",0.30233594,0.238994859,0.454554626,0.505408875,0.330341852,0.215918283,0.089390752,0.288461404,0.090697026,0.129574966,0.530390242,0.395684336,0.463741618643707,0.0910117718592377,1.94612170965468
"T8399",0.27065955,0.283725826,0.311788231,0.311939279,0.296318856,0.31172702,0.295657279,0.305636931,0.054412269,0.175006887,0.302312097,0.310445057,0.0285901262484094,1.901930413483,3.46852155034885
"T8400",0.340742287,0.276953927,0.476309878,0.124413645,0.414168241,0.295729406,0.076114038,0.484964633,0.047982903,0.476682391,0.422071299,0.45474796,0.436600394679287,0.159594147688728,2.00377741855148
"T8401",0.482134665,0.267452786,0.464735366,0.210755897,0.483099417,0.297604337,0.221625797,0.309744037,0.057931862,0.321284948,0.412761315,0.446106116,0.220486843197335,0.770550035671778,2.51739472037712
"T0853",0.333453949,0.498933126,0.400002806,0.856112646,0.170343806,0.93550869,0.597918154,0.461247157,0.078220817,0.462604175,0.414536745,0.818295494,0.481538422180743,0.0462928421125395,1.90852747987673
"T0928",0.333875679,0.317196769,0.357953896,0.387594256,0.364173873,0.363489358,0.385341001,0.381634868,0.022900067,0.149528108,0.356293988,0.366927237,0.131650982085317,1.11862075742928,2.81001019142821
"T0929",0.359315192,0.222354611,0.369254902,0.412418459,0.373132599,0.377951506,0.405077924,0.414019444,0.034456675,0.268469822,0.369591281,0.377435432,0.0848216281831516,1.37335099539669,3.02415635171835
"T0930",0.376600991,0.218734847,0.348873693,0.384701268,0.358275828,0.352116487,0.366698286,0.39595806,0.058578928,0.321636904,0.347594511,0.350988081,0.0333239598898419,1.83404092271678,3.41144833482624
"T1129",0.346208822,0.613159604,0.354528196,0.612558062,0.598336476,0.593394536,0.031732845,0.33202941,0.029874865,0.601393429,0.571581082,0.618615626,0.446220262196383,0.135216724373624,1.9832838499734
"T1130",0.302859535,0.600856941,0.378377293,0.600229512,0.439220506,0.570895072,0.049607551,0.220644796,0.034215296,0.557988441,0.576833846,0.597161573,0.476217594223826,0.0596490037828523,1.91975571395186
"T4826",0.381584009,0.076146333,0.176309834,0.385029535,0.369785926,0.367958806,0.293672887,0.079306439,0.081880959,0.331292169,0.369306642,0.384190215,0.397263274572864,0.260437202710053,2.08855397745968
"T4828",0.409715828,0.067099422,0.219751347,0.414542603,0.398531883,0.370757285,0.2321887,0.07595612,0.067038405,0.223911908,0.383982651,0.35944081,0.473780561790131,0.0657697707193672,1.92490130933914
"T4829",0.342554363,0.088474413,0.315844627,0.357459016,0.398421675,0.399586057,0.35189008,0.089286881,0.090940274,0.18874606,0.408236295,0.493572728,0.405980833071124,0.237896118436188,2.06960417909832
"T4830",0.312736243,0.084872503,0.309987205,0.355313867,0.404025931,0.382927551,0.299573994,0.089956689,0.09353861,0.288020608,0.387304077,0.397877385,0.306411432429284,0.506048126489463,2.29503372902889
"T4831",0.173730703,0.084693271,0.143231358,0.226053997,0.340131163,0.364981022,0.115603485,0.094255568,0.100736731,0.136013452,0.315244415,0.24307319,0.47027610948447,0.0745758129779029,1.93230435717541
"T4832",0.170136478,0.089268474,0.134240004,0.221891692,0.342189388,0.355396147,0.112319318,0.093649854,0.10084671,0.132833442,0.313523484,0.240818459,0.472790217780733,0.0682577760089376,1.92699292117052
"T5075",0.350910208,0.059174434,0.486665282,0.487519181,0.449464521,0.487385316,0.455682057,0.06754487,0.071778878,0.487478366,0.487339487,0.490553152,0.447769142836832,0.131299628484803,1.97999083281622
"T5076",0.559194655,0.298926268,0.418267741,0.492646497,0.373379733,0.503087519,0.316690695,0.041178987,0.061944949,0.520616927,0.474954992,0.561012974,0.364168576112053,0.347338337636916,2.1616098679497
"T5077",0.48252758,0.31954866,0.512622654,0.49307963,0.424860778,0.48776578,0.341502362,0.084734594,0.046378755,0.479796325,0.496243286,0.501262781,0.273714483247125,0.601617215841374,2.37537657992261
"T5078",0.492014954,0.264890776,0.433155262,0.529572043,0.414234179,0.659922033,0.31083993,0.045411202,0.059407429,0.490444449,0.462346089,0.455701253,0.398560371015925,0.257075173859673,2.08572759306638
"T5079",0.482471753,0.313142848,0.51130159,0.516289325,0.414414483,0.514666786,0.366533368,0.113693216,0.046228101,0.45519404,0.519049916,0.552950442,0.258175001040551,0.648982013532267,2.41519513322574
"T5080",0.464973653,0.401968482,0.368510131,0.535616241,0.41469094,0.608851922,0.383840166,0.047627083,0.060750074,0.467956151,0.48004533,0.487901427,0.308987576614983,0.498722128480377,2.28887492214182
"T5082",0.512467982,0.269024288,0.453011184,0.568692363,0.391129615,0.484178211,0.187634249,0.060456989,0.067522582,0.503804722,0.550151011,0.476201839,0.41490972967491,0.21493312372783,2.05029968982843
"T5083",0.502401009,0.312758795,0.535978719,0.517824688,0.401206603,0.504629828,0.386429189,0.088007554,0.053267343,0.478063702,0.504834078,0.506350793,0.268708257167183,0.616724415198827,2.38807687322485
"T5084",0.523757054,0.325376133,0.437483456,0.571931815,0.311204833,0.618007435,0.347352724,0.043880271,0.063124224,0.506351652,0.464005557,0.433186705,0.380337164914824,0.304595392231632,2.12567680514934
"T5085",0.491952815,0.310085789,0.530770189,0.586325835,0.404536949,0.570890447,0.405356857,0.189749738,0.060505852,0.524160335,0.605879387,0.576909007,0.214637869932647,0.790431623592886,2.53410873810721
"T5086",0.438443328,0.36196906,0.340759941,0.50790234,0.33946215,0.60344869,0.306956734,0.042090122,0.062760208,0.440932959,0.509120499,0.435983752,0.363299953281089,0.349651965717481,2.16355488466129
"T5087",0.491952815,0.310085789,0.530770189,0.586325835,0.404536949,0.570890447,0.405356857,0.189749738,0.060505852,0.524160335,0.605879387,0.576909007,0.214637869932647,0.790431623592886,2.53410873810721
"T5088",0.426655574,0.322316199,0.405878277,0.581708596,0.27185201,0.555777563,0.408713881,0.231356125,0.059856762,0.510983961,0.409829735,0.562660985,0.206784159244044,0.817630303659069,2.55697407575856
"T5540",0.259738098,0.095013805,0.326194624,0.342677445,0.08777153,0.339891693,0.345016207,0.235332343,0.090247746,0.109373731,0.317006218,0.078375768,0.497048889330627,0.00739740491116672,1.87582893338322
"T5548",0.239972691,0.10058784,0.358691394,0.376501916,0.116548021,0.367163385,0.375911127,0.227562985,0.257950302,0.11381959,0.334879766,0.077968322,0.40091929227329,0.250968343145302,2.08059371355738
"T5550",0.270380864,0.063278613,0.329026331,0.28852946,0.120940919,0.340758935,0.333108045,0.248780802,0.25253601,0.095539964,0.324808557,0.11583202,0.331436479072062,0.435950067275098,2.23610381813834
"T5552",0.284855965,0.102844337,0.266667042,0.279152548,0.124474013,0.330399609,0.323173767,0.251086188,0.059165818,0.057248399,0.3175595,0.13368106,0.448149669012909,0.130337594002453,1.97918207139038
"T5554",0.263425382,0.103307204,0.233588865,0.207573858,0.135980002,0.358756356,0.378529079,0.242420948,0.232955295,0.116738769,0.317956724,0.111325439,0.277592839157432,0.590007414986861,2.36561647333077
"T5556",0.23112951,0.190058426,0.264813256,0.263273166,0.260982187,0.265052842,0.254782164,0.209532307,0.245672828,0.07886452,0.253814621,0.265026694,0.00190896485248122,2.89282581149544,4.30154571908018
"T5558",0.211667792,0.173588235,0.247590477,0.231331336,0.239279733,0.248644141,0.248972469,0.17045366,0.217948718,0.095563301,0.234191892,0.097518363,0.0189303443425007,2.07635977458596,3.61516051327731
"T5560",0.102542994,0.149816977,0.299704671,0.274322407,0.082852284,0.355216665,0.368619208,0.212763404,0.265949916,0.053989591,0.32532872,0.172081466,0.420005901286487,0.20187838226527,2.03932485315378
"T5562",0.267724083,0.202091847,0.076755935,0.253522354,0.081417184,0.339567018,0.33944642,0.139077145,0.277368426,0.054303591,0.317735719,0.159132073,0.442162584569054,0.145488532525634,1.99191913525614
"T5564",0.240029155,0.189471293,0.271952613,0.271894573,0.216354123,0.283477455,0.096642484,0.092765517,0.254206364,0.116999657,0.156329803,0.281582001,0.133680774946734,1.10915910753612,2.8020559885397
"T5566",0.225008858,0.194151714,0.258928172,0.249741907,0.246047506,0.259496274,0.106468518,0.097496075,0.235690299,0.126941777,0.251318159,0.257904603,0.0401937818723654,1.7484417504935,3.33948697601035
"T5568",0.21295302,0.161002917,0.251473551,0.264843738,0.249676233,0.259535144,0.263542936,0.20058287,0.228211665,0.110885784,0.24338201,0.258398777,0.000323434997912512,3.41116051022788,4.73729840539024
"T5570",0.205631808,0.164261567,0.255390495,0.247453483,0.2353789,0.255835742,0.217896473,0.189009612,0.224028159,0.095123059,0.240783143,0.253548985,0.000734875652726423,3.18059068443567,4.5434633771417
"T5572",0.220283922,0.169322859,0.234925881,0.265191586,0.139083856,0.244692722,0.087195982,0.19940764,0.232712006,0.127071761,0.245618628,0.259660613,0.0281853994001944,1.90815799530353,3.47375694268154
"T5574",0.214867953,0.152575767,0.283664797,0.288285054,0.181149517,0.277205059,0.111064915,0.188184904,0.238817602,0.095555312,0.112874737,0.280951446,0.1394282897612,1.08289151272838,2.77997339397605
"T5576",0.22689901,0.091999636,0.261309577,0.237379091,0.257050701,0.261383459,0.256623363,0.208167597,0.240433197,0.13810641,0.252166428,0.261198173,0.00371669346013568,2.67677800323992,4.11991903452874
