"","accA","accD","acpP","fabD","fabF","fabG","fabH","fabI","fadR","plsX","rpmF","yceD"
"accA",1,0.139423234227051,0.171691333406279,0.262882119072952,0.0790312012920248,0.343166606487687,-0.000787356400641726,0.225559975738553,-0.205844166862854,0.262214871047261,0.28478163089147,0.434151960731293
"accD",0.139423234227051,1,0.174232554651627,0.25064874844758,-0.0728087849750555,0.183205667741389,0.293558630147284,0.483056157773032,-0.345931857319252,0.510839764778615,0.223350013312212,0.243663349097891
"acpP",0.171691333406279,0.174232554651627,1,0.497689504678414,0.158616786065214,0.534761823770252,0.158549212876134,0.271487688198724,0.00661791766584693,0.296286491141002,0.359170143593443,0.506528429029741
"fabD",0.262882119072952,0.25064874844758,0.497689504678414,1,0.193208199011471,0.535404805612402,0.305929386224004,0.262789631693056,-0.0782383319334224,0.39990163562679,0.365577723012769,0.543444705861226
"fabF",0.0790312012920248,-0.0728087849750555,0.158616786065214,0.193208199011471,1,0.138725087555948,0.0196231829924286,-0.0793771431860896,0.110047262237238,0.0637833264436956,0.144932612183323,0.0896647343244378
"fabG",0.343166606487687,0.183205667741389,0.534761823770252,0.535404805612402,0.138725087555948,1,0.246385157610541,0.177952529934236,-0.104652995296644,0.485741190027596,0.386044059570809,0.584031623557696
"fabH",-0.000787356400641726,0.293558630147284,0.158549212876134,0.305929386224004,0.0196231829924286,0.246385157610541,1,0.169980084883632,-0.157512144951224,0.463334408586389,0.173872012709228,0.125129649378618
"fabI",0.225559975738553,0.483056157773032,0.271487688198724,0.262789631693056,-0.0793771431860896,0.177952529934236,0.169980084883632,1,-0.235255673327378,0.332569823999895,0.177982644952951,0.24171691735825
"fadR",-0.205844166862854,-0.345931857319252,0.00661791766584693,-0.0782383319334224,0.110047262237238,-0.104652995296644,-0.157512144951224,-0.235255673327378,1,-0.432288398125125,-0.0563009605494456,-0.097933026071107
"plsX",0.262214871047261,0.510839764778615,0.296286491141002,0.39990163562679,0.0637833264436956,0.485741190027596,0.463334408586389,0.332569823999895,-0.432288398125125,1,0.295707443395173,0.431295727203793
"rpmF",0.28478163089147,0.223350013312212,0.359170143593443,0.365577723012769,0.144932612183323,0.386044059570809,0.173872012709228,0.177982644952951,-0.0563009605494456,0.295707443395173,1,0.502045774014396
"yceD",0.434151960731293,0.243663349097891,0.506528429029741,0.543444705861226,0.0896647343244378,0.584031623557696,0.125129649378618,0.24171691735825,-0.097933026071107,0.431295727203793,0.502045774014396,1
