"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO","pval","z","inv_cof_var"
"T0175",0.099537741,0.205197292,0.128387019,0.092305619,0.124950501,0.15765567,0.073838758,0.171783422,0.33666939,0.157550941,0.064792252,0.041948923,0.203396389,0.036546586,0.479992866936039,0.0501714859141666,1.6946693481931
"T8405",0.091025065,0.155571587,0.135331013,0.170123522,0.190049198,0.108255729,0.190172863,0.183087113,0.182386843,0.191919234,0.085336116,0.097385507,0.182048044,0.178504197,0.00170035021030578,2.92898572291852,3.7470157916401
"T0849",0.046953425,0.163522412,0.132813495,0.18250445,0.052289347,0.118434326,0.101186181,0.104504907,0.301330069,0.20490715,0.047345118,0.107464272,0.218749101,0.036982693,0.485259787671115,0.0369566437985708,1.68524830467177
"T0850",0.068235352,0.163522412,0.132813495,0.18250445,0.087348836,0.118434326,0.101186181,0.134443604,0.230851991,0.068798064,0.114670676,0.263618609,0.289102067,0.04721231,0.357978400231167,0.363867706543475,1.91830771792733
"T0856",0.043071023,0.163522412,0.132813495,0.18250445,0.057896109,0.118434326,0.101186181,0.110822637,0.22119303,0.019427117,0.122800959,0.128115335,0.271709146,0.038476198,0.469403729497735,0.0767688156691507,1.71363095204589
"T0858",0.0695804,0.163522412,0.132813495,0.18250445,0.079777933,0.118434326,0.101186181,0.12368487,0.265516964,0.073974725,0.061725928,0.140275747,0.316764933,0.040218692,0.476099239384276,0.059946206257877,1.70163788137431
"T0859",0.045932737,0.163522412,0.132813495,0.18250445,0.06296642,0.118434326,0.101186181,0.119083657,0.250297638,0.049940404,0.167823052,0.195959003,0.297550159,0.031111645,0.452666384208124,0.118927532953226,1.74368648406531
"T8143",0.622489317,0.687939782,0.582145972,0.675529282,0.687111068,0.639476777,0.389420203,0.070884325,0.430974739,0.684545075,0.055812471,0.624226321,0.152170499,0.046134803,0.45685979518723,0.108348072899019,1.73614424082615
"T8144",0.262566188,0.67746433,0.545728866,0.675009743,0.670134969,0.628592282,0.399874392,0.091972516,0.424187336,0.660545153,0.073537633,0.599781582,0.131980636,0.052858834,0.486769371558355,0.0331703490739018,1.68254900285085
"T0717",0.178335393,0.229218312,0.112701448,0.170264167,0.151865735,0.362870392,0.173133604,0.272823356,0.336873001,0.365513004,0.075244548,0.39286284,0.267377398,0.094370846,0.256378186491631,0.654551788907772,2.12554041635521
"T0718",0.238085425,0.294598176,0.20717317,0.231732764,0.334147204,0.097038793,0.0491261,0.235439753,0.375151963,0.390965979,0.080241216,0.384198248,0.124029965,0.074137749,0.409435653570651,0.228996923693183,1.82215647344976
"T0719",0.404692199,0.405573569,0.283662201,0.214555215,0.393971061,0.120219063,0.046983542,0.124045555,0.33332845,0.207265112,0.071750071,0.413982798,0.206319011,0.070361892,0.46618233749683,0.084870084589691,1.719406458587
"T0848",0.055550709,0.163522412,0.132813495,0.18250445,0.073515409,0.118434326,0.101186181,0.129609619,0.25278446,0.075489957,0.040624076,0.189038414,0.27577377,0.034604081,0.457710053637468,0.106204491660631,1.73461605214545
"T0851",0.054085014,0.163522412,0.132813495,0.18250445,0.070470292,0.118434326,0.101186181,0.128022568,0.187836015,0.06576938,0.080707192,0.197453021,0.268909181,0.033242073,0.355856603683991,0.36955617860914,1.92236310825524
"T0854",0.058728404,0.163522412,0.132813495,0.18250445,0.051074372,0.118434326,0.101186181,0.116092934,0.233273953,0.041160399,0.037380586,0.16370063,0.252642022,0.037682973,0.487162033919544,0.0321855647971885,1.68184693653414
"T0857",0.057846747,0.163522412,0.132813495,0.18250445,0.056724343,0.118434326,0.101186181,0.138724018,0.28309784,0.061765563,0.083935816,0.223497634,0.250083426,0.03289097,0.454608294247394,0.114026749760298,1.74019264801753
"T4825",0.324420668,0.264154041,0.312246456,0.389221699,0.474483799,0.374483556,0.279035002,0.350691789,0.280539625,0.273399615,0.063451959,0.276092542,0.069445624,0.069904539,0.231640698841868,0.733454289363483,2.18179109905221
"T4826",0.279505606,0.302883055,0.199443451,0.344431196,0.373636025,0.346371884,0.25921567,0.332411508,0.360072244,0.325426984,0.082127551,0.261098163,0.078882266,0.075962141,0.149787379730284,1.03734573276669,2.39843950763851
"T4827",0.494168637,0.261356097,0.329483583,0.418843502,0.513061805,0.387941962,0.25069453,0.088307822,0.435687386,0.22249474,0.077458478,0.286491854,0.084438482,0.079437146,0.425341605618601,0.188246769240668,1.79310512533375
"T4828",0.412128842,0.178921766,0.279329784,0.339747325,0.403482063,0.308746052,0.153459231,0.071016351,0.417750418,0.249904871,0.072632139,0.241176121,0.122753584,0.067459332,0.399066846344657,0.255763197943389,1.84123852016733
"T4829",0.354557923,0.225552899,0.358863917,0.370801109,0.511675016,0.376642178,0.358486379,0.083644879,0.362894328,0.242444118,0.094265324,0.157912326,0.093582372,0.085187645,0.384539096472117,0.29358087329593,1.86819926341765
"T4830",0.141474667,0.108751452,0.255650393,0.284451891,0.389113715,0.267195089,0.298774525,0.073404864,0.288425445,0.324765192,0.09622766,0.112209264,0.095920316,0.071790538,0.408302938655948,0.23191262652909,1.82423511828502
"T4831",0.30025125,0.216244612,0.322833753,0.168794737,0.40476157,0.296052774,0.14918749,0.151824308,0.240457904,0.143088078,0.114344803,0.250342499,0.111910035,0.084514361,0.212069858621557,0.799259914297008,2.22870483824216
"T4832",0.308524152,0.208389821,0.324213461,0.159783534,0.396689331,0.300725712,0.145980153,0.149163441,0.24117079,0.138857467,0.111220605,0.24963348,0.111995746,0.087491044,0.224619318583353,0.756684943839922,2.19835255358472
"T5536",0.151550141,0.079156643,0.102927205,0.15161489,0.307657494,0.170531116,0.064576541,0.101713974,0.104682483,0.072763686,0.094820999,0.099545113,0.070008203,0.070565907,0.405927529942337,0.238033566647063,1.82859882106243
"T5538",0.142204656,0.202600092,0.102601886,0.144433287,0.307311892,0.230585727,0.076271429,0.098277879,0.058281823,0.083855538,0.064505676,0.076855747,0.067320024,0.090147035,0.486578725647305,0.0336484942854022,1.68288987917822
"T5540",0.137201612,0.150084617,0.086232724,0.090124069,0.309184276,0.18564959,0.08984971,0.09853219,0.208717327,0.094581065,0.075274703,0.080074299,0.075447395,0.079992704,0.392984083751178,0.271549846314046,1.85249303990015
"T5542",0.119989976,0.183947372,0.098192881,0.136040004,0.306668886,0.108932267,0.097001215,0.099420906,0.060074838,0.155464837,0.103928855,0.113355456,0.235997297,0.074385049,0.305425656818352,0.508858638620875,2.02167375660955
"T5544",0.121926989,0.204228594,0.114094359,0.074743441,0.318794991,0.143143472,0.107018776,0.096329421,0.053763151,0.156599668,0.088766663,0.095316836,0.22411895,0.054448299,0.4212540984158,0.198686229122832,1.80054756051601
"T5546",0.179357604,0.072577849,0.097602775,0.178465913,0.306739263,0.164877736,0.07301539,0.099930246,0.097579024,0.049716062,0.119329246,0.10165489,0.0816602,0.066020816,0.429762279905482,0.176979413693956,1.78507247189397
"T5548",0.133823253,0.105638346,0.106652382,0.141149682,0.318664599,0.131595679,0.061763954,0.076270658,0.104114531,0.113824002,0.132991162,0.081643845,0.087108822,0.06323342,0.383191374276596,0.297109713746954,1.87071502252987
"T5550",0.212671081,0.167040053,0.187249164,0.126931821,0.320916334,0.141553465,0.056157958,0.080889838,0.107783825,0.060514345,0.137899122,0.119022021,0.055120721,0.057095747,0.447566371254582,0.131812318890847,1.75287222597729
"T5552",0.181562969,0.164769111,0.054258913,0.10156079,0.320311687,0.14410812,0.134416889,0.093462945,0.059614135,0.169983754,0.21531606,0.045574814,0.24469556,0.073111637,0.427764318682769,0.182068922444097,1.78870085299894
