"","argA","argB","argC","argE","argF","argH","argI","argR","artI","artJ","artM","artP","artQ","lysO"
"argA",1,0.626869935397274,0.65042326229909,0.381515135805463,0.606783796922012,0.468651377364252,0.556777993877731,-0.0347068168460556,0.345701666972071,0.684055094901906,0.0321390736883919,0.176501143203037,0.0834086790956011,0.00624151509964781
"argB",0.626869935397274,1,0.724000095284662,0.562255341252909,0.658616050187588,0.602965401350649,0.587502684169657,0.150515678118728,0.470606659223138,0.825192696351572,0.0984520338629856,0.361150680344267,0.164339688880993,0.124574488740458
"argC",0.65042326229909,0.724000095284662,1,0.598040056620117,0.596464068424097,0.545344081644775,0.703255965890994,0.175994197993091,0.3857844764973,0.719052912310968,-0.0685506759444192,0.345988374878278,-0.102944940462493,0.0557892644658376
"argE",0.381515135805463,0.562255341252909,0.598040056620117,1,0.299672912645174,0.412942539989893,0.620238304504878,0.142576299413174,0.307644229298377,0.557492604650446,-0.0218364148313597,0.533894423486265,-0.0524615666501622,-0.090379775642975
"argF",0.606783796922012,0.658616050187588,0.596464068424097,0.299672912645174,1,0.463875500462247,0.398029111513351,0.0339862234101357,0.252690696742661,0.640625035447694,0.0141519001181454,0.0754527342912087,-0.0966591476447483,0.242907912373693
"argH",0.468651377364252,0.602965401350649,0.545344081644775,0.412942539989893,0.463875500462247,1,0.433412253238137,0.117474683944133,0.37386733591593,0.637165543916456,0.177154422620602,0.336382943694185,0.104931498771822,0.190146122483342
"argI",0.556777993877731,0.587502684169657,0.703255965890994,0.620238304504878,0.398029111513351,0.433412253238137,1,0.266933356153614,0.382245464526036,0.617811305734965,-0.0671829486552566,0.43052364220282,-0.108273539051226,-0.0298110223784292
"argR",-0.0347068168460556,0.150515678118728,0.175994197993091,0.142576299413174,0.0339862234101357,0.117474683944133,0.266933356153614,1,0.144246612807678,0.0953491885075708,-0.0784958611798858,0.280712951241289,-0.124278037467681,0.0851713370372227
"artI",0.345701666972071,0.470606659223138,0.3857844764973,0.307644229298377,0.252690696742661,0.37386733591593,0.382245464526036,0.144246612807678,1,0.491304210630206,0.140442582425269,0.402894701684532,0.130116610230871,0.0701527462004975
"artJ",0.684055094901906,0.825192696351572,0.719052912310968,0.557492604650446,0.640625035447694,0.637165543916456,0.617811305734965,0.0953491885075708,0.491304210630206,1,0.129361284184454,0.357301998969303,0.132297383924873,0.112418665707338
"artM",0.0321390736883919,0.0984520338629856,-0.0685506759444192,-0.0218364148313597,0.0141519001181454,0.177154422620602,-0.0671829486552566,-0.0784958611798858,0.140442582425269,0.129361284184454,1,-0.0698242667388982,0.437919420612557,0.380237479597804
"artP",0.176501143203037,0.361150680344267,0.345988374878278,0.533894423486265,0.0754527342912087,0.336382943694185,0.43052364220282,0.280712951241289,0.402894701684532,0.357301998969303,-0.0698242667388982,1,-0.108323162357208,-0.223446614789126
"artQ",0.0834086790956011,0.164339688880993,-0.102944940462493,-0.0524615666501622,-0.0966591476447483,0.104931498771822,-0.108273539051226,-0.124278037467681,0.130116610230871,0.132297383924873,0.437919420612557,-0.108323162357208,1,0.157482268872623
"lysO",0.00624151509964781,0.124574488740458,0.0557892644658376,-0.090379775642975,0.242907912373693,0.190146122483342,-0.0298110223784292,0.0851713370372227,0.0701527462004975,0.112418665707338,0.380237479597804,-0.223446614789126,0.157482268872623,1
