"","argO","argP","lrp","lysP","pval","z","inv_cof_var"
"T5538",0.076776208,0.241425277,0.213748264,0.076585598,0.0321612547553646,1.84993783792447,568.926987029113
"T5542",0.102761592,0.209608248,0.105325767,0.095225509,0.496677802176595,0.00832761124913436,18.5770275758064
"T5562",0.106941872,0.063746918,0.145225644,0.099460649,0.49543417217491,0.0114450829836512,19.5086581770252
"T8140",0.057843268,0.084883824,0.590592023,0.058256485,0.270608665909433,0.610973186275901,198.672665065533
"T0150",0.06578439,0.273503526,0.194068071,0.067384765,0.443123337910758,0.143055086474023,58.839217399286
"T0818",0.042697685,0.044450126,0.39440417,0.0451425,0.487563677600098,0.0311782879512217,25.4057630021825
"T0037",0.022659063,0.045969702,0.091185973,0.02273794,0.0954388746687995,1.30798690957759,406.969441875901
"T0018",0.039060975,0.05300357,0.469461232,0.039102556,5.5630700339196e-06,4.3940437668387,1329.21196728281
"T0055",0.074167709,0.084556993,0.276895274,0.073811182,0.17663796518676,0.92825380501631,293.489349470212
"T2674",0.046624538,0.071913837,0.202350642,0.044694985,0.476815841578004,0.0581468166510324,33.4650843838033
"T0053",0.096277211,0.075985251,0.055066027,0.088322556,0.499571357969151,0.00107444644094991,16.409479361601
"T2817",0.054307316,0.073646809,0.386417648,0.050552801,0.495113566881458,0.0122487776960404,19.7488356836275
"T0485",0.13349643,0.06408827,0.324649605,0.128635622,0.470598459032911,0.0737655768530723,38.1326214768296
"T0491",0.060925219,0.070765477,0.149502242,0.059488314,0.442572683901376,0.144449707049177,59.2559882044603
"T1702",0.077923384,0.030719905,0.100193106,0.083892676,0.495888498490438,0.0103061883817754,19.1683089604076
"T2335",0.066155407,0.071219669,0.125507233,0.066667206,0.287660588582157,0.560232037490163,183.5090931151
"T2336",0.062327437,0.064101748,0.139079822,0.057901754,0.495833597842217,0.0104438113057207,19.2094364310938
"T4072",0.098307471,0.173368872,0.151433796,0.09229273,0.491564994258861,0.0211449994753958,22.4073978617898
"T4074",0.098307471,0.173368872,0.151433796,0.09229273,0.491564994258861,0.0211449994753958,22.4073978617898
"T4075",0.065666904,0.153253736,0.11085882,0.067294685,0.444551853496055,0.139438429021918,57.7584092818617
"T5716",0.119398839,0.143364141,0.138634046,0.127790158,0.493670740580975,0.0158657662205598,20.8297427393002
"T8379",0.234419795,0.151360002,0.251214853,0.248598548,0.489321372442329,0.0267705469997294,24.088546134684
"T2667",0.037989369,0.055705688,0.465518964,0.039885674,0.482717423547939,0.0433345538479928,29.0385623570544
"T2669",0.039384198,0.06459276,0.372728611,0.042450754,0.496286650420449,0.00930812145896406,18.8700449289938
"T2679",0.069524714,0.089218467,0.138620293,0.06789033,0.442313976550564,0.145105022219904,59.4518237142848
"T2681",0.054010015,0.070961608,0.06083875,0.053262663,0.387517387941182,0.28579547263958,101.49599927456
"T0600",0.054929454,0.06464531,0.337129989,0.059793461,0.499213046632078,0.00197260084213166,16.6778853636493
"T1941",0.043690671,0.09284781,0.358932494,0.041427455,0.485978513339007,0.0351538940833599,26.5938399589306
"T1094",0.094052604,0.245452244,0.166938377,0.091325396,0.457394354199383,0.107000342047987,48.0645557224825
"T4097",0.094493489,0.153756984,0.286360954,0.099065241,0.481518621674364,0.0463425278892552,29.9374704797758
"T4099",0.117399669,0.171362705,0.229971691,0.111934392,0.481873136728916,0.0454529539043438,29.6716286640456
"T5043",0.08713532,0.103031409,0.24562222,0.085846588,0.395980437546088,0.263765169457973,94.912425678409
"T4836",0.100341608,0.06955169,0.234893084,0.104026159,0.469150361804993,0.0774058041304925,39.2204732412856
"T4842",0.115122519,0.079422132,0.242652606,0.116350441,0.347453884582165,0.392203620594395,133.295192754363
"T4118",0.09776464,0.117514068,0.249535204,0.093402817,0.48011427074145,0.0498667907794681,30.9906672478199
"T4835",0.095806708,0.08730828,0.251308018,0.095421001,0.131512547437506,1.11926970770879,350.57286952186
"T4843",0.083027679,0.084137168,0.240988872,0.086197649,0.471110396374804,0.0724789049142565,37.7481102273263
"T2772",0.044150961,0.053878536,0.279132699,0.041885172,0.48563659017831,0.0360115111269164,26.8501317074836
