"","aroF","tyrA","tyrB","tyrR","pval","z","inv_cof_var"
"T8404",0.309615215,0.295766442,0.309978527,0.154257879,0.000975394718466645,3.097623728211,37.6574809243394
"T8405",0.166207635,0.154584861,0.144320551,0.157138433,0.171621952954323,0.947775204797377,14.1579605644548
"T8399",0.310827906,0.310755637,0.302785526,0.30075398,4.44651969759301e-09,5.75059409104557,66.6565152175138
"T0848",0.140277748,0.225716556,0.164596706,0.290271052,0.491981520805048,0.0201007001625183,4.01775502364857
"T0854",0.16934781,0.209700801,0.164596706,0.054546248,0.373927678156362,0.321468531021041,7.3119403580781
"T0857",0.187065099,0.206739866,0.164596706,0.16295781,0.3227334945748,0.460068589383747,8.82694704710936
"T1129",0.250986814,0.194693955,0.150801321,0.053030177,0.494122338880793,0.014733644596702,3.95908892221493
"T5538",0.078720715,0.125827602,0.089641714,0.129194735,0.493463880658247,0.0163843545742263,3.97713246914516
"T5556",0.103147819,0.152067348,0.103616961,0.104839434,0.483319495691845,0.0418240139649938,4.25520777877332
"T5558",0.102419191,0.142242139,0.161338859,0.117842924,0.474328119060732,0.0643943382158388,4.50191901841905
"T5564",0.082385803,0.138473862,0.103261497,0.099244695,0.499517879986373,0.00120849595208374,3.81124850346766
"T5566",0.107442384,0.15339594,0.107289393,0.111464199,0.470124740474581,0.074956300791933,4.61736950336911
"T5568",0.095006843,0.125588703,0.153098031,0.095986634,0.482175287357356,0.0446948048202942,4.28658776085967
"T5574",0.089511015,0.116415211,0.089333472,0.092236229,0.408936982803751,0.23028030258328,6.3151819318833
"T5576",0.098219091,0.144539466,0.101074511,0.098066092,0.477486087351756,0.0564639986019238,4.4152342240308
"T5578",0.103293708,0.118490463,0.107058651,0.100377737,0.178880500763924,0.919639837379553,13.8504190645457
"T8388",0.337348017,0.327859299,0.301528864,0.292263535,0.107280341955258,1.24112199898042,17.3644697149066
"T8389",0.314350982,0.314118781,0.287049894,0.279239688,0.0761739665506318,1.43128715728265,19.4431231458788
"T8394",0.319697748,0.319212517,0.275850311,0.210381703,0.223465813626328,0.760540404462075,12.111338230537
"T8397",0.314958878,0.314695645,0.28856191,0.263458457,0.0669405817373538,1.49897096932368,20.1829599770651
"T8500",0.413932165,0.421208416,0.263404316,0.133300981,0.488593631303741,0.0285954228779771,4.11060896532374
"T8402",0.292255322,0.292241268,0.296830295,0.297622137,5.000803330503e-23,9.81195075342681,111.050309727667
"T8406",0.333727665,0.333318072,0.299149885,0.053603,0.127737962386257,1.13714918676655,16.2279658213139
"T8407",0.308744573,0.307029267,0.30791474,0.305675663,7.45678386492632e-232,32.489684857626,358.935622806141
"T5543",0.076418804,0.110160571,0.071481238,0.120032585,0.489484437754683,0.0263616586116915,4.08619218047444
"T5537",0.085354842,0.086239501,0.08403698,0.091860034,1.14673885326908e-11,6.68600335458386,76.88126770307
"T5541",0.090502335,0.109165403,0.108104881,0.110114472,0.291881855978966,0.547895422729091,9.7869628044363
"T1634",0.136470948,0.081756895,0.12988649,0.054761946,0.496836393387865,0.00793006889804675,3.8847205358336
"T1717",0.311999815,0.472084891,0.388347223,0.082331272,0.460546702385131,0.0990565067497303,4.88080354275129
"T1590",0.228371361,0.138300618,0.21503324,0.02880558,0.493038337611915,0.0174511855152262,3.98879376302031
"T0878",0.132533407,0.089677485,0.127667075,0.090044769,0.457297726864009,0.107243944545553,4.97029862069879
"T0150",0.404936114,0.384721361,0.355825808,0.422872735,0.142815084699354,1.06775693318329,15.4694543921883
"T0875",0.487406305,0.523333067,0.492586568,0.099159801,0.0220501234589148,2.01313673178584,25.8031925989196
"T0876",0.615510293,0.607429746,0.536694531,0.069173736,0.186713245606638,0.890073369577992,13.5272345217717
"T1082",0.338072361,0.321087183,0.296761926,0.066922075,0.145376374140633,1.05647173353283,15.3460983621875
"T0727",0.120072764,0.19795868,0.173978093,0.054896465,0.488563691508657,0.0286705015850882,4.11142963412302
"T0742",0.126251586,0.206152807,0.185171519,0.053384539,0.486616604898004,0.0335534914693175,4.16480452028447
"T0745",0.159070958,0.187915595,0.216458273,0.063628027,0.400771732480461,0.251350072736504,6.54549094542608
"T0730",0.142474805,0.201660993,0.18875913,0.058697477,0.430663692755843,0.17468470641135,5.70747872399044
"T0738",0.185159783,0.185515757,0.211824541,0.059533418,0.207806764423829,0.814054851179488,12.6962928524501
"T0746",0.210817955,0.135869247,0.199197852,0.068703391,0.47399946999207,0.0652198710709002,4.51094273610148
"T0731",0.192777251,0.201325796,0.191127852,0.057354703,0.00179155257399386,2.91270709960931,35.6361980146921
"T0739",0.216673675,0.142462055,0.204773723,0.06799889,0.466534643094714,0.0839838324464954,4.71604746212085
"T0732",0.188783161,0.200286604,0.177431104,0.062209689,0.122164877085371,1.16423261999925,16.5240088605029
"T0788",0.193116671,0.163647254,0.193225409,0.059544885,0.262232975370796,0.636476411661043,10.7552220702565
"T0847",0.211657448,0.154680223,0.194946256,0.06288772,0.406353966328629,0.236934077359976,6.38791287740442
"T0842",0.188386564,0.171286842,0.173887994,0.0541126,0.0780299652314292,1.41844827321442,19.302784133956
"T0835",0.11645466,0.180640846,0.162471153,0.088951985,0.469656878531155,0.0761324080439243,4.63022527251404
"T0758",0.167128351,0.200291067,0.181601427,0.059731651,0.254775532494458,0.659536890371709,11.0072910802673
