"","aroH","trpA","trpB","trpC","trpD","trpE","trpL","trpR","pval","z","inv_cof_var"
"T8404",0.295318489,0.3087137,0.309725909,0.307488715,0.311936028,0.308773275,0.12606075,0.048158788,0.495739090368468,0.0106807196266878,2.4229732244306
"T8405",0.195823481,0.188246668,0.185067382,0.076289831,0.12687442,0.078287073,0.180978643,0.17010274,0.346479585341543,0.394842441451711,3.02442113403184
"T1011",0.090913045,0.094094318,0.143286164,0.137875608,0.080062501,0.073657926,0.118321946,0.089731122,0.16561510643406,0.971638920540038,3.92746018478621
"T0853",0.040375781,0.10759785,0.083747201,0.086349751,0.069592143,0.057269181,0.075136234,0.057458103,0.251348868275633,0.670251095786053,3.45560401880381
"T1992",0.518725652,0.72742529,0.747175865,0.459448157,0.530944761,0.69767898,0.496951273,0.081055415,0.480552735556438,0.048766385072205,2.48260057032846
"T5536",0.069119334,0.176852876,0.101505916,0.082109075,0.068186914,0.065548456,0.116875044,0.089774467,0.452995206588173,0.118097488800164,2.59114612559469
"T5548",0.100318201,0.148860371,0.101106064,0.076607716,0.118418942,0.064830614,0.106791546,0.111823761,0.14782691889689,1.04579901121559,4.04356605629457
"T5552",0.129749724,0.047932136,0.063018563,0.082189801,0.102416585,0.046207417,0.09041507,0.086219676,0.38363045924178,0.295959620934194,2.86960907880364
"T5558",0.141030192,0.126016774,0.250338327,0.12267559,0.108751399,0.09666735,0.1139641,0.104855888,0.426691203034114,0.184804464430919,2.69558331641718
"T5566",0.119325896,0.173356689,0.259788717,0.131816822,0.094611336,0.102134408,0.122243807,0.111889225,0.457706274894915,0.106214017137953,2.57254122879214
"T5570",0.165231508,0.143967626,0.257452378,0.11659673,0.089402497,0.10961914,0.107355594,0.091190135,0.495329013285139,0.01170869489546,2.42458263406565
"T5572",0.137446857,0.153337569,0.267350858,0.12480193,0.112832634,0.096533183,0.117468352,0.113341419,0.451870337784948,0.120937328138024,2.59559220998135
"T8498",0.160035841,0.541673853,0.555757948,0.560769649,0.559706676,0.458830317,0.482703913,0.174120744,0.461073990015124,0.0977283792562858,2.55925601874749
"T0933",0.040205376,0.125742405,0.114542867,0.110631683,0.074790278,0.069366102,0.080137234,0.044422938,0.456280693043263,0.109808328143451,2.57816852250179
"T8402",0.283415663,0.292316532,0.293878462,0.281158587,0.293954547,0.284125505,0.085600109,0.093816696,0.452703141144264,0.118834743605808,2.59230038000502
"T8403",0.241882234,0.457434829,0.471226297,0.452272684,0.475644112,0.389924601,0.304887732,0.065931459,0.486954271040384,0.0327066233101408,2.4574572268048
"T5543",0.108864457,0.092255493,0.135589647,0.097189833,0.089083016,0.069100809,0.076487425,0.082216734,0.0912337522319454,1.33319596102438,4.49351795120773
"T5539",0.074756435,0.088252634,0.157544352,0.085201651,0.075015373,0.073949931,0.083859204,0.088777334,0.285503253393065,0.566569786887709,3.2932793962324
"T1718",0.432768162,0.366447169,0.432996034,0.394386141,0.332981495,0.425005322,0.428958502,0.016909275,0.473300909347714,0.0669747323391964,2.51110776346837
"T1719",0.436653343,0.381841758,0.448163332,0.418153089,0.348407051,0.442660632,0.444290176,0.01591335,0.473414747956526,0.0666887432929253,2.51066001580306
"T1589",0.055574405,0.119254326,0.107655329,0.102843838,0.072216484,0.068779969,0.068876846,0.026443302,0.466410555403683,0.0842959771271678,2.53822609899624
"T0881",0.070449284,0.145410798,0.049515718,0.125732839,0.089792322,0.087233602,0.069853757,0.064615039,0.424765434121984,0.189717038824981,2.70327449810502
"T0344",0.241734912,0.177837554,0.29713152,0.217689054,0.318536171,0.242443187,0.227104033,0.061056322,0.395083667598087,0.26609332555183,2.82285007106097
"T0345",0.26746404,0.208572556,0.319016785,0.227662829,0.326700097,0.309650706,0.25603285,0.058939223,0.393085738514935,0.271285474972274,2.83097895855248
"T0346",0.25627094,0.195420153,0.305933616,0.226863804,0.329898544,0.285670363,0.235194677,0.056502589,0.404887963312879,0.240715110723462,2.78311765267888
"T0347",0.044417754,0.135998329,0.119414932,0.117269078,0.081804755,0.077267097,0.086846278,0.054423098,0.406699193306938,0.236044181693305,2.77580479368883
"T0348",0.044575801,0.140484585,0.121361583,0.123920815,0.083515286,0.078896349,0.088755404,0.055564136,0.421887129888919,0.19706808290351,2.71478337533885
"T0349",0.045072723,0.139756448,0.121502786,0.120947504,0.082534369,0.077965493,0.087354564,0.055329251,0.418512813504977,0.205699528341916,2.72829686333318
"T0746",0.043983862,0.16910014,0.155648047,0.146831188,0.104153058,0.143931968,0.116270734,0.047661821,0.497455853551992,0.00637727264797628,2.41623569947072
"T0747",0.048213624,0.179295642,0.160225552,0.1303084,0.097680281,0.130719787,0.109440274,0.051336141,0.498757825120096,0.00311367570716634,2.41112617541792
"T0733",0.177566491,0.191449198,0.149926624,0.095990354,0.122432138,0.107395723,0.098969127,0.05047412,0.433562396980958,0.167311705935923,2.66819645710181
"T0741",0.05636534,0.188145631,0.142859606,0.168583658,0.168160176,0.104153442,0.101302671,0.05714866,0.499424621422248,0.00144226071162207,2.40850938931447
"T0776",0.048164354,0.134884743,0.107460799,0.158538526,0.101085384,0.087832421,0.111186558,0.057430874,0.415213499875607,0.214153957414097,2.74153321251493
"T0792",0.047475399,0.14103838,0.101624106,0.165683642,0.103213585,0.09065262,0.113267268,0.055056176,0.456351972245703,0.109628579005989,2.57788710523183
"T0777",0.050892407,0.157751584,0.093325817,0.169758487,0.107045258,0.092910521,0.115927167,0.059001702,0.472991683394728,0.0677516075283002,2.51232404799637
"T0785",0.047559938,0.082031931,0.09775264,0.16398122,0.098792037,0.085663173,0.109819667,0.055086119,0.457181242051368,0.107537617229602,2.57461347197267
"T0839",0.041813511,0.123715319,0.130496292,0.16756181,0.074433827,0.137393585,0.103248502,0.122595297,0.38185123677087,0.30062236705934,2.87690912654564
"T0845",0.047353098,0.12322399,0.144140579,0.138224671,0.077023186,0.145736274,0.095305182,0.11598165,0.317358329996847,0.475098650972938,3.15007115772433
"T0835",0.06885209,0.178386708,0.18005984,0.150511146,0.099501972,0.179244752,0.113469326,0.17825533,0.290877345092538,0.550823474939922,3.2686267932611
"T0844",0.04730265,0.179112567,0.181656174,0.144063781,0.196927098,0.169828453,0.090026745,0.221336981,0.438495726894232,0.154784192222793,2.64858324082542
"T0808",0.045562929,0.121180002,0.126922468,0.129598461,0.047543472,0.120926625,0.090736026,0.064924992,0.455603133505431,0.11151714959435,2.58084387257218
"T0831",0.081345234,0.10712106,0.129142888,0.156748146,0.108243005,0.106658702,0.117271831,0.115237365,0.0304292769798045,1.87452170024866,5.3410236129459
"T0814",0.064660952,0.121758239,0.122067423,0.186286379,0.11316787,0.112174313,0.130718672,0.115344526,0.215222864952667,0.788429142783596,3.64062489748419
"T0815",0.03723912,0.114303733,0.116012844,0.174383988,0.086070423,0.146829564,0.122775161,0.118993398,0.394106201863617,0.268632624963862,2.82682562676173
"T0827",0.064494582,0.16184966,0.146737813,0.180147286,0.102751517,0.149282861,0.128865725,0.158009251,0.208893429640607,0.810266787797336,3.67481415996909
"T0321",0.070570375,0.14038761,0.14006687,0.124015098,0.109494743,0.105296533,0.108230552,0.058402559,0.223247706593871,0.76127067354946,3.59810529279468
"T1864",0.090366323,0.094616732,0.090206677,0.150471725,0.096797531,0.093525985,0.100739094,0.088758514,0.0547029803685426,1.60086889272246,4.91258970167217
