"","asnB","clpP","clpX","gadX","glsA","lon","uspE","ybaT","pval","z","inv_cof_var"
"T8404",0.309435012,0.309844362,0.047770029,0.216794759,0.06475537,0.15429459,0.306191852,0.273151452,0.389303165983105,0.281135684747014,1.77342326529341
"T8405",0.075873219,0.115066021,0.246328613,0.12939816,0.122603541,0.136803227,0.195786388,0.188933998,0.038426130643839,1.76924941352174,2.65001120563888
"T8399",0.31231473,0.312147406,0.312307633,0.145484231,0.041070465,0.289655191,0.298907788,0.074639511,0.290752768900034,0.551186931367503,1.93249959224706
"T1995",0.059244918,0.11898888,0.117190865,0.1655611,0.077372584,0.13525571,0.229031162,0.082200754,0.211600873719982,0.800878915476085,2.07958309657756
"T1996",0.062123302,0.12297677,0.107213623,0.045746962,0.091069848,0.125993703,0.22392919,0.097874558,0.112309584400122,1.21433672054637,2.32313445878745
"T1997",0.04320512,0.109355416,0.101790641,0.161498694,0.094272121,0.128689894,0.245162456,0.104192616,0.304773011997708,0.510721585173364,1.90866308446557
"T8221",0.047003615,0.184066871,0.137758301,0.037364158,0.025971925,0.118071831,0.125931538,0.062148997,0.391819965896846,0.274578700917293,1.76956080986475
"T0930",0.370447079,0.391769583,0.214543529,0.146718841,0.058519025,0.345902737,0.242673675,0.063263461,0.416020535219013,0.212084553096915,1.73274802112271
"T1992",0.087170855,0.104202711,0.093515807,0.078515764,0.056493127,0.086626698,0.089210802,0.070151877,1.42777084165659e-10,6.30642504538612,5.32267886888018
"T1993",0.058644463,0.075733892,0.216001222,0.057035836,0.079443522,0.053623187,0.090855579,0.065975189,0.489821677051631,0.0255160406013111,1.62284801486681
"T1994",0.058299316,0.142557218,0.097607518,0.118774615,0.070861884,0.122454247,0.138086523,0.079695894,0.0082498990676788,2.39766832285868,3.02018750786504
"T4825",0.20943642,0.288615945,0.24631295,0.063800159,0.064554581,0.280381585,0.080584854,0.077045884,0.392986858799905,0.271542629053039,1.76777238205123
"T4827",0.203186958,0.301735183,0.226302774,0.076467456,0.079454321,0.227326596,0.095072419,0.09191562,0.237462705219004,0.714488102545957,2.02869374362902
"T4831",0.088263547,0.308730802,0.27010012,0.108265941,0.115787695,0.229420507,0.09664152,0.110111134,0.319555655684403,0.468941696156848,1.88405223238304
"T4832",0.089486375,0.316663339,0.269226119,0.107022843,0.113904373,0.2211295,0.095359666,0.109534304,0.339319405394156,0.414321308064774,1.85187755878607
"T5536",0.07245712,0.234268649,0.343728803,0.177677317,0.209299587,0.090458494,0.306767726,0.301700189,0.208196698721298,0.812694217402422,2.08654301568851
"T5538",0.081218361,0.261299928,0.338073336,0.170003093,0.210125873,0.083688875,0.311942533,0.299463552,0.188975841742877,0.881676664927082,2.12717780080364
"T5540",0.070571534,0.267885544,0.33735391,0.171701368,0.214653829,0.06765997,0.311671223,0.303721286,0.260542270837154,0.641674512045066,1.98580218628891
"T5542",0.069483293,0.264523101,0.319986843,0.181633437,0.220805585,0.082715409,0.308040785,0.300742799,0.198289867724604,0.847745473691483,2.10719030088105
"T5544",0.077560453,0.286506224,0.33187593,0.194313445,0.224127638,0.085857794,0.29422709,0.308928289,0.174438380359875,0.93677023202064,2.15963120511743
"T5546",0.082915112,0.271589246,0.329561987,0.177826731,0.23140328,0.045643459,0.308310433,0.301462426,0.272350388355946,0.605719885770062,1.96462276217444
"T5548",0.079914373,0.264347368,0.366814325,0.146419114,0.215412656,0.074503919,0.325716589,0.307425423,0.253717432439695,0.662837139046139,1.99826823861843
"T5550",0.103161888,0.17270989,0.339943025,0.171401431,0.222665287,0.086954683,0.319467487,0.310635548,0.19327364399353,0.865895833864372,2.11788194798627
"T5552",0.053094871,0.288199511,0.330297138,0.193670316,0.180482115,0.169022224,0.311312309,0.316912269,0.131839770042443,1.11773652078427,2.26623116671437
"T5554",0.0507656,0.27024589,0.345471723,0.174759901,0.209355133,0.097916136,0.225194343,0.306001519,0.25152947030785,0.669684490534426,2.00230173795512
"T5556",0.130675294,0.116477966,0.265862988,0.154058438,0.122448182,0.080779694,0.24530585,0.25750561,0.150612010555305,1.03381208444588,2.2167946570095
"T5558",0.12498721,0.120158254,0.249880254,0.142005849,0.096753124,0.153511954,0.226569042,0.236083003,0.0288682049944438,1.89769395016205,2.72567271567338
"T5562",0.091940364,0.278168812,0.255608775,0.178755421,0.208341695,0.067935884,0.054294864,0.306404043,0.443628611456513,0.141775644088677,1.69133187090265
"T5564",0.12547592,0.137335283,0.281586023,0.14310095,0.087785417,0.187741545,0.264038842,0.270675415,0.0783808674273368,1.41604703144751,2.44195388942657
"T5566",0.136929544,0.129691886,0.259044875,0.120940853,0.168098356,0.185096743,0.251545672,0.249226781,0.000539887915099387,3.26887082876028,3.53337786119973
"T5568",0.109014125,0.141891054,0.258772879,0.124112049,0.152163594,0.134027772,0.161950343,0.245648835,0.00924013704389771,2.35585209730433,2.99555525138966
"T5570",0.117797277,0.128791566,0.257413353,0.121332056,0.167338166,0.158466376,0.23933919,0.240920804,0.0027526360953439,2.77587882853375,3.24297610377411
"T5572",0.131882903,0.12835988,0.26592713,0.149179384,0.164512635,0.133213281,0.248882979,0.250116863,0.00926517202990698,2.35484679042144,2.99496306554201
"T5574",0.101290075,0.115934164,0.25196147,0.122916973,0.098137607,0.143928926,0.262804875,0.266884635,0.144476389255073,1.06042173476117,2.23246933167459
"T5576",0.127051482,0.117534442,0.260153011,0.151811952,0.146635859,0.155071669,0.06989981,0.254758478,0.127789764141241,1.13690134864662,2.27752039592991
"T5578",0.116155871,0.229687882,0.263102686,0.124162566,0.100338683,0.144773464,0.215924721,0.233941364,0.0148848806357822,2.17314027487982,2.88792706612472
"T8388",0.329319881,0.32936212,0.380389819,0.093792919,0.047502322,0.056020002,0.298854068,0.360419761,0.370780632880098,0.329786530343513,1.80208152152267
