"","aspA","crp","dcuA","dcuR","fnr","narL","pval","z","inv_cof_var"
"T0174",0.033963107,0.162354495,0.067129491,0.033251782,0.043493194,0.047896851,0.499655185748082,0.000864321260967857,2.31342291324474
"T0175",0.041624275,0.269039892,0.045556033,0.037212818,0.357663455,0.203926228,0.0870486793029696,1.35915537517041,9.93419179863611
"T8405",0.129506421,0.193747091,0.122899047,0.195861329,0.194116836,0.179079315,0.401867335774434,0.248516672869046,3.70289045784558
"T0849",0.206050812,0.773898619,0.185731272,0.081263145,0.452736779,0.145447135,0.496697847959858,0.0082773621901772,2.35501419921902
"T0850",0.206050812,0.952089544,0.185731272,0.081263145,0.386892567,0.2091556,0.496697847959858,0.0082773621901772,2.35501419921902
"T0852",0.206050812,0.65644738,0.185731272,0.081263145,0.428542247,0.034441142,0.496697847959858,0.0082773621901772,2.35501419921902
"T0855",0.206050812,0.860318597,0.185731272,0.081263145,0.403113378,0.290905393,0.496697847959858,0.0082773621901772,2.35501419921902
"T0856",0.206050812,0.75057326,0.185731272,0.081263145,0.436061201,0.248430548,0.496697847959858,0.0082773621901772,2.35501419921902
"T0858",0.206050812,0.880116602,0.185731272,0.081263145,0.409420948,0.242297492,0.496697847959858,0.0082773621901772,2.35501419921902
"T0859",0.206050812,0.769925539,0.185731272,0.081263145,0.432131913,0.2999696,0.496697847959858,0.0082773621901772,2.35501419921902
"T8221",0.136630045,0.448120355,0.120675384,0.056734459,0.247669509,0.467363858,0.488111543830968,0.0298043523185871,2.47579259652536
"T0717",0.19419471,0.292703696,0.199191751,0.108492047,0.165805121,0.222781979,0.431180988386101,0.173368254117852,3.28126599837709
"T0848",0.206050812,1.006415467,0.185731272,0.081263145,0.414003139,0.150497746,0.496697847959858,0.0082773621901772,2.35501419921902
"T0851",0.206050812,0.808919773,0.185731272,0.081263145,0.431794006,0.172251065,0.496697847959858,0.0082773621901772,2.35501419921902
"T0854",0.206050812,0.74763477,0.185731272,0.081263145,0.436548669,0.135182553,0.496697847959858,0.0082773621901772,2.35501419921902
"T0857",0.206050812,0.828080827,0.185731272,0.081263145,0.426844422,0.160354363,0.496697847959858,0.0082773621901772,2.35501419921902
"T1129",0.12588713,0.617161845,0.127893395,0.077947657,0.126469951,0.130870986,0.387605124483869,0.28556638976786,3.91075999283396
"T1130",0.122130184,0.596160738,0.113206621,0.085912104,0.145534785,0.116816065,0.274253887016185,0.599997691450236,5.6748946188829
"T1992",0.13900478,0.047276943,0.106033719,0.070948693,0.356608723,0.113792486,0.444272862897919,0.140144621245393,3.09486292451058
"T1993",0.131901659,0.312496804,0.08488288,0.065153136,0.241113532,0.108526171,0.469310272983215,0.0770037698521692,2.74060760175802
"T1994",0.149768065,0.056692861,0.154880076,0.062330723,0.641410688,0.157319227,0.496947656725731,0.0076511646047778,2.35150088220115
"T4825",0.063785626,0.423505044,0.073512712,0.063873735,0.074168425,0.093159609,0.0421399197798381,1.72637572773659,11.9945023844005
"T4827",0.076081688,0.454523201,0.082758926,0.076231554,0.08926377,0.099652965,0.000573617069264778,3.25168419384041,20.5523319200156
"T4829",0.090426411,0.361669363,0.090232301,0.091146599,0.085817662,0.107455879,1.01774402561949e-240,33.1114212029444,188.082077529397
"T4831",0.08544838,0.348201037,0.097662356,0.094374151,0.105969677,0.0860035,0.0140098850760311,2.19700946619252,14.6350196285636
"T4832",0.088590475,0.351077623,0.096462866,0.094408131,0.104174373,0.089933882,0.000128766987133318,3.65464909062588,22.8131892955309
"T5081",0.062999876,0.559613016,0.048203322,0.042523957,0.474693107,0.065331437,0.325443484461171,0.452530340498507,4.84752069448765
"T5083",0.04648555,0.504013076,0.053459772,0.043335577,0.481724644,0.08497612,0.109059888297802,1.23154318179039,9.21821636030278
"T5085",0.037395574,0.44156547,0.068509186,0.036900658,0.407139737,0.054242171,0.477244562054673,0.0570703890140433,2.62877023962962
"T5087",0.037395574,0.44156547,0.068509186,0.036900658,0.407139737,0.054242171,0.477244562054673,0.0570703890140433,2.62877023962962
"T5088",0.03852245,0.412452489,0.071735095,0.037858652,0.40849302,0.054507024,0.482915211350429,0.042838312937606,2.54892037076266
"T5536",0.15242366,0.112288697,0.136225658,0.065102589,0.29471858,0.08954075,0.483650961710788,0.0409924392252798,2.53856399175775
"T5558",0.148968927,0.196158974,0.244647284,0.127582019,0.207295116,0.112834204,0.466025504671406,0.0852646311666651,2.78695563202065
"T5568",0.131502208,0.219278513,0.255405901,0.128366079,0.215179977,0.107713854,0.495600614346047,0.0110278479895321,2.37044595557132
"T5570",0.141157276,0.224920522,0.251574903,0.118755895,0.22153292,0.137008986,0.493653165795947,0.0159098252340183,2.39783656539451
"T8395",0.047982647,0.403613506,0.066013302,0.057043665,0.387268145,0.11242588,0.237090820884419,0.715691854129545,6.32400327098676
"T8498",0.072773376,0.425972331,0.056466348,0.041819845,0.408912831,0.119731264,0.403276708657643,0.244874744619216,3.68245721313764
"T8499",0.069698626,0.319426257,0.07365056,0.074382518,0.310155195,0.171489957,1.16497183868115e-06,4.722472704499,28.8042741578428
"T8212",0.165500141,0.300910995,0.114925195,0.078036331,0.107017912,0.464008871,0.470687464095828,0.0735418682724399,2.72118440687858
"T8213",0.160544174,0.416177093,0.115697854,0.1102367,0.108096084,0.317026668,0.337115969033182,0.420347057243196,4.66695456106882
"T8214",0.160119464,0.231423652,0.117239198,0.090830909,0.09292002,0.344522128,0.415243276996402,0.214077586520063,3.50966801341127
"T8215",0.14084435,0.516405644,0.11559616,0.06522655,0.10643374,0.076310339,0.466154570045139,0.08493993859993,2.78513392598587
"T8217",0.13107027,0.44380404,0.119240061,0.064872213,0.087576136,0.050281973,0.452658314949605,0.118947903156729,2.97593753718835
"T5535",0.153158419,0.088177183,0.070646863,0.095458963,0.314233598,0.090374772,0.485406951993131,0.0365875080602344,2.51384987598098
"T5539",0.126416869,0.314886066,0.197418813,0.091009921,0.316795005,0.083638059,0.482702865572007,0.0433710795904212,2.55190948824176
"T8252",0.161549,0.372030307,0.144771781,0.066864384,0.244523207,0.313934525,0.489085839047186,0.0273611579656703,2.46208491623689
"T8256",0.158705857,0.434392717,0.151169303,0.074448156,0.122299212,0.329737126,0.468805331292099,0.078273291470671,2.74773032469856
"T8304",0.083447163,0.486906646,0.121510803,0.065778954,0.120561878,0.128602098,0.439085011173689,0.153289447062665,3.16861271422158
