"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA","pval","z","inv_cof_var"
"T8405",0.193767164,0.185711203,0.192772207,0.188324935,0.193175925,0.195658072,0.194898874,0.122196247,0.123157628,0.171064607,0.086736112,0.076223055,0.136921348,0.161047199,0.120618937,0.114042904,0.190685497,0.177611679,0.19475003,0.176508937,0.173730474,0.168743319,0.190525377,3.78902270093178e-12,6.84630758511327,4.34822802433305
"T1995",0.054073288,0.228210439,0.197698504,0.147725815,0.140673955,0.174914355,0.145308924,0.125608759,0.477133136,0.06053613,0.052504971,0.272714632,0.227169886,0.08550575,0.056025537,0.208152406,0.151587848,0.066098194,0.140233461,0.106431891,0.229837259,0.140611884,0.082860073,0.276279749542788,0.593929153363868,1.62786627231247
"T1996",0.143681769,0.064371314,0.261178628,0.138931712,0.241982466,0.189606062,0.143327636,0.103349886,0.399380111,0.061026435,0.046130451,0.289003666,0.249416535,0.088468799,0.047573621,0.13043957,0.216183524,0.055592019,0.127330369,0.089759299,0.183055911,0.137372895,0.090064644,0.233822809161768,0.726315110188789,1.68546638359531
"T1997",0.044929624,0.084362697,0.255437417,0.17612126,0.082025527,0.198309189,0.21721604,0.099268633,0.397279755,0.044262855,0.054683373,0.27488918,0.2614055,0.069239063,0.051037509,0.140669881,0.223231419,0.041254084,0.158626683,0.137638339,0.262138363,0.184108149,0.109123147,0.274824095855668,0.598287386134088,1.62976250586006
"T0849",0.03760162,0.262361215,0.195190776,0.068466587,0.049804133,0.070421104,0.037061547,0.216972839,0.140436598,0.038418394,0.25737248,0.053931752,0.185636963,0.147977469,0.095052417,0.218157373,0.293853178,0.037183263,0.302672567,0.037510985,0.253983404,0.056354804,0.041040396,0.477203972666099,0.0571722976437703,1.39432749400995
"T0850",0.066612937,0.262361215,0.195190776,0.194995008,0.056346498,0.082176375,0.039499519,0.269739268,0.155509108,0.030085451,0.226367674,0.030119058,0.283544106,0.053197202,0.095052417,0.218157373,0.283528765,0.040082273,0.281689636,0.03011113,0.253983404,0.05913822,0.053669586,0.459976801626959,0.100492164397657,1.41317563474652
"T0855",0.034852265,0.262361215,0.195190776,0.1943722,0.06768166,0.112570409,0.032504771,0.146921053,0.108716076,0.035594847,0.265496981,0.077777008,0.081978569,0.036415381,0.095052417,0.218157373,0.293576838,0.036712546,0.315491626,0.056368119,0.253983404,0.07664149,0.18342515,0.406498719464528,0.236560922686263,1.47237810461201
"T0858",0.039982252,0.262361215,0.195190776,0.188562308,0.054155867,0.082924559,0.041665418,0.152545016,0.145967505,0.040579345,0.241696074,0.039653183,0.051574267,0.043773156,0.095052417,0.218157373,0.270127369,0.039884914,0.225244844,0.059011942,0.253983404,0.062241841,0.042343463,0.463470585259505,0.0916939925706159,1.40934761787466
"T0717",0.052943745,0.356093128,0.199644377,0.058380077,0.047681028,0.341266968,0.076797731,0.266372988,0.350761806,0.059985026,0.170457793,0.169813816,0.145361746,0.089157575,0.052959886,0.197526793,0.199092819,0.061065734,0.35985459,0.054521997,0.253983404,0.056101967,0.161062615,0.400629531735733,0.251717973403618,1.47897282076603
"T0718",0.044721114,0.357500898,0.216418071,0.098863389,0.050591676,0.389908986,0.062812963,0.236593991,0.377214147,0.049054006,0.235733574,0.110772546,0.141334168,0.070747658,0.150650566,0.21499919,0.215155425,0.050784947,0.36312332,0.058933281,0.253983404,0.061070904,0.156907868,0.401867334827242,0.248516675317766,1.47757996059855
"T0854",0.040651958,0.262361215,0.195190776,0.178623231,0.050608303,0.076302655,0.037956106,0.289854694,0.193405144,0.083555238,0.306096415,0.038545629,0.259417321,0.058842118,0.095052417,0.218157373,0.266591729,0.045375954,0.299147902,0.037238228,0.253983404,0.056502937,0.043621117,0.452345076474302,0.119738687088629,1.42154964869328
"T4829",0.116728256,0.343275401,0.143259769,0.091738861,0.090398996,0.08615368,0.083302187,0.083221399,0.372188766,0.224090698,0.322313896,0.368199553,0.090494324,0.092982701,0.089743947,0.091473057,0.083296715,0.089020568,0.298663914,0.117771333,0.088546512,0.085323339,0.092886989,0.421266595173116,0.198654280065872,1.45588521604845
"T4831",0.085320557,0.161594486,0.117990392,0.097223867,0.103168177,0.097078597,0.085322043,0.084521843,0.261968475,0.131116149,0.292994215,0.399902735,0.111748017,0.109131265,0.10268182,0.111811839,0.094944489,0.08560618,0.389631542,0.136320395,0.115621041,0.088932637,0.11591637,0.329284462595473,0.441889837090016,1.56171513553954
"T4832",0.088786479,0.165146511,0.119717749,0.09680122,0.09549554,0.093904404,0.087727325,0.087572258,0.262970934,0.129642516,0.299630976,0.39281425,0.112364889,0.107889875,0.102255411,0.110036713,0.098594049,0.088448598,0.378285306,0.134140751,0.110342387,0.090873164,0.114041259,0.311341551824056,0.492051264397206,1.58353998663626
"T5536",0.093840051,0.248933576,0.066014181,0.103917072,0.097098873,0.079830571,0.084581033,0.094698834,0.102432027,0.076854402,0.133831253,0.355176483,0.158104935,0.181331842,0.162700816,0.168382154,0.069089406,0.106474877,0.151782799,0.063044064,0.240307264,0.063059674,0.074512065,0.173126893808633,0.941880572503536,1.77925725776247
"T5538",0.088208457,0.240151642,0.087424375,0.221197261,0.06457317,0.076356127,0.094035114,0.076728767,0.200519468,0.078066593,0.123558965,0.353822518,0.076598763,0.174704365,0.155169261,0.242868096,0.097178167,0.100376026,0.214772202,0.082081252,0.203184354,0.081331657,0.128309996,0.127824516524655,1.13673511994863,1.86403697221244
"T5540",0.088383232,0.248560115,0.085359255,0.091803466,0.091156132,0.093965232,0.093372886,0.06916947,0.258463303,0.073726856,0.129658761,0.343358411,0.0774284,0.177459786,0.157126718,0.23152765,0.095049207,0.100562572,0.220739291,0.06568373,0.18493263,0.068497727,0.118808596,0.160543443737149,0.992226829572026,1.80116252686631
"T5542",0.093931661,0.25905824,0.089890669,0.096750901,0.077632248,0.131936147,0.09186635,0.068148268,0.103049512,0.069096372,0.121507456,0.314857496,0.071286031,0.188507261,0.165003537,0.277733263,0.088912161,0.103567325,0.233536196,0.060387307,0.239494533,0.071065784,0.129372381,0.171434437937398,0.948511982045265,1.7821425330343
"T5544",0.080020471,0.264589508,0.066841027,0.200505938,0.142910959,0.133002498,0.068696026,0.063492676,0.069570079,0.07273305,0.120735815,0.331209387,0.062429136,0.202619204,0.128491869,0.283261781,0.139571957,0.104160935,0.241622509,0.044101896,0.237232555,0.059261883,0.150351632,0.221052371487566,0.768643889715293,1.70388330990432
"T5546",0.075436333,0.248592034,0.074946152,0.045823181,0.101352997,0.120731239,0.09198342,0.097534593,0.224162332,0.067113735,0.137544891,0.08541816,0.152825602,0.182293292,0.160859641,0.110607445,0.127465653,0.097245891,0.192964649,0.045337364,0.223990645,0.082204871,0.045355155,0.0650189994927357,1.51395205936736,2.02816116037708
"T5548",0.06251438,0.235008269,0.063729101,0.075009859,0.119169174,0.099332931,0.069574267,0.063940012,0.076073014,0.061909181,0.099403324,0.375085238,0.120502156,0.150608548,0.126312696,0.119494871,0.101384064,0.072857363,0.221942971,0.075431324,0.238419286,0.11473135,0.167804782,0.262068582424861,0.636981084241017,1.64659783621048
"T5550",0.062127717,0.260806854,0.071532922,0.065456982,0.054722408,0.086736351,0.068195068,0.055007414,0.121707289,0.060015316,0.057452534,0.329841063,0.118348147,0.178975341,0.1487248,0.272300841,0.060210186,0.085109229,0.190234691,0.058444565,0.23801475,0.118143125,0.142838836,0.342647801130694,0.405247487185093,1.54577233100946
"T5552",0.083415299,0.273595016,0.046452919,0.15431792,0.123524265,0.196857858,0.075615478,0.073323922,0.094869246,0.072986273,0.1175612,0.315795268,0.055015532,0.202211566,0.134036415,0.276205683,0.115397089,0.107411258,0.240799594,0.045470736,0.235538939,0.050831191,0.095870904,0.236840051683354,0.716504154122028,1.68119771209276
"T5554",0.051726916,0.2504128,0.052375438,0.193955088,0.067285622,0.135980631,0.057456438,0.072347588,0.114923343,0.050915848,0.100578139,0.38335607,0.109952492,0.180552587,0.160344036,0.281580467,0.132191629,0.104736989,0.205711883,0.04969639,0.21879181,0.125402791,0.172529399,0.24871802103799,0.678529474620601,1.66467522120571
"T5556",0.077550584,0.224503952,0.103554407,0.182379584,0.124864884,0.084743272,0.115123927,0.113199146,0.233344792,0.09642428,0.139824056,0.084634358,0.150824588,0.168050562,0.157374195,0.252056298,0.11393799,0.111842508,0.211302577,0.0801985,0.217461615,0.134891523,0.096279648,0.00180048685668328,2.91115323206726,2.63607264103703
"T5558",0.120522123,0.203381855,0.170489667,0.192601144,0.128400542,0.158735966,0.110980717,0.114124461,0.148435713,0.097891143,0.131028885,0.172066618,0.120879675,0.161464505,0.145066416,0.232361997,0.105084899,0.107665149,0.191356295,0.09717863,0.202494403,0.125384251,0.085468288,1.83626188607244e-07,5.08519302423001,3.58198062829806
"T5560",0.070634631,0.241500983,0.083417028,0.050275223,0.112772776,0.157550874,0.080106501,0.067396756,0.125754673,0.073258023,0.108954352,0.37738533,0.12702208,0.147695037,0.177764189,0.238081892,0.128700315,0.118430449,0.190065482,0.046328103,0.276615641,0.086689021,0.188934014,0.188938474542116,0.881814832832413,1.75312311655655
"T5562",0.076275237,0.261359566,0.095907585,0.067316865,0.09386917,0.144248967,0.053845747,0.073396614,0.095628001,0.077650208,0.118748329,0.340534194,0.147077896,0.19186303,0.160446664,0.261515239,0.117029455,0.101396021,0.129403339,0.054186946,0.250463172,0.077511602,0.180151341,0.171440035561171,0.948489980608241,1.78213296037833
"T5564",0.160401203,0.22204585,0.076552589,0.216066672,0.113489613,0.090305409,0.096672238,0.092751108,0.230208914,0.113771762,0.133110693,0.221175143,0.105902664,0.17578564,0.151851711,0.262900346,0.126712282,0.0963835,0.213549338,0.067977867,0.067635407,0.120605568,0.146100449,0.0064276163405981,2.48775480965046,2.45185524492426
"T5566",0.12043866,0.219310471,0.102617102,0.211482102,0.126930039,0.100110623,0.116554381,0.12059545,0.224244286,0.1018335,0.137887755,0.259089508,0.145759013,0.178065567,0.163070986,0.247896623,0.121236789,0.12564357,0.207184417,0.097520907,0.22158524,0.138889735,0.122477267,7.49447660782447e-05,3.79125239830883,3.01899701709066
"T5568",0.143832049,0.202057118,0.147367917,0.190023179,0.106729601,0.150521707,0.094827295,0.099149301,0.21062269,0.099405145,0.110813761,0.11087048,0.14599467,0.148828552,0.13364349,0.243860717,0.099647404,0.094262897,0.190989082,0.122086828,0.197403303,0.109522809,0.150498038,3.90954778664814e-06,4.47007833008876,3.31434895735655
"T5570",0.144929842,0.197305973,0.163559948,0.188339745,0.137023823,0.092588798,0.102719393,0.093712721,0.209055199,0.089676982,0.116831996,0.236977735,0.117774017,0.151075349,0.141739313,0.233021519,0.118637049,0.091979914,0.186001907,0.107651026,0.197657928,0.121838125,0.151350036,1.39537878028721e-05,4.18990135045209,3.19244610910126
"T5572",0.162893347,0.207092614,0.09401686,0.192990073,0.117910497,0.127036139,0.112921324,0.113879497,0.219161759,0.091751252,0.134673636,0.152181864,0.121012726,0.160537891,0.147167265,0.236160898,0.127050968,0.114272232,0.195027387,0.087610844,0.184549262,0.123571186,0.143549549,5.74508737618633e-07,4.86423256711225,3.48584243339933
"T5574",0.153559212,0.203253954,0.089289566,0.185825101,0.10016466,0.111908446,0.094134372,0.089756253,0.227744229,0.110057625,0.100212486,0.153672343,0.119554467,0.136905331,0.123538231,0.247635779,0.096330369,0.096289909,0.185938436,0.108752174,0.18609332,0.101567128,0.089956781,0.00046525669405963,3.31073483344954,2.80992752155605
"T5576",0.209228093,0.223189031,0.06439141,0.217072152,0.151727127,0.132816206,0.110517644,0.124873651,0.16328659,0.08494309,0.136058622,0.235857363,0.128187691,0.167133958,0.151742604,0.248970659,0.173989631,0.105608161,0.208221918,0.075418639,0.079773186,0.131062748,0.06833386,0.0018416093112479,2.90409034217418,2.63299963198398
"T5578",0.196840391,0.18298142,0.101707989,0.171348336,0.109536368,0.132073648,0.101489407,0.100039408,0.213218122,0.106666637,0.220093396,0.102708569,0.114409521,0.133009441,0.124081468,0.215824214,0.107102187,0.10280921,0.171988423,0.102391951,0.160213601,0.109996876,0.156919812,2.95390823706604e-06,4.5296618447924,3.34027328618919
"T5535",0.094677659,0.27229625,0.06142697,0.081697146,0.075307702,0.061549998,0.073272451,0.092570218,0.161721737,0.067416202,0.127834398,0.344091645,0.136904003,0.186853625,0.16683105,0.265333599,0.06511983,0.107589636,0.10079984,0.06146813,0.276891175,0.081181449,0.129026946,0.269114911384339,0.615492042661741,1.63724811954858
"T5543",0.08326568,0.286666401,0.086822808,0.190591837,0.072118455,0.122669713,0.082301822,0.069517126,0.087092871,0.083196691,0.096395545,0.292331934,0.068758455,0.181210351,0.08020764,0.292375114,0.121808871,0.094386328,0.080254393,0.068988989,0.262675959,0.074224648,0.143821426,0.247384087183291,0.682744706982607,1.66650923637588
"T5537",0.082244416,0.233239225,0.134628656,0.222845912,0.109001964,0.130600134,0.081648214,0.113966967,0.137488963,0.082902296,0.08769585,0.362822034,0.1433787,0.138693957,0.112862296,0.181221026,0.147647697,0.083324314,0.092087486,0.111711022,0.156808484,0.146180803,0.109455453,0.0312628856031495,1.86254881662259,2.17983292747615
"T5539",0.085107251,0.268839749,0.093794354,0.088982211,0.080968249,0.093473353,0.084872382,0.085536158,0.287263913,0.076954024,0.105678859,0.27566911,0.094221999,0.158688973,0.133167085,0.190171411,0.097305514,0.08968865,0.12268741,0.07677479,0.08652796,0.094143597,0.108330392,0.112822121375625,1.2116555973507,1.89663429551789
