"","bacA","cpxR","dsbA","dsbC","ftnB","kbp","ldtC","ldtD","lysS","mzrA","ppiD","prfB","recJ","sbmA","slt","srkA","xerD","yaiW","yccA","yebE","yidQ","yqaE","yqjA"
"bacA",1,-0.233960187722684,-0.0721937084231377,0.0595535114526686,0.127005033952216,-0.139435853674898,0.142432922146275,-0.0317620363343484,0.0350986644025662,0.168770182912439,-0.0786335337166996,-0.010590565911826,-0.0439958069365911,0.17773954534591,0.0805437701950094,-0.00856266485680866,-0.0945764023798595,0.199506643071943,-0.170254403994714,0.0822794752379814,-0.272520081802957,0.0122139235803446,0.0203894614029044
"cpxR",-0.233960187722684,1,-0.00821567300845048,0.0170780632822487,-0.0369497745893913,0.0576477904475734,-0.0543396404381894,-0.0177377833279524,-0.0146106708090511,-0.00401886223595902,0.0805870786418846,-0.0942066932829794,0.105088089650412,-0.0971915661135339,-0.124476050232754,0.117979569517436,0.104469795340397,-0.0915857980582918,0.0201264320633298,-0.0402787998807923,0.291500593568136,-0.0539889033753925,0.152273338479099
"dsbA",-0.0721937084231377,-0.00821567300845048,1,0.280081719795243,-0.00449926546574182,0.330071476217696,-0.0474277827413387,0.202220453153589,0.129372329338578,0.0600997073065454,0.39890650100323,-0.126495423824332,-0.0210302117726589,-0.401559383438323,-0.0520095222164167,0.157324032030316,0.385708365313334,-0.177852534154916,0.15602904433773,0.256778100188166,0.0762353735121946,0.019667861233702,-0.0647529253462902
"dsbC",0.0595535114526686,0.0170780632822487,0.280081719795243,1,-0.112658714738113,0.188484566378646,0.0499031363810186,-0.0114610135818337,-0.0784647268135526,-0.0703409046415708,0.0981635469735125,0.15765357915284,0.00226712658784661,-0.232633610529377,-0.0282458785773303,0.0564512823987641,0.0965384358156499,-0.0337012267318069,0.00715458782641562,-0.0451191031826505,-0.012765997397862,0.132136893964796,0.0624708387019902
"ftnB",0.127005033952216,-0.0369497745893913,-0.00449926546574182,-0.112658714738113,1,-0.00316287416767672,0.256051582662649,-0.0506457719260645,0.0782791491589242,0.128131840259704,-0.109264783283508,-0.0225060178998965,0.14816323125953,0.16044953541777,0.126708595067882,-0.0179692760961729,-0.128918119434609,0.209619219436985,-0.0868909793087467,0.176909487670183,-0.0431588175906104,0.134525465484072,0.196468739655457
"kbp",-0.139435853674898,0.0576477904475734,0.330071476217696,0.188484566378646,-0.00316287416767672,1,0.0123614638368002,0.546997778470991,0.243039378753862,-0.143836465526365,0.268722479756086,0.0128063456699294,-0.0775749565444689,-0.302224016649754,0.0330985478123642,0.0120784090729696,0.223347527364405,-0.062725223571401,0.147334827612805,0.083295124251169,0.106905164084843,0.20688492245708,0.0444434923985707
"ldtC",0.142432922146275,-0.0543396404381894,-0.0474277827413387,0.0499031363810186,0.256051582662649,0.0123614638368002,1,-0.0738459400836519,-0.15342903836296,0.000341670380352725,-0.0600058677002392,0.011524106761656,0.204925155302035,0.171089132852108,0.23792723557782,-0.0246319701443609,-0.114553221351768,0.283258426347914,0.0222449135450235,0.105399580217431,-0.124129561329163,0.031831855019489,-0.0631363604308811
"ldtD",-0.0317620363343484,-0.0177377833279524,0.202220453153589,-0.0114610135818337,-0.0506457719260645,0.546997778470991,-0.0738459400836519,1,0.202215683777804,-0.0352649647480368,0.189404848924081,-0.110748515922717,-0.0308219389197349,-0.265268891115725,0.0244671591627449,0.0170169863345327,0.169325421822534,-0.12878833463519,0.125510637852818,0.0301424461526529,-0.055963415453535,0.143968106122184,-0.0248529538225579
"lysS",0.0350986644025662,-0.0146106708090511,0.129372329338578,-0.0784647268135526,0.0782791491589242,0.243039378753862,-0.15342903836296,0.202215683777804,1,0.0428842359450746,0.0473377584322918,-0.197214890503291,0.0297359172366632,-0.323330519199018,-0.231187724969787,-0.166124966122727,0.0603628000974364,-0.124479587000069,-0.0274808990751279,0.128603890030015,0.222260619526765,-0.0257194080025406,0.127884028760847
"mzrA",0.168770182912439,-0.00401886223595902,0.0600997073065454,-0.0703409046415708,0.128131840259704,-0.143836465526365,0.000341670380352725,-0.0352649647480368,0.0428842359450746,1,-0.0105928525525691,-0.0174237011802692,0.010677762456568,0.0150324766692623,0.0245247988045228,0.0423131218707303,0.00200364426044588,0.00439417618576039,-0.06700192373423,0.363527297759899,-0.151922883659371,0.0452755404994951,0.144337822853842
"ppiD",-0.0786335337166996,0.0805870786418846,0.39890650100323,0.0981635469735125,-0.109264783283508,0.268722479756086,-0.0600058677002392,0.189404848924081,0.0473377584322918,-0.0105928525525691,1,-0.216139973357492,0.168902743657624,-0.405497925894632,-0.120427749868649,0.284993381733954,0.52936437083803,-0.284186627319415,0.363403754768643,0.0884934723206661,0.0204334967215296,-0.154893850524041,-0.0315437861073857
"prfB",-0.010590565911826,-0.0942066932829794,-0.126495423824332,0.15765357915284,-0.0225060178998965,0.0128063456699294,0.011524106761656,-0.110748515922717,-0.197214890503291,-0.0174237011802692,-0.216139973357492,1,-0.0918095051911707,0.20691839275109,0.111954323683497,-0.118152723333744,-0.281377940335222,0.294613634562025,-0.186226852176161,-0.0729287950940312,-0.253041342273226,0.24680049401119,-0.0970007320759298
