"","baeR","cpxR","spy","pval","z","inv_cof_var"
"T0175",0.041854077,0.043144522,0.042761806,0.455727638061466,0.111203121835159,65.9144575808284
"T8404",0.047001187,0.221726297,0.0469947,8.06723865402211e-228,32.2027836229939,10245.8962696701
"T1010",0.031981625,0.181081978,0.032450648,0.416975700928342,0.209636484428533,97.1391534435689
"T1011",0.047625715,0.184815937,0.047994343,0.315034891107745,0.48162863278661,183.419575911896
"T1012",0.03374212,0.189539137,0.033077409,0.449275788981322,0.127491275519622,71.0813301894978
"T8400",0.036653965,0.191201868,0.035462636,0.484704094641854,0.0383505475538579,42.8044122179722
"T8221",0.024888798,0.560305749,0.025417768,0.454061405409112,0.115406646753843,67.2478854317043
"T1008",0.045511688,0.053467308,0.047080645,0.486054330635008,0.0349637314747499,41.7300579621896
"T1009",0.051081435,0.055194091,0.051673493,0.385799013656467,0.290285243144138,122.722277866587
"T5566",0.102772295,0.219310471,0.103543251,0.308557985669871,0.499941923712811,189.228855655581
"T8388",0.046748504,0.124719423,0.045874877,0.444430465203131,0.139745683384827,74.9686316946764
"T8398",0.036357528,0.197334394,0.036139333,0.259772533319019,0.644046830871168,234.941323255983
"T8212",0.051823239,0.380180367,0.051172263,0.398939005281236,0.256094316372149,111.876348584146
"T8214",0.057642226,0.434126264,0.056217861,0.467481839850968,0.0816014103977751,56.5243035487325
"T8215",0.051815669,0.548986809,0.052051844,0.188415868721525,0.883748972716544,310.978819888991
"T8217",0.043723461,0.548821013,0.042637782,0.467828938388863,0.0807284928102308,56.2473996061445
"T8406",0.04707292,0.133778555,0.04910531,0.496449449500437,0.00890002776724715,33.4622186861377
"T5543",0.074624119,0.286666401,0.073601257,0.410430804638014,0.226436928030004,102.468532914045
"T8256",0.060832909,0.117036975,0.058097988,0.499861289385674,0.000347695954865962,30.7492771313318
"T1634",0.054169474,0.054195437,0.05545306,0.462639796090271,0.0937854471985266,60.3892821846398
"T1637",0.051125891,0.21223562,0.052816634,0.483866291698892,0.0404522392586032,43.4711036988781
"T8192",0.033766031,0.474397069,0.03240992,0.495137294450569,0.0121892970602,34.5056294828142
"T2299",0.037401356,0.105995454,0.035796606,0.497969559350638,0.00508958191485421,32.2534820372241
"T0880",0.073583794,0.081025233,0.073681009,0.000518794469879014,3.28013100596479,1071.15096262293
"T0876",0.065152761,0.240899794,0.063340967,0.475479607588125,0.06150225927116,50.1485193177257
"T1082",0.067360536,0.101773202,0.064881939,0.491086854153114,0.0223438024303236,37.7268070740796
"T1083",0.031604454,0.117071837,0.03124026,0.386649461553476,0.288062466065753,122.017176096062
"T0332",0.042053657,0.237252615,0.042359296,0.301860587457657,0.519056739193694,195.292392287247
"T0333",0.043250427,0.249012949,0.043969887,0.431071398656282,0.173647121032409,85.7227302235289
"T0334",0.042489839,0.244991477,0.043095151,0.41348670528651,0.218584907510703,99.9777417212664
"T2064",0.041524645,0.170316634,0.042465163,0.45918976665272,0.102475153928946,63.1458013428303
"T0783",0.050117969,0.45413009,0.051883927,0.487169858486959,0.0321659413600304,40.8425525156797
"T0790",0.043840481,0.444943226,0.045602591,0.4933938221761,0.0165599889727186,35.89208547784
"T0777",0.057295874,0.465577637,0.059820817,0.497284306244948,0.00680728732528339,32.7983666943093
"T0778",0.044203869,0.481954633,0.045157867,0.455326716658067,0.112214372781305,66.2352431600508
"T0794",0.035149369,0.474775189,0.035704666,0.425501648291577,0.187838446032849,90.2244539821549
"T0779",0.038552396,0.495193921,0.038244596,0.322909076742805,0.45957939265369,176.425191091385
"T0787",0.037550186,0.474884661,0.038893516,0.487928907049954,0.0302623613579445,40.2387053540109
"T0795",0.038646679,0.473788464,0.039699567,0.472382571315175,0.0692820133106462,52.6163863840311
"T0780",0.0421432,0.486816599,0.043137696,0.46233033386228,0.0945646014734495,60.6364428487037
"T0796",0.039291275,0.482122601,0.040451653,0.477431912004374,0.0566000132283817,48.5934455328098
"T0781",0.051482344,0.48098692,0.050821621,0.401851157022456,0.248558499062215,109.485862295956
"T0836",0.042966322,0.418523593,0.043819609,0.448231928201416,0.130129644758481,71.9182646890059
"T0835",0.085413949,0.330802488,0.088052794,0.480083225679711,0.04994470617605,46.4822717081314
"T0766",0.049453573,0.472327471,0.051638319,0.497384084870275,0.00655717381718509,32.7190265395511
"T0752",0.052052041,0.475389285,0.053764161,0.483575940794033,0.0411806475672929,43.7021669004542
"T0753",0.061858433,0.445072407,0.064061658,0.487709799963409,0.0308118375206637,40.4130083099671
"T0754",0.060186164,0.432516288,0.062611663,0.493510491503466,0.0162675029400863,35.7993040552367
"T0771",0.044449144,0.45631138,0.046419862,0.49752823223691,0.0061958426045357,32.6044062835379
"T0772",0.040898561,0.469548033,0.042687802,0.496988889405644,0.00754780661889204,33.0332717012523
"T0773",0.041118922,0.48024949,0.04220622,0.470409677747883,0.0742400788728505,54.18916704669
