"","bcsA","bcsB","bcsC","bcsZ","cheB","cheR","cheY","cheZ","fnr","iraD","pdeF","pepT","pitA","ravA","tap","tar","upp","uraA","viaA","xdhA","xdhB","xdhC","ydeJ","pval","z","inv_cof_var"
"T8405",0.076085872,0.077590073,0.077021484,0.150420679,0.185039298,0.190108805,0.195725248,0.195796641,0.194116836,0.171663207,0.077035002,0.094263212,0.176860941,0.134398909,0.081320371,0.075858348,0.192504579,0.112553342,0.089757513,0.079338827,0.19184588,0.192005464,0.170620093,0.0405387774633919,1.74446778021051,2.66644166063143
"T0717",0.051500365,0.057781178,0.052982872,0.103026502,0.218865093,0.084840564,0.129061986,0.191803417,0.165805121,0.0875607,0.14894235,0.076580336,0.058811981,0.066613306,0.137496767,0.104756105,0.200172986,0.110866718,0.049294889,0.084082819,0.142914986,0.08818781,0.125882333,0.16084325699258,0.990998087809727,2.17496456767997
"T5536",0.101078766,0.090192523,0.097403196,0.101281557,0.099036624,0.100039238,0.084170688,0.264678177,0.29471858,0.09345238,0.092766953,0.10118194,0.076116844,0.072893836,0.135510846,0.086058851,0.089461423,0.10157976,0.117215865,0.064269526,0.223282768,0.193384648,0.06501964,0.155387110169191,1.01359882132475,2.18970669057962
"T5538",0.096750094,0.080500346,0.057757041,0.062223627,0.078531035,0.099031539,0.31482526,0.259247248,0.286351994,0.101385843,0.082004738,0.070222867,0.082771852,0.087357307,0.107408069,0.097371145,0.085238324,0.059237921,0.098658398,0.120546145,0.2228844,0.186094348,0.078831178,0.404824712780013,0.240878320054384,1.68567258083557
"T5540",0.076331346,0.080763341,0.080945523,0.138873529,0.080710898,0.075843921,0.292877815,0.269355408,0.291706345,0.093133513,0.067145967,0.080777674,0.148321057,0.067783549,0.125351539,0.095135547,0.08827981,0.077029651,0.075422523,0.129985096,0.228736898,0.177533035,0.065943531,0.347120699239166,0.393105721450747,1.78496825451748
"T5542",0.074700128,0.12376738,0.070196231,0.067772988,0.099590315,0.087215847,0.07053591,0.273016791,0.293837771,0.104635815,0.095439017,0.098674981,0.099170801,0.077222893,0.177677922,0.093388613,0.061882349,0.107506386,0.102785924,0.135953287,0.241928764,0.208716479,0.063164793,0.248792668375865,0.678293945485779,1.97099229862485
"T5544",0.068823457,0.116505945,0.118115238,0.099536972,0.147579215,0.139425882,0.136376573,0.280936473,0.290117242,0.160416554,0.051885769,0.108130276,0.113399267,0.061093998,0.117515324,0.087683817,0.061095711,0.117989531,0.060211581,0.134651774,0.246133314,0.20975484,0.045514102,0.234683333723231,0.723509910737135,2.00048600139864
"T5546",0.084956734,0.110998534,0.098663991,0.10120474,0.102705002,0.070418551,0.052581452,0.267928585,0.291509068,0.197100827,0.099518599,0.101662728,0.069810836,0.045172235,0.169305489,0.091889113,0.08066628,0.102661345,0.099881098,0.124543202,0.231528765,0.198723143,0.046541879,0.266646007589121,0.622988597111671,1.93491744104568
"T5548",0.120269997,0.095968859,0.094764255,0.082211898,0.113968798,0.075011745,0.085721289,0.256565898,0.292503419,0.062282161,0.120093599,0.119127763,0.066403994,0.063992528,0.1230785,0.073432009,0.078104585,0.093435845,0.091896464,0.087989243,0.213882597,0.169399009,0.071393438,0.155338170118722,1.01380388690673,2.18984045181397
"T5550",0.112429776,0.057070743,0.062328664,0.110595587,0.130359567,0.110808017,0.106461636,0.266357182,0.302012148,0.116138978,0.072307953,0.106938526,0.227195904,0.088094866,0.112179011,0.077194259,0.064961249,0.106751296,0.065618625,0.056830687,0.239144704,0.187438909,0.05677584,0.29278277738798,0.545273314351351,1.88422491600564
"T5552",0.065627582,0.146897533,0.074176469,0.045361315,0.144790347,0.144458279,0.097437628,0.284186777,0.29253989,0.11884597,0.045331529,0.135918381,0.12901136,0.095357185,0.054956299,0.088270525,0.104345076,0.116188427,0.051766679,0.124128589,0.246823756,0.218835472,0.046381228,0.33149343241398,0.435793080287836,1.81281258487161
"T5554",0.127291197,0.084523994,0.106554796,0.06528061,0.10599204,0.155897557,0.102213779,0.261992447,0.238063228,0.056915309,0.073854678,0.116779771,0.120625134,0.052622094,0.10752708,0.081473559,0.112148093,0.059824165,0.053134824,0.083239969,0.222549436,0.194292118,0.050117008,0.266462112146144,0.623548373666591,1.93528257498098
"T5556",0.133490398,0.125949076,0.123159641,0.098378616,0.096881355,0.120165003,0.140546373,0.236648494,0.208909284,0.128995551,0.186061148,0.118982602,0.2040653,0.091380657,0.1763753,0.098094738,0.11570557,0.151990175,0.117410425,0.117148537,0.141751379,0.115004785,0.084105213,0.00133769938870143,3.00276392635112,3.4872095537722
"T5558",0.124517185,0.127017162,0.095843823,0.148310652,0.110016404,0.114431393,0.126080937,0.21771257,0.207295116,0.096506396,0.17124251,0.112083604,0.183826973,0.102145048,0.163287637,0.107623018,0.178038156,0.142792658,0.104451881,0.098169494,0.1584071,0.142503432,0.09554389,0.000145852045621618,3.62255794268354,3.89149198802005
"T5560",0.079234807,0.08394126,0.091149151,0.054359099,0.139159779,0.171250058,0.131005597,0.228715998,0.098845533,0.127016608,0.184405285,0.154154207,0.087682455,0.119214666,0.162934821,0.084748605,0.134777505,0.182417684,0.066443465,0.073075779,0.233078179,0.04730578,0.046161145,0.155735911189527,1.01213852942656,2.18875416385662
"T5562",0.101653678,0.150731897,0.088038284,0.077012503,0.190616557,0.173979511,0.07610168,0.275707984,0.298791228,0.156695127,0.176249608,0.194642611,0.189480296,0.078687746,0.074732569,0.096083728,0.071895919,0.104650243,0.069933663,0.09531789,0.192200474,0.204690209,0.055654095,0.160010962170078,0.99441283020706,2.17719195344418
"T5564",0.12064659,0.08156571,0.06741078,0.14758471,0.067340494,0.156204918,0.154119759,0.252776841,0.071661764,0.079284177,0.170919908,0.101033984,0.206598848,0.086441112,0.177353498,0.096954611,0.146214819,0.148300172,0.103241291,0.097542732,0.157858716,0.143013834,0.070007597,0.0443757836327695,1.702020276757,2.63875378438268
"T5566",0.132371439,0.150349383,0.107986435,0.096605822,0.116481978,0.107997383,0.099098712,0.233565945,0.207762096,0.093148682,0.184012698,0.121316869,0.201660116,0.110363546,0.173576086,0.118976021,0.109021992,0.159528012,0.115099518,0.109854666,0.182833626,0.130401437,0.100216714,0.00146564724429685,2.97485250830339,3.46900335020409
"T5568",0.109622339,0.157910935,0.094416543,0.107614201,0.095710302,0.140959885,0.093973977,0.225013113,0.215179977,0.108123706,0.158672411,0.09538488,0.14042008,0.094885195,0.153845103,0.094339793,0.132205684,0.129856894,0.107368247,0.094399887,0.142240021,0.114467042,0.113397841,0.000207034731898973,3.53095035050067,3.83173771581453
"T5570",0.120239889,0.131225319,0.125020014,0.167490986,0.098708817,0.144665338,0.209355305,0.217981968,0.22153292,0.107900634,0.163016113,0.091169448,0.178108903,0.095676635,0.158962578,0.102325729,0.167351999,0.135489719,0.089576991,0.110616435,0.150599873,0.129752137,0.097508315,0.00055095382361615,3.26312536393028,3.65703945369869
"T5572",0.129683206,0.135764936,0.141854235,0.166984862,0.132474263,0.127363691,0.158347247,0.223261937,0.165260504,0.154205182,0.163831218,0.118118375,0.188471782,0.110689032,0.153583278,0.108541892,0.165439789,0.147543218,0.090224821,0.126128106,0.178002931,0.159621401,0.091929009,1.82970094900779e-06,4.62984463904335,4.54853014401832
"T5574",0.099956944,0.114217255,0.112412122,0.126614571,0.089602461,0.143996986,0.149919931,0.230120612,0.219168715,0.167417844,0.14484931,0.096073815,0.170802159,0.093536778,0.142022457,0.094998528,0.162744857,0.121935571,0.163461815,0.09826179,0.144667534,0.117199949,0.099582369,0.000294887019283586,3.43627406386397,3.76998177978029
"T5576",0.12643772,0.122704205,0.108578514,0.203056318,0.095187436,0.143005337,0.208756231,0.23562904,0.233350496,0.135954959,0.176732209,0.112210964,0.196941925,0.082287265,0.17095666,0.112531686,0.209445098,0.147492747,0.145801313,0.113682344,0.136046893,0.157165543,0.080218716,0.0027425890447494,2.77706753253444,3.33999114719076
"T5578",0.108140507,0.116580954,0.104168651,0.148133681,0.107038348,0.170899227,0.21260825,0.196388994,0.162998721,0.142717675,0.130882409,0.103695174,0.158589912,0.116194277,0.138011951,0.102179248,0.154394707,0.117955601,0.214381607,0.101745629,0.144785658,0.116158353,0.100983456,0.000207508418082477,3.53034581157689,3.83134338405065
"T5535",0.144234593,0.084882667,0.079190148,0.136820402,0.079072964,0.143732872,0.068807378,0.278183871,0.314233598,0.062860462,0.093223129,0.061770505,0.126283595,0.062619335,0.116947223,0.091477664,0.063933964,0.078874219,0.102063353,0.084626142,0.215405317,0.191584815,0.071923347,0.247815113704506,0.681381339265078,1.97300615974594
"T5543",0.071771187,0.097101318,0.084475698,0.089602235,0.082975153,0.10168565,0.083651921,0.315478889,0.321528617,0.151519124,0.19017184,0.088870192,0.148695788,0.077637604,0.090024887,0.088027169,0.093296243,0.091897729,0.082234544,0.114555498,0.254645701,0.204334213,0.069043098,0.299688904055867,0.525295466985423,1.87119366279683
"T5537",0.100232489,0.084008148,0.095097941,0.117890151,0.147677623,0.147893301,0.319017014,0.241143331,0.278042481,0.131711942,0.102804765,0.085801624,0.073849811,0.114992992,0.084038523,0.083319973,0.104166888,0.137578235,0.143882319,0.085143869,0.202320726,0.145761981,0.10240687,0.150335677130839,1.0349947687286,2.20366294938743
"T5539",0.087175385,0.08388979,0.086368107,0.094163856,0.091998468,0.087501414,0.331554529,0.290216439,0.316795005,0.073572682,0.119295749,0.074316518,0.118277987,0.076314554,0.118673829,0.08659273,0.122422591,0.088264079,0.077187238,0.098611373,0.239484139,0.121210489,0.073951326,0.405839395475743,0.238260841310768,1.68396523831503
"T5541",0.074430823,0.098305593,0.091058347,0.096140385,0.11163795,0.111092952,0.26262302,0.273327896,0.296706902,0.092394826,0.14609913,0.092199289,0.025258061,0.091418638,0.1386905,0.092285133,0.106890624,0.097608977,0.107332306,0.109266378,0.236231212,0.181130876,0.09603249,0.226396351963403,0.750767313812621,2.01826560071107
"T8252",0.069886278,0.068086951,0.069705619,0.067654508,0.106305506,0.098838879,0.105525038,0.103026214,0.244523207,0.065966258,0.075349925,0.090836512,0.163812415,0.082469373,0.108090819,0.118370584,0.222907157,0.09500936,0.067223945,0.065733119,0.072311018,0.065973481,0.09161047,0.0630587088277025,1.52959334542099,2.52628225724064
"T8253",0.051660603,0.050878426,0.051874494,0.053916668,0.096523156,0.088030053,0.149009735,0.097472814,0.321621481,0.051074474,0.065358378,0.073220915,0.179411809,0.058762539,0.111586752,0.150421961,0.114028576,0.075686535,0.050413769,0.050624465,0.061388638,0.051118152,0.058929348,0.17436358113251,0.937061036614291,2.13978223003419
"T8254",0.063572046,0.050729785,0.047290976,0.078122939,0.076372182,0.067927895,0.08893348,0.075168444,0.383634236,0.070228199,0.095108136,0.0480718,0.097816194,0.046957023,0.085895307,0.114420372,0.221195391,0.059760844,0.055099052,0.067206407,0.090433793,0.071103797,0.087176961,0.152776415522126,1.0245981643065,2.19688139869007
"T8255",0.043569445,0.042612993,0.044025898,0.067086711,0.102189888,0.099194041,0.160989432,0.114755315,0.366379586,0.056756438,0.093510882,0.087347698,0.117935426,0.059977509,0.114388448,0.172145113,0.048464598,0.087886908,0.04506092,0.053207778,0.087348034,0.057074291,0.081272631,0.127883652626997,1.13645233045363,2.26984221047447
"T8256",0.058514131,0.058157264,0.060120098,0.078216142,0.092149245,0.084326456,0.125855435,0.081112864,0.122299212,0.068357344,0.104684407,0.076805471,0.121720845,0.065067661,0.09736976,0.124759088,0.350240207,0.080089848,0.058638567,0.065028445,0.096540124,0.068498887,0.146823879,0.459605442672972,0.101427779478132,1.59471106375776
"T1634",0.054213456,0.055258789,0.055666195,0.054398455,0.0685582,0.093869146,0.210418531,0.079728886,0.195571726,0.134284239,0.143854336,0.131332105,0.150104856,0.065873523,0.0566675,0.085490552,0.097623511,0.067472882,0.062985136,0.054170501,0.058776357,0.055949627,0.07148733,0.201570683548682,0.836024061166004,2.07387731113067
"T1637",0.051521831,0.051528875,0.052122392,0.05084624,0.050117812,0.08303209,0.111278458,0.075182162,0.392203351,0.08741124,0.158513293,0.064503292,0.081881928,0.053688493,0.05035988,0.0774228,0.178222343,0.070571862,0.056082859,0.05014384,0.053601178,0.052167559,0.05707196,0.185909476655177,0.893071370870429,2.11108842422123
"T1638",0.038094622,0.037338996,0.036444731,0.038971299,0.11364635,0.095818693,0.181290051,0.07276531,0.235139595,0.066974861,0.081643188,0.103650414,0.181874585,0.047249511,0.036379706,0.099168461,0.079666629,0.04500781,0.045390978,0.036956711,0.054869231,0.044765575,0.084414984,0.384661582383698,0.293260341211309,1.71984059547607
"T8192",0.032367129,0.034158555,0.038025489,0.056716912,0.066705401,0.060268037,0.085898355,0.066383993,0.037332899,0.047922281,0.081582441,0.035665382,0.131392458,0.034413819,0.073250682,0.090232776,0.090554659,0.052282224,0.039027059,0.060991224,0.074658307,0.048505899,0.068761051,0.0578092064669869,1.5734337688583,2.55487871451296
"T1592",0.030702987,0.031033734,0.036415727,0.039337203,0.100638883,0.098121891,0.124688544,0.101092252,0.052113656,0.033776992,0.06556961,0.031940472,0.141814959,0.049175549,0.106307882,0.124502593,0.183032714,0.07935648,0.030790687,0.048640677,0.076036493,0.046774818,0.050462212,0.383874593969551,0.295320329593861,1.72118429531162
"T0881",0.09123026,0.070256452,0.027768707,0.061584551,0.101255648,0.097027538,0.126863844,0.077794438,0.290764123,0.064993249,0.058302191,0.086092268,0.237066094,0.084446122,0.105844534,0.052825455,0.048981511,0.089758563,0.031062647,0.063090538,0.058273838,0.110023848,0.061148441,0.274933810736706,0.59795850411724,1.91859068302837
"T2300",0.05377334,0.053560521,0.058096686,0.054560436,0.141079414,0.099743442,0.192194574,0.121388614,0.155333295,0.051129743,0.05883649,0.069920494,0.253751393,0.091356761,0.160443893,0.179393511,0.220800777,0.113906004,0.053249614,0.05107259,0.056223494,0.050264573,0.05734491,0.443085688947815,0.143150429686336,1.62192612899711
"T0878",0.029883524,0.083128574,0.085688909,0.079924832,0.097290177,0.094501854,0.113805705,0.056544619,0.301969932,0.079664609,0.079130875,0.08842344,0.118476415,0.033405984,0.100357082,0.091031442,0.105421608,0.044084262,0.049211788,0.080143454,0.079191194,0.080100521,0.079196318,0.00274732448051873,2.77650677665955,3.33962537445959
"T0880",0.073537994,0.073439642,0.073439918,0.076755514,0.089502087,0.085961962,0.11001152,0.086035274,0.132138813,0.074569157,0.07914036,0.07612964,0.241622592,0.077719194,0.093283533,0.110136446,0.224085115,0.080459545,0.073423559,0.074633411,0.079770349,0.074663315,0.077850181,0.192834728607206,0.867497543383791,2.09440699626793
"T0344",0.064107569,0.070653216,0.066765076,0.108468039,0.051654227,0.050696068,0.065060132,0.051391891,0.133526398,0.097065014,0.153899413,0.050605285,0.070080626,0.051177499,0.053690772,0.064679721,0.153531992,0.133612438,0.058171337,0.093231713,0.147944015,0.096876917,0.13052412,0.107552405466662,1.23965018216089,2.33715663687736
"T0345",0.063138649,0.070731066,0.065271363,0.117039856,0.046272707,0.045137685,0.062897816,0.045958259,0.134769032,0.103723925,0.166271452,0.045159094,0.06389588,0.045943967,0.048766818,0.062656879,0.167715984,0.112125832,0.055415649,0.099183483,0.161316983,0.103424797,0.142792336,0.219201121390055,0.774894093187442,2.03400314066658
"T0346",0.06015448,0.066146594,0.061816582,0.108772085,0.045156441,0.044080283,0.060427607,0.044861994,0.137255668,0.096841269,0.157960854,0.043989272,0.06186774,0.044638228,0.047460442,0.059980392,0.159795665,0.130168318,0.052624062,0.092497597,0.152445214,0.096411023,0.132969189,0.215591014145089,0.787170560579439,2.04201089806728
"T0875",0.055703558,0.054895227,0.055315161,0.049184679,0.120082986,0.114874018,0.147329181,0.116975119,0.44938099,0.049349976,0.054632733,0.049447946,0.205583834,0.091487271,0.129125012,0.14840311,0.051168712,0.070694439,0.0653493,0.049149439,0.055629166,0.049064327,0.055850312,0.288001088662752,0.559233786846748,1.89333112493145
"T0876",0.062178434,0.062410115,0.061726718,0.062251693,0.093970579,0.090019889,0.11996984,0.091396515,0.56780987,0.060828218,0.071118171,0.066577263,0.179996439,0.073002591,0.101313269,0.121606897,0.171823495,0.066100453,0.062828073,0.060909866,0.07235282,0.060951602,0.073043885,0.0732091766282157,1.45229947553911,2.47586461356412
"T1961",0.036083183,0.036648006,0.035596918,0.06979416,0.098334175,0.085073427,0.15532715,0.101839887,0.289626667,0.055002139,0.079614373,0.057103323,0.048765797,0.055086848,0.119354588,0.15669635,0.04090169,0.098211079,0.036052573,0.044973785,0.061537626,0.05317608,0.073745542,0.231188669075076,0.734937862216988,2.00794028446849
"T1962",0.035351569,0.035318622,0.036505381,0.066452,0.103771748,0.0920603,0.156074667,0.106887448,0.311496745,0.051940282,0.076384365,0.065304403,0.09907555,0.062979294,0.122888128,0.157178232,0.060904661,0.258606538,0.037005583,0.042023781,0.059067331,0.049985198,0.070286725,0.469974853168361,0.0753330748231338,1.57768987536145
"T0747",0.054076813,0.052163312,0.057098368,0.06143386,0.146635602,0.111777808,0.175743024,0.158185165,0.333082167,0.047328484,0.050774744,0.08122988,0.277783086,0.080461478,0.169806642,0.066731506,0.16949845,0.09263729,0.058204793,0.048668063,0.046947032,0.047343703,0.049057498,0.485635577280201,0.0360140517329056,1.55204266040247
"T0748",0.060874041,0.05933635,0.06319421,0.0623833,0.138444392,0.106117683,0.16874748,0.187979052,0.313149769,0.056347629,0.058989559,0.083497747,0.256817892,0.083208549,0.163759402,0.081093591,0.240659477,0.094292017,0.064178772,0.057108514,0.056449472,0.056354152,0.0577845,0.427594475595815,0.18250178814011,1.64759443583361
"T0776",0.059621124,0.055726656,0.058337765,0.058271103,0.1184181,0.109541963,0.164861846,0.115599201,0.386989613,0.047685297,0.048097037,0.047691748,0.298027029,0.082026172,0.136471651,0.1413918,0.083532444,0.099992065,0.065466037,0.049477436,0.048005834,0.048466904,0.047789891,0.497132005808319,0.0071890572566603,1.53324054449468
"T0834",0.052551885,0.051419867,0.05569462,0.06004573,0.110108563,0.092071449,0.144784941,0.115575108,0.298954605,0.052415003,0.066622425,0.076523118,0.276165476,0.075640931,0.130614813,0.167016828,0.204296685,0.08962242,0.056048452,0.049889456,0.053908624,0.051257977,0.062408802,0.443348911368552,0.142483865591585,1.62149133913514
"T0841",0.046294109,0.042105793,0.048389786,0.059487811,0.05078395,0.134257353,0.06192145,0.093196084,0.328556017,0.039480494,0.047454326,0.077887728,0.234629157,0.082552558,0.158534937,0.088206632,0.116264199,0.098474981,0.051837699,0.038479208,0.041330818,0.039150059,0.041597213,0.468328598619737,0.0794720058831266,1.58038963863767
"T0835",0.080140617,0.078395967,0.084030954,0.065975956,0.115900904,0.06615429,0.129581541,0.11711945,0.138626722,0.065374833,0.069867127,0.136284348,0.243529726,0.097460471,0.114595937,0.070626364,0.152188874,0.106552253,0.084672876,0.071307197,0.065042817,0.066915677,0.067451279,0.110641983843065,1.22312108030729,2.3263749491598
"T0837",0.071878324,0.068979967,0.0769717,0.041948017,0.121382463,0.111752574,0.156744494,0.122520256,0.081742807,0.045141259,0.059947207,0.086523403,0.231396138,0.097424381,0.130639359,0.15820718,0.193035061,0.108248782,0.07787704,0.057304461,0.043127684,0.049783798,0.049327865,0.280752753132066,0.580606773265766,1.90727240662977
"T0832",0.049319929,0.049197384,0.050979582,0.071278966,0.104334369,0.074935216,0.141066023,0.109929813,0.291103678,0.058393881,0.079140826,0.072420793,0.238053486,0.071362924,0.097049681,0.153736912,0.245869661,0.086784387,0.051226052,0.05169327,0.061525844,0.056460682,0.074426028,0.416779064716912,0.210140355536317,1.66562266297298
"T0829",0.055708579,0.055894197,0.055886667,0.144274252,0.083090971,0.063471913,0.106828119,0.081851511,0.27984214,0.064165273,0.060609389,0.091196993,0.237339299,0.067472214,0.097173703,0.14090496,0.205346209,0.06170995,0.055060892,0.055370374,0.058770928,0.061839241,0.055847381,0.357427955676967,0.365342293569037,1.76685858273733
"T0831",0.07097929,0.065356429,0.059107795,0.109548956,0.104001331,0.082909061,0.154033618,0.117181062,0.314438208,0.107335871,0.05922782,0.110792055,0.216901968,0.105614176,0.130989172,0.157192914,0.32783669,0.056124669,0.107274021,0.06356759,0.061839336,0.079581142,0.063479601,0.37408431194362,0.321055115316791,1.73797071393257
"T0827",0.061575756,0.051786154,0.05423281,0.161985566,0.099791873,0.070872401,0.165334148,0.119575414,0.295353933,0.068561395,0.050767116,0.114392976,0.236287109,0.07668202,0.133295576,0.180116318,0.195388624,0.071545024,0.053628281,0.052196943,0.050893073,0.057248148,0.053177675,0.35932016377898,0.360276558488586,1.7635542789596
"T0828",0.0560738,0.048898934,0.055652856,0.061764882,0.093439115,0.050152323,0.093819924,0.09051224,0.29697895,0.045008062,0.04511534,0.099759464,0.213668694,0.079097297,0.074821226,0.141754591,0.200241668,0.075832493,0.057490043,0.04529368,0.04637496,0.044462703,0.043967306,0.413025963880801,0.219767890730263,1.67190256123184
"T5127",0.058819155,0.055672226,0.05688714,0.128452017,0.031359549,0.211840258,0.299524152,0.272741682,0.12130383,0.209397531,0.145419858,0.088101797,0.219308275,0.088565722,0.136141103,0.093338626,0.061378859,0.084424042,0.164573942,0.110052912,0.222313675,0.136524537,0.056241096,0.372439560768412,0.325398987733533,1.74080415741286
"T5129",0.062660149,0.057178302,0.059451022,0.144932227,0.071467646,0.1881401,0.317333175,0.283205735,0.093903763,0.164237821,0.166470229,0.093847589,0.212359998,0.084002828,0.123329778,0.089220599,0.083341567,0.124939253,0.132371951,0.128029752,0.223666624,0.139680704,0.059167789,0.289451214782454,0.554988641599323,1.89056207971781
