"","bcsA","bcsB","bcsC","bcsZ","cheB","cheR","cheY","cheZ","iraD","pdeF","pepT","pitA","ravA","tap","tar","upp","uraA","viaA","xdhA","xdhB","xdhC","ydeJ","fnr"
"bcsA",1,0.513883341459975,0.435454542829685,0.41672936200048,0.0907826635592377,0.109650585738378,0.305401204943261,0.258147300997979,0.312002825066878,0.350474239783749,0.343237343568081,0.17297481562521,0.223518343659148,0.136865483793813,-0.14034249465512,-0.217120863244705,0.127381839402033,0.443885751197717,0.475852434828611,0.41538924733311,0.421394234348983,0.129753873795259,-0.018599304326557
"bcsB",0.513883341459975,1,0.493666450774001,0.431336637534694,0.100736210843433,0.228154178408721,0.326724784043325,0.272187351486393,0.301902213440813,0.183496880466311,0.223268063184104,0.15277763204292,0.0672506290249828,0.133983136676896,-0.182485049358469,-0.0771333955173084,0.154153380841418,0.34105910321485,0.361294209331916,0.4545022417158,0.524068667418545,0.0660763679830803,-0.0285678690374193
"bcsC",0.435454542829685,0.493666450774001,1,0.420992019131372,0.264429632037837,0.0772665173372923,0.335910356171669,0.157067596313481,0.4621314944308,0.189961366997682,0.218855937298297,0.2535429789546,0.137756872360593,0.144985068970211,0.0876971899907075,-0.0974856420489539,0.0723540257405753,0.323709499194304,0.366923138103462,0.421402323038867,0.499974149826699,0.120391782066379,-0.227194860790333
"bcsZ",0.41672936200048,0.431336637534694,0.420992019131372,1,-0.0174211194232604,0.0963851694944681,0.312318446776165,0.184026798627076,0.541328920845878,0.274736736894607,0.169130260160064,0.19531930939443,0.0849148728116054,0.207925062375442,-0.0832963595572081,-0.182349572550997,0.102717758628315,0.3953170987592,0.463683426738313,0.454218253547762,0.557223485268784,0.239812186458079,-0.139531366461798
"cheB",0.0907826635592377,0.100736210843433,0.264429632037837,-0.0174211194232604,1,0.41543993544625,0.360264526854496,0.219631292778065,0.0721250693394034,0.00582009751930316,0.0198570892797151,0.11080251880366,0.217180698811323,0.502586091320985,0.372609123079345,0.139627964543011,0.0595761434665752,-0.00184609357177468,0.126750312851238,0.196971529182139,0.212538644116883,0.0345619595326632,-0.0351524210892326
"cheR",0.109650585738378,0.228154178408721,0.0772665173372923,0.0963851694944681,0.41543993544625,1,0.245970371590966,0.490056799062375,0.160686938093465,-0.00847230878791784,-0.0632931300343369,-0.103567534501784,0.0664274009882012,0.404040386061643,-0.0313365899561445,-0.0232201880117718,0.0881816768596933,0.0853141238905157,0.207440635086144,0.147952127277035,0.224211708063524,0.12791955176969,0.241171928535136
"cheY",0.305401204943261,0.326724784043325,0.335910356171669,0.312318446776165,0.360264526854496,0.245970371590966,1,0.210274216971213,0.205584971698658,0.339150801141363,0.158410238990845,0.383051008489643,0.0929086616684658,0.480759441534845,0.123166263742031,-0.085063265069547,-0.00464835909996208,0.228151829342901,0.338420896035333,0.614277574977813,0.583738999013526,0.0168891074593015,-0.241431761768574
"cheZ",0.258147300997979,0.272187351486393,0.157067596313481,0.184026798627076,0.219631292778065,0.490056799062375,0.210274216971213,1,0.232802737156742,0.0655362674136325,0.0335277454388806,-0.165735073807046,-0.0175760013313034,0.242897615560065,-0.228605595916413,-0.263707852160773,-0.037107817528814,0.187875604938873,0.27103817578704,0.298569390100754,0.387072998800417,-0.033327764411026,0.39124630788221
"iraD",0.312002825066878,0.301902213440813,0.4621314944308,0.541328920845878,0.0721250693394034,0.160686938093465,0.205584971698658,0.232802737156742,1,0.283168637421957,0.173778220348402,0.146169768021486,0.0303098139297438,0.126532899283163,-0.0615817252212995,-0.207177874725697,0.0930631064756867,0.306116632864679,0.385289256788564,0.307903248948539,0.468647611395896,0.143432383779574,-0.098027404756292
"pdeF",0.350474239783749,0.183496880466311,0.189961366997682,0.274736736894607,0.00582009751930316,-0.00847230878791784,0.339150801141363,0.0655362674136325,0.283168637421957,1,0.254526089353571,0.215645248050186,0.1457747616041,0.13884982249396,-0.0968391784024636,-0.144465771421773,0.0887606139013563,0.267841687163028,0.401070705849712,0.443214409507232,0.346023820988558,0.182882923212527,-0.21241019910647
