"","bdcA","dkgB","grxD","mepH","mhpT","nsrR","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","pval","z","inv_cof_var"
"T8405",0.084473132,0.191788048,0.17498541,0.182638044,0.168350271,0.171947899,0.196393535,0.135294253,0.180662566,0.158923791,0.195809027,0.192683988,0.176299849,0.192386555,0.182080311,0.097169227,0.103120909,0.11986204,0.176076043,0.193903592,0.086002308,0.172724726,0.07778721,0.246152959,0.0196130214382458,2.06180775063733,3.58082123655036
"T1996",0.083634195,0.045525113,0.136610718,0.046604206,0.055259725,0.144856212,0.144848187,0.256804849,0.136854436,0.090015719,0.047266489,0.063406345,0.173740315,0.103857011,0.096282944,0.069069356,0.158149312,0.272524785,0.140326244,0.05397827,0.067405848,0.180759615,0.046938338,0.045540303,0.473373005886245,0.066793608441537,1.65329843701394
"T0717",0.081631406,0.073426762,0.142581433,0.062226395,0.086483686,0.100443858,0.047772672,0.124685418,0.163795394,0.198636835,0.156519335,0.105038342,0.047051952,0.117059575,0.072872862,0.085116636,0.17862372,0.053723073,0.047197938,0.053248506,0.049526251,0.197797595,0.087671408,0.055277849,0.34879907884714,0.388564735501266,1.96418404455029
"T0718",0.065947628,0.059400732,0.164626365,0.051864538,0.068926156,0.125596217,0.048104893,0.211135559,0.159882916,0.213317484,0.152896464,0.07912451,0.044446501,0.064720401,0.059921045,0.085116636,0.181391362,0.199644853,0.045682116,0.044913059,0.051300659,0.211699065,0.069944701,0.046917722,0.494867255383435,0.0128662377531848,1.60119542966059
"T4831",0.089649093,0.104610414,0.411562788,0.106354271,0.09863267,0.115852162,0.10814938,0.109570105,0.088470625,0.097888405,0.09513702,0.103124795,0.093963216,0.112789985,0.098330887,0.087145916,0.091367538,0.085213866,0.090370251,0.110981223,0.111708013,0.088268163,0.084928261,0.098748304,0.457922464984195,0.105669059308872,1.69085873110116
"T4832",0.09178952,0.108071321,0.405587496,0.109415334,0.099592727,0.113964227,0.107081083,0.112415057,0.092063137,0.098979325,0.093717962,0.101441072,0.094657126,0.111774407,0.099131391,0.08832055,0.092879476,0.088940669,0.092785168,0.109142606,0.109795159,0.090829563,0.08765318,0.097552789,0.43656031416016,0.159695903120831,1.74305784640163
"T5075",0.054332459,0.061633594,0.184524117,0.057731001,0.061233963,0.074875231,0.055616045,0.054490646,0.067831822,0.128961815,0.054231527,0.076077257,0.054297755,0.072006526,0.101875255,0.054695316,0.0543437,0.056432951,0.07753801,0.073213254,0.073233224,0.055707318,0.055855936,0.076646525,0.204959623816066,0.824035745473922,2.38492306714969
"T5536",0.069055206,0.086497687,0.094727801,0.108835696,0.174350788,0.084983865,0.182680848,0.069832603,0.096017173,0.067821932,0.091970682,0.285372177,0.06642085,0.266352107,0.066600949,0.074268039,0.063396341,0.1758188,0.319949942,0.168942299,0.261372611,0.099893888,0.075602344,0.304349102,0.484748127816399,0.0382400917897236,1.6257108860341
"T5538",0.099710209,0.08788533,0.077124181,0.076752545,0.168584469,0.301868796,0.174924635,0.076794706,0.05735513,0.090892995,0.091785881,0.30528852,0.091305755,0.255433009,0.090484189,0.075972135,0.100561572,0.234007457,0.298476616,0.240039589,0.257231631,0.065012436,0.105765411,0.30589924,0.458534396235504,0.104126712625086,1.68936856201669
"T5542",0.092090112,0.090722419,0.093637438,0.082993558,0.18049591,0.269429385,0.187967521,0.072593479,0.094683831,0.063054562,0.089557591,0.294334278,0.08887018,0.276202242,0.061526837,0.094141531,0.119303427,0.11502685,0.311678478,0.13691011,0.264762876,0.102045006,0.062874184,0.304622282,0.47151173082058,0.0714702995217873,1.65781691560159
"T5544",0.117356823,0.084970085,0.118408322,0.094331402,0.209374336,0.200112814,0.207457271,0.115169019,0.128568978,0.053642619,0.077850396,0.254765875,0.094162844,0.28549244,0.096891464,0.059228916,0.110415109,0.07555328,0.325188866,0.117037557,0.277001505,0.103769264,0.116492146,0.308676559,0.432393219816016,0.170284450168015,1.75328818282669
"T5546",0.118557531,0.073744957,0.163816178,0.079667563,0.153838749,0.2611135,0.178860175,0.073643913,0.15862999,0.072593052,0.04541729,0.298187298,0.048076473,0.264579595,0.046949638,0.087536523,0.099355169,0.155794147,0.32044815,0.127506811,0.26768961,0.098527263,0.083422277,0.307748379,0.482788027073553,0.043157411484438,1.63046185276847
"T5550",0.067384368,0.07197895,0.141423024,0.055553647,0.170556463,0.104051828,0.179956144,0.055502341,0.14281213,0.062846732,0.071318221,0.300321866,0.122245605,0.282831092,0.117659476,0.072364146,0.100488462,0.121669176,0.330359491,0.137916264,0.272779657,0.084754334,0.0960638,0.317796952,0.486174409460571,0.0346625560440263,1.6222543783482
"T5554",0.149807382,0.088285454,0.088494035,0.088172006,0.176666702,0.126968532,0.180925494,0.069613716,0.106970807,0.120425202,0.053223269,0.291676025,0.123373283,0.253517556,0.104580972,0.068737639,0.124938166,0.104087759,0.331805101,0.096453543,0.256462539,0.105054964,0.11795853,0.260260279,0.391679096905037,0.274945390604572,1.85440844290181
