"","bdcA","dkgB","grxD","mepH","mhpT","pgpC","rfe","rffC","rffG","rffH","rffM","tadA","tehA","tehB","tsgA","wecB","wecC","wecE","wzxE","wzyE","wzzE","ydbD","yeaE","nsrR"
"bdcA",1,0.577672672954983,0.289105474276577,0.355597085348677,0.410286543126429,0.322662094358571,0.0646693975906722,0.0111924071771001,0.01606818854016,0.215922980734918,0.465006280452704,0.308661845045031,0.451318499478317,0.401262670687289,0.193775325681327,0.0530757599594086,-0.000613847647326744,0.505029987759331,0.528001613884406,0.378605376454867,-0.027073659648266,0.41618629748008,0.456836587853762,0.0855893124922682
"dkgB",0.577672672954983,1,0.270749282411981,0.339259219634324,0.56722721088073,0.45996975093721,0.0235167976351216,-0.016921289850769,0.112518443084104,0.415870922702885,0.466628005109106,0.53880118271662,0.480633792391208,0.317892618879431,0.269695235791604,0.0234279893708306,-0.179434113405299,0.500761100591286,0.512438523793665,0.393318912585424,-0.0360344326712401,0.589721771900765,0.400977913634284,0.103570106485377
"grxD",0.289105474276577,0.270749282411981,1,0.195040540939968,0.0994244140577097,0.0449348701251649,0.145940298858694,0.0367480276516355,0.162350696781378,0.219951773416497,0.344210806303339,0.297184676425281,0.366521178247818,0.101078645829485,0.187427593641556,0.161698403796699,0.0810954704197848,0.390128577147096,0.416741867097261,0.364327301100229,0.139656379045251,0.375497765856825,0.34551580122359,0.30545850949401
"mepH",0.355597085348677,0.339259219634324,0.195040540939968,1,0.186230446152897,0.136906436575643,0.102703709050473,0.118521126920884,0.0761169989867297,0.0634897383064459,0.136177156381186,0.183645786010905,0.133362835685717,0.384433414026938,0.301911889927739,-0.030342615733709,-0.0125374291895693,0.154735482760602,0.190385951720313,0.103212087850641,-0.0652672227850478,0.165042473756705,0.167846062591019,-0.0447273941412212
"mhpT",0.410286543126429,0.56722721088073,0.0994244140577097,0.186230446152897,1,0.561831739635333,-0.00780712436236129,-0.0463432791088512,0.0868152350193137,0.329448134611103,0.582590795993871,0.384698420809836,0.561269607774973,0.125484498593562,0.237253297822264,0.0664769321654255,-0.0836514198663654,0.55654875636953,0.447584348717317,0.489633590390779,0.0492717578316038,0.32996123929784,0.469790903892723,0.124723894313552
"pgpC",0.322662094358571,0.45996975093721,0.0449348701251649,0.136906436575643,0.561831739635333,1,-0.0283165530259924,-0.114312557016115,-0.0974369864219966,0.155092498953475,0.489990422697584,0.39464019006608,0.454417192327268,0.179761907828503,0.095618839809132,-0.0835635873299676,-0.180377325294441,0.459071714946921,0.331096613932196,0.462985534229657,-0.149198582715044,0.33094729937695,0.413266373470845,0.0558148791177365
"rfe",0.0646693975906722,0.0235167976351216,0.145940298858694,0.102703709050473,-0.00780712436236129,-0.0283165530259924,1,0.227061228374588,0.341689198509315,0.155492411493158,-0.115149716585243,0.0485259502068483,-0.0241737414058704,0.0956149234921894,0.150443577273034,0.346645090631851,0.398711983493639,-0.068100477678818,-0.0252527448950132,-0.0961122415171042,0.33568602681637,-0.00515096585071578,-0.0552723991796436,0.0657032020078309
"rffC",0.0111924071771001,-0.016921289850769,0.0367480276516355,0.118521126920884,-0.0463432791088512,-0.114312557016115,0.227061228374588,1,0.400061876836553,0.318842325073084,-0.197239649259098,-0.043355084819865,-0.0139312987544705,0.189672229931442,0.0116296639380867,0.502140560176194,0.496707761726954,-0.154051338065171,-0.169256996814357,-0.16443262625274,0.538422700624292,-0.0659217079310969,-0.0366291755037547,0.0295550693073477
"rffG",0.01606818854016,0.112518443084104,0.162350696781378,0.0761169989867297,0.0868152350193137,-0.0974369864219966,0.341689198509315,0.400061876836553,1,0.4249636028194,-0.104263831629007,0.167096775927862,0.00750474843307167,0.0722090559644312,0.169186853181145,0.486244373110568,0.551460338167462,-0.064425565581472,-0.0544791796264116,-0.0420604216380945,0.527862092080487,0.0419702697672259,-0.106256445075456,0.120709489000161
"rffH",0.215922980734918,0.415870922702885,0.219951773416497,0.0634897383064459,0.329448134611103,0.155092498953475,0.155492411493158,0.318842325073084,0.4249636028194,1,0.281128676727112,0.290643686225771,0.347662207468123,-0.0150635258642192,0.108279350426369,0.528738101480396,0.272645707189691,0.264694133363566,0.276455233565312,0.240944019399216,0.419900543081578,0.343284178819716,0.200362785536341,0.35684983242676
"rffM",0.465006280452704,0.466628005109106,0.344210806303339,0.136177156381186,0.582590795993871,0.489990422697584,-0.115149716585243,-0.197239649259098,-0.104263831629007,0.281128676727112,1,0.399664452268219,0.776127010171117,0.120597041263659,0.144983937423319,-0.0407005867576231,-0.173681115197314,0.887452293124861,0.816576277994358,0.89359404147068,-0.0825769187236745,0.427139195472631,0.736725788733281,0.45880851741203
"tadA",0.308661845045031,0.53880118271662,0.297184676425281,0.183645786010905,0.384698420809836,0.39464019006608,0.0485259502068483,-0.043355084819865,0.167096775927862,0.290643686225771,0.399664452268219,1,0.371276532492268,0.139049666735825,0.153631985484267,0.0685202862174429,0.000318042366343624,0.443556160616698,0.397940515149919,0.397933034592867,0.0406822208391884,0.449369998632727,0.348859266792033,0.185834485943882
"tehA",0.451318499478317,0.480633792391208,0.366521178247818,0.133362835685717,0.561269607774973,0.454417192327268,-0.0241737414058704,-0.0139312987544705,0.00750474843307167,0.347662207468123,0.776127010171117,0.371276532492268,1,0.0458342852464921,0.228268758569671,0.0741066156892474,-0.0271645715497566,0.727524747738951,0.636961809389447,0.772707373487913,0.0653671589915612,0.498617728227958,0.797378120140509,0.464092875715746
"tehB",0.401262670687289,0.317892618879431,0.101078645829485,0.384433414026938,0.125484498593562,0.179761907828503,0.0956149234921894,0.189672229931442,0.0722090559644312,-0.0150635258642192,0.120597041263659,0.139049666735825,0.0458342852464921,1,0.206227503702722,0.0359708472877544,0.0613012718700242,0.200692413827561,0.236763734627291,0.0569737916217639,-0.14846931331272,0.0265473957700808,0.165231299778283,-0.146607691457983
"tsgA",0.193775325681327,0.269695235791604,0.187427593641556,0.301911889927739,0.237253297822264,0.095618839809132,0.150443577273034,0.0116296639380867,0.169186853181145,0.108279350426369,0.144983937423319,0.153631985484267,0.228268758569671,0.206227503702722,1,0.040424754984348,-0.00881602345182401,0.205208768731647,0.21333218398882,0.136861504066014,-0.0507095364090183,0.179165845761151,0.211462671927386,0.084896457292911
"wecB",0.0530757599594086,0.0234279893708306,0.161698403796699,-0.030342615733709,0.0664769321654255,-0.0835635873299676,0.346645090631851,0.502140560176194,0.486244373110568,0.528738101480396,-0.0407005867576231,0.0685202862174429,0.0741066156892474,0.0359708472877544,0.040424754984348,1,0.543710794733321,0.0142547508819319,0.0293899273540565,-0.0340708378406194,0.578046217143276,0.0627974672018533,0.0404009826132941,0.219704020031475
"wecC",-0.000613847647326744,-0.179434113405299,0.0810954704197848,-0.0125374291895693,-0.0836514198663654,-0.180377325294441,0.398711983493639,0.496707761726954,0.551460338167462,0.272645707189691,-0.173681115197314,0.000318042366343624,-0.0271645715497566,0.0613012718700242,-0.00881602345182401,0.543710794733321,1,-0.111405932577915,-0.118191192652489,-0.0978988040749991,0.558777216239132,-0.142496972579361,-0.0550661763528767,0.158734002229743
"wecE",0.505029987759331,0.500761100591286,0.390128577147096,0.154735482760602,0.55654875636953,0.459071714946921,-0.068100477678818,-0.154051338065171,-0.064425565581472,0.264694133363566,0.887452293124861,0.443556160616698,0.727524747738951,0.200692413827561,0.205208768731647,0.0142547508819319,-0.111405932577915,1,0.881501039265623,0.831259725379333,-0.0658169656327998,0.468544800923186,0.773245243008003,0.416546085325397
"wzxE",0.528001613884406,0.512438523793665,0.416741867097261,0.190385951720313,0.447584348717317,0.331096613932196,-0.0252527448950132,-0.169256996814357,-0.0544791796264116,0.276455233565312,0.816576277994358,0.397940515149919,0.636961809389447,0.236763734627291,0.21333218398882,0.0293899273540565,-0.118191192652489,0.881501039265623,1,0.756795215095672,-0.0700461867487477,0.476384963792731,0.729747652942893,0.392599654062236
"wzyE",0.378605376454867,0.393318912585424,0.364327301100229,0.103212087850641,0.489633590390779,0.462985534229657,-0.0961122415171042,-0.16443262625274,-0.0420604216380945,0.240944019399216,0.89359404147068,0.397933034592867,0.772707373487913,0.0569737916217639,0.136861504066014,-0.0340708378406194,-0.0978988040749991,0.831259725379333,0.756795215095672,1,-0.0536123332937984,0.408925220223561,0.696965828577391,0.483469584394864
"wzzE",-0.027073659648266,-0.0360344326712401,0.139656379045251,-0.0652672227850478,0.0492717578316038,-0.149198582715044,0.33568602681637,0.538422700624292,0.527862092080487,0.419900543081578,-0.0825769187236745,0.0406822208391884,0.0653671589915612,-0.14846931331272,-0.0507095364090183,0.578046217143276,0.558777216239132,-0.0658169656327998,-0.0700461867487477,-0.0536123332937984,1,0.0202109706690603,-0.0387686532441269,0.229174128779732
"ydbD",0.41618629748008,0.589721771900765,0.375497765856825,0.165042473756705,0.32996123929784,0.33094729937695,-0.00515096585071578,-0.0659217079310969,0.0419702697672259,0.343284178819716,0.427139195472631,0.449369998632727,0.498617728227958,0.0265473957700808,0.179165845761151,0.0627974672018533,-0.142496972579361,0.468544800923186,0.476384963792731,0.408925220223561,0.0202109706690603,1,0.467156858222267,0.230569459640163
"yeaE",0.456836587853762,0.400977913634284,0.34551580122359,0.167846062591019,0.469790903892723,0.413266373470845,-0.0552723991796436,-0.0366291755037547,-0.106256445075456,0.200362785536341,0.736725788733281,0.348859266792033,0.797378120140509,0.165231299778283,0.211462671927386,0.0404009826132941,-0.0550661763528767,0.773245243008003,0.729747652942893,0.696965828577391,-0.0387686532441269,0.467156858222267,1,0.352712373921494
