"","accB","fadR","iclR","pval","z","inv_cof_var"
"T0175",0.187411407,0.098052233,0.206021251,0.496845373451379,0.00790755851115896,14.9490184018763
"T8405",0.189793833,0.18433089,0.196143232,0.451365544132794,0.122212043947511,42.9802436061638
"T8144",0.139025342,0.07750105,0.127879961,0.493617244730764,0.0159998774526845,16.9335215804601
"T0718",0.194542181,0.108683807,0.180771226,0.489814717225822,0.0255334919814495,19.2714779156512
"T5075",0.316697078,0.071778878,0.316630348,1.48320486000125e-164,27.3130778157535,6711.07624210882
"T5538",0.083737002,0.063147884,0.076319738,0.496341736779974,0.0091700345390608,15.2586191119275
"T5540",0.065785508,0.090247746,0.067701577,0.441239253751044,0.147828004817364,49.2621210427837
"T5556",0.082558785,0.245672828,0.08483967,0.437004653830077,0.158567916738547,51.8959012359898
"T5578",0.116099595,0.206741929,0.104874919,0.498518602601009,0.00371332113993685,13.9204532334654
"T5539",0.091653458,0.085421433,0.087911654,0.466003191705386,0.085320765290797,33.9332868209351
"T1634",0.117918079,0.054310889,0.127672071,0.492201653321726,0.0195488013218561,17.803834620494
"T2299",0.329660791,0.324607283,0.33535026,0.38821475073796,0.283975049489151,82.6498613009567
"T2297",0.273058358,0.23099897,0.265308253,0.441468466183387,0.147247167076462,49.1196804949765
"T2298",0.281115697,0.26753627,0.279960206,0.0889810711597984,1.34705617169632,343.352372083956
"T0726",0.196228898,0.106693982,0.176544806,0.499379814156444,0.00155457599714281,13.3910578118832
"T0727",0.168002722,0.089975022,0.172652154,0.437145315332688,0.158210880083201,51.8083440867319
"T0732",0.18701076,0.089769505,0.184406407,0.360110473222337,0.358163518837921,100.843317873881
"T0788",0.165708298,0.090580835,0.173857621,0.473253052844039,0.0670949606344421,29.4637191316067
"T0841",0.164561516,0.117232963,0.179406883,0.494511551160673,0.0137579350509725,16.3837234503384
"T0847",0.168998722,0.094331157,0.177197113,0.472611165228235,0.0687076478905257,29.8592031713344
"T0759",0.173535831,0.085384083,0.156701328,0.498598902912048,0.00351203679596171,13.8710916816897
"T0771",0.187207936,0.086917821,0.176480576,0.482171223172788,0.0447050024029578,23.9729638116783
