"","arcA","betI","betT","cra","pval","z","inv_cof_var"
"T8405",0.195837942,0.188576747,0.190544932,0.101536757,0.478251445608065,0.0545425723534271,136.206459309327
"T4830",0.089987337,0.095891525,0.094325034,0.07253842,0.497148111252608,0.00714868585724236,85.8628736219172
"T5552",0.2888262,0.206558439,0.206524861,0.045418582,2.41691632255906e-16,8.11560180786153,8698.96964157669
"T0829",0.389783468,0.055003797,0.055869577,0.088964855,0.495386583033463,0.0115643791659295,90.5533907094557
"T0054",0.116247867,0.066933841,0.067946083,0.147702419,0.494009249188317,0.0150171497832992,94.2210547540264
"T0709",0.161237296,0.077149066,0.076284815,0.078726161,0.482254204737495,0.0444967914784211,125.535449445671
"T5530",0.258751579,0.205494317,0.205387326,0.101236324,0.00651882172053342,2.48273938406233,2715.52930648716
"T5532",0.272344069,0.222103498,0.222962958,0.049276403,0.393182680991584,0.271033376435231,366.171211128234
"T5750",0.094914075,0.10134037,0.100890437,0.091835359,0.410788408931835,0.2255173651262,317.822375763787
"T5670",0.291815135,0.064746602,0.06384256,0.071756255,0.491622370838474,0.0210011457811869,100.577482503353
"T5529",0.255616991,0.210053025,0.207576993,0.08777926,0.484606381052627,0.0385956605385668,119.267044107208
"T0066",0.329021569,0.051854312,0.052203077,0.053454247,0.450290435947326,0.124927594949369,210.972102689393
"T6970",0.099242861,0.084678497,0.083959012,0.086227584,0.467187319983723,0.0823421467069521,165.736222681927
"T4834",0.246731211,0.100713985,0.099614367,0.097947018,0.481021686657593,0.0475895339032857,128.820677874611
"T4844",0.254551699,0.073875464,0.073839758,0.065425745,0.00367879144203285,2.68021071516559,2925.29085197688
"T4853",0.177757593,0.146428469,0.144601492,0.082318557,0.487094008941567,0.0323561669407332,112.639217106486
"T4855",0.211360388,0.155105812,0.156188634,0.089788331,0.453157345468047,0.117688232686624,203.282177229787
"T6964",0.092709627,0.134965748,0.136158016,0.084809635,0.469036296733731,0.0776925838982468,160.797280531912
"T4115",0.272722361,0.079180329,0.078803427,0.077143802,0.41865159025078,0.205344241788192,296.393718220974
"T6973",0.070022752,0.05336244,0.05248417,0.058152528,0.497390109921143,0.00654207093039004,85.2185042146581
"T4841",0.266373201,0.075305616,0.074029439,0.050081943,0.498319487131412,0.00421243353023846,82.7438749165404
"T4854",0.215867342,0.145011566,0.142683008,0.066050679,0.496584572945389,0.00856131060890415,87.3634172676713
"T5998",0.25111602,0.113776147,0.112624762,0.075012404,0.477188578359794,0.0572109486069291,139.040909878711
