"","bluF","rcdA","ydeI","pval","z","inv_cof_var"
"T0852",0.034417681,0.03450702,0.034437655,0.0047677590482063,2.59223294665528,2437.57259469714
"T0854",0.037581287,0.037731852,0.037386094,0.418446701183675,0.205868793628665,271.577072297145
"T1993",0.041187023,0.045523333,0.040643664,0.490431396713355,0.0239872316731867,106.491350445753
"T1994",0.039656069,0.047595593,0.039408601,0.438188755169646,0.155562976137625,225.916742000083
"T5078",0.060006045,0.058729249,0.060036348,0.00138222620372931,2.99278409478719,2801.13487509996
"T8499",0.118047503,0.187688042,0.11825987,0.219603710502659,0.773532299400102,786.819731373871
"T0931",0.034899652,0.036561033,0.035103,0.430599112915078,0.174849075192185,243.421867587792
"T0933",0.038159138,0.038891965,0.038056224,0.314333635253264,0.4836035279692,523.664412040987
"T8252",0.066349628,0.066039466,0.067151976,0.485527088009681,0.0362861717560281,117.654545767772
"T8253",0.050252835,0.051365938,0.050651485,0.458644114354098,0.103850199067004,178.979377707305
"T0511",0.03742253,0.041750181,0.037944475,0.49235944949052,0.0191531909175406,102.103708845225
"T2300",0.052862405,0.050592564,0.053615402,0.493288917103509,0.0168229836279394,99.9886843846292
"T2380",0.044443531,0.049106805,0.044151037,0.443291168632816,0.142630083397726,214.178136334734
"T2382",0.052831306,0.055421521,0.052871898,0.0264746868758698,1.93533358334023,1841.33455709368
"T2861",0.047183311,0.049542248,0.047203076,0.000143394016059021,3.62695069272687,3376.73940295495
"T2862",0.033850998,0.036240626,0.034014541,0.40906786553902,0.229943426201152,293.428534610344
"T2863",0.02941597,0.036425803,0.029368635,0.191018559541334,0.874148993776407,878.144984152814
"T0727",0.037364036,0.039387036,0.037499936,0.368503380919827,0.335819795140434,389.52775767301
"T0734",0.037642329,0.038818418,0.037026614,0.499545972700475,0.00113807791212091,85.7522001889373
"T0735",0.034446919,0.036622125,0.034207593,0.448226305095423,0.130143859655484,202.84495204973
"T0742",0.042617673,0.044120281,0.042615864,9.01958862280232e-294,36.6125809945775,33316.3139841162
"T0743",0.04413974,0.043789329,0.043435342,0.498596741184098,0.00351745547783276,87.911854299939
"T0774",0.039376201,0.042924345,0.039896617,0.489895638760861,0.0253305861653707,107.710652961413
"T0775",0.047075148,0.045822866,0.04630646,0.499480741990198,0.00130158717670754,85.900610201934
"T0782",0.046512771,0.045654683,0.045974741,0.48381536494671,0.0405799985146015,121.551859394963
"T0783",0.045163968,0.044465605,0.044743882,0.47074581519959,0.0733952084720031,151.336751086451
