"","borD","envY","mgrB","mgtA","ompT","pagP","phoP","rstA","ybjG","pval","z","inv_cof_var"
"T8405",0.189423527,0.119917519,0.171364065,0.087588974,0.196397783,0.17827256,0.195700088,0.195984046,0.180574634,0.00160114091669199,2.94762217652865,4.15583563578967
"T1995",0.054763624,0.073879846,0.136670078,0.140504998,0.217350786,0.074724833,0.134393399,0.084385296,0.140692207,0.253215349782427,0.664405678277964,2.15123970199372
"T1996",0.105943325,0.072062337,0.099674248,0.134264532,0.110119387,0.080638632,0.138173362,0.070207618,0.152251049,0.0130423392531048,2.22494875476149,3.52134994253774
"T1997",0.110412279,0.057582452,0.140450573,0.145255762,0.086129276,0.061563982,0.143721232,0.066404871,0.234312714,0.360211367609022,0.35789387415505,1.88213148703643
"T0850",0.116042888,0.0516077,0.213250912,0.104716314,0.10654756,0.057633914,0.200221025,0.085301338,0.065739978,0.336638751880119,0.421654111169695,1.93811107195768
"T0853",0.048808011,0.021325892,0.08168139,0.092267935,0.013843837,0.020034255,0.023997572,0.086868859,0.0449716,0.486264098032137,0.0344376059118184,1.59814653835637
"T0855",0.114394717,0.049678924,0.208113118,0.104716314,0.109415026,0.034094241,0.175204082,0.103306521,0.080705378,0.345535082792516,0.397403187170136,1.91681948455125
"T0858",0.103165215,0.075025173,0.217287968,0.104716314,0.104270814,0.056773284,0.146903245,0.090250009,0.075201327,0.271549716238291,0.608132750454318,2.10183375105367
"T0717",0.197684259,0.159817686,0.200303817,0.067656083,0.390146299,0.141900175,0.297220666,0.126425309,0.08885892,0.43291555289888,0.168956184176538,1.71624983483135
"T0848",0.099303953,0.071691825,0.211134975,0.104716314,0.18030825,0.042450778,0.275146183,0.073497624,0.068777621,0.392175745724688,0.273652750803654,1.80817029524494
"T0851",0.094683331,0.084156768,0.210201338,0.104716314,0.205865291,0.06517632,0.261061417,0.058564712,0.062217978,0.40487503094116,0.240748480414549,1.77928132800199
"T0857",0.112034358,0.066809124,0.243291115,0.104716314,0.223324905,0.048662551,0.295200866,0.103626557,0.057737958,0.474538453361665,0.0638660230244463,1.62398381017322
"T5538",0.232039231,0.149535131,0.351872223,0.093732144,0.249967537,0.101483901,0.189579765,0.083697567,0.101228032,0.417992349274143,0.207032216303707,1.74967945450854
"T5540",0.24527615,0.146350798,0.344445933,0.085070826,0.255610444,0.106334125,0.216173623,0.065819941,0.069993528,0.493011113363391,0.0175194370190214,1.58329289105846
"T5542",0.224144114,0.156814083,0.308049818,0.09693926,0.262284406,0.107482822,0.22678814,0.061483548,0.08569635,0.40322337564969,0.245012501810069,1.7830250115106
"T5556",0.204045177,0.156421938,0.246087113,0.122471122,0.220672562,0.077757907,0.177162533,0.091289147,0.110327201,0.164297950068528,0.976945973181567,2.42564075191218
"T5558",0.185210471,0.144232065,0.243366415,0.11771519,0.203141322,0.107447271,0.164701546,0.127492419,0.074352957,0.100888298566156,1.27650631153052,2.68864578741404
"T5564",0.181187288,0.161172647,0.266335126,0.088626008,0.226322486,0.116001535,0.166906088,0.081424705,0.103802475,0.215390327286053,0.787856488873371,2.25962582881654
"T5566",0.204764918,0.153010042,0.251011256,0.122261971,0.220807551,0.11008833,0.174184766,0.092633442,0.083285468,0.16027917213118,0.993311152512795,2.4400088908812
