"","cbpA","cbpM","fis","gltX","gyrB","msrA","pval","z","inv_cof_var"
"T0174",0.134049909,0.094004446,0.034922215,0.262764484,0.270549892,0.178601205,0.210143026651134,0.80592507280415,2.41503061143931
"T0175",0.088643347,0.088670013,0.095023807,0.289794727,0.25984181,0.194218321,0.387452815593102,0.285964082651886,1.9631191676326
"T8404",0.275989453,0.047477811,0.047841348,0.306113966,0.302438951,0.145693197,0.424153756427797,0.191278361825845,1.88082537710449
"T8405",0.142014746,0.189756587,0.176609489,0.151359183,0.10761357,0.193309354,0.00101173807781742,3.08676482396255,4.39736698774305
"T1011",0.129006009,0.071147545,0.259738,0.289249843,0.207857052,0.239438913,0.308970930774334,0.498769379421477,2.14807371371249
"T1995",0.187617919,0.077117871,0.053364225,0.107648102,0.106260144,0.15793018,0.0936643497380636,1.31852279487377,2.86054244994219
"T1996",0.197225039,0.10064873,0.061201927,0.070964175,0.090593867,0.134178137,0.215663923862689,0.78692145391562,2.39851407844526
"T1997",0.195082063,0.09692863,0.046073318,0.102457276,0.259183319,0.262384937,0.262889658658307,0.634462063248647,2.26600770842311
"T0718",0.171968511,0.089459406,0.058639452,0.225274922,0.306683194,0.375505509,0.333548830610132,0.430134697751715,2.08842155003861
"T0719",0.176608275,0.081008312,0.042394132,0.220527151,0.368455562,0.403375189,0.434195298727141,0.165703111287858,1.8585972703518
"T1007",0.233838398,0.070449072,0.203173891,0.261771393,0.233545682,0.267615534,0.148630626682233,1.04232450824052,2.62049142908999
"T1008",0.206154301,0.075313424,0.154564605,0.250106215,0.247266209,0.390304151,0.339425911271068,0.414030428438276,2.07442491618583
"T1009",0.089733664,0.059199719,0.12890789,0.247069494,0.206676328,0.295722658,0.475768711731433,0.0607762269456882,1.76740262172379
"T4831",0.106528262,0.11587946,0.164476429,0.118706199,0.1773384,0.108536734,0.00173152547027636,2.9233337570217,4.25532485223114
"T4832",0.107191297,0.112940812,0.160669063,0.122987999,0.1668949,0.10698686,0.000121813344518143,3.66886813814475,4.90328792054171
"T5079",0.091698051,0.118853163,0.225582329,0.046522037,0.033723674,0.045690418,0.436972600934946,0.158649278417534,1.85246660313412
"T5542",0.072275578,0.104177867,0.072707352,0.224612993,0.153309729,0.293130019,0.421752012298692,0.197413425146342,1.88615751812184
"T5554",0.06716758,0.199204332,0.065651484,0.136718891,0.097237589,0.288387895,0.465820772632982,0.0857796984600926,1.78913378064966
"T5556",0.105125737,0.171991662,0.096390605,0.092274601,0.084874067,0.209542539,0.211543701988649,0.801076423797296,2.41081652612388
"T5558",0.173660237,0.103750339,0.098034084,0.182200858,0.14388372,0.197764603,0.00141059856033563,2.98657707532048,4.31029124360439
"T5560",0.085481073,0.209191863,0.073448793,0.090170265,0.172648204,0.291820309,0.386756375856704,0.287783129910487,1.96470014829952
"T5562",0.0791337,0.23446061,0.070228952,0.077291663,0.183490846,0.302436563,0.467479630994145,0.0816069656468612,1.7855071514487
"T5564",0.149245718,0.14654372,0.076520125,0.075311371,0.116851403,0.252283643,0.264345646053018,0.630005031792524,2.26213398797373
"T5566",0.094860284,0.104572046,0.105811531,0.1156952,0.118408403,0.208103152,0.102516477866958,1.26734220464874,2.81606008518498
"T5568",0.157087318,0.156718226,0.105696155,0.157693463,0.210208371,0.228712907,2.48272665971285e-05,4.05724712742375,5.24083806971323
"T5570",0.167220371,0.087777187,0.089059232,0.139132837,0.171898798,0.220351005,0.0400454345873434,1.75015907061979,3.23568861718566
"T5572",0.140619149,0.129747899,0.101113311,0.20960569,0.137965738,0.236403192,0.0194725575783549,2.06476632938952,3.50912186167015
"T5574",0.15047095,0.142478719,0.089640024,0.226471163,0.114707548,0.241802256,0.0498231409564424,1.64657087063946,3.14565745350021
"T5576",0.108918735,0.177877728,0.091379576,0.142837031,0.139206493,0.235537554,0.031859772077791,1.85413712786045,3.3260586158236
"T5578",0.130253114,0.116281985,0.100039824,0.240487839,0.199418832,0.216239072,0.0330010362887473,1.83840959323388,3.31238941175787
"T8395",0.08404988,0.070762647,0.132366092,0.158452919,0.056244468,0.132612316,0.243495689352334,0.695102004432335,2.3187114379176
"T8498",0.087034784,0.063850711,0.14347769,0.170590616,0.058368838,0.14175527,0.327403308656189,0.447094794577748,2.10316200555145
"T8499",0.080991909,0.107213825,0.202947581,0.113966734,0.056291439,0.117296576,0.0125217865803941,2.2407299452907,3.6620563571908
"T8402",0.291862744,0.068603114,0.082361373,0.292345344,0.272409323,0.128124107,0.368258309338382,0.336469803711426,2.00701498627436
"T8407",0.308389834,0.059644948,0.066493818,0.309728507,0.241739652,0.156747265,0.367587554990681,0.338249587917659,2.0085618424146
"T5537",0.086551511,0.088863843,0.085339973,0.127191954,0.147654791,0.274756436,0.423321271399295,0.193404051374704,1.88267286845731
"T8255",0.282967718,0.088621079,0.05949489,0.206615936,0.383228613,0.162387164,0.377580724551253,0.311840886877471,1.98560936243599
