"","cdaR","garD","gudD","gudP","gudX","pval","z","inv_cof_var"
"T0174",0.03726595,0.039256942,0.033003501,0.033061479,0.033050572,0.451207104986579,0.122612178745906,11.9233370376008
"T8405",0.106666945,0.100569777,0.10062193,0.095428334,0.09510799,0.301320132167017,0.520607441522342,21.0755885717319
"T1011",0.047434429,0.04693076,0.04877601,0.05252974,0.047632064,0.295294712249622,0.537982073856993,21.4751335420174
"T8400",0.035332533,0.035474166,0.035147755,0.035497346,0.035169911,1.41222015465751e-19,8.97535323610924,215.499913196578
"T1996",0.045378666,0.045698532,0.052316948,0.046889557,0.045444785,0.382843296719739,0.29802171061946,15.9570336851228
"T0849",0.043082488,0.043154594,0.038552699,0.037241413,0.039988885,0.395818226611232,0.264186188336544,15.1789560553499
"T0852",0.038534158,0.036001892,0.034534717,0.0344456,0.034685841,0.309776406038671,0.496484228366008,20.5208540427879
"T0858",0.043175515,0.044235872,0.040290575,0.040024454,0.044743835,0.329698962315893,0.44074457210769,19.2390715639128
"T0859",0.026106314,0.027535437,0.024685922,0.024747211,0.025043946,0.300200656985844,0.523823489694608,21.1495444314402
"T8143",0.044625582,0.043439342,0.040017994,0.04154549,0.039985041,0.313820772316519,0.485049060706851,20.257892292888
"T8144",0.057851341,0.056345975,0.048356285,0.048543872,0.04838311,0.469595762236012,0.0762860493930246,10.8580268992778
"T0848",0.035259175,0.033965306,0.030434743,0.030755486,0.029041748,0.445841446591194,0.136175056892772,12.2352273637845
"T0851",0.027759643,0.02890937,0.02396653,0.02808457,0.023217913,0.48183920347321,0.0455381000365514,10.1509507278028
"T0854",0.043779149,0.041320296,0.037451286,0.037169764,0.038666755,0.414429893690102,0.216164162410382,14.074647281952
"T0857",0.034431984,0.035092881,0.031371709,0.031584929,0.032407598,0.325504638130279,0.452360530215384,19.5061907493773
"T1007",0.035505813,0.037970716,0.032223302,0.030832534,0.033240805,0.449122756672047,0.127878010361148,12.0444294725782
"T1008",0.045021344,0.045284196,0.046566119,0.051115456,0.045391811,0.344741366400804,0.399557136047412,18.2919302028827
"T1009",0.051596446,0.051061687,0.054881428,0.059648459,0.053857966,0.384915029211588,0.292597194512694,15.8322921605285
"T1992",0.048577945,0.049189478,0.048557922,0.053296364,0.047302577,0.29419039272397,0.541183969702483,21.5487639565092
"T1993",0.045198264,0.045492625,0.039873007,0.041796151,0.04055206,0.377629651092535,0.311712138382944,16.2718571270582
"T1994",0.045570262,0.046978359,0.039672507,0.041242286,0.040664613,0.428756663376008,0.179540490810594,13.2324537034497
"T5540",0.069757065,0.065700306,0.069813923,0.066708063,0.083629341,0.487196871633861,0.0320981944779255,9.84188826457287
"T5550",0.063552283,0.05805926,0.070836544,0.056161295,0.067561978,0.48081666840308,0.0481040270438699,10.2099564788395
"T8398",0.035327056,0.035327284,0.035341229,0.035347437,0.035231513,1.51231385439084e-224,31.9681330631792,744.239132297402
"T8498",0.050139137,0.062819209,0.049409139,0.052292549,0.049211819,0.498614230715947,0.00347361545495272,9.18364086371368
"T8499",0.053347345,0.057758086,0.053461363,0.052500988,0.053257938,0.234396402697072,0.724444635352022,25.7630043387598
"T8212",0.052614504,0.052664743,0.051762371,0.063880475,0.050518367,0.484567405306588,0.0386934312238195,9.99355154117693
"T8215",0.052122067,0.052150638,0.055338004,0.059940466,0.05462961,0.363317323299795,0.349605681346349,17.14325251579
"T8139",0.06722126,0.062382601,0.056376298,0.053530872,0.058145886,0.465485870386325,0.0866222986347774,11.0957180524842
"T8218",0.038112898,0.037959891,0.032054437,0.029860817,0.032741091,0.498174112316471,0.00457683767262574,9.20901043008426
"T5535",0.063858818,0.060927043,0.067152515,0.073822121,0.074212121,0.458891794431221,0.103226020482127,11.4775352572659
"T5539",0.081594485,0.076280242,0.078693408,0.093503645,0.093048176,0.477164357682535,0.057271760386931,10.420776579984
"T5541",0.105881261,0.100889685,0.116678515,0.111003095,0.111753613,0.347882174034515,0.391044493449967,18.0961744902934
"T8252",0.068816172,0.068845174,0.065731871,0.06588148,0.066075258,0.0787510031400098,1.41352299084374,41.608967911769
"T8253",0.050543114,0.050287513,0.050218045,0.050898609,0.050220241,5.82590852112126e-13,7.10943593560121,172.591501782321
"T8256",0.058079744,0.058071637,0.060627436,0.067082255,0.059713066,0.377135064508873,0.313013864113651,16.3017914565092
"T8304",0.048208944,0.04822498,0.052410383,0.058793778,0.051093643,0.451352502976045,0.122244978380241,11.9148929418431
"T8306",0.053729845,0.053719838,0.051665267,0.054493262,0.05144353,0.0986344113612614,1.28937190828349,38.7540044433612
"T1634",0.056133696,0.064280379,0.055503633,0.054205393,0.054784025,0.419970419170265,0.201969154544012,13.7482205762277
"T1635",0.044025545,0.049839732,0.047223525,0.043965998,0.044089395,0.359296608409413,0.360339562807875,17.390087572037
"T1636",0.058281611,0.068940443,0.075043887,0.064361963,0.064494265,0.473221213199648,0.0671749508464171,10.6485091651493
"T1637",0.051968773,0.06489998,0.055356889,0.050119017,0.052077781,0.496773908402241,0.00808670055255553,9.28972281772259
"T1638",0.036432556,0.041264976,0.041843975,0.037272425,0.036841485,0.400798052145515,0.251281982435054,14.8822124774621
