"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG","pval","z","inv_cof_var"
"T8405",0.140658755,0.15243259,0.192851784,0.076648264,0.081588495,0.152859089,0.16293023,0.128548015,0.189908307,0.092307829,0.077322614,0.091141116,0.109216241,0.084168324,0.11177578,0.139245268,0.095802948,0.076153673,0.245835404,0.152769226,0.180233672,0.195786455,0.189501193,0.191898308,0.176341018,0.135863793,0.095762459,0.190765871,0.16074957,0.173733076,0.186381157,0.17851366,0.194534704,0.195669229,0.189682633,0.163488574,0.000165154969262651,3.59029025279532,3.28179695255449
"T1010",0.058861629,0.046580862,0.055867648,0.045245329,0.09606982,0.230332536,0.074730565,0.06220003,0.090351137,0.054286657,0.037923971,0.038716599,0.211526792,0.03836756,0.066118478,0.045532266,0.046678096,0.032956655,0.309410694,0.208260508,0.187011956,0.204629005,0.036877181,0.079335906,0.0740055,0.117626004,0.084212527,0.042039048,0.062482797,0.060818838,0.054591168,0.082836902,0.035464533,0.04101532,0.056433591,0.189924416,0.484244141281954,0.0395043535914692,1.30351359624492
"T1011",0.058570504,0.049672291,0.080747013,0.050282038,0.160755655,0.207989034,0.071627881,0.059257749,0.100268684,0.053408797,0.046693479,0.066178516,0.162862496,0.047660753,0.05521447,0.073223261,0.073674541,0.047615877,0.280030775,0.265834501,0.142373292,0.215959612,0.046752648,0.075554575,0.070816506,0.122393518,0.097465554,0.140172745,0.059872992,0.058988216,0.054829452,0.099139992,0.046873679,0.078208239,0.055030105,0.171564962,0.313906974211174,0.484806025078044,1.55160878143653
"T8399",0.258490995,0.041455051,0.051735946,0.305780292,0.278135999,0.251653807,0.058456418,0.270763977,0.054865987,0.043737841,0.312272592,0.306822731,0.310278776,0.304328038,0.241373786,0.277745674,0.284064159,0.081837067,0.311680147,0.305457661,0.056856979,0.07137523,0.052790428,0.04789925,0.055262308,0.298685721,0.309079244,0.166617188,0.059674008,0.056643201,0.053389767,0.059756782,0.051335119,0.049382187,0.061322453,0.058986157,0.42427499045271,0.190968871936663,1.38790047402906
"T1995",0.054994407,0.052701032,0.094572191,0.055644624,0.183415292,0.372272159,0.068677198,0.055533558,0.216950271,0.053732343,0.056979872,0.070506597,0.068109898,0.058082056,0.058178891,0.07780304,0.096871681,0.058171169,0.1254171,0.194330544,0.12218114,0.201068378,0.052481476,0.078303148,0.068144781,0.072939981,0.082766698,0.092258223,0.088114918,0.054400211,0.055677656,0.09941098,0.061204296,0.206151673,0.058233258,0.180598839,0.36644665239699,0.341279333088118,1.47164438087565
"T1996",0.047187152,0.045402224,0.109616349,0.048363272,0.13617269,0.316641746,0.070401654,0.050583331,0.235954625,0.048036352,0.050407367,0.072599817,0.15190115,0.051852275,0.050884331,0.094936664,0.114938806,0.052208322,0.13383571,0.169046992,0.261112094,0.09222328,0.049216644,0.08426124,0.062039754,0.048534805,0.070490898,0.252084535,0.091123261,0.052626058,0.047729123,0.117420759,0.057711467,0.258828137,0.055888775,0.120169651,0.403350478571526,0.244684207313088,1.41782741329554
"T1997",0.041339677,0.042751773,0.113997174,0.047876805,0.245343757,0.342936484,0.052512818,0.041755325,0.208671617,0.04115947,0.053409654,0.085342111,0.065976177,0.0553502,0.043036083,0.094173398,0.117832011,0.055603687,0.129421879,0.261117052,0.12180355,0.102007148,0.046687204,0.061591238,0.053351355,0.048160376,0.060147473,0.178647801,0.075706619,0.042289803,0.042295329,0.120403544,0.06235469,0.14419945,0.047342209,0.095064784,0.460973141102906,0.0979823832148762,1.33609402097278
"T0717",0.096768477,0.067493838,0.088250088,0.056362762,0.193937132,0.047157745,0.127891323,0.102398848,0.196826969,0.087392426,0.054055045,0.068450528,0.048701313,0.047987862,0.088736518,0.07321186,0.098072127,0.052538221,0.357124727,0.265645618,0.109634737,0.084571494,0.055228123,0.141260322,0.127682798,0.158285321,0.143384301,0.05637255,0.098517666,0.09540765,0.090794934,0.129453326,0.047103556,0.096035232,0.103462969,0.148241019,0.236624787000864,0.717201823973939,1.68108567868767
"T0718",0.074879662,0.055413131,0.091421967,0.047425526,0.209461695,0.123467275,0.098117402,0.080050389,0.209950343,0.069424124,0.045560831,0.0737895,0.044720825,0.042997311,0.070493271,0.080206095,0.097969771,0.044437215,0.378610502,0.240636129,0.109091208,0.088209207,0.04683186,0.108166812,0.097964385,0.061234887,0.138869547,0.093568714,0.07633159,0.074263399,0.07124668,0.128047654,0.044965036,0.096627704,0.080986555,0.191647225,0.349152333967201,0.38760999938575,1.49745702873029
"T0719",0.073306152,0.051863293,0.0830071,0.043702166,0.21463246,0.15910655,0.101195089,0.077112747,0.211157488,0.065176804,0.043086816,0.066401931,0.043211769,0.042694587,0.066114499,0.071709638,0.089866339,0.042437995,0.403347522,0.296612378,0.101939357,0.079687074,0.043664398,0.115283938,0.101130142,0.070824383,0.137646128,0.062470392,0.069708021,0.070234346,0.067134627,0.12349344,0.044020292,0.088490053,0.078237858,0.18904865,0.462525208372002,0.0940739458924188,1.33391647585357
"T0930",0.059738418,0.044081378,0.071779207,0.041463428,0.130373,0.041917521,0.078763507,0.060954608,0.088649627,0.054369677,0.041388395,0.06101169,0.041554773,0.042214588,0.053581198,0.064599769,0.078401409,0.0413758,0.371868288,0.200977226,0.083287716,0.069799437,0.0413965,0.086207428,0.077103843,0.075928085,0.053749841,0.127771525,0.051106767,0.058404949,0.061423759,0.096420187,0.042912528,0.075346579,0.058088928,0.145074322,0.472717353172159,0.068440847619502,1.3196352623072
"T1008",0.05360803,0.046158138,0.076777323,0.045253315,0.04616598,0.136503809,0.065567731,0.056205044,0.106111013,0.052124484,0.04492639,0.053129942,0.143826138,0.046024146,0.052602248,0.069497034,0.070853346,0.046042692,0.241474262,0.303477545,0.061112285,0.142889499,0.045206059,0.069639548,0.065565373,0.100626713,0.084514146,0.111367283,0.056755806,0.055903286,0.054464619,0.089872776,0.045203851,0.078862857,0.05252158,0.15428555,0.352518968133339,0.378528620915818,1.49239743336481
"T1009",0.061741574,0.054198142,0.068852464,0.055081472,0.055895045,0.116709187,0.070925437,0.067493775,0.065897772,0.061632687,0.053198108,0.051445625,0.129125529,0.055922074,0.069554473,0.061411083,0.063096958,0.050936506,0.243901671,0.266391749,0.051266256,0.202701661,0.051261425,0.075957105,0.072122974,0.092811589,0.076340922,0.085354385,0.065501467,0.069638024,0.062350257,0.083649687,0.0512957,0.066099804,0.061773887,0.148425495,0.271854514196411,0.607213810219017,1.61980700315454
"T4828",0.066838867,0.067635117,0.075152054,0.067974465,0.179315609,0.281584324,0.079573395,0.363960207,0.173118017,0.069129946,0.083862712,0.089322322,0.297909729,0.071862132,0.066940672,0.067531972,0.066756222,0.094041589,0.074750102,0.368879758,0.074898745,0.341054544,0.0667346,0.069969217,0.066933431,0.090804734,0.070030752,0.068255741,0.16230614,0.126148723,0.127774977,0.091242932,0.069628218,0.06710278,0.084770487,0.109610248,0.45783238680751,0.10589611865875,1.34050307619584
