"","cho","dinB","dinD","dinG","dnaG","ftsK","hokE","insK","lexA","phr","polB","ptrA","recA","recB","recD","recN","recQ","recX","rpoD","rpsU","ruvA","ruvB","symE","umuC","umuD","uvrB","uvrD","uvrY","yafN","yafO","yafP","ybfE","ybgA","ybiB","ydjM","yebG"
"cho",1,0.230305065425791,-0.0116372324422058,0.629195604535825,-0.0923898893831661,-0.072806355628167,0.048923067483072,0.444482373609953,-0.158669361034001,0.199631583383831,0.374178917725871,0.34934301946993,0.154708298244649,0.361912110560701,0.330539208279107,0.129184820719459,0.238296511696171,0.159223595460346,0.117875453773499,0.0945219822799902,0.16649350903587,-0.025137779599936,0.380165661901503,0.164972520953722,0.124598740305951,0.293178529777678,0.00613180902189694,-0.209292477811514,0.142430799709238,0.138268185772638,0.101292169403729,-0.0886277786175593,0.208126844247265,0.114012323537026,0.22820492045776,-0.238821394209826
"dinB",0.230305065425791,1,0.162245146494729,0.434541220537367,-0.143422761839554,-0.0789448807854741,-0.0061343341668568,0.120309771260019,0.147410219604542,0.156804308800761,0.294513546947425,0.274531068356452,0.157339956064072,0.197380069422296,0.128086345341373,0.0935270350219731,-0.0869278236647589,0.346489626873766,0.033733985661545,-0.0203892430726254,0.32660234159891,-0.0789362932239801,0.41234636081868,0.174593835931247,0.276719319595431,0.072098753662389,0.146195911911566,-0.147071930395313,0.427869711124585,0.482639217378141,0.262376812767532,-0.103442308567686,0.189407957192979,0.337043726429781,0.397543531883495,-0.203049040936819
"dinD",-0.0116372324422058,0.162245146494729,1,0.00530580701516462,0.0219318325245129,0.149881465353201,0.0758816399143964,-0.14629597878917,0.335642537938393,0.0159810035728705,-0.0897751914117183,0.0401297112605049,0.114169345250105,-0.0418640137397499,-0.0313142916927862,0.311549291132898,0.0931181984950308,0.345558022548247,0.0535462421917487,-0.230384096377291,0.0937919013059139,0.0553946928379863,0.221447470647709,-0.172980639839444,0.26547026006501,-0.0379043599504453,0.335274565728754,0.293666051408968,0.463994505152722,0.421127649297806,0.22282167409216,0.249301067093268,-0.112577616250959,0.249244269961232,0.29974436317144,0.378765316048855
"dinG",0.629195604535825,0.434541220537367,0.00530580701516462,1,-0.089780440339375,-0.0481526280055755,-0.112970982347534,0.436999942045333,-0.0945572605759201,0.226740841856615,0.527991894266372,0.410594686230447,0.281898931452782,0.425355319573227,0.326543361072361,0.291775261634261,0.142806505411634,0.370601280779417,0.129395049856523,-0.0063054384238901,0.287144437493874,-0.146281013673313,0.337693685087658,0.24110118597493,0.117093449604165,0.175685021240563,0.0631840719849649,-0.166126948619582,0.172495833383163,0.273881177465824,0.126116392859015,-0.176210469731136,0.148357037484963,0.112003958909353,0.151043223204179,-0.194323834887467
"dnaG",-0.0923898893831661,-0.143422761839554,0.0219318325245129,-0.089780440339375,1,0.149402520255203,0.0957894453068494,-0.0592380470343328,0.179326346681459,-0.126579530010911,-0.263480587281742,-0.124281209804288,-0.0232723617058212,-0.150795410590798,-0.00577900813863022,0.0194621054842249,0.0587000122559778,-0.00752106116043543,0.28779391310037,0.0120950524519732,-0.153928288723753,-0.0318110165234036,-0.266748457059368,-0.276506455822313,-0.236841190366445,0.102476057228177,-0.00187653641703701,0.28914469097406,-0.065206554925982,0.0411244702551912,-0.225015594498909,0.169055386291836,-0.327310706432594,-0.0486461471499399,-0.134145387570234,0.286017398641443
"ftsK",-0.072806355628167,-0.0789448807854741,0.149881465353201,-0.0481526280055755,0.149402520255203,1,0.103117186041337,-0.0199319926201114,0.162971516349899,-0.0591312009953545,-0.163567706689149,-0.139735577934226,0.168510546000194,-0.0401234355416893,0.0891347037251836,0.0392533520223909,0.156414935005234,0.025584323851255,-0.128017980939504,-0.126926523118392,-0.166817106384274,0.0140696918779942,-0.0306053290420192,-0.0861066186245555,0.0797356208742401,-0.262093377717881,0.115127055257524,0.273854506266931,0.126736379277952,0.0792831396734188,-0.0225071077628453,0.00832239825196859,-0.133639660205911,-0.0490963799229021,0.0796264843615835,0.19646427264797
"hokE",0.048923067483072,-0.0061343341668568,0.0758816399143964,-0.112970982347534,0.0957894453068494,0.103117186041337,1,0.0592189339950562,-0.0475116947988294,0.0913027957244983,-0.167659775150458,-0.124557296377736,-0.0185556141631995,-0.0887558532814377,0.104292319882414,-0.0812149420989625,0.0458574345809615,0.0388439680853899,0.130967088671374,-0.0775945971865988,-0.194707997734362,0.0950342002416109,-0.0358929096179994,-0.00646424860166459,0.0504261627093026,0.0997229518022412,-0.0434542898219056,0.182761127215722,0.0956498438956843,0.0696082074850775,0.0592605799117562,0.0396585100499487,0.00197046720044601,-0.00161901965084485,0.147967524352765,0.0957852175211006
"insK",0.444482373609953,0.120309771260019,-0.14629597878917,0.436999942045333,-0.0592380470343328,-0.0199319926201114,0.0592189339950562,1,-0.201556190031886,0.265273399270759,0.454080651132814,0.210790831641448,0.176743437540516,0.33199435605358,0.368403676017329,0.115568193498067,0.150691083904695,0.105699061420203,0.0304029970085873,-0.0710944251877038,0.0430682202691687,-0.0489705419492449,0.195617252080824,0.358221953411416,0.0536013009626428,0.100525512857456,-0.0677501203965391,-0.313216253578564,0.107766405974706,0.19991006596008,0.100840949038288,-0.105178575999606,0.175729833686485,-0.0618386608390465,0.115607613423517,-0.231965336873841
"lexA",-0.158669361034001,0.147410219604542,0.335642537938393,-0.0945572605759201,0.179326346681459,0.162971516349899,-0.0475116947988294,-0.201556190031886,1,-0.124745683900184,-0.128045425673147,-0.280946201139948,0.0529011571452487,-0.295725204867074,-0.200551094187142,-0.0121308821702005,-0.143552198701039,0.0520919018546433,0.00702496961150522,-0.306369225103508,-0.0974150071177016,0.0117242820227003,0.134060714011558,-0.204407401281644,-0.00944103038444052,-0.126634966120641,0.0736603132079791,0.364849311351463,0.207552523550918,0.239498887651204,-0.0241357392278236,0.240588099373145,-0.204306552548773,0.207944320934629,0.163182901219096,0.414746147320769
"phr",0.199631583383831,0.156804308800761,0.0159810035728705,0.226740841856615,-0.126579530010911,-0.0591312009953545,0.0913027957244983,0.265273399270759,-0.124745683900184,1,0.351731971369937,0.238073888684832,0.268914451021063,0.239095979703912,0.0887670413586006,0.168158736355178,-0.00785430061581336,0.195727082945524,-0.0385086275880337,-0.112716447814612,0.144538133400736,-0.143220173638426,0.271425197313898,0.35987629881631,-0.0458133129959217,0.0913841929901507,-0.10898194450382,-0.254694371961975,0.00506984500920643,0.113237997988056,0.0523679104400369,-0.184110251890358,0.328246808957471,0.198076449580837,-0.0274737230277657,-0.196799907115803
