"","cirA","crp","entA","entB","entC","entD","entE","entH","fepA","fiu","fur","pval","z","inv_cof_var"
"T0174",0.091907385,0.162354495,0.068560898,0.081182304,0.073381049,0.03316368,0.05388027,0.089375351,0.077686324,0.032310153,0.26530147,0.476219006129826,0.059645458358015,2.98874133499537
"T0175",0.070849789,0.269039892,0.068857926,0.055670715,0.059480757,0.037264845,0.046098177,0.048819504,0.043849592,0.038781862,0.21521838,0.268769810183127,0.616537817612689,4.24007891371241
"T8405",0.181307041,0.193747091,0.128849989,0.112669734,0.082437155,0.194544511,0.145909606,0.080425066,0.156500672,0.077963289,0.140537211,0.486244464008379,0.0344868503446964,2.93220992257411
"T1995",0.099564015,0.083838462,0.068887373,0.094214183,0.082546403,0.052470964,0.075264172,0.100747446,0.090576215,0.052480111,0.052566175,0.265588809785541,0.626209373900791,4.26181090846302
"T1996",0.118901669,0.173723924,0.073895058,0.11224562,0.096529837,0.045397684,0.08439122,0.124798598,0.107649947,0.045550359,0.061270727,0.472834860426154,0.0681456129330716,3.00784118915553
"T1997",0.120850229,0.111213524,0.079950502,0.115208831,0.101557223,0.043093335,0.0896465,0.124042723,0.111092348,0.042290588,0.04847422,0.486139593098291,0.0347498802983058,2.93280095109122
"T8142",0.09096746,0.42287399,0.054569335,0.082543612,0.069954148,0.035417776,0.055290417,0.096731138,0.080295906,0.040604351,0.158663101,0.463024937587397,0.0928158295002083,3.0632751856048
"T8143",0.084698104,0.192749268,0.053998865,0.073795139,0.065796549,0.040114605,0.055114554,0.086794962,0.075746819,0.044729809,0.164528776,0.336498266391019,0.422039025197458,3.80303997087254
"T8144",0.09305886,0.186084698,0.070330791,0.088329358,0.085142126,0.050090493,0.072358407,0.091249481,0.095439262,0.050491303,0.13138679,0.247353949183016,0.682840083090325,4.38906015751557
"T8221",0.061887253,0.448120355,0.042192261,0.064895528,0.056108086,0.032501019,0.032564743,0.074743443,0.053993161,0.033152835,0.101527381,0.440688409085546,0.149224081847538,3.19002457395416
"T8222",0.054646503,0.547193159,0.040351942,0.056972595,0.051027439,0.033657126,0.03414925,0.064377138,0.049740458,0.033853704,0.099194469,0.293169003867394,0.544150360348567,4.07742423907546
"T8223",0.05671646,0.524233962,0.037309434,0.059242833,0.051480995,0.027773519,0.028630399,0.069190693,0.052260373,0.028203359,0.084490591,0.484037862114053,0.0400218277203433,2.94464702118463
"T0928",0.06026851,0.357964419,0.026491676,0.055303738,0.043653121,0.038090998,0.032469827,0.072189322,0.05131062,0.042576367,0.370679153,0.425341299119476,0.188247551254111,3.27771034106671
"T0930",0.075665889,0.349377367,0.047713688,0.071847335,0.062589599,0.046356947,0.053569444,0.082705879,0.068697626,0.050520644,0.369415686,0.207576551252972,0.814858863214419,4.68570646253358
"T1129",0.068701894,0.617161845,0.040631264,0.06525004,0.05461814,0.041329079,0.029776384,0.075838914,0.061197747,0.047882406,0.390890726,0.376878795532941,0.313688559035677,3.55957638634571
"T1130",0.064751151,0.596160738,0.053797321,0.076990461,0.054430837,0.042711527,0.062944848,0.08177666,0.070584492,0.043680728,0.376435527,0.240450193746686,0.704855143659044,4.43852801630293
"T1992",0.081477885,0.047276943,0.066405832,0.079501106,0.074311377,0.048428744,0.070477252,0.08758037,0.079045369,0.050814057,0.052272563,0.145402627436895,1.0563567561297,5.22835242196158
"T1993",0.084084801,0.312496804,0.061803681,0.082110224,0.075357364,0.039841591,0.069027847,0.088365766,0.080784849,0.040022428,0.084236571,0.343275933689669,0.403538840753025,3.76147004156071
"T1994",0.090325067,0.056692861,0.062376266,0.090493855,0.068814232,0.039647604,0.066226289,0.102740211,0.085346429,0.041871973,0.240536499,0.427774951066788,0.182041825660001,3.26376607067034
"T4825",0.070200428,0.423505044,0.070897709,0.064990003,0.063676358,0.068775452,0.070203149,0.085223949,0.063458187,0.064389187,0.261357597,0.000528367412319061,3.27496923127794,10.2135764363097
"T4826",0.07598632,0.375251679,0.078425974,0.080223816,0.082700333,0.07591217,0.078711759,0.075417291,0.082128967,0.080750468,0.366526571,2.91743363460261e-31,11.570196810246,28.8529594715969
"T4827",0.079695168,0.454523201,0.084801472,0.079984806,0.076466453,0.07944895,0.085450264,0.099022252,0.077575671,0.079250251,0.194288183,2.67647324504479e-05,4.03965683078516,11.931830086841
"T4828",0.067548985,0.374090711,0.071966929,0.076291263,0.07083614,0.067433761,0.082035561,0.095916326,0.072781095,0.075202543,0.393951397,0.00589574184336449,2.51832388242094,8.5133937294516
"T4829",0.083644192,0.361669363,0.087904057,0.092142816,0.091962407,0.083575761,0.088356185,0.07761211,0.094248618,0.092859478,0.236311633,2.43785432359673e-09,5.85135956682909,16.0027275904634
"T4830",0.071827307,0.400478445,0.088692053,0.093822432,0.093762537,0.071697176,0.089444699,0.077242793,0.096176651,0.094789826,0.317418112,0.00510378253720856,2.56871744016336,8.62662809419083
"T4831",0.10027037,0.348201037,0.109457048,0.11546133,0.098167602,0.084502572,0.110772319,0.088584844,0.114043245,0.112709561,0.309770229,0.00286593688812573,2.76273810430545,9.06259268241678
"T4832",0.10285246,0.351077623,0.107808057,0.113609576,0.097593424,0.087500222,0.108776562,0.087857112,0.108620992,0.109252731,0.31472838,0.000243560841822429,3.48773991005751,10.691672322492
"T5075",0.059463696,0.488349124,0.072642904,0.069534054,0.058593081,0.056995058,0.07216704,0.077433477,0.061958898,0.067905237,0.487357792,0.00266591533371729,2.78627081370395,9.11547069934411
"T5076",0.047978592,0.572956778,0.062315999,0.058622529,0.045894473,0.045190966,0.061948185,0.063766705,0.051302156,0.057108304,0.596816921,0.0211366363295562,2.03081984993738,7.41797177674388
"T5077",0.053256837,0.497426135,0.046518729,0.045898761,0.043564982,0.050318832,0.046302005,0.04650618,0.044851484,0.045658272,0.505178169,3.94201780828374e-09,5.77091902494581,15.8219776282164
"T5078",0.050283258,0.669772492,0.059746319,0.057501066,0.048958026,0.048843938,0.059463605,0.059749148,0.052723035,0.056477717,0.691770317,3.938001119754e-05,3.9481421912114,11.7261966181853
"T5079",0.047800624,0.512488941,0.046467823,0.045460651,0.041085892,0.042694638,0.046075495,0.047533363,0.043477612,0.045090657,0.520197205,1.22780336380369e-14,7.6241956596399,19.986291715511
