"","copA","cueO","cueR","pval","z","inv_cof_var"
"T1011",0.066400249,0.065762833,0.100051582,0.483749172940894,0.0407460544966578,146.61290508038
"T5081",0.048245592,0.047777349,0.046498732,0.484118769838382,0.0398188604672292,145.006914637433
"T5083",0.052756799,0.05354534,0.049119628,0.495557770326916,0.0111352486135709,95.3241027943192
"T8500",0.051493948,0.051837663,0.050665025,0.468583766061565,0.0788303892564725,212.5786853906
"T8214",0.056919995,0.056914065,0.088252814,3.27839426480238e-15,7.79274688798098,13573.8340229308
"T0739",0.039846215,0.04047839,0.127213321,0.496819563898934,0.00797225550436848,89.8454903968527
"T0784",0.130124403,0.129513788,0.035790044,0.448407046614004,0.129686968365266,300.667237966813
"T0792",0.129930352,0.129796341,0.06826941,0.227439451811776,0.747305946830961,1370.44351490155
"T0787",0.123750076,0.121852486,0.068880134,0.496433923488709,0.00893894725537306,91.5198947438536
"T0841",0.166030683,0.164600691,0.114170093,0.479865674716008,0.0504907136115306,163.491604588293
"T0842",0.200191768,0.200286471,0.103264199,0.046241058790683,1.68244739463565,2990.19966119914
"T0808",0.134627052,0.132727327,0.05682422,0.494592951561989,0.0135538754771032,99.5134002925788
"T0819",0.153450554,0.153943498,0.056668642,0.416571111557097,0.210673283850707,440.943431029894
"T0828",0.219106881,0.220804909,0.1113205,0.475335467208765,0.0618642536313391,183.191684608802
"T1866",0.098892611,0.097227608,0.112199928,0.498329439350765,0.00418748679578867,83.28990204984
"T1870",0.098597959,0.099250304,0.115843846,0.468152543549527,0.0799147141007811,214.456841722217
"T0707",0.064870624,0.064931808,0.101536131,0.205487062428458,0.822180588505237,1500.13369315046
"T5146",0.128499621,0.127754981,0.201902997,0.461526423130052,0.0965889321504273,243.3382128068
"T2650",0.058818424,0.059405329,0.114329347,0.484710295741377,0.0383349922722221,142.436710274446
"T2661",0.054791247,0.055426367,0.095692987,0.489251354022617,0.0269461204658532,122.710074105054
"T2662",0.048500372,0.048002999,0.078392648,0.485916255981486,0.0353100470217943,137.197210225446
"T0603",0.053819865,0.053187354,0.064975638,0.489961166696103,0.0251662796269327,119.627216271043
"T0588",0.076820113,0.076567895,0.034102546,0.419030825049091,0.204373483330142,430.031562416231
"T0113",0.047395331,0.047305354,0.094877881,0.349833287334928,0.385770594854919,744.229042383194
"T0115",0.063434713,0.062538515,0.075270011,0.4946204960284,0.0134848254288254,99.3937988778808
"T2151",0.064475904,0.064091622,0.063477309,0.463077512239423,0.0926834763294285,236.573582616354
"T2154",0.056000663,0.056169205,0.115371889,0.409902508880752,0.227795766838881,470.601240685405
"T2136",0.059827604,0.059338361,0.037014604,0.477855499754035,0.0555365659066949,172.231512639197
"T6029",0.362317444,0.362828911,0.205202056,0.29636263693521,0.534890939595161,1002.52001590175
"T6042",0.374096225,0.374185384,0.346961216,0.000359407854758346,3.38230010344517,5934.5102565198
"T6053",0.402117454,0.395728789,0.371287734,0.497173952637202,0.00708390947177912,88.3067884713807
"T7326",0.087562599,0.088677855,0.083546619,0.491776861765592,0.0206138106131525,111.741896159085
"T7330",0.082341415,0.080840781,0.083780428,0.499802945044752,0.000493943542566491,76.8923250842726
"T7352",0.084586978,0.086070156,0.167502312,0.498773711776628,0.00307385357413376,81.3609807516435
"T7358",0.08141754,0.080902932,0.088712674,0.466182460342293,0.0848697755507937,223.039491178919
"T7378",0.082054659,0.082194094,0.223852792,0.33105993785243,0.436988241351402,832.942998872162
"T7392",0.091411092,0.092909105,0.216593389,0.497473864082676,0.00633212603096952,87.0046262671551
"T7398",0.084770212,0.085925431,0.189386004,0.493448605842108,0.0164226480118065,104.482393974041
"T7223",0.083793636,0.085090521,0.180434733,0.496304575177428,0.00926318881922096,92.0815127398912
"T7225",0.089408139,0.089878769,0.147559383,0.455562481228129,0.111619685921414,269.372943553893
"T7249",0.080038346,0.079573998,0.122004751,0.461590922179825,0.096426502352523,243.05686856298
"T7254",0.084844055,0.084845851,0.248269776,0,38.5272301280797,66808.9550287404
"T7266",0.090784724,0.090756204,0.246502687,0.00531410551155833,2.55469097101101,4501.01056282189
"T7270",0.08881002,0.088562536,0.176244497,0.401801732723306,0.248686276153125,506.785639249356
"T7472",0.082982933,0.082350418,0.080494598,0.474958644548576,0.0628106450341931,184.830926773904
"T7291",0.085552565,0.085607807,0.136133027,0.111048101321017,1.2209731060745,2190.88120834906
"T7293",0.085109593,0.085866277,0.157434412,0.480720950982853,0.048344234182907,159.773692976551
"T7161",0.099154177,0.097932062,0.044148463,0.491249366623908,0.0219363442209595,114.032653289955
"T5798",0.097669842,0.096597884,0.135292882,0.487999650915954,0.0300849520402017,128.146836368858
"T5820",0.102702498,0.103325427,0.091116586,0.463697829771189,0.0911219903698074,233.868936718783
"T5795",0.070227571,0.07113892,0.094860407,0.492250545724981,0.0194262229682056,109.684878590582
