"","cra","phoB","pitB","sbcC","sbcD","pval","z","inv_cof_var"
"T4827",0.098642991,0.077026138,0.080078775,0.076080169,0.082837864,0.499107347631906,0.00223754953237547,8.53838654934867
"T4829",0.083149304,0.083574185,0.083624205,0.088788665,0.086324374,0.300956751890337,0.521650775090656,32.6681073330851
"T4830",0.07253842,0.072240314,0.072407731,0.086719767,0.076687077,0.473959649538746,0.0653198989857428,11.4689231698896
"T5075",0.058419916,0.058075439,0.057173577,0.054976533,0.060265553,0.352777728086842,0.37783192466451,25.9868975882026
"T5088",0.032445653,0.038257727,0.034335347,0.033974731,0.040116818,0.482611338490827,0.0436007209865301,10.4599428917884
"T5538",0.097115239,0.135180426,0.085807675,0.082543238,0.078656131,0.47947504213322,0.0514711576144741,10.8255697740732
"T5572",0.114478881,0.139591374,0.107504877,0.090768489,0.113544712,0.489088815070043,0.0273536953905506,9.70517545055536
"T5574",0.093479041,0.131354194,0.104926928,0.113218923,0.09409722,0.480314934326682,0.0493631822859016,10.7276422404745
"T8139",0.07569826,0.055111317,0.072261848,0.065222561,0.068289487,0.440569792821626,0.149524744386937,15.3807207680055
"T5539",0.091008594,0.125791728,0.078856731,0.081739888,0.071028531,0.488492435770795,0.0288491871152622,9.77464961096568
"T0876",0.078106856,0.060625336,0.071243896,0.062454973,0.06076603,0.499972291252733,6.94555294109612e-05,8.43766615881916
"T5137",0.090834563,0.099332161,0.104139492,0.085068346,0.087967272,0.478684523130893,0.0534554240877966,10.9177503224417
"T0321",0.07252016,0.056360367,0.06048216,0.071857768,0.065024302,0.47187990462009,0.0705450950874507,11.7116634713884
"T0039",0.038237441,0.031511289,0.046625017,0.03666599,0.043596152,0.495965093229557,0.0101141838349418,8.90430134913499
"T4072",0.081797835,0.100777321,0.081304527,0.081860101,0.072931945,0.416803497098481,0.210077745799519,18.1937546778224
"T4074",0.081797835,0.100777321,0.081304527,0.081860101,0.072931945,0.416803497098481,0.210077745799519,18.1937546778224
