"","ackA","arcA","dcuC","fnr","pta","pval","z","inv_cof_var"
"T8405",0.155223467,0.195837942,0.159987785,0.194116836,0.076863837,0.418710833336529,0.205192579665232,2.79990918299523
"T8401",0.036244641,0.444609906,0.085325304,0.38832968,0.077670731,0.441836961225315,0.146313483070636,2.5151043445537
"T8142",0.161475259,0.093611458,0.066000227,0.061257523,0.153039265,0.451269067410166,0.122455691588238,2.39970151329934
"T8143",0.168004885,0.087029387,0.063549153,0.040503678,0.161717458,0.464537068963612,0.0890097796604724,2.2379198608276
"T8144",0.146091597,0.194021944,0.083552258,0.052009263,0.181860099,0.422202026038015,0.196263342166718,2.75671745298822
"T8221",0.102891548,0.137916246,0.043682816,0.247669509,0.13488147,0.481844774963986,0.0455241198967596,2.02757481445567
"T1008",0.198969765,0.255169468,0.055142107,0.252484387,0.188535152,0.497321933985109,0.00671296641267384,1.83984088277068
"T1129",0.089489404,0.54079434,0.039376441,0.126469951,0.130362499,0.492678757099637,0.0183526646657782,1.8961434174938
"T1130",0.118044328,0.536102133,0.053259408,0.145534785,0.120399255,0.438830114779623,0.153935960605819,2.55197512906794
"T1992",0.127774445,0.059423802,0.069041178,0.356608723,0.120625113,0.37866801599964,0.308980931560005,3.30194516016095
"T1993",0.139585821,0.086445575,0.064399186,0.241113532,0.117738854,0.420905875358693,0.199576573622021,2.77274392764431
"T1994",0.096124435,0.06447129,0.068744905,0.641410688,0.154315079,0.448407545280734,0.129685707837462,2.43467391825941
"T4827",0.24759187,0.084554751,0.076572151,0.08926377,0.268646643,0.494356356360214,0.0141469885952486,1.87580008746529
"T4831",0.182975205,0.111482261,0.090031932,0.105969677,0.102790247,0.44419184844809,0.14034970135877,2.48625685902512
"T4832",0.173484466,0.109600508,0.091695407,0.104174373,0.108885028,0.411337281069698,0.224106336399986,2.89139715992961
"T5075",0.067092059,0.487662078,0.054300587,0.491272889,0.073753732,0.161915525444387,0.986615740219177,6.57974124340182
"T5077",0.086665026,0.482152481,0.043287057,0.478863223,0.046453258,0.448657413618473,0.129054117510716,2.43161884453421
"T5079",0.079899489,0.48608843,0.033872308,0.474238545,0.046373846,0.464128215684976,0.0900387379840703,2.24289704842158
"T5081",0.059189003,0.425506456,0.036454897,0.474693107,0.048559605,0.308551571285366,0.499960142568749,4.2257331678395
"T5083",0.040894874,0.484772116,0.035713959,0.481724644,0.05335358,0.269558647401434,0.614148358695724,4.7780744625759
"T5085",0.031920639,0.403904836,0.031040588,0.407139737,0.061700563,0.452808610502649,0.118568502038984,2.38089873853549
"T5087",0.031920639,0.403904836,0.031040588,0.407139737,0.061700563,0.452808610502649,0.118568502038984,2.38089873853549
"T5088",0.032031425,0.163588883,0.032238004,0.40849302,0.061229081,0.443857388631387,0.141196416084519,2.49035251375864
"T5536",0.328800457,0.253881223,0.119631029,0.29471858,0.279137195,0.46607851670373,0.0851312665585287,2.21915905501908
"T5538",0.326575378,0.242637649,0.113728218,0.286351994,0.276458033,0.47200681404863,0.0702261913551109,2.14706152328389
"T5540",0.328296526,0.258807331,0.113093749,0.291706345,0.282218415,0.473521869584427,0.0664196338455354,2.12864877480037
"T5542",0.317666724,0.27065923,0.104205497,0.293837771,0.284610856,0.480025594031509,0.0500893481075433,2.04965733878469
"T5544",0.330142801,0.269325144,0.119312547,0.290117242,0.292682389,0.467708446373632,0.0810315109925779,2.19932807443101
"T5546",0.324211598,0.268582843,0.115400888,0.291509068,0.262159766,0.469173943257974,0.0773465169808995,2.18150334231292
"T5552",0.329120331,0.2888262,0.10862166,0.29253989,0.297687449,0.479557172987394,0.0512650142990031,2.05534416890074
"T5556",0.257916021,0.226784274,0.088806619,0.208909284,0.23270835,0.474478128317638,0.0640175449217804,2.11702959944918
"T5558",0.235435135,0.206290767,0.099453035,0.207295116,0.208676214,0.441831361587173,0.146327670344655,2.51517297000006
"T5560",0.33430948,0.244711574,0.132567869,0.098845533,0.286317274,0.452697562263928,0.118848826886368,2.38225470147459
"T5562",0.331882497,0.262548318,0.111203322,0.298791228,0.288473273,0.47704815784082,0.0575635107195973,2.08581070726907
"T5564",0.187292214,0.232124433,0.070195125,0.071661764,0.245249438,0.494077562170152,0.0148458954417513,1.87918077879747
"T5566",0.247036851,0.220151184,0.111015874,0.207762096,0.22941298,0.431074485851128,0.173639265033956,2.64728223734539
"T5568",0.251331907,0.203789758,0.101073849,0.215179977,0.208355432,0.449988042679474,0.12569155705175,2.41535375991751
"T5570",0.248147381,0.200849302,0.131291381,0.22153292,0.217447447,0.38006354276924,0.30531390634325,3.28420734513281
"T5572",0.252594796,0.213548834,0.107463289,0.165260504,0.225861062,0.4407381602181,0.149097979196178,2.52857326671867
"T5574",0.269933343,0.213686277,0.151245745,0.219168715,0.227305808,0.355830320004383,0.369626719013155,3.5952956817676
"T5578",0.248015906,0.191063469,0.106712216,0.162998721,0.197763928,0.43726695334879,0.157902146405482,2.57116001761471
"T8398",0.20832519,0.488571952,0.090179021,0.433716263,0.173283393,0.43559885244453,0.162137336512238,2.59164611036896
"T8407",0.182254828,0.30758739,0.121922732,0.309226537,0.116882509,0.335768503155861,0.424039500185034,3.85849644820452
"T5535",0.340276263,0.267385303,0.112393004,0.314233598,0.295656121,0.478721501570325,0.0533626005897354,2.06549043063371
"T5541",0.334247965,0.270498492,0.104812692,0.296706902,0.286945163,0.484306982933615,0.0393467104599456,1.99769398750018
"T8252",0.297899897,0.078803418,0.079922516,0.244523207,0.237752637,0.498738069181649,0.00316319674495733,1.82267024607291
"T0509",0.095891795,0.207566759,0.057641356,0.627002405,0.154702168,0.47575880194224,0.0608011130413528,2.10147135526669
"T0511",0.096799457,0.198106696,0.061949528,0.666667846,0.166039752,0.480546607874522,0.0487817631736433,2.04333240281613
"T1634",0.241434714,0.133990926,0.070833139,0.195571726,0.216992479,0.49134412328025,0.0216987679693018,1.9123288969914
"T1591",0.529676429,0.217915028,0.162436157,0.173756142,0.332091116,0.495866365618482,0.0103616702268039,1.8574900751056
"T0883",0.038235123,0.180106498,0.061039354,0.38410782,0.114547184,0.498998443904104,0.00251053146581704,1.81951323042333
"T2299",0.031744782,0.300671744,0.057724051,0.314653995,0.053654206,0.369872354220916,0.332191438099045,3.41421700105743
"T0150",0.136825901,0.1161058,0.071275517,0.345763166,0.224751001,0.494537890732833,0.0136919053158124,1.87359879825785
"T0326",0.075559423,0.324688268,0.045001258,0.716836073,0.112385065,0.459329514178818,0.10212302108587,2.30135009025724
"T0327",0.107173672,0.030250634,0.052869662,0.764495503,0.095229785,0.40407856494272,0.242804137921646,2.98184053711412
"T0328",0.103216687,0.375940959,0.048458311,0.729127255,0.082468648,0.416834019844947,0.209999530221151,2.82316094560125
"T0345",0.111578325,0.30226882,0.049394192,0.134769032,0.13251213,0.46248533392594,0.0941743400365243,2.26290142251239
"T0347",0.091793166,0.226904777,0.066711001,0.295080861,0.09272813,0.212020984252256,0.799428537598757,5.67429560846451
"T0348",0.08904183,0.230647211,0.068157556,0.295325687,0.096246023,0.205106148900066,0.823520089306588,5.79082916432386
"T0349",0.088865336,0.229467129,0.067371432,0.293970232,0.094736305,0.204162017646136,0.826846561557306,5.80691968620244
"T0835",0.299285333,0.19065455,0.094645341,0.138626722,0.255499767,0.483379947543565,0.0416723515346037,2.00894337597333
"T0837",0.320447776,0.205067762,0.092014599,0.081742807,0.239515792,0.494308447638121,0.0142670900727462,1.87638103187296
"T5137",0.11266396,0.109327969,0.103344076,0.093347553,0.221394493,0.465886015156328,0.0856155580811313,2.2215016277967
"T1864",0.124882755,0.140163545,0.089465114,0.688785286,0.205931936,0.45563214513084,0.111443974939402,2.34643659650332
"T1866",0.098663133,0.225809334,0.094975715,0.465755134,0.180260297,0.436122140268694,0.160808436265399,2.58521806982494
"T1870",0.096981577,0.228513527,0.095886823,0.457099902,0.147082439,0.33456334403289,0.427346885241581,3.8744946431697
"T2675",0.239079515,0.253412091,0.068375027,0.389584544,0.172390643,0.495723487403514,0.0107198326988912,1.85922254742427
"T1867",0.120496123,0.129815493,0.083215321,0.684518131,0.210190839,0.474733248294098,0.0633767553357265,2.11393002786798
"T1869",0.07445404,0.232349632,0.067268192,0.404119316,0.156432175,0.483593058346557,0.041137703866559,2.00635722483435
"T0711",0.209319128,0.185596122,0.095653498,0.210488455,0.119779143,0.454180501529208,0.115106127611592,2.36415084248323
"T2329",0.148740769,0.229875017,0.080638898,0.164044446,0.149912485,0.387677856165553,0.285376496420822,3.18776784214592
"T2330",0.196855725,0.219150731,0.082603048,0.188183734,0.144101088,0.445595670709685,0.13679689067721,2.46907151260002
"T2331",0.140549313,0.257322887,0.074574092,0.176778155,0.136750595,0.389373998731204,0.280950981096873,3.16636112482592
"T5142",0.193851495,0.187378901,0.144914136,0.122516241,0.156745548,0.167602028895364,0.963684639328122,6.46882091917317
"T5144",0.208796443,0.1704736,0.140630686,0.123070233,0.161097096,0.263639484736286,0.632165146382912,4.86522369894777
"T5146",0.220821392,0.182957209,0.134044235,0.131115667,0.174319231,0.3205692126565,0.466107681365345,4.06198499061682
"T5148",0.210417131,0.177835525,0.135777256,0.127847139,0.197297191,0.285625631224999,0.566209662159418,4.54618957452936
"T5150",0.195558836,0.178323298,0.138973864,0.123898188,0.205390615,0.253244289717728,0.664315223645764,5.02073725282879
"T5152",0.193851495,0.187378901,0.144914136,0.122516241,0.156745548,0.167602028895364,0.963684639328122,6.46882091917317
"T5528",0.344630933,0.264963211,0.114302233,0.302933988,0.294837751,0.478084195769514,0.0549624343982147,2.0732290074073
"T5530",0.30194625,0.258751579,0.120566205,0.286122908,0.279142248,0.453920242840019,0.115762860390759,2.3673275330897
"T5532",0.327754168,0.272344069,0.136929052,0.306882913,0.297421059,0.444922025940268,0.138501540913934,2.47731709827217
"T5534",0.332753675,0.266802875,0.111978017,0.291148874,0.284496499,0.476355609172714,0.0593024391875515,2.09422210061614
"T5714",0.131860363,0.120983111,0.08217625,0.143181386,0.095586878,0.324033167292997,0.456450115858261,4.01527025579468
"T5716",0.174229098,0.125264141,0.105299776,0.163149466,0.148202709,0.318042917519835,0.473178500472762,4.09618734102655
"T5718",0.148917376,0.134313927,0.084732921,0.144351289,0.141599632,0.358550657356671,0.362335524117623,3.56002734878747
"T5719",0.220505515,0.187356604,0.11700832,0.201436636,0.194124037,0.379208875015298,0.307559226075237,3.29506821020214
"T5720",0.211018532,0.174462737,0.107467863,0.190017927,0.182112071,0.392820585706928,0.271975091958325,3.12294373556849
"T5721",0.245734308,0.158573989,0.118556895,0.117020949,0.168953194,0.420687966038207,0.200133809488854,2.77543934045134
"T5722",0.13647104,0.170315885,0.086639667,0.164984889,0.09512947,0.326727679906301,0.448967142064113,3.97907426662762
"T5723",0.162884002,0.090041955,0.101502188,0.163025903,0.16290603,0.323805057508711,0.457084772301724,4.01834016067265
"T5724",0.116730419,0.10738233,0.103033401,0.12245457,0.117884255,0.00728551571211568,2.44286884803578,13.6238019557692
